open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,101.58,101.6,101.03,101.29,8592050
2016-01-05 09:30:00,102.15,102.28,101.66,101.67,5324381
2016-01-06 09:30:00,99.74,100.46,99.71,100.42,6372740
2016-01-07 09:30:00,98.36,98.94,98.14,98.7,8044408
2016-01-08 09:30:00,98.09,98.67,97.96,98.66,8978694
2016-01-11 09:30:00,97.28,97.53,96.62,96.72,4954745
2016-01-12 09:30:00,97.76,98.47,97.69,98.2,6368788
2016-01-13 09:30:00,98.4,98.61,97.97,98.07,5820184
2016-01-14 09:30:00,94.96,95.09,93.6,93.67,10255237
2016-01-15 09:30:00,93.36,94.63,93.24,93.88,15252969
2016-01-19 09:30:00,94.87,95.03,94.13,94.44,7919025
2016-01-20 09:30:00,92.35,92.7,91.54,91.66,10130208
2016-01-21 09:30:00,93.93,93.94,92.66,92.92,9013532
2016-01-22 09:30:00,95.47,95.85,95.18,95.8,7994313
2016-01-25 09:30:00,96.04,96.25,95.83,96.06,5003803
2016-01-26 09:30:00,95.28,95.44,94.46,94.58,6230592
2016-01-27 09:30:00,95.19,95.42,94.8,94.86,5202633
2016-01-28 09:30:00,94.86,94.96,94.35,94.46,6809630
2016-01-29 09:30:00,94.7,95.62,94.63,95.51,8007560
2016-02-01 09:30:00,96.19,96.48,95.95,96.16,4110523
2016-02-02 09:30:00,96.51,96.51,95.78,96.02,7662507
2016-02-03 09:30:00,95.43,95.46,94.48,94.55,5586908
2016-02-04 09:30:00,94.08,94.36,93.24,93.8,9095286
2016-02-05 09:30:00,94.03,94.06,92.87,92.97,7949724
2016-02-08 09:30:00,89.42,89.63,88.93,89.33,14781369
2016-02-09 09:30:00,88.52,90.37,88.36,89.94,11912992
2016-02-10 09:30:00,90.51,90.95,90.07,90.93,7866551
2016-02-11 09:30:00,88.61,89.69,88.54,89.49,10804279
2016-02-12 09:30:00,90.68,90.78,89.85,89.91,12292292
2016-02-16 09:30:00,92.31,92.78,92.29,92.43,6902911
2016-02-17 09:30:00,93.76,93.94,93.48,93.9,6885968
2016-02-18 09:30:00,95.44,95.47,94.86,94.96,5515474
