open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,88.77,88.96,87.57,87.6,431075
2016-01-05 09:30:00,85.91,87.06,85.83,86.3,524461
2016-01-06 09:30:00,83.97,84.58,83.16,84.05,747317
2016-01-07 09:30:00,83.05,83.87,83.0,83.61,207254
2016-01-08 09:30:00,83.32,84.23,83.0,84.12,192151
2016-01-11 09:30:00,82.49,83.32,82.03,82.13,227696
2016-01-12 09:30:00,84.15,85.25,83.88,85.07,194805
2016-01-13 09:30:00,83.82,84.27,83.32,83.8,215073
2016-01-14 09:30:00,79.21,79.31,76.56,76.6,585986
2016-01-15 09:30:00,75.63,76.67,74.68,75.85,802901
2016-01-19 09:30:00,75.63,76.11,74.99,75.31,1184799
2016-01-20 09:30:00,71.52,71.52,68.26,69.18,1095012
2016-01-21 09:30:00,74.39,75.68,73.82,74.99,767440
2016-01-22 09:30:00,78.64,78.73,77.78,78.18,633519
2016-01-25 09:30:00,76.51,76.94,75.98,76.23,418489
2016-01-26 09:30:00,74.59,74.94,73.27,73.52,187878
2016-01-27 09:30:00,75.96,76.43,75.13,75.18,117744
2016-01-28 09:30:00,72.09,72.18,69.26,69.47,1047599
2016-01-29 09:30:00,69.57,70.36,69.33,70.2,742039
2016-02-01 09:30:00,72.93,73.69,72.41,73.46,729783
2016-02-02 09:30:00,70.41,70.58,64.79,65.82,4814129
2016-02-03 09:30:00,65.36,67.28,64.62,64.71,1909924
2016-02-04 09:30:00,65.09,65.23,62.89,63.98,687198
2016-02-05 09:30:00,64.71,64.92,63.67,63.71,319092
2016-02-08 09:30:00,60.61,60.69,59.3,59.38,845410
2016-02-09 09:30:00,57.92,61.99,57.32,60.9,813994
2016-02-10 09:30:00,61.2,62.48,61.07,62.43,507884
2016-02-11 09:30:00,60.02,61.21,59.99,61.1,411628
2016-02-12 09:30:00,61.45,61.45,59.79,60.03,217542
2016-02-16 09:30:00,62.15,62.61,61.73,61.99,368714
2016-02-17 09:30:00,64.43,65.78,64.26,64.92,369849
2016-02-18 09:30:00,64.74,64.78,63.14,63.59,336553
2016-02-19 09:30:00,61.83,62.58,61.35,62.48,333432
2016-02-22 09:30:00,63.38,64.65,62.88,64.65,808479
2016-02-23 09:30:00,66.65,68.32,66.32,67.65,1042744
2016-02-24 09:30:00,65.44,65.44,64.06,64.13,395164
2016-02-25 09:30:00,65.29,66.31,65.11,65.55,269604
2016-02-26 09:30:00,66.97,67.17,66.0,66.47,204177
2016-02-29 09:30:00,66.4,66.93,66.27,66.93,483296
2016-03-01 09:30:00,67.25,67.3,66.54,66.85,329064
2016-03-02 09:30:00,67.99,68.48,67.65,67.74,326503
2016-03-03 09:30:00,66.7,66.81,65.7,66.55,422484
2016-03-04 09:30:00,67.89,67.91,67.0,67.17,275343
2016-03-07 09:30:00,65.47,65.74,64.52,64.62,602511
2016-03-08 09:30:00,64.75,65.01,64.02,64.9,751305
