open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,47.23,47.53,46.47,46.47,39245
2016-01-05 09:30:00,46.71,47.13,46.69,46.89,43853
2016-01-06 09:30:00,47.24,47.65,47.24,47.44,25275
2016-01-07 09:30:00,47.2,47.5,47.12,47.37,73574
2016-01-08 09:30:00,47.46,47.76,47.43,47.63,43299
2016-01-11 09:30:00,46.86,47.25,46.82,47.03,58268
2016-01-12 09:30:00,47.66,47.83,47.09,47.1,54598
2016-01-13 09:30:00,46.94,47.11,46.71,47.03,158352
2016-01-14 09:30:00,46.67,47.04,46.53,46.6,26491
2016-01-15 09:30:00,45.68,45.96,45.56,45.81,30775
2016-01-19 09:30:00,47.11,47.61,47.0,47.31,38122
2016-01-20 09:30:00,47.23,47.6,47.02,47.07,91089
2016-01-21 09:30:00,47.63,48.02,47.12,47.17,66408
2016-01-22 09:30:00,47.64,48.24,47.37,48.24,41435
2016-01-25 09:30:00,48.21,48.76,47.74,48.7,40062
2016-01-26 09:30:00,48.14,48.69,48.14,48.45,30847
2016-01-27 09:30:00,48.98,49.15,48.62,48.91,68575
2016-01-28 09:30:00,48.67,48.96,48.58,48.91,16073
2016-01-29 09:30:00,49.05,49.33,48.8,49.15,49113
2016-02-01 09:30:00,49.58,50.29,49.28,50.11,33593
2016-02-02 09:30:00,50.47,50.47,49.96,50.02,90930
2016-02-03 09:30:00,50.24,50.74,50.14,50.69,19389
2016-02-04 09:30:00,50.14,50.39,49.82,50.27,39283
2016-02-05 09:30:00,49.66,49.98,49.38,49.47,26903
2016-02-08 09:30:00,49.0,49.0,48.03,48.11,43717
2016-02-09 09:30:00,48.1,48.72,48.08,48.52,54588
2016-02-10 09:30:00,49.18,49.67,48.77,49.57,21958
2016-02-11 09:30:00,49.43,49.74,47.95,48.91,123926
2016-02-12 09:30:00,49.03,49.03,47.92,48.43,70555
2016-02-16 09:30:00,48.69,48.69,48.14,48.19,79675
2016-02-17 09:30:00,48.8,49.73,48.74,49.54,115122
2016-02-18 09:30:00,48.97,48.97,48.42,48.61,26737
2016-02-19 09:30:00,48.62,48.91,48.5,48.91,29300
2016-02-22 09:30:00,49.27,49.59,49.05,49.33,38822
2016-02-23 09:30:00,48.9,49.39,48.9,49.17,26247
2016-02-24 09:30:00,48.58,48.81,48.42,48.69,43929
2016-02-25 09:30:00,49.15,49.74,49.15,49.67,27630
2016-02-26 09:30:00,49.65,49.79,49.36,49.68,54519
2016-02-29 09:30:00,49.12,49.42,49.08,49.12,24542
2016-03-01 09:30:00,49.26,49.83,49.09,49.77,51205
2016-03-02 09:30:00,50.2,50.59,50.02,50.39,64626
2016-03-03 09:30:00,50.91,51.36,50.78,50.87,61008
2016-03-04 09:30:00,51.06,51.28,51.02,51.03,52791
2016-03-07 09:30:00,50.91,51.18,50.74,50.89,34315
2016-03-08 09:30:00,50.61,50.93,50.4,50.43,38976
2016-03-09 09:30:00,50.45,50.63,50.15,50.62,30336
2016-03-10 09:30:00,50.86,51.23,50.67,51.15,34149
2016-03-11 09:30:00,51.31,51.43,51.09,51.23,31665
2016-03-14 09:30:00,51.44,51.81,51.23,51.4,31117
2016-03-15 09:30:00,51.36,51.74,51.31,51.58,26219
2016-03-16 09:30:00,51.69,51.78,51.56,51.71,19056
2016-03-17 09:30:00,51.67,52.6,51.67,52.59,55402
2016-03-18 09:30:00,52.03,52.14,51.75,51.91,965895
2016-03-21 09:30:00,51.56,52.11,51.47,52.11,58254
2016-03-22 09:30:00,51.44,51.68,51.21,51.37,46010
2016-03-23 09:30:00,50.98,51.25,50.94,51.09,26854
2016-03-24 09:30:00,50.62,50.76,50.48,50.58,66751
2016-03-28 09:30:00,51.04,51.26,51.04,51.06,36187
2016-03-29 09:30:00,51.84,52.15,51.84,51.96,44714
2016-03-30 09:30:00,52.44,52.48,52.27,52.48,24926
2016-03-31 09:30:00,52.17,52.33,51.92,52.18,13362
2016-04-01 09:30:00,51.89,52.17,51.73,52.15,35972
2016-04-04 09:30:00,52.34,52.56,52.22,52.3,10143
