open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,47.18,47.18,46.18,46.57,77770
2016-01-05 09:30:00,46.81,47.14,46.65,46.99,74625
2016-01-06 09:30:00,46.09,46.19,45.89,45.98,69248
2016-01-07 09:30:00,45.21,45.66,45.21,45.51,91145
2016-01-08 09:30:00,46.44,46.64,46.28,46.53,106204
2016-01-11 09:30:00,46.45,46.7,46.4,46.55,77744
2016-01-12 09:30:00,46.91,47.04,46.67,46.85,61752
2016-01-13 09:30:00,47.76,47.96,47.42,47.7,65557
2016-01-14 09:30:00,47.38,47.42,47.07,47.09,69326
2016-01-15 09:30:00,47.37,47.44,47.05,47.08,114654
2016-01-19 09:30:00,46.9,47.44,46.85,47.28,292723
2016-01-20 09:30:00,47.2,47.31,47.05,47.19,190386
2016-01-21 09:30:00,47.68,48.03,47.45,47.71,105859
2016-01-22 09:30:00,51.32,53.44,51.32,52.28,685053
2016-01-25 09:30:00,51.47,51.99,51.39,51.76,150170
2016-01-26 09:30:00,52.06,52.6,51.91,52.05,91911
2016-01-27 09:30:00,52.26,52.85,52.26,52.48,50844
2016-01-28 09:30:00,51.61,51.67,50.96,51.05,44953
2016-01-29 09:30:00,50.5,50.93,50.24,50.7,135961
2016-02-01 09:30:00,50.56,50.73,50.14,50.6,80722
2016-02-02 09:30:00,50.76,50.97,50.51,50.67,55732
2016-02-03 09:30:00,51.25,51.35,51.06,51.2,93279
2016-02-04 09:30:00,51.01,51.3,50.69,51.29,76984
2016-02-05 09:30:00,51.76,51.89,51.5,51.8,92610
2016-02-08 09:30:00,50.67,50.75,50.32,50.5,82463
2016-02-09 09:30:00,50.13,50.85,49.98,50.81,140388
2016-02-10 09:30:00,51.53,52.35,51.2,52.04,294931
2016-02-11 09:30:00,50.79,51.54,50.76,51.06,151120
2016-02-12 09:30:00,51.33,51.64,51.16,51.38,122766
2016-02-16 09:30:00,52.1,52.63,52.06,52.35,81756
2016-02-17 09:30:00,53.23,53.41,52.85,53.04,70349
2016-02-18 09:30:00,53.26,53.51,53.08,53.4,54041
2016-02-19 09:30:00,52.95,52.95,52.62,52.71,43476
2016-02-22 09:30:00,53.24,53.36,52.97,53.27,94935
2016-02-23 09:30:00,52.45,52.73,51.52,52.46,324797
2016-02-24 09:30:00,51.3,51.42,50.87,51.36,82708
2016-02-25 09:30:00,51.93,51.93,51.49,51.65,49493
2016-02-26 09:30:00,51.63,51.98,51.42,51.87,89232
2016-02-29 09:30:00,51.8,52.22,51.08,51.28,69957
2016-03-01 09:30:00,51.26,51.45,50.94,51.22,53354
2016-03-02 09:30:00,51.03,51.25,50.87,51.12,48779
2016-03-03 09:30:00,51.49,51.95,51.17,51.25,56850
2016-03-04 09:30:00,51.57,51.95,51.43,51.78,110201
2016-03-07 09:30:00,51.7,51.76,51.48,51.57,129939
2016-03-08 09:30:00,51.74,52.05,51.64,51.93,52570
2016-03-09 09:30:00,52.0,52.01,51.85,51.92,59903
2016-03-10 09:30:00,52.06,52.08,51.85,52.04,138275
2016-03-11 09:30:00,53.06,53.3,53.03,53.25,121486
2016-03-14 09:30:00,53.63,53.63,52.95,53.04,113943
2016-03-15 09:30:00,52.52,52.62,52.21,52.57,52256
2016-03-16 09:30:00,52.08,52.08,51.48,51.71,173073
2016-03-17 09:30:00,51.1,51.37,50.6,50.6,68114
2016-03-18 09:30:00,49.97,50.49,49.9,50.32,247933
2016-03-21 09:30:00,50.25,50.41,50.06,50.4,50117
2016-03-22 09:30:00,50.05,50.24,49.96,50.07,43438
2016-03-23 09:30:00,50.42,50.42,50.0,50.21,104301
2016-03-24 09:30:00,49.94,50.05,49.78,49.91,81664
2016-03-28 09:30:00,49.88,50.02,49.7,49.95,63767
2016-03-29 09:30:00,50.14,50.14,49.71,49.82,109329
2016-03-30 09:30:00,50.4,50.82,50.38,50.78,59620
2016-03-31 09:30:00,50.89,51.21,50.89,51.19,42970
2016-04-01 09:30:00,51.54,51.76,51.33,51.67,54073
2016-04-04 09:30:00,52.59,52.59,52.19,52.36,141940
2016-04-05 09:30:00,51.92,52.15,51.64,52.15,91021
