open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,83.3,83.64,81.96,82.92,211578
2016-01-05 09:30:00,83.74,84.36,83.49,83.59,60969
2016-01-06 09:30:00,82.01,82.39,81.87,82.32,162018
2016-01-07 09:30:00,79.47,79.77,78.73,79.03,109740
2016-01-08 09:30:00,77.93,78.7,77.5,78.6,112304
2016-01-11 09:30:00,77.81,78.06,76.98,77.9,154544
2016-01-12 09:30:00,78.42,78.6,77.12,78.43,98806
2016-01-13 09:30:00,78.44,79.03,78.19,78.75,134513
2016-01-14 09:30:00,77.27,77.44,75.56,75.8,109307
2016-01-15 09:30:00,74.4,75.29,74.05,74.78,241076
2016-01-19 09:30:00,76.66,76.84,75.18,75.91,77822
2016-01-20 09:30:00,74.04,74.57,73.29,74.06,244262
2016-01-21 09:30:00,74.97,74.97,72.92,73.52,72269
2016-01-22 09:30:00,74.43,76.43,74.43,76.27,76252
2016-01-25 09:30:00,75.69,75.84,74.86,75.14,83636
2016-01-26 09:30:00,75.66,76.65,75.42,76.12,86849
2016-01-27 09:30:00,76.25,79.08,76.13,77.94,240967
2016-01-28 09:30:00,77.68,78.27,76.76,77.35,348301
2016-01-29 09:30:00,77.42,78.62,76.72,78.5,102150
2016-02-01 09:30:00,78.17,78.79,77.07,77.33,158907
2016-02-02 09:30:00,77.07,77.63,76.73,77.35,247232
2016-02-03 09:30:00,77.62,78.44,76.78,77.02,141220
2016-02-04 09:30:00,78.88,81.33,78.88,81.3,250357
2016-02-05 09:30:00,81.02,81.63,80.59,81.12,225081
2016-02-08 09:30:00,80.79,81.18,80.09,80.21,124823
2016-02-09 09:30:00,79.46,81.11,79.29,80.32,78338
2016-02-10 09:30:00,80.76,81.37,80.28,80.49,85833
2016-02-11 09:30:00,76.96,79.16,76.43,79.02,141572
2016-02-12 09:30:00,79.44,80.28,78.38,78.75,138125
2016-02-16 09:30:00,81.41,81.92,80.34,81.25,87263
2016-02-17 09:30:00,84.27,85.25,84.27,84.77,116232
2016-02-18 09:30:00,85.48,85.88,84.91,85.73,54055
2016-02-19 09:30:00,84.45,84.51,83.44,83.46,98914
