open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,10.05,10.05,9.928,9.936,47877
2016-01-05 09:30:00,9.889,10.03,9.889,9.994,68886
2016-01-06 09:30:00,9.716,9.83,9.575,9.791,67101
2016-01-07 09:30:00,9.56,9.634,9.532,9.583,152277
2016-01-08 09:30:00,9.528,9.548,9.45,9.54,36167
2016-01-11 09:30:00,9.473,9.536,9.419,9.43,39590
2016-01-12 09:30:00,9.806,10.2,9.791,10.11,277109
2016-01-13 09:30:00,10.17,10.2,10.06,10.1,51242
2016-01-14 09:30:00,9.928,10.05,9.928,9.987,99072
2016-01-15 09:30:00,9.846,9.893,9.799,9.799,81893
2016-01-19 09:30:00,10.12,10.13,10.05,10.12,62777
2016-01-20 09:30:00,9.873,9.94,9.81,9.885,69670
2016-01-21 09:30:00,10.07,10.13,9.938,9.983,43448
2016-01-22 09:30:00,10.1,10.16,10.05,10.16,51881
2016-01-25 09:30:00,10.22,10.23,10.16,10.19,24418
2016-01-26 09:30:00,10.15,10.26,10.14,10.16,16176
2016-01-27 09:30:00,10.47,10.57,10.24,10.45,96538
2016-01-28 09:30:00,10.32,10.37,10.25,10.34,23692
2016-01-29 09:30:00,10.34,10.53,10.29,10.47,159820
2016-02-01 09:30:00,10.7,10.78,10.62,10.7,137203
2016-02-02 09:30:00,10.61,10.63,10.57,10.63,38661
2016-02-03 09:30:00,10.66,10.66,10.59,10.63,14898
2016-02-04 09:30:00,10.61,10.69,10.59,10.65,83413
2016-02-05 09:30:00,10.51,10.57,10.39,10.4,156906
2016-02-08 09:30:00,10.26,10.26,9.978,10.03,72651
2016-02-09 09:30:00,9.923,10.07,9.872,9.986,33984
2016-02-10 09:30:00,9.845,9.945,9.802,9.945,41190
2016-02-11 09:30:00,9.77,9.806,9.733,9.786,28055
2016-02-12 09:30:00,10.16,10.26,9.872,9.884,203744
2016-02-16 09:30:00,10.21,10.32,10.21,10.29,45568
2016-02-17 09:30:00,10.59,10.6,10.47,10.5,45778
2016-02-18 09:30:00,10.58,10.66,10.58,10.62,76597
2016-02-19 09:30:00,10.54,10.61,10.52,10.56,34524
2016-02-22 09:30:00,10.76,10.84,10.69,10.77,39001
2016-02-23 09:30:00,10.71,10.86,10.71,10.72,444296
2016-02-24 09:30:00,10.51,10.55,10.47,10.53,33100
2016-02-25 09:30:00,10.81,10.87,10.81,10.84,29663
2016-02-26 09:30:00,10.93,10.93,10.84,10.88,155682
2016-02-29 09:30:00,10.91,10.92,10.84,10.91,48993
2016-03-01 09:30:00,10.88,10.92,10.86,10.89,36056
2016-03-02 09:30:00,11.02,11.02,10.92,10.94,49578
2016-03-03 09:30:00,11.06,11.09,10.99,11.01,108284
2016-03-04 09:30:00,11.24,11.28,11.21,11.22,29101
2016-03-07 09:30:00,11.22,11.27,11.19,11.26,107704
2016-03-08 09:30:00,11.33,11.4,11.33,11.35,39796
2016-03-09 09:30:00,11.17,11.19,11.11,11.15,59543
2016-03-10 09:30:00,11.06,11.1,11.02,11.07,49892
2016-03-11 09:30:00,10.98,10.99,10.91,10.93,51635
2016-03-14 09:30:00,10.91,10.94,10.87,10.92,60948
2016-03-15 09:30:00,10.79,10.83,10.76,10.8,26828
2016-03-16 09:30:00,10.75,10.83,10.73,10.81,34144
2016-03-17 09:30:00,10.86,10.93,10.84,10.88,19829
2016-03-18 09:30:00,10.91,10.96,10.89,10.95,537685
2016-03-21 09:30:00,10.71,10.75,10.31,10.34,468966
2016-03-22 09:30:00,10.43,10.76,10.42,10.75,116485
2016-03-23 09:30:00,10.65,10.65,10.54,10.56,24101
2016-03-24 09:30:00,10.52,10.54,10.47,10.51,58260
2016-03-28 09:30:00,10.6,10.6,10.5,10.52,77644
2016-03-29 09:30:00,10.52,10.64,10.5,10.64,37663
2016-03-30 09:30:00,10.91,10.95,10.89,10.92,38389
2016-03-31 09:30:00,10.67,10.74,10.64,10.71,48249
2016-04-01 09:30:00,10.6,10.62,10.56,10.6,73835
2016-04-04 09:30:00,10.77,10.77,10.68,10.71,29362
2016-04-05 09:30:00,10.64,10.67,10.59,10.66,27962
2016-04-06 09:30:00,10.52,10.57,10.48,10.54,72198
2016-04-07 09:30:00,10.56,10.57,10.51,10.54,35690
2016-04-08 09:30:00,10.67,10.67,10.59,10.66,12687
2016-04-11 09:30:00,10.67,10.68,10.59,10.67,25838
2016-04-12 09:30:00,10.55,10.55,10.5,10.54,15667
2016-04-13 09:30:00,10.63,10.63,10.49,10.5,32748
2016-04-14 09:30:00,10.64,10.64,10.58,10.59,16609
2016-04-15 09:30:00,10.55,10.6,10.51,10.6,18894
2016-04-18 09:30:00,10.58,10.7,10.58,10.64,22127
2016-04-19 09:30:00,10.69,10.69,10.62,10.65,31169
2016-04-20 09:30:00,10.69,10.69,10.56,10.63,52371
2016-04-21 09:30:00,10.65,10.71,10.58,10.6,38061
2016-04-22 09:30:00,10.52,10.64,10.52,10.64,29399
2016-04-25 09:30:00,10.55,10.57,10.51,10.57,16927
2016-04-26 09:30:00,10.53,10.63,10.53,10.6,30376
2016-04-27 09:30:00,10.52,10.73,10.3,10.52,120716
2016-04-28 09:30:00,10.41,10.52,10.38,10.46,91958
2016-04-29 09:30:00,10.52,10.58,10.5,10.53,78861
2016-05-02 09:30:00,10.58,10.67,10.58,10.61,51658
2016-05-03 09:30:00,10.57,10.6,10.5,10.51,27036
2016-05-04 09:30:00,10.55,10.66,10.55,10.66,65928
2016-05-05 09:30:00,10.66,10.67,10.64,10.65,14678
2016-05-06 09:30:00,10.6,10.63,10.49,10.63,54936
2016-05-09 09:30:00,10.76,10.85,10.73,10.82,32232
2016-05-10 09:30:00,10.8,10.84,10.76,10.82,18758
2016-05-11 09:30:00,10.87,10.87,10.81,10.82,11307
2016-05-12 09:30:00,10.77,10.84,10.75,10.8,23605
2016-05-13 09:30:00,10.94,10.94,10.82,10.82,34629
2016-05-16 09:30:00,10.78,10.84,10.74,10.78,24991
2016-05-17 09:30:00,10.72,10.76,10.69,10.75,69599
2016-05-18 09:30:00,10.69,10.76,10.67,10.73,95218
2016-05-19 09:30:00,10.7,10.83,10.69,10.74,65328
2016-05-20 09:30:00,10.9,10.92,10.78,10.84,57970
2016-05-23 09:30:00,10.91,10.95,10.9,10.91,14716
2016-05-24 09:30:00,10.89,11.05,10.89,11.04,50724
2016-05-25 09:30:00,11.18,11.19,11.12,11.12,34404
2016-05-26 09:30:00,11.07,11.1,11.07,11.09,20315
2016-05-27 09:30:00,11.1,11.17,11.1,11.16,15124
2016-05-31 09:30:00,11.24,11.24,11.14,11.16,516955
2016-06-01 09:30:00,11.17,11.27,11.15,11.19,59917
2016-06-02 09:30:00,11.25,11.36,11.25,11.32,37427
2016-06-03 09:30:00,11.31,11.31,11.24,11.24,16185
2016-06-06 09:30:00,11.33,11.38,11.25,11.3,34898
2016-06-07 09:30:00,11.37,11.43,11.37,11.4,27390
2016-06-08 09:30:00,11.33,11.38,11.29,11.35,150410
2016-06-09 09:30:00,11.27,11.33,11.25,11.31,12186
2016-06-10 09:30:00,11.27,11.32,11.23,11.25,27278
2016-06-13 09:30:00,11.24,11.26,11.21,11.24,14724
2016-06-14 09:30:00,11.15,11.19,11.11,11.18,40916
2016-06-15 09:30:00,11.17,11.18,11.11,11.17,36158
2016-06-16 09:30:00,11.05,11.09,11.0,11.03,33157
2016-06-17 09:30:00,11.14,11.18,11.04,11.05,277522
2016-06-20 09:30:00,11.07,11.16,11.06,11.1,37917
2016-06-21 09:30:00,11.07,11.08,11.01,11.06,31682
2016-06-22 09:30:00,11.08,11.11,11.05,11.08,35879
2016-06-23 09:30:00,11.17,11.23,11.12,11.18,24317
2016-06-24 09:30:00,10.76,10.87,10.66,10.84,44438
2016-06-27 09:30:00,10.73,10.73,10.63,10.63,155786
2016-06-28 09:30:00,10.8,10.84,10.73,10.81,56589
2016-06-29 09:30:00,10.97,11.01,10.89,10.94,54946
2016-06-30 09:30:00,11.19,11.3,11.17,11.28,62017
2016-07-01 09:30:00,11.53,11.59,11.51,11.52,81691
2016-07-05 09:30:00,11.49,11.52,11.45,11.48,34488
2016-07-06 09:30:00,11.48,11.48,11.43,11.45,45827
2016-07-07 09:30:00,11.49,11.53,11.43,11.51,25160
2016-07-08 09:30:00,11.57,11.59,11.54,11.59,38419
2016-07-11 09:30:00,11.59,11.6,11.55,11.57,22473
2016-07-12 09:30:00,11.68,11.71,11.62,11.65,23778
2016-07-13 09:30:00,11.63,11.69,11.58,11.61,44162
2016-07-14 09:30:00,11.66,11.67,11.64,11.66,24259
