open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,175.14,175.69,173.69,175.5,34395
2016-01-05 09:30:00,175.71,177.29,173.94,176.36,37199
2016-01-06 09:30:00,174.23,177.09,173.28,175.17,28899
2016-01-07 09:30:00,169.79,171.14,169.79,170.62,31193
2016-01-08 09:30:00,169.23,169.81,168.08,168.46,28780
2016-01-11 09:30:00,166.66,168.0,164.8,165.0,14663
2016-01-12 09:30:00,165.4,167.01,164.77,165.86,47579
2016-01-13 09:30:00,167.35,168.6,166.57,166.78,31053
2016-01-14 09:30:00,161.41,161.95,159.38,159.39,32925
2016-01-15 09:30:00,158.6,158.82,156.78,157.31,111690
2016-01-19 09:30:00,161.95,162.38,160.35,161.72,38738
2016-01-20 09:30:00,157.72,158.82,156.96,157.64,22492
2016-01-21 09:30:00,158.33,159.11,157.86,158.69,28697
2016-01-22 09:30:00,161.72,162.62,159.33,160.86,45876
2016-01-25 09:30:00,158.89,159.27,157.07,157.37,31045
2016-01-26 09:30:00,158.06,158.85,156.94,158.29,23971
2016-01-27 09:30:00,159.82,159.9,158.77,158.77,12442
2016-01-28 09:30:00,160.6,161.68,160.31,160.62,27577
2016-01-29 09:30:00,160.8,162.17,159.8,161.5,63301
2016-02-01 09:30:00,148.55,155.74,148.53,153.97,412853
2016-02-02 09:30:00,152.87,152.87,147.1,151.62,113820
2016-02-03 09:30:00,151.84,152.04,150.79,151.04,50647
2016-02-04 09:30:00,153.0,155.37,151.53,155.36,31625
2016-02-05 09:30:00,156.57,156.57,153.98,154.98,59676
2016-02-08 09:30:00,152.72,152.79,151.75,152.15,24652
2016-02-09 09:30:00,151.64,154.2,151.25,153.1,22977
2016-02-10 09:30:00,152.22,152.79,151.0,152.53,36060
2016-02-11 09:30:00,148.81,152.12,148.41,151.69,35860
2016-02-12 09:30:00,151.7,153.06,148.95,152.47,28741
2016-02-16 09:30:00,155.85,155.98,154.82,154.92,23175
2016-02-17 09:30:00,158.79,160.31,158.79,160.09,32300
2016-02-18 09:30:00,160.14,161.99,159.46,161.71,49243
2016-02-19 09:30:00,161.14,161.14,159.52,160.59,81594
2016-02-22 09:30:00,161.8,163.97,161.68,162.34,24681
2016-02-23 09:30:00,162.78,164.71,162.78,164.25,21427
2016-02-24 09:30:00,160.52,160.76,159.36,159.99,18194
2016-02-25 09:30:00,161.67,162.59,160.67,160.75,21132
2016-02-26 09:30:00,162.34,162.48,161.41,161.62,25675
2016-02-29 09:30:00,160.53,160.74,157.56,160.23,39445
2016-03-01 09:30:00,159.57,160.29,159.17,159.51,24078
