open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,149.65,150.05,148.87,149.49,201168
2016-01-05 09:30:00,150.6,152.11,150.52,151.5,246035
2016-01-06 09:30:00,148.78,149.95,148.11,149.45,338189
2016-01-07 09:30:00,144.93,146.07,144.87,145.86,276367
2016-01-08 09:30:00,145.09,145.58,143.8,145.01,404736
2016-01-11 09:30:00,144.33,144.82,143.31,143.61,283301
2016-01-12 09:30:00,144.17,144.42,143.57,144.04,311484
2016-01-13 09:30:00,143.66,143.66,142.87,143.0,192063
2016-01-14 09:30:00,141.14,141.81,139.34,139.44,307474
2016-01-15 09:30:00,137.83,139.53,136.02,136.54,909530
2016-01-19 09:30:00,136.82,136.82,136.06,136.31,412673
2016-01-20 09:30:00,133.79,134.08,132.68,133.06,342177
2016-01-21 09:30:00,134.41,134.98,133.95,134.35,302916
2016-01-22 09:30:00,137.77,138.45,137.18,137.86,266786
2016-01-25 09:30:00,136.39,136.5,135.6,136.17,224463
2016-01-26 09:30:00,135.14,136.02,135.01,135.76,284251
2016-01-27 09:30:00,135.71,137.82,134.28,136.47,546156
2016-01-28 09:30:00,136.74,138.16,136.14,137.66,304291
2016-01-29 09:30:00,137.66,138.92,137.64,138.34,262643
2016-02-01 09:30:00,137.94,138.59,136.98,137.4,256969
2016-02-02 09:30:00,136.53,137.31,135.52,136.71,550187
2016-02-03 09:30:00,136.25,136.85,135.17,135.36,415922
2016-02-04 09:30:00,136.41,139.19,136.31,139.08,323474
2016-02-05 09:30:00,139.49,139.62,138.54,139.35,200594
2016-02-08 09:30:00,138.39,138.48,137.29,137.55,297102
2016-02-09 09:30:00,136.67,137.2,136.15,137.05,280022
2016-02-10 09:30:00,138.64,139.81,138.42,139.57,161473
2016-02-11 09:30:00,135.3,137.13,134.77,136.74,252275
2016-02-12 09:30:00,134.66,135.91,134.52,135.64,262776
2016-02-16 09:30:00,138.39,138.64,136.23,136.23,393122
2016-02-17 09:30:00,138.39,139.77,138.27,139.64,191432
2016-02-18 09:30:00,141.32,141.64,140.78,141.35,293719
2016-02-19 09:30:00,141.0,141.18,139.84,140.2,456813
2016-02-22 09:30:00,142.34,142.93,141.83,142.9,278351
2016-02-23 09:30:00,147.19,147.51,145.69,146.21,774713
2016-02-24 09:30:00,145.41,148.63,145.41,148.08,911091
2016-02-25 09:30:00,149.88,151.38,149.51,150.83,650411
2016-02-26 09:30:00,159.68,160.47,157.03,158.57,1183968
2016-02-29 09:30:00,155.49,157.79,155.46,156.4,435405
2016-03-01 09:30:00,146.97,151.28,146.94,150.47,1438688
2016-03-02 09:30:00,151.23,152.72,150.66,152.7,358692
2016-03-03 09:30:00,151.93,152.59,151.93,152.27,181998
2016-03-04 09:30:00,153.48,153.71,152.86,153.45,168035
2016-03-07 09:30:00,154.04,154.44,153.29,154.23,421041
2016-03-08 09:30:00,153.56,154.63,153.41,153.72,167659
2016-03-09 09:30:00,155.32,155.45,154.52,154.68,164782
2016-03-10 09:30:00,154.32,155.0,153.55,154.22,166611
2016-03-11 09:30:00,155.09,155.85,154.87,155.41,235897
2016-03-14 09:30:00,153.69,154.44,153.67,153.95,193132
2016-03-15 09:30:00,153.31,153.83,153.05,153.12,110207
2016-03-16 09:30:00,153.53,154.62,153.21,154.62,92431
2016-03-17 09:30:00,156.12,156.39,155.43,156.37,127774
2016-03-18 09:30:00,158.33,159.56,157.78,159.55,1386385
2016-03-21 09:30:00,158.1,158.59,158.0,158.24,87544
2016-03-22 09:30:00,157.73,157.83,156.9,157.62,165858
2016-03-23 09:30:00,157.63,158.03,156.85,157.39,165304
2016-03-24 09:30:00,156.64,157.46,156.4,157.07,144244
2016-03-28 09:30:00,157.94,158.46,157.68,158.05,117965
2016-03-29 09:30:00,157.04,157.22,156.53,157.22,105436
2016-03-30 09:30:00,160.9,161.19,159.79,160.14,223529
2016-03-31 09:30:00,159.72,160.27,159.12,159.28,130607
2016-04-01 09:30:00,158.62,159.31,157.71,158.05,235044
2016-04-04 09:30:00,160.07,160.52,159.28,160.52,272140
2016-04-05 09:30:00,159.21,159.6,158.54,159.21,262323
2016-04-06 09:30:00,158.94,159.83,157.11,157.38,275995
2016-04-07 09:30:00,159.55,160.3,159.07,160.3,187605
2016-04-08 09:30:00,161.99,163.15,161.86,163.15,162886
2016-04-11 09:30:00,162.12,163.19,161.37,163.01,201084
2016-04-12 09:30:00,163.25,164.69,163.25,164.02,158497
2016-04-13 09:30:00,164.86,166.65,164.85,166.28,184735
2016-04-14 09:30:00,167.58,167.58,166.71,166.82,136951
2016-04-15 09:30:00,166.73,167.83,166.31,167.56,296915
2016-04-18 09:30:00,166.98,167.38,166.03,167.37,110591
2016-04-19 09:30:00,168.53,169.63,168.37,169.3,226076
2016-04-20 09:30:00,168.29,168.87,167.89,168.04,214420
2016-04-21 09:30:00,168.69,168.76,168.04,168.31,168841
2016-04-22 09:30:00,168.85,169.67,168.68,169.06,125868
2016-04-25 09:30:00,167.88,167.88,166.79,166.94,209528
2016-04-26 09:30:00,168.66,168.8,167.64,167.96,225423
2016-04-27 09:30:00,169.68,170.88,168.41,168.98,532247
2016-04-28 09:30:00,167.81,167.87,165.48,166.28,381045
2016-04-29 09:30:00,165.23,167.48,165.23,166.59,191879
2016-05-02 09:30:00,165.8,167.42,165.25,165.72,246782
2016-05-03 09:30:00,165.12,165.76,163.36,163.92,335821
2016-05-04 09:30:00,161.81,162.44,160.19,160.86,431427
2016-05-05 09:30:00,161.38,161.56,160.66,161.1,136966
2016-05-06 09:30:00,159.98,161.41,159.29,160.68,221873
