open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,48.25,48.39,47.94,48.37,1647402
2016-01-05 09:30:00,48.35,48.35,48.1,48.28,1079427
2016-01-06 09:30:00,47.42,47.87,47.41,47.78,977963
2016-01-07 09:30:00,46.78,47.42,46.19,47.3,1830253
2016-01-08 09:30:00,47.22,47.48,46.82,47.46,1538029
2016-01-11 09:30:00,46.88,47.17,46.86,46.92,976855
2016-01-12 09:30:00,48.02,48.76,47.85,48.49,1668230
2016-01-13 09:30:00,49.18,49.35,48.91,48.92,1355733
2016-01-14 09:30:00,47.51,47.79,47.1,47.22,1397820
2016-01-15 09:30:00,47.06,47.85,46.87,47.53,2809774
2016-01-19 09:30:00,48.2,48.85,48.12,48.63,2141542
2016-01-20 09:30:00,47.38,47.67,46.82,46.89,1801880
2016-01-21 09:30:00,47.6,48.18,47.43,47.74,2200568
2016-01-22 09:30:00,47.33,48.08,47.22,47.79,8404378
2016-01-25 09:30:00,48.52,48.85,48.36,48.47,2146342
2016-01-26 09:30:00,47.61,48.02,47.53,47.88,1356483
2016-01-27 09:30:00,48.42,48.49,47.95,47.95,1112933
2016-01-28 09:30:00,47.94,48.06,47.74,48.02,1222216
2016-01-29 09:30:00,49.15,49.62,49.05,49.46,1577038
2016-02-01 09:30:00,49.89,50.02,49.57,49.88,1208126
2016-02-02 09:30:00,50.06,50.25,50.01,50.13,1182930
2016-02-03 09:30:00,50.24,50.44,49.46,49.55,1022600
2016-02-04 09:30:00,48.97,49.06,47.86,48.19,1448022
2016-02-05 09:30:00,47.94,48.03,46.99,47.04,2177611
2016-02-08 09:30:00,44.02,44.02,43.43,43.74,4065544
2016-02-09 09:30:00,43.89,45.34,43.88,45.18,1838520
2016-02-10 09:30:00,45.62,45.91,45.39,45.91,1231136
2016-02-11 09:30:00,44.47,45.14,44.19,45.05,1754540
2016-02-12 09:30:00,45.85,45.96,45.42,45.58,1111521
2016-02-16 09:30:00,46.86,46.91,46.31,46.66,1783067
2016-02-17 09:30:00,46.79,46.79,46.34,46.59,1224695
2016-02-18 09:30:00,47.5,47.51,46.76,47.22,1177505
