open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,78.33,79.16,77.67,78.05,450636
2016-01-05 09:30:00,77.92,78.74,77.92,78.17,172773
2016-01-06 09:30:00,76.41,76.81,76.37,76.53,134277
2016-01-07 09:30:00,73.9,75.65,73.9,75.4,183741
2016-01-08 09:30:00,73.97,74.51,73.87,74.42,216486
2016-01-11 09:30:00,73.82,74.24,73.32,73.4,147432
2016-01-12 09:30:00,74.23,75.17,73.99,74.89,233859
2016-01-13 09:30:00,75.44,75.44,74.76,74.76,88821
2016-01-14 09:30:00,74.61,74.85,73.48,73.68,333108
2016-01-15 09:30:00,72.6,73.45,72.22,72.74,372402
2016-01-19 09:30:00,74.12,74.26,73.72,73.98,259956
2016-01-20 09:30:00,73.15,73.35,72.37,72.74,519357
2016-01-21 09:30:00,74.64,75.37,73.03,74.07,536724
2016-01-22 09:30:00,75.63,77.21,75.21,77.14,337845
2016-01-25 09:30:00,75.43,76.01,74.96,75.12,222687
2016-01-26 09:30:00,74.83,75.63,74.45,74.89,205392
2016-01-27 09:30:00,75.93,76.22,75.51,76.2,138387
2016-01-28 09:30:00,74.64,77.7,74.08,77.62,1363818
2016-01-29 09:30:00,76.33,78.77,76.24,78.76,346086
2016-02-01 09:30:00,76.1,77.48,74.83,77.07,490500
2016-02-02 09:30:00,77.13,77.66,76.39,76.47,102039
2016-02-03 09:30:00,75.38,77.03,75.38,76.02,265068
2016-02-04 09:30:00,78.13,78.32,77.28,78.28,204828
2016-02-05 09:30:00,78.75,79.16,78.61,79.06,161160
2016-02-08 09:30:00,77.1,77.7,76.85,77.3,177798
2016-02-09 09:30:00,74.94,76.41,74.82,76.15,248499
2016-02-10 09:30:00,77.32,77.65,77.1,77.58,55005
2016-02-11 09:30:00,75.42,75.62,74.5,75.33,249111
2016-02-12 09:30:00,76.37,76.57,75.72,76.19,66336
2016-02-16 09:30:00,78.86,79.12,77.86,77.87,126726
2016-02-17 09:30:00,79.69,80.23,79.56,79.68,104793
2016-02-18 09:30:00,78.86,78.96,78.32,78.47,137448
2016-02-19 09:30:00,77.46,77.63,76.95,77.47,131769
2016-02-22 09:30:00,78.63,78.92,78.43,78.69,135288
2016-02-23 09:30:00,78.6,79.03,77.8,78.37,160059
2016-02-24 09:30:00,76.95,77.17,76.64,77.16,74013
2016-02-25 09:30:00,79.51,80.29,78.73,78.96,157092
2016-02-26 09:30:00,81.54,82.4,81.23,82.34,248808
2016-02-29 09:30:00,83.18,83.76,82.76,83.6,192501
2016-03-01 09:30:00,83.04,83.88,83.04,83.54,138402
2016-03-02 09:30:00,85.0,85.46,84.3,84.5,175560
2016-03-03 09:30:00,84.34,84.68,83.61,83.93,248796
2016-03-04 09:30:00,83.1,83.43,82.66,82.75,135609
2016-03-07 09:30:00,84.02,84.78,83.96,84.6,112314
2016-03-08 09:30:00,83.68,84.31,83.16,83.16,176571
2016-03-09 09:30:00,84.62,85.04,84.12,84.9,89031
2016-03-10 09:30:00,84.55,86.63,84.44,86.46,415104
2016-03-11 09:30:00,86.41,87.27,86.19,86.95,302154
2016-03-14 09:30:00,86.81,87.08,86.43,86.43,121974
2016-03-15 09:30:00,86.0,86.31,85.82,86.12,113412
2016-03-16 09:30:00,86.82,87.03,86.34,86.73,144738
2016-03-17 09:30:00,87.4,87.78,86.98,87.09,191934
2016-03-18 09:30:00,87.76,87.95,87.44,87.75,656307
2016-03-21 09:30:00,87.75,88.04,84.98,85.09,2659104
2016-03-22 09:30:00,83.41,85.29,83.36,84.43,409158
2016-03-23 09:30:00,86.03,86.03,85.5,85.91,243606
2016-03-24 09:30:00,86.01,86.48,85.88,86.09,138321
2016-03-28 09:30:00,86.43,86.59,86.04,86.43,130602
2016-03-29 09:30:00,86.25,86.71,85.94,86.57,123912
2016-03-30 09:30:00,87.69,87.75,86.6,86.6,98337
2016-03-31 09:30:00,86.72,87.18,86.4,86.57,70026
2016-04-01 09:30:00,86.33,86.48,85.98,86.32,108792
2016-04-04 09:30:00,87.95,87.95,87.26,87.28,129585
2016-04-05 09:30:00,86.67,87.4,86.67,87.4,103443
2016-04-06 09:30:00,87.4,88.11,87.15,87.73,121890
2016-04-07 09:30:00,88.49,89.55,88.2,89.09,393192
2016-04-08 09:30:00,89.9,90.36,89.78,90.22,140427
2016-04-11 09:30:00,90.68,91.19,90.59,91.12,250383
2016-04-12 09:30:00,89.94,90.46,89.94,90.38,154302
2016-04-13 09:30:00,91.17,91.61,91.0,91.55,197808
2016-04-14 09:30:00,90.6,90.81,90.55,90.67,110304
2016-04-15 09:30:00,90.08,90.88,89.98,90.87,246984
2016-04-18 09:30:00,90.39,90.82,90.09,90.09,116388
2016-04-19 09:30:00,90.89,91.0,90.47,90.76,130551
2016-04-20 09:30:00,91.24,91.24,90.73,91.16,82893
2016-04-21 09:30:00,92.53,94.36,91.7,92.09,510231
2016-04-22 09:30:00,91.05,91.61,90.2,90.39,334278
2016-04-25 09:30:00,90.96,91.32,90.74,91.16,256161
2016-04-26 09:30:00,91.58,91.82,91.3,91.56,269847
2016-04-27 09:30:00,91.7,91.75,90.7,90.9,314976
2016-04-28 09:30:00,90.59,90.89,90.1,90.45,347670
2016-04-29 09:30:00,88.37,88.49,87.48,87.48,123960
2016-05-02 09:30:00,87.36,87.88,86.34,87.73,382203
2016-05-03 09:30:00,88.02,88.03,87.49,87.53,95412
2016-05-04 09:30:00,87.94,87.95,87.52,87.9,73989
2016-05-05 09:30:00,88.56,88.94,88.25,88.27,70350
2016-05-06 09:30:00,88.14,88.48,87.99,88.12,69945
2016-05-09 09:30:00,88.19,89.01,88.19,88.89,108960
2016-05-10 09:30:00,89.4,90.38,89.4,90.21,113775
2016-05-11 09:30:00,90.52,90.52,89.62,89.8,137157
2016-05-12 09:30:00,90.66,90.95,90.27,90.47,127314
2016-05-13 09:30:00,90.29,90.97,90.09,90.38,119103
2016-05-16 09:30:00,89.93,90.67,89.82,90.48,91584
2016-05-17 09:30:00,90.43,91.06,90.43,91.04,178335
2016-05-18 09:30:00,89.39,89.45,88.82,89.03,99648
2016-05-19 09:30:00,89.13,89.42,88.7,88.8,100329
2016-05-20 09:30:00,88.81,89.35,88.62,89.2,179412
2016-05-23 09:30:00,89.02,89.4,88.54,88.89,104619
2016-05-24 09:30:00,89.05,89.71,87.99,89.11,363843
2016-05-25 09:30:00,90.04,90.13,89.45,89.45,165741
2016-05-26 09:30:00,89.17,89.78,88.62,88.62,146202
2016-05-27 09:30:00,88.47,89.35,88.4,88.97,148014
2016-05-31 09:30:00,89.5,90.04,89.1,89.44,122520
2016-06-01 09:30:00,89.01,89.21,88.62,89.06,96099
2016-06-02 09:30:00,89.19,89.19,88.6,88.83,241854
2016-06-03 09:30:00,89.11,89.26,88.42,88.73,143292
2016-06-06 09:30:00,89.28,89.64,89.12,89.35,119136
2016-06-07 09:30:00,89.94,90.33,89.91,90.16,46878
2016-06-08 09:30:00,90.04,90.24,89.77,89.98,97707
2016-06-09 09:30:00,89.81,90.24,89.59,90.07,74181
2016-06-10 09:30:00,89.33,89.88,88.9,89.61,189540
2016-06-13 09:30:00,89.33,89.36,88.83,89.01,59292
2016-06-14 09:30:00,88.93,89.26,88.6,88.92,210399
2016-06-15 09:30:00,89.82,89.97,89.29,89.36,80058
2016-06-16 09:30:00,88.93,88.98,88.21,88.21,78378
2016-06-17 09:30:00,88.2,89.02,88.2,88.58,247248
2016-06-20 09:30:00,89.18,89.61,88.96,89.31,135204
2016-06-21 09:30:00,89.0,89.11,88.6,88.69,65499
2016-06-22 09:30:00,88.05,88.46,88.05,88.34,139227
2016-06-23 09:30:00,89.65,89.81,89.08,89.27,172941
2016-06-24 09:30:00,86.43,87.54,86.24,87.33,331455
2016-06-27 09:30:00,86.21,86.86,86.0,86.42,182937
2016-06-28 09:30:00,86.58,88.15,86.56,88.02,292701
2016-06-29 09:30:00,89.53,89.72,89.22,89.22,120879
2016-06-30 09:30:00,89.26,89.26,88.5,88.8,126438
2016-07-01 09:30:00,90.11,90.35,89.95,90.06,94314
2016-07-05 09:30:00,89.55,89.81,89.43,89.79,92214
2016-07-06 09:30:00,89.67,91.26,89.49,91.23,349149
2016-07-07 09:30:00,91.73,92.49,91.73,92.41,231654
2016-07-08 09:30:00,93.16,93.59,93.04,93.1,164646
2016-07-11 09:30:00,93.38,94.14,92.91,93.59,354381
2016-07-12 09:30:00,94.39,94.83,94.29,94.3,113535
2016-07-13 09:30:00,93.7,94.03,93.67,93.99,92652
2016-07-14 09:30:00,94.5,94.5,93.96,93.98,84582
2016-07-15 09:30:00,93.7,93.71,93.44,93.65,208878
2016-07-18 09:30:00,93.33,93.99,93.15,93.95,161694
2016-07-19 09:30:00,94.33,94.47,93.81,93.81,118815
2016-07-20 09:30:00,94.94,94.94,94.5,94.74,229719
2016-07-21 09:30:00,91.39,91.88,90.5,91.55,1794357
2016-07-22 09:30:00,89.29,90.16,89.29,89.99,752754
2016-07-25 09:30:00,90.19,90.24,89.82,89.99,163422
2016-07-26 09:30:00,90.51,90.65,90.37,90.49,116415
2016-07-27 09:30:00,89.9,90.16,89.54,89.73,116913
2016-07-28 09:30:00,89.52,90.71,89.08,90.68,203322
2016-07-29 09:30:00,91.28,91.34,90.97,91.13,140235
2016-08-01 09:30:00,90.65,91.71,90.65,91.4,154044
2016-08-02 09:30:00,91.28,91.37,91.04,91.29,92757
2016-08-03 09:30:00,92.7,92.76,91.63,92.3,186822
2016-08-04 09:30:00,92.56,92.7,91.99,91.99,48792
2016-08-05 09:30:00,92.14,92.28,91.82,91.89,144846
2016-08-08 09:30:00,92.13,92.35,91.45,91.46,187575
2016-08-09 09:30:00,91.26,91.53,91.03,91.19,89478
2016-08-10 09:30:00,90.72,90.87,90.45,90.45,68298
2016-08-11 09:30:00,91.3,91.46,90.79,90.95,218724
2016-08-12 09:30:00,90.44,90.64,90.16,90.38,123459
2016-08-15 09:30:00,91.03,91.16,90.68,91.13,99600
2016-08-16 09:30:00,90.8,91.16,90.32,90.32,62991
2016-08-17 09:30:00,89.12,89.24,88.79,88.9,208314
2016-08-18 09:30:00,88.32,88.67,88.3,88.61,107298
2016-08-19 09:30:00,88.35,88.49,87.85,88.1,168132
2016-08-22 09:30:00,88.17,89.04,88.07,89.04,165420
2016-08-23 09:30:00,88.83,89.62,88.43,89.04,191541
2016-08-24 09:30:00,89.01,89.23,88.63,88.88,138447
2016-08-25 09:30:00,87.89,88.36,87.85,88.12,95874
2016-08-26 09:30:00,88.06,88.59,88.06,88.42,74727
2016-08-29 09:30:00,87.81,88.45,87.8,87.82,125799
2016-08-30 09:30:00,87.89,88.34,87.89,87.98,234990
2016-08-31 09:30:00,88.16,88.22,87.69,87.8,85053
2016-09-01 09:30:00,87.04,87.47,87.04,87.09,117645
2016-09-02 09:30:00,87.71,87.97,87.5,87.76,136161
2016-09-06 09:30:00,88.27,88.27,87.71,87.83,92460
2016-09-07 09:30:00,87.41,87.81,87.24,87.61,158319
2016-09-08 09:30:00,87.6,87.6,87.02,87.39,223563
2016-09-09 09:30:00,86.32,86.48,85.81,85.86,224166
2016-09-12 09:30:00,83.97,84.93,83.94,84.6,321204
2016-09-13 09:30:00,85.62,85.83,85.19,85.26,221724
2016-09-14 09:30:00,84.35,84.87,84.29,84.85,185919
2016-09-15 09:30:00,84.85,85.08,84.47,84.64,94638
2016-09-16 09:30:00,84.83,84.96,84.18,84.21,362367
2016-09-19 09:30:00,83.7,84.6,83.48,84.18,347439
2016-09-20 09:30:00,84.47,84.94,84.32,84.85,352440
2016-09-21 09:30:00,84.47,84.72,84.42,84.44,125013
2016-09-22 09:30:00,85.8,86.16,85.47,85.73,138117
2016-09-23 09:30:00,86.05,86.34,85.94,86.32,252294
2016-09-26 09:30:00,86.66,86.91,86.57,86.84,88035
2016-09-27 09:30:00,85.95,86.65,85.54,86.65,108162
2016-09-28 09:30:00,87.18,87.18,86.53,86.6,216321
2016-09-29 09:30:00,86.55,86.77,86.08,86.14,102375
2016-09-30 09:30:00,85.61,85.91,84.6,84.62,178425
2016-10-03 09:30:00,84.75,84.85,84.44,84.58,134301
2016-10-04 09:30:00,84.79,84.99,84.63,84.68,138042
2016-10-05 09:30:00,83.5,83.86,83.12,83.73,151833
2016-10-06 09:30:00,83.45,83.85,83.12,83.16,229080
2016-10-07 09:30:00,83.29,83.29,80.29,82.48,1674585
2016-10-10 09:30:00,83.4,84.46,83.26,83.27,421797
2016-10-11 09:30:00,82.82,82.94,82.2,82.46,218670
2016-10-12 09:30:00,82.16,82.58,82.06,82.58,119205
2016-10-13 09:30:00,82.06,82.4,81.82,81.82,118155
2016-10-14 09:30:00,83.27,83.31,82.8,83.26,96729
2016-10-17 09:30:00,82.46,82.72,82.46,82.64,99327
2016-10-18 09:30:00,83.33,83.4,82.72,82.85,94878
2016-10-19 09:30:00,83.16,83.31,82.63,82.78,324219
2016-10-20 09:30:00,83.65,84.87,83.62,84.6,451083
2016-10-21 09:30:00,84.05,84.46,84.03,84.29,206961
2016-10-24 09:30:00,85.55,85.55,84.96,85.08,335934
2016-10-25 09:30:00,78.49,79.24,75.77,76.79,3236883
2016-10-26 09:30:00,76.03,77.38,75.87,77.0,515853
2016-10-27 09:30:00,76.57,76.8,75.78,75.92,592050
2016-10-28 09:30:00,75.9,76.39,75.79,76.16,242619
2016-10-31 09:30:00,75.64,75.99,75.25,75.31,281367
2016-11-01 09:30:00,75.51,75.51,74.95,74.95,258462
2016-11-02 09:30:00,74.01,74.21,73.84,73.9,319617
2016-11-03 09:30:00,74.93,75.27,74.77,74.89,207435
2016-11-04 09:30:00,74.57,75.07,74.48,74.85,148050
2016-11-07 09:30:00,75.52,75.81,75.28,75.72,454530
2016-11-08 09:30:00,76.42,77.31,76.33,76.85,477153
2016-11-09 09:30:00,76.7,77.68,76.2,77.27,756519
2016-11-10 09:30:00,79.31,80.5,79.3,80.09,334569
2016-11-11 09:30:00,81.06,81.5,80.97,81.0,144498
2016-11-14 09:30:00,80.61,80.95,80.24,80.39,374559
2016-11-15 09:30:00,81.28,81.81,80.67,80.96,457650
2016-11-16 09:30:00,81.44,81.59,80.96,81.02,283206
2016-11-17 09:30:00,81.12,81.52,80.75,81.21,206016
2016-11-18 09:30:00,80.95,81.36,80.94,81.19,293040
2016-11-21 09:30:00,80.15,80.68,80.15,80.44,173151
2016-11-22 09:30:00,81.96,82.55,81.87,82.37,171210
2016-11-23 09:30:00,82.64,83.17,82.64,82.96,182790
2016-11-25 09:30:00,83.83,84.36,83.74,84.23,157098
2016-11-28 09:30:00,84.34,84.72,84.1,84.57,211755
2016-11-29 09:30:00,84.53,85.27,83.99,85.05,136461
2016-11-30 09:30:00,85.24,85.36,84.23,84.24,281574
2016-12-01 09:30:00,83.02,83.03,82.32,82.68,385062
2016-12-02 09:30:00,81.92,81.93,81.3,81.44,220398
2016-12-05 09:30:00,81.56,81.89,81.21,81.81,204042
2016-12-06 09:30:00,82.28,82.72,81.87,81.88,87078
2016-12-07 09:30:00,81.91,82.48,81.68,81.72,77070
2016-12-08 09:30:00,82.79,83.1,82.58,82.6,140985
2016-12-09 09:30:00,83.53,84.07,83.41,84.0,316779
2016-12-12 09:30:00,83.59,83.59,82.55,82.66,277719
2016-12-13 09:30:00,83.95,83.99,83.52,83.65,133521
2016-12-14 09:30:00,83.09,83.27,82.63,82.67,144552
2016-12-15 09:30:00,82.13,82.75,82.11,82.67,149010
2016-12-16 09:30:00,82.37,82.96,82.37,82.45,306582
2016-12-19 09:30:00,83.76,83.9,83.12,83.24,167448
2016-12-20 09:30:00,82.57,82.71,81.7,81.83,354393
2016-12-21 09:30:00,82.25,83.19,81.82,83.1,220008
2016-12-22 09:30:00,83.94,84.04,83.44,83.72,169680
2016-12-23 09:30:00,83.42,83.46,82.81,82.81,61650
