open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,70.72,70.73,70.7,70.71,522062
2016-01-05 09:30:00,70.68,70.68,70.67,70.68,64822
2016-01-06 09:30:00,70.72,70.72,70.69,70.72,243127
2016-01-07 09:30:00,70.76,70.76,70.73,70.73,154440
2016-01-08 09:30:00,70.76,70.77,70.74,70.76,199842
2016-01-11 09:30:00,70.77,70.78,70.75,70.77,385572
2016-01-12 09:30:00,70.77,70.78,70.76,70.77,162168
2016-01-13 09:30:00,70.81,70.82,70.79,70.81,84454
2016-01-14 09:30:00,70.86,70.88,70.84,70.87,194605
2016-01-15 09:30:00,70.93,70.96,70.93,70.94,88485
2016-01-19 09:30:00,70.92,70.93,70.9,70.92,121452
2016-01-20 09:30:00,70.97,70.99,70.96,70.98,264238
2016-01-21 09:30:00,70.99,71.0,70.99,70.99,79548
2016-01-22 09:30:00,70.91,70.94,70.91,70.91,233507
2016-01-25 09:30:00,70.93,70.94,70.93,70.94,173818
2016-01-26 09:30:00,70.94,70.96,70.94,70.95,120945
2016-01-27 09:30:00,70.94,70.96,70.94,70.95,79559
2016-01-28 09:30:00,70.99,71.01,70.97,70.99,110791
2016-01-29 09:30:00,71.07,71.07,71.04,71.05,54004
2016-02-01 09:30:00,71.06,71.06,71.04,71.04,417901
2016-02-02 09:30:00,71.07,71.1,71.07,71.09,126782
2016-02-03 09:30:00,71.12,71.14,71.12,71.14,183895
2016-02-04 09:30:00,71.15,71.17,71.15,71.17,90666
2016-02-05 09:30:00,71.12,71.15,71.12,71.15,81585
2016-02-08 09:30:00,71.2,71.22,71.18,71.2,88785
2016-02-09 09:30:00,71.26,71.26,71.21,71.23,93444
2016-02-10 09:30:00,71.15,71.18,71.15,71.16,67777
2016-02-11 09:30:00,71.32,71.32,71.27,71.27,104362
2016-02-12 09:30:00,71.24,71.25,71.22,71.25,101514
2016-02-16 09:30:00,71.18,71.19,71.17,71.18,99475
2016-02-17 09:30:00,71.12,71.14,71.12,71.12,104611
2016-02-18 09:30:00,71.14,71.16,71.14,71.15,43626
2016-02-19 09:30:00,71.17,71.17,71.16,71.17,61751
2016-02-22 09:30:00,71.13,71.16,71.13,71.14,94252
2016-02-23 09:30:00,71.16,71.16,71.14,71.15,52893
2016-02-24 09:30:00,71.21,71.26,71.21,71.25,53857
2016-02-25 09:30:00,71.2,71.22,71.2,71.21,110463
2016-02-26 09:30:00,71.16,71.17,71.15,71.16,114934
2016-02-29 09:30:00,71.09,71.13,71.09,71.12,343053
2016-03-01 09:30:00,71.16,71.16,71.14,71.15,166939
2016-03-02 09:30:00,71.04,71.05,71.04,71.05,357778
2016-03-03 09:30:00,71.05,71.06,71.05,71.05,140295
2016-03-04 09:30:00,71.04,71.07,71.04,71.07,157325
2016-03-07 09:30:00,71.0,71.01,71.0,71.0,58238
2016-03-08 09:30:00,71.03,71.04,71.02,71.03,79142
2016-03-09 09:30:00,71.02,71.02,71.01,71.02,52052
2016-03-10 09:30:00,70.98,71.0,70.98,70.98,50866
2016-03-11 09:30:00,70.96,70.96,70.95,70.95,93430
2016-03-14 09:30:00,70.95,70.95,70.94,70.95,37870
2016-03-15 09:30:00,70.96,70.98,70.94,70.94,50593
2016-03-16 09:30:00,70.89,70.91,70.89,70.9,180290
2016-03-17 09:30:00,71.06,71.09,71.06,71.07,158551
2016-03-18 09:30:00,71.1,71.12,71.09,71.12,88723
2016-03-21 09:30:00,71.09,71.1,71.07,71.08,54912
2016-03-22 09:30:00,71.1,71.11,71.09,71.1,72719
2016-03-23 09:30:00,71.05,71.07,71.05,71.06,36270
2016-03-24 09:30:00,71.1,71.1,71.09,71.1,45001
2016-03-28 09:30:00,71.08,71.1,71.08,71.1,427252
2016-03-29 09:30:00,71.1,71.13,71.1,71.12,75161
2016-03-30 09:30:00,71.21,71.21,71.17,71.18,116769
2016-03-31 09:30:00,71.25,71.25,71.23,71.23,83423
2016-04-01 09:30:00,71.21,71.24,71.21,71.22,414915
2016-04-04 09:30:00,71.23,71.25,71.23,71.23,679055
2016-04-05 09:30:00,71.27,71.28,71.26,71.27,129141
2016-04-06 09:30:00,71.28,71.28,71.26,71.27,52556
2016-04-07 09:30:00,71.28,71.29,71.28,71.28,85502
2016-04-08 09:30:00,71.28,71.31,71.28,71.3,27721
2016-04-11 09:30:00,71.29,71.3,71.28,71.29,49653
2016-04-12 09:30:00,71.28,71.29,71.27,71.29,71510
2016-04-13 09:30:00,71.26,71.26,71.24,71.25,84919
2016-04-14 09:30:00,71.26,71.26,71.23,71.24,66514
2016-04-15 09:30:00,71.26,71.27,71.26,71.26,53446
2016-04-18 09:30:00,71.28,71.29,71.27,71.28,49995
2016-04-19 09:30:00,71.29,71.29,71.28,71.28,162762
2016-04-20 09:30:00,71.28,71.28,71.26,71.27,28809
2016-04-21 09:30:00,71.19,71.22,71.19,71.22,237949
2016-04-22 09:30:00,71.2,71.21,71.19,71.2,691249
