open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,52.64,52.92,52.23,52.79,1256250
2016-01-05 09:30:00,52.53,52.93,52.14,52.3,1019742
2016-01-06 09:30:00,51.48,52.55,51.34,52.39,1293827
2016-01-07 09:30:00,50.2,51.23,50.19,50.79,1075427
2016-01-08 09:30:00,50.29,50.63,50.03,50.1,1074053
2016-01-11 09:30:00,49.44,49.5,48.82,49.05,926678
2016-01-12 09:30:00,49.98,50.1,49.57,49.66,1061119
2016-01-13 09:30:00,49.71,50.07,49.57,49.79,1309343
2016-01-14 09:30:00,48.51,48.78,47.31,47.32,1750781
2016-01-15 09:30:00,47.03,48.38,47.01,47.73,1934396
2016-01-19 09:30:00,47.84,48.35,47.41,48.01,1172132
2016-01-20 09:30:00,46.53,46.73,46.04,46.12,1648690
2016-01-21 09:30:00,46.39,46.92,45.75,45.75,1267573
2016-01-22 09:30:00,48.9,50.21,48.45,48.94,4013751
2016-01-25 09:30:00,48.59,49.81,48.39,49.56,1559262
2016-01-26 09:30:00,48.8,49.02,48.07,48.13,1277778
2016-01-27 09:30:00,49.52,49.91,48.94,49.45,847559
2016-01-28 09:30:00,51.79,52.09,51.35,51.89,2349551
2016-01-29 09:30:00,53.04,53.49,52.73,53.33,1877407
2016-02-01 09:30:00,53.9,54.23,53.76,53.89,1374652
2016-02-02 09:30:00,52.54,53.04,52.23,52.83,1625291
2016-02-03 09:30:00,53.08,53.23,52.53,52.71,1209277
2016-02-04 09:30:00,54.21,55.23,53.81,53.86,1323721
2016-02-05 09:30:00,52.83,53.02,52.32,52.82,1610266
2016-02-08 09:30:00,51.56,52.19,51.04,51.92,1528505
2016-02-09 09:30:00,52.23,52.65,52.16,52.43,708661
2016-02-10 09:30:00,51.41,51.67,51.07,51.6,1004600
2016-02-11 09:30:00,50.25,51.45,50.1,51.39,1125328
2016-02-12 09:30:00,52.57,53.39,52.57,52.89,1163788
2016-02-16 09:30:00,54.46,54.51,53.73,54.22,1184930
2016-02-17 09:30:00,55.38,55.71,55.09,55.43,1018450
2016-02-18 09:30:00,56.28,56.28,55.58,55.64,909916
2016-02-19 09:30:00,54.93,55.4,54.91,55.28,1593721
2016-02-22 09:30:00,56.35,56.73,56.16,56.53,1048236
2016-02-23 09:30:00,56.41,57.07,56.34,56.68,897292
2016-02-24 09:30:00,54.11,54.32,53.75,53.98,1340754
2016-02-25 09:30:00,54.9,55.11,54.43,54.61,826225
2016-02-26 09:30:00,56.19,56.19,55.67,55.7,971475
2016-02-29 09:30:00,55.22,55.35,54.93,54.99,572355
2016-03-01 09:30:00,55.3,55.81,55.17,55.7,948024
2016-03-02 09:30:00,56.25,56.26,55.56,55.57,1015805
2016-03-03 09:30:00,56.48,56.85,56.37,56.54,714423
2016-03-04 09:30:00,57.33,57.41,56.43,56.62,896730
2016-03-07 09:30:00,56.72,57.09,56.04,56.1,997662
2016-03-08 09:30:00,57.44,57.8,56.67,56.67,786350
2016-03-09 09:30:00,56.29,56.31,55.5,55.73,648830
2016-03-10 09:30:00,55.58,55.89,55.27,55.71,804947
2016-03-11 09:30:00,56.41,56.77,56.34,56.64,1184588
2016-03-14 09:30:00,56.46,56.77,56.02,56.23,603844
2016-03-15 09:30:00,55.32,55.65,55.04,55.1,751547
2016-03-16 09:30:00,56.24,56.36,55.61,55.73,745741
2016-03-17 09:30:00,56.57,56.64,56.13,56.34,724091
2016-03-18 09:30:00,57.25,57.25,56.82,57.12,2541903
2016-03-21 09:30:00,55.24,56.61,55.09,56.39,1278668
2016-03-22 09:30:00,56.64,57.25,56.52,57.2,735986
2016-03-23 09:30:00,55.75,56.08,55.55,55.79,614220
2016-03-24 09:30:00,54.89,55.25,54.73,55.02,892415
2016-03-28 09:30:00,55.64,55.74,55.3,55.65,794948
2016-03-29 09:30:00,54.64,55.04,54.45,54.65,1055988
2016-03-30 09:30:00,56.23,56.43,55.93,56.31,1033042
2016-03-31 09:30:00,56.7,57.02,56.57,56.99,455528
2016-04-01 09:30:00,55.24,55.87,55.23,55.64,1109557
2016-04-04 09:30:00,55.29,55.5,54.88,55.46,1589944
2016-04-05 09:30:00,54.96,55.21,54.93,55.08,1048797
2016-04-06 09:30:00,55.72,56.0,54.88,54.98,1113497
