open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,2.388,2.422,2.368,2.368,354840
2016-01-05 09:30:00,2.374,2.407,2.347,2.347,205190
2016-01-06 09:30:00,2.278,2.278,2.254,2.269,222620
2016-01-07 09:30:00,2.25,2.266,2.223,2.225,1088970
2016-01-08 09:30:00,2.208,2.243,2.208,2.22,429010
2016-01-11 09:30:00,2.204,2.246,2.188,2.19,632570
2016-01-12 09:30:00,2.449,2.845,2.447,2.773,7802650
2016-01-13 09:30:00,2.75,2.766,2.696,2.696,1358390
2016-01-14 09:30:00,2.511,2.511,2.333,2.344,1158730
2016-01-15 09:30:00,2.35,2.418,2.302,2.413,1112990
2016-01-19 09:30:00,2.477,2.478,2.408,2.429,440420
2016-01-20 09:30:00,2.426,2.433,2.376,2.383,496110
2016-01-21 09:30:00,2.539,2.539,2.469,2.476,654100
2016-01-22 09:30:00,2.538,2.57,2.514,2.556,457420
2016-01-25 09:30:00,2.595,2.615,2.561,2.611,480210
2016-01-26 09:30:00,2.62,2.638,2.582,2.607,468980
2016-01-27 09:30:00,2.722,2.722,2.646,2.705,906060
2016-01-28 09:30:00,2.761,2.8,2.701,2.74,1023740
2016-01-29 09:30:00,2.791,3.026,2.75,3.024,5989010
2016-02-01 09:30:00,2.962,3.004,2.911,2.941,583390
2016-02-02 09:30:00,3.071,3.107,3.001,3.103,1393040
2016-02-03 09:30:00,3.1,3.144,3.08,3.138,478490
2016-02-04 09:30:00,3.172,3.242,3.172,3.224,844390
2016-02-05 09:30:00,3.2,3.236,3.133,3.188,797740
2016-02-08 09:30:00,3.168,3.191,3.135,3.185,724860
2016-02-09 09:30:00,3.128,3.188,3.112,3.154,533040
2016-02-10 09:30:00,3.105,3.14,3.03,3.095,356070
2016-02-11 09:30:00,2.968,3.003,2.938,2.983,385510
2016-02-12 09:30:00,2.988,3.065,2.954,2.954,569790
2016-02-16 09:30:00,3.022,3.108,3.02,3.095,874240
2016-02-17 09:30:00,3.149,3.196,3.124,3.195,880730
2016-02-18 09:30:00,3.233,3.291,3.211,3.286,562960
2016-02-19 09:30:00,3.244,3.254,3.184,3.185,463810
2016-02-22 09:30:00,3.243,3.296,3.175,3.284,415960
2016-02-23 09:30:00,3.228,3.228,3.18,3.218,216630
2016-02-24 09:30:00,3.158,3.159,3.089,3.09,273940
2016-02-25 09:30:00,3.23,3.23,3.187,3.188,162000
2016-02-26 09:30:00,3.236,3.268,3.07,3.257,537790
2016-02-29 09:30:00,3.188,3.238,3.17,3.233,714410
2016-03-01 09:30:00,3.27,3.3,3.22,3.269,455510
2016-03-02 09:30:00,3.309,3.315,3.278,3.291,383450
2016-03-03 09:30:00,3.313,3.345,3.292,3.328,513710
2016-03-04 09:30:00,3.361,3.373,3.322,3.346,388440
2016-03-07 09:30:00,3.254,3.26,3.226,3.254,347850
2016-03-08 09:30:00,3.25,3.253,3.123,3.123,470960
2016-03-09 09:30:00,3.15,3.174,3.137,3.164,230550
2016-03-10 09:30:00,3.162,3.226,3.153,3.186,359570
2016-03-11 09:30:00,3.227,3.245,3.107,3.199,262800
2016-03-14 09:30:00,3.202,3.205,3.185,3.193,115520
2016-03-15 09:30:00,3.22,3.22,3.165,3.181,360190
2016-03-16 09:30:00,3.163,3.215,3.156,3.2,129950
2016-03-17 09:30:00,3.238,3.269,3.222,3.265,130360
2016-03-18 09:30:00,3.323,3.353,3.287,3.325,1281930
2016-03-21 09:30:00,3.285,3.285,3.233,3.236,361240
2016-03-22 09:30:00,3.274,3.298,3.268,3.291,160840
2016-03-23 09:30:00,3.29,3.297,3.217,3.222,201490
2016-03-24 09:30:00,3.207,3.207,3.168,3.179,286490
2016-03-28 09:30:00,3.272,3.272,3.24,3.26,112100
2016-03-29 09:30:00,3.264,3.272,3.22,3.271,194690
2016-03-30 09:30:00,3.405,3.419,3.36,3.37,229410
2016-03-31 09:30:00,3.347,3.386,3.326,3.385,126150
2016-04-01 09:30:00,3.363,3.365,3.309,3.343,242770
2016-04-04 09:30:00,3.455,3.46,3.386,3.403,204200
2016-04-05 09:30:00,3.384,3.435,3.361,3.425,306820
2016-04-06 09:30:00,3.415,3.416,3.352,3.368,441960
2016-04-07 09:30:00,3.393,3.424,3.357,3.364,263960
2016-04-08 09:30:00,3.399,3.409,3.367,3.367,122230
2016-04-11 09:30:00,3.352,3.384,3.348,3.38,275500
2016-04-12 09:30:00,3.318,3.34,3.284,3.295,263920
2016-04-13 09:30:00,3.329,3.34,3.307,3.316,194720
2016-04-14 09:30:00,3.394,3.394,3.298,3.304,121750
2016-04-15 09:30:00,2.854,2.939,2.761,2.928,5934860
2016-04-18 09:30:00,2.672,2.7,2.61,2.698,1059220
2016-04-19 09:30:00,2.732,2.775,2.715,2.774,424870
2016-04-20 09:30:00,2.784,2.828,2.775,2.819,275270
2016-04-21 09:30:00,2.793,2.793,2.769,2.77,155960
2016-04-22 09:30:00,2.78,2.846,2.779,2.846,391570
2016-04-25 09:30:00,2.836,2.854,2.822,2.848,300220
2016-04-26 09:30:00,2.86,2.885,2.86,2.872,151180
