open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,44.85,45.11,44.0,44.93,49752
2016-01-05 09:30:00,45.15,45.9989,44.55,45.1,39140
2016-01-06 09:30:00,44.37,44.86,44.06,44.35,53801
2016-01-07 09:30:00,43.5,43.99,43.4,43.89,71107
2016-01-08 09:30:00,43.46,43.65,43.37,43.62,33066
2016-01-11 09:30:00,42.63,42.72,42.29,42.38,62958
2016-01-12 09:30:00,42.44,43.02,42.23,42.25,75574
2016-01-13 09:30:00,42.11,42.17,41.78,41.81,54156
2016-01-14 09:30:00,40.83,40.85,40.2,40.41,122467
2016-01-15 09:30:00,40.12,40.72,40.11,40.41,71003
2016-01-19 09:30:00,41.26,41.36,40.87,41.03,49009
2016-01-20 09:30:00,39.98,40.41,39.66,40.11,93827
2016-01-21 09:30:00,40.96,41.08,39.26,40.57,67750
2016-01-22 09:30:00,41.14,41.44,40.88,41.43,67461
2016-01-25 09:30:00,41.55,41.958,41.21,41.37,37247
2016-01-26 09:30:00,41.33,41.54,41.12,41.39,42253
2016-01-27 09:30:00,41.55,42.0,41.49,41.6,31572
2016-01-28 09:30:00,41.76,41.9,41.62,41.73,37520
2016-01-29 09:30:00,41.87,42.32,41.86,42.275,73159
2016-02-01 09:30:00,42.62,42.84,42.3,42.7,39652
2016-02-02 09:30:00,42.23,43.415,41.205,42.2,34386
2016-02-03 09:30:00,42.55,42.94,42.36,42.43,50492
2016-02-04 09:30:00,42.75,43.34,42.62,43.03,92318
2016-02-05 09:30:00,42.65,42.65,41.73,41.75,56614
2016-02-08 09:30:00,41.14,41.6,40.36,40.74,126307
2016-02-09 09:30:00,40.76,41.6,40.66,41.2,72187
2016-02-10 09:30:00,41.32,42.03,41.29,41.9,135565
2016-02-11 09:30:00,40.77,41.75,40.77,41.35,57190
2016-02-12 09:30:00,42.19,42.19,40.42,41.43,87315
2016-02-16 09:30:00,42.43,42.83,42.255,42.53,85162
2016-02-17 09:30:00,43.04,43.36,42.79,43.14,61222
2016-02-18 09:30:00,46.2,46.4,44.62,45.27,375591
2016-02-19 09:30:00,43.94,44.385,43.46,43.82,91961
2016-02-22 09:30:00,44.93,45.215,44.59,44.65,65479
2016-02-23 09:30:00,44.69,45.25,44.2407,44.49,113445
2016-02-24 09:30:00,43.63,43.895,43.4,43.44,88259
2016-02-25 09:30:00,44.22,44.75,44.1,44.15,44289
2016-02-26 09:30:00,44.76,45.07,44.71,45.03,83646
2016-02-29 09:30:00,45.16,45.34,45.085,45.19,35302
2016-03-01 09:30:00,44.7,45.29,44.5501,45.11,109001
2016-03-02 09:30:00,45.67,45.78,44.9901,45.6,42739
2016-03-03 09:30:00,45.66,45.88,45.3701,45.66,44673
2016-03-04 09:30:00,45.88,45.92,45.53,45.87,48912
2016-03-07 09:30:00,45.95,46.24,45.43,46.09,62256
2016-03-08 09:30:00,45.79,46.06,45.39,45.83,39127
2016-03-09 09:30:00,45.85,46.02,45.64,45.96,47385
2016-03-10 09:30:00,45.86,46.17,45.86,46.1,41113
2016-03-11 09:30:00,45.87,45.98,45.72,45.85,25652
2016-03-14 09:30:00,46.0,46.185,45.97,46.04,26459
2016-03-15 09:30:00,45.92,46.25,45.9,46.23,32819
2016-03-16 09:30:00,46.17,46.73,46.17,46.69,58248
2016-03-17 09:30:00,46.83,47.07,45.96,47.0,43833
2016-03-18 09:30:00,47.02,47.5,46.16,47.49,445760
