open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,30.77,30.94,30.66,30.79,648814
2016-01-05 09:30:00,31.13,31.22,30.91,30.94,423466
2016-01-06 09:30:00,31.2,31.27,31.04,31.12,713412
2016-01-07 09:30:00,31.16,31.46,31.07,31.46,838981
2016-01-08 09:30:00,31.16,31.35,31.04,31.3,679577
2016-01-11 09:30:00,31.03,31.17,30.95,31.07,553835
2016-01-12 09:30:00,31.09,31.11,30.5,30.58,686940
2016-01-13 09:30:00,30.86,31.0,30.83,30.88,684275
2016-01-14 09:30:00,31.03,31.53,31.02,31.47,760564
2016-01-15 09:30:00,30.95,31.32,30.89,31.15,1266732
2016-01-19 09:30:00,31.31,31.72,31.28,31.65,854777
2016-01-20 09:30:00,31.62,31.82,31.56,31.66,822423
2016-01-21 09:30:00,31.35,31.53,31.04,31.07,443911
2016-01-22 09:30:00,31.02,31.15,30.87,30.92,633942
2016-01-25 09:30:00,31.44,31.51,31.29,31.48,480119
2016-01-26 09:30:00,31.51,31.83,31.49,31.76,636932
2016-01-27 09:30:00,31.44,31.61,31.32,31.61,275545
2016-01-28 09:30:00,31.56,31.81,31.33,31.76,432236
2016-01-29 09:30:00,32.21,32.37,32.17,32.22,539403
2016-02-01 09:30:00,32.45,32.98,32.35,32.71,1451239
2016-02-02 09:30:00,32.85,32.98,32.76,32.88,512470
2016-02-03 09:30:00,32.76,33.31,32.69,33.12,1793666
2016-02-04 09:30:00,32.15,32.15,31.46,31.89,1516990
2016-02-05 09:30:00,31.84,31.92,31.33,31.52,1219667
2016-02-08 09:30:00,31.94,32.31,31.86,31.93,668988
2016-02-09 09:30:00,32.21,32.68,32.01,32.15,889449
2016-02-10 09:30:00,32.42,32.64,32.19,32.21,786366
2016-02-11 09:30:00,32.31,32.69,32.22,32.4,908021
2016-02-12 09:30:00,32.18,32.35,31.89,32.31,569389
2016-02-16 09:30:00,32.18,32.22,31.88,32.04,589265
2016-02-17 09:30:00,32.24,32.29,31.86,31.91,440440
2016-02-18 09:30:00,32.05,32.29,31.99,32.19,523388
2016-02-19 09:30:00,32.61,32.76,32.34,32.57,1024349
2016-02-22 09:30:00,32.57,32.72,32.49,32.71,318063
2016-02-23 09:30:00,32.83,32.99,32.69,32.75,400142
2016-02-24 09:30:00,32.74,33.11,32.72,32.97,339087
2016-02-25 09:30:00,32.81,33.07,32.77,33.02,507589
2016-02-26 09:30:00,33.08,33.09,32.9,32.94,553187
2016-02-29 09:30:00,32.37,32.44,32.26,32.39,570680
2016-03-01 09:30:00,32.41,32.59,32.4,32.5,408426
2016-03-02 09:30:00,31.85,31.91,31.22,31.54,1083522
2016-03-03 09:30:00,32.28,32.3,31.87,31.87,486912
2016-03-04 09:30:00,32.1,32.24,32.01,32.2,668468
2016-03-07 09:30:00,32.55,32.62,32.23,32.44,788093
2016-03-08 09:30:00,32.63,32.73,32.47,32.65,335797
2016-03-09 09:30:00,32.95,33.32,32.87,33.27,738903
2016-03-10 09:30:00,33.3,33.45,33.19,33.42,514673
2016-03-11 09:30:00,33.49,33.52,33.4,33.43,495063
2016-03-14 09:30:00,33.45,33.48,33.3,33.4,391353
2016-03-15 09:30:00,33.31,33.65,33.26,33.58,524652
2016-03-16 09:30:00,33.66,33.67,33.35,33.5,413512
2016-03-17 09:30:00,33.82,33.94,33.77,33.84,599754
2016-03-18 09:30:00,34.17,34.2,33.89,34.09,3594943
2016-03-21 09:30:00,33.86,33.89,33.6,33.83,445996
2016-03-22 09:30:00,33.83,33.94,33.7,33.94,361997
2016-03-23 09:30:00,33.73,33.73,33.57,33.7,216081
2016-03-24 09:30:00,33.97,34.18,33.92,34.11,319060
2016-03-28 09:30:00,34.08,34.31,34.08,34.1,658537
2016-03-29 09:30:00,34.03,34.15,33.91,34.07,378426
2016-03-30 09:30:00,34.33,34.34,34.08,34.24,344948
2016-03-31 09:30:00,34.33,34.43,34.27,34.36,394140
2016-04-01 09:30:00,34.53,34.72,34.49,34.56,424079
2016-04-04 09:30:00,34.67,34.72,34.42,34.5,349275
2016-04-05 09:30:00,34.39,34.58,34.23,34.32,673443
2016-04-06 09:30:00,33.93,33.97,33.62,33.66,489213
2016-04-07 09:30:00,33.72,34.04,33.66,34.01,360243
2016-04-08 09:30:00,34.05,34.19,34.01,34.05,282538
2016-04-11 09:30:00,33.91,34.19,33.91,33.97,359316
2016-04-12 09:30:00,33.89,33.95,33.8,33.83,299117
2016-04-13 09:30:00,34.1,34.13,33.79,33.8,319670
2016-04-14 09:30:00,33.77,33.9,33.7,33.83,319854
2016-04-15 09:30:00,33.83,33.94,33.77,33.93,457924
2016-04-18 09:30:00,33.99,34.01,33.77,33.79,265019
2016-04-19 09:30:00,34.18,34.23,33.99,34.08,378366
2016-04-20 09:30:00,34.17,34.27,33.98,34.01,251318
2016-04-21 09:30:00,33.36,33.37,32.92,33.1,727157
2016-04-22 09:30:00,32.97,33.15,32.97,33.06,379369
2016-04-25 09:30:00,32.98,33.09,32.83,32.83,444169
2016-04-26 09:30:00,32.93,33.14,32.9,33.06,367520
2016-04-27 09:30:00,33.24,33.24,32.89,33.11,546065
2016-04-28 09:30:00,33.04,33.38,32.94,33.25,477920
2016-04-29 09:30:00,33.38,33.46,33.03,33.36,388144
2016-05-02 09:30:00,33.68,33.79,33.61,33.66,331210
2016-05-03 09:30:00,33.76,33.96,33.7,33.85,448326
2016-05-04 09:30:00,33.74,33.98,33.74,33.95,430519
2016-05-05 09:30:00,34.29,34.57,34.27,34.29,905262
2016-05-06 09:30:00,32.95,33.11,32.78,32.9,5251217
2016-05-09 09:30:00,33.26,33.49,33.23,33.4,938474
2016-05-10 09:30:00,33.53,33.58,33.29,33.41,738207
2016-05-11 09:30:00,33.72,33.76,33.48,33.57,632244
2016-05-12 09:30:00,33.74,33.89,33.45,33.82,569482
2016-05-13 09:30:00,33.97,34.02,33.68,33.9,538414
2016-05-16 09:30:00,33.73,33.8,33.57,33.74,579565
2016-05-17 09:30:00,33.69,33.82,33.55,33.59,627047
2016-05-18 09:30:00,33.12,33.2,32.85,32.98,530433
2016-05-19 09:30:00,32.52,32.68,32.29,32.54,548133
2016-05-20 09:30:00,33.1,33.13,32.8,32.88,974388
2016-05-23 09:30:00,33.06,33.1,32.84,32.98,289100
2016-05-24 09:30:00,32.75,32.86,32.68,32.73,593796
2016-05-25 09:30:00,32.83,32.83,32.67,32.79,532612
2016-05-26 09:30:00,32.86,33.1,32.86,33.08,325390
2016-05-27 09:30:00,33.38,33.46,33.33,33.38,312184
2016-05-31 09:30:00,33.16,33.32,33.11,33.22,387143
2016-06-01 09:30:00,33.51,33.66,33.42,33.59,479351
2016-06-02 09:30:00,33.57,33.64,33.49,33.51,602348
2016-06-03 09:30:00,33.7,33.99,33.7,33.94,746499
2016-06-06 09:30:00,34.15,34.18,33.95,34.12,685270
2016-06-07 09:30:00,34.0,34.08,33.95,34.05,449699
2016-06-08 09:30:00,33.9,34.07,33.9,34.02,395818
2016-06-09 09:30:00,34.18,34.34,34.16,34.34,659213
2016-06-10 09:30:00,34.36,34.68,34.36,34.57,799944
2016-06-13 09:30:00,34.58,34.77,34.51,34.65,829933
2016-06-14 09:30:00,34.58,34.64,34.4,34.54,388886
2016-06-15 09:30:00,34.76,34.85,34.66,34.69,395785
2016-06-16 09:30:00,34.52,34.73,34.4,34.51,615051
2016-06-17 09:30:00,34.68,34.7,34.43,34.56,1307460
2016-06-20 09:30:00,34.58,34.68,34.35,34.51,684822
2016-06-21 09:30:00,34.57,34.58,34.36,34.43,381913
2016-06-22 09:30:00,34.56,34.57,34.39,34.51,311253
2016-06-23 09:30:00,34.47,34.56,34.4,34.42,314182
2016-06-24 09:30:00,34.41,34.91,34.33,34.89,1202604
2016-06-27 09:30:00,34.74,35.11,34.68,35.08,896350
2016-06-28 09:30:00,35.29,35.41,34.99,35.27,936804
2016-06-29 09:30:00,35.49,35.59,35.36,35.42,586722
2016-06-30 09:30:00,35.47,35.56,35.4,35.45,914295
2016-07-01 09:30:00,36.44,36.58,36.34,36.49,998599
2016-07-05 09:30:00,36.47,36.73,36.47,36.7,1097197
2016-07-06 09:30:00,36.77,36.94,36.56,36.61,911330
2016-07-07 09:30:00,36.83,36.83,36.48,36.58,806192
2016-07-08 09:30:00,36.22,36.24,35.9,36.07,780361
2016-07-11 09:30:00,36.54,36.56,36.25,36.39,866202
2016-07-12 09:30:00,36.27,36.37,35.96,35.96,877890
2016-07-13 09:30:00,36.0,36.06,35.88,35.88,529272
2016-07-14 09:30:00,36.16,36.36,35.97,36.28,1788519
2016-07-15 09:30:00,36.4,36.52,36.25,36.26,1097715
2016-07-18 09:30:00,36.37,36.49,36.36,36.4,390919
2016-07-19 09:30:00,36.37,36.47,36.24,36.32,269759
2016-07-20 09:30:00,36.37,36.47,36.22,36.27,328563
2016-07-21 09:30:00,36.08,36.16,35.99,36.14,530578
2016-07-22 09:30:00,36.51,36.75,36.46,36.68,537451
2016-07-25 09:30:00,36.95,37.02,36.86,36.86,317611
2016-07-26 09:30:00,36.97,37.0,36.89,36.96,423253
2016-07-27 09:30:00,36.7,36.94,36.37,36.4,997925
2016-07-28 09:30:00,36.29,36.29,35.95,36.02,918900
2016-07-29 09:30:00,36.11,36.26,36.08,36.14,388805
2016-08-01 09:30:00,36.23,36.39,36.18,36.3,397672
2016-08-02 09:30:00,36.24,36.32,36.03,36.14,490870
2016-08-03 09:30:00,36.21,36.26,35.84,36.03,530412
2016-08-04 09:30:00,35.99,36.06,35.94,36.01,359025
2016-08-05 09:30:00,35.93,36.01,35.72,35.77,433698
2016-08-08 09:30:00,35.74,35.79,35.55,35.75,366173
2016-08-09 09:30:00,35.76,35.81,35.63,35.69,567026
2016-08-10 09:30:00,35.87,36.02,35.82,35.85,562508
2016-08-11 09:30:00,35.86,35.87,35.63,35.67,643827
2016-08-12 09:30:00,35.95,36.06,35.94,35.98,515453
2016-08-15 09:30:00,35.86,35.96,35.74,35.76,425078
2016-08-16 09:30:00,35.23,35.24,34.84,34.93,668318
2016-08-17 09:30:00,34.32,34.5,34.26,34.29,4044261
2016-08-18 09:30:00,35.23,35.48,35.17,35.41,576451
2016-08-19 09:30:00,35.7,35.7,35.56,35.67,1160501
2016-08-22 09:30:00,35.69,35.77,35.62,35.66,293547
2016-08-23 09:30:00,35.66,35.82,35.63,35.73,415014
2016-08-24 09:30:00,35.33,35.42,35.25,35.27,357773
2016-08-25 09:30:00,35.55,35.62,35.45,35.58,386889
2016-08-26 09:30:00,35.56,35.76,35.54,35.71,358947
2016-08-29 09:30:00,35.3,35.3,35.04,35.2,436150
2016-08-30 09:30:00,35.1,35.33,35.03,35.03,330399
2016-08-31 09:30:00,34.92,35.05,34.84,35.0,424509
2016-09-01 09:30:00,35.11,35.18,34.95,34.99,408088
2016-09-02 09:30:00,35.08,35.53,35.05,35.43,620031
2016-09-06 09:30:00,35.57,35.94,35.51,35.56,917851
2016-09-07 09:30:00,35.74,35.81,35.59,35.72,464674
2016-09-08 09:30:00,35.81,35.91,35.71,35.85,659802
2016-09-09 09:30:00,35.69,35.75,35.35,35.38,599225
2016-09-12 09:30:00,34.8,35.09,34.8,35.06,636978
2016-09-13 09:30:00,35.48,35.54,35.29,35.32,587726
2016-09-14 09:30:00,35.22,35.38,35.14,35.29,589968
2016-09-15 09:30:00,35.13,35.25,35.06,35.21,502480
2016-09-16 09:30:00,35.37,35.38,35.14,35.26,3117079
2016-09-19 09:30:00,35.7,35.78,35.63,35.77,338116
2016-09-20 09:30:00,35.99,36.08,35.93,35.98,294812
2016-09-21 09:30:00,35.69,35.84,35.53,35.78,539520
2016-09-22 09:30:00,36.56,36.7,36.49,36.63,642214
2016-09-23 09:30:00,36.54,36.64,36.49,36.56,541234
2016-09-26 09:30:00,36.69,36.75,36.54,36.69,646991
2016-09-27 09:30:00,36.66,36.82,36.5,36.5,549421
2016-09-28 09:30:00,36.21,36.33,36.15,36.17,573419
2016-09-29 09:30:00,35.98,35.99,35.8,35.95,520950
2016-09-30 09:30:00,35.69,35.89,35.54,35.54,449100
2016-10-03 09:30:00,35.09,35.13,34.75,34.77,738303
2016-10-04 09:30:00,34.71,34.71,34.34,34.35,759073
2016-10-05 09:30:00,34.19,34.42,34.12,34.41,600302
2016-10-06 09:30:00,33.83,33.97,33.67,33.89,894716
2016-10-07 09:30:00,34.15,34.32,33.95,33.99,637873
2016-10-10 09:30:00,33.77,33.96,33.76,33.8,550546
2016-10-11 09:30:00,33.97,34.06,33.71,33.75,728785
2016-10-12 09:30:00,34.05,34.05,33.91,34.03,552505
2016-10-13 09:30:00,34.33,34.59,34.3,34.59,669154
2016-10-14 09:30:00,34.7,34.81,34.56,34.81,315109
2016-10-17 09:30:00,34.73,34.88,34.67,34.77,387502
2016-10-18 09:30:00,34.93,34.99,34.53,34.56,795208
2016-10-19 09:30:00,34.98,35.04,34.75,34.77,443581
2016-10-20 09:30:00,34.84,34.88,34.73,34.87,300408
