open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,1.534,1.544,1.519,1.529,1519755
2016-01-05 09:30:00,1.59,1.591,1.554,1.554,620355
2016-01-06 09:30:00,1.449,1.449,1.404,1.44,1316925
2016-01-07 09:30:00,1.294,1.339,1.28,1.324,1875735
2016-01-08 09:30:00,1.283,1.295,1.28,1.287,2499300
2016-01-11 09:30:00,1.215,1.246,1.215,1.223,946395
2016-01-12 09:30:00,1.256,1.277,1.253,1.261,987420
2016-01-13 09:30:00,1.246,1.271,1.243,1.264,695070
2016-01-14 09:30:00,1.14,1.148,1.099,1.102,1114365
2016-01-15 09:30:00,1.051,1.076,1.014,1.05,1937850
2016-01-19 09:30:00,1.088,1.105,1.071,1.077,1696635
2016-01-20 09:30:00,0.9967,1.027,0.9936,0.9997,1428390
2016-01-21 09:30:00,1.087,1.096,1.054,1.069,1302570
2016-01-22 09:30:00,1.163,1.189,1.163,1.177,2535300
2016-01-25 09:30:00,1.153,1.164,1.139,1.14,980925
2016-01-26 09:30:00,1.129,1.138,1.113,1.114,786240
2016-01-27 09:30:00,1.129,1.155,1.129,1.13,287715
2016-01-28 09:30:00,1.135,1.14,1.118,1.124,577035
2016-01-29 09:30:00,1.125,1.179,1.116,1.179,947160
2016-02-01 09:30:00,1.22,1.234,1.209,1.22,1293015
2016-02-02 09:30:00,1.224,1.224,1.168,1.175,2134095
2016-02-03 09:30:00,1.18,1.185,1.153,1.155,1507530
2016-02-04 09:30:00,1.155,1.172,1.146,1.172,788190
2016-02-05 09:30:00,1.195,1.195,1.146,1.147,3275340
2016-02-08 09:30:00,1.029,1.033,0.9967,1.005,2995470
2016-02-09 09:30:00,0.9626,1.019,0.9547,1.006,1527480
2016-02-10 09:30:00,1.015,1.015,0.9753,1.006,1432155
2016-02-11 09:30:00,0.9116,0.9353,0.9012,0.9341,2190930
2016-02-12 09:30:00,0.9705,0.9845,0.9292,0.9298,1517655
2016-02-16 09:30:00,1.043,1.073,1.029,1.061,2346405
2016-02-17 09:30:00,1.128,1.164,1.122,1.158,2477415
2016-02-18 09:30:00,1.212,1.213,1.195,1.198,1608945
2016-02-19 09:30:00,1.164,1.187,1.158,1.17,1231035
2016-02-22 09:30:00,1.223,1.254,1.221,1.247,1576710
2016-02-23 09:30:00,1.209,1.229,1.204,1.225,682485
2016-02-24 09:30:00,1.136,1.144,1.119,1.122,3195585
2016-02-25 09:30:00,1.243,1.245,1.215,1.215,1306560
2016-02-26 09:30:00,1.302,1.309,1.291,1.291,1564035
2016-02-29 09:30:00,1.313,1.325,1.295,1.314,3213810
2016-03-01 09:30:00,1.334,1.334,1.313,1.322,1688610
2016-03-02 09:30:00,1.395,1.412,1.378,1.409,1021605
2016-03-03 09:30:00,1.416,1.428,1.412,1.416,456975
2016-03-04 09:30:00,1.451,1.459,1.418,1.442,1337745
2016-03-07 09:30:00,1.431,1.459,1.42,1.439,1015830
2016-03-08 09:30:00,1.445,1.449,1.426,1.428,1133940
2016-03-09 09:30:00,1.4,1.407,1.381,1.394,744030
2016-03-10 09:30:00,1.437,1.465,1.423,1.465,985620
2016-03-11 09:30:00,1.475,1.502,1.471,1.498,1636650
2016-03-14 09:30:00,1.508,1.508,1.484,1.489,857565
2016-03-15 09:30:00,1.485,1.491,1.474,1.475,1327785
2016-03-16 09:30:00,1.48,1.496,1.465,1.49,1193865
2016-03-17 09:30:00,1.526,1.534,1.513,1.527,301905
2016-03-18 09:30:00,1.576,1.599,1.562,1.599,792090
2016-03-21 09:30:00,1.61,1.623,1.606,1.611,886665
2016-03-22 09:30:00,1.618,1.618,1.597,1.612,874365
2016-03-23 09:30:00,1.624,1.626,1.611,1.611,517020
2016-03-24 09:30:00,1.532,1.558,1.512,1.533,2743200
2016-03-28 09:30:00,1.589,1.589,1.541,1.545,767340
2016-03-29 09:30:00,1.546,1.548,1.519,1.546,1007940
2016-03-30 09:30:00,1.652,1.686,1.648,1.671,1557180
2016-03-31 09:30:00,1.655,1.666,1.646,1.65,914610
2016-04-01 09:30:00,1.595,1.623,1.588,1.609,617310
2016-04-04 09:30:00,1.674,1.674,1.652,1.666,447975
2016-04-05 09:30:00,1.588,1.614,1.574,1.614,1045335
2016-04-06 09:30:00,1.596,1.596,1.556,1.565,993945
2016-04-07 09:30:00,1.621,1.629,1.584,1.588,419610
2016-04-08 09:30:00,1.616,1.634,1.615,1.632,739875
2016-04-11 09:30:00,1.619,1.652,1.619,1.652,757500
2016-04-12 09:30:00,1.597,1.614,1.556,1.556,417390
2016-04-13 09:30:00,1.618,1.648,1.613,1.644,691275
2016-04-14 09:30:00,1.649,1.649,1.602,1.61,1180170
2016-04-15 09:30:00,1.657,1.657,1.621,1.634,304470
2016-04-18 09:30:00,1.58,1.603,1.58,1.6,425175
2016-04-19 09:30:00,1.618,1.626,1.581,1.586,1490460
2016-04-20 09:30:00,1.541,1.584,1.538,1.583,810465
2016-04-21 09:30:00,1.596,1.596,1.566,1.566,376215
2016-04-22 09:30:00,1.571,1.616,1.57,1.616,725190
2016-04-25 09:30:00,1.558,1.587,1.558,1.585,844695
2016-04-26 09:30:00,1.582,1.652,1.573,1.65,1664865
2016-04-27 09:30:00,1.563,1.655,1.56,1.6,882570
2016-04-28 09:30:00,1.616,1.638,1.593,1.62,749055
2016-04-29 09:30:00,1.514,1.514,1.409,1.411,2834820
