open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,116.62,117.11,116.1,116.63,80364
2016-01-05 09:30:00,117.17,118.14,116.95,117.62,78664
2016-01-06 09:30:00,118.2,118.93,118.2,118.5,72140
2016-01-07 09:30:00,117.12,117.5,116.9,117.32,166237
2016-01-08 09:30:00,116.41,117.08,116.31,116.45,91571
2016-01-11 09:30:00,113.65,113.9,113.48,113.63,91958
2016-01-12 09:30:00,113.78,113.81,112.57,112.77,87122
2016-01-13 09:30:00,112.85,113.29,112.13,113.28,75547
2016-01-14 09:30:00,112.14,112.9,111.9,112.13,60033
2016-01-15 09:30:00,110.7,111.69,110.61,110.69,299605
2016-01-19 09:30:00,112.92,113.64,112.53,113.11,93642
2016-01-20 09:30:00,112.2,112.39,110.79,110.79,128696
2016-01-21 09:30:00,110.95,111.54,109.34,109.52,128510
2016-01-22 09:30:00,112.37,112.94,112.02,112.77,108632
2016-01-25 09:30:00,113.75,114.77,112.4,114.68,115413
2016-01-26 09:30:00,112.69,114.41,112.33,114.19,90651
2016-01-27 09:30:00,115.05,115.05,113.77,114.07,87540
2016-01-28 09:30:00,113.41,113.71,112.84,113.65,57946
2016-01-29 09:30:00,114.88,115.11,107.79,110.47,669233
2016-02-01 09:30:00,112.67,114.83,112.6,113.91,188075
2016-02-02 09:30:00,114.19,114.39,112.48,112.73,146721
2016-02-03 09:30:00,113.45,113.87,113.0,113.08,98814
2016-02-04 09:30:00,114.11,114.26,112.95,113.98,85894
2016-02-05 09:30:00,113.59,113.59,112.86,112.9,43458
2016-02-08 09:30:00,112.04,112.04,109.68,109.8,137872
2016-02-09 09:30:00,109.25,109.99,108.57,108.59,191205
2016-02-10 09:30:00,108.85,111.35,108.85,111.15,128832
2016-02-11 09:30:00,109.34,110.13,109.1,109.69,116227
2016-02-12 09:30:00,112.34,113.1,111.89,112.45,126592
2016-02-16 09:30:00,113.7,113.7,112.42,113.18,181671
2016-02-17 09:30:00,115.12,116.06,114.88,115.52,158302
2016-02-18 09:30:00,114.24,114.92,114.18,114.85,64228
2016-02-19 09:30:00,115.13,115.64,114.17,114.93,256191
2016-02-22 09:30:00,116.73,117.86,116.73,117.29,75427
2016-02-23 09:30:00,115.98,117.41,115.79,117.01,80121
2016-02-24 09:30:00,115.73,116.59,115.52,115.58,77013
2016-02-25 09:30:00,116.78,117.68,116.31,117.13,105587
2016-02-26 09:30:00,117.61,117.8,116.9,117.64,86076
2016-02-29 09:30:00,116.85,117.19,116.15,116.15,78404
2016-03-01 09:30:00,116.84,117.51,116.8,117.4,72073
2016-03-02 09:30:00,119.05,119.88,118.84,119.01,181054
2016-03-03 09:30:00,120.14,120.84,118.93,119.06,131219
2016-03-04 09:30:00,120.82,120.86,119.63,119.67,64907
2016-03-07 09:30:00,121.3,121.59,120.81,121.23,81548
2016-03-08 09:30:00,121.87,122.16,121.27,122.08,66651
2016-03-09 09:30:00,121.35,121.91,120.87,121.7,54653
2016-03-10 09:30:00,121.9,122.42,121.71,122.2,80870
2016-03-11 09:30:00,122.81,122.84,121.38,121.88,187432
2016-03-14 09:30:00,122.65,123.45,121.43,121.46,99346
2016-03-15 09:30:00,121.52,121.84,121.33,121.61,47000
2016-03-16 09:30:00,121.73,121.76,121.28,121.54,79505
2016-03-17 09:30:00,122.98,123.57,122.52,123.48,83697
2016-03-18 09:30:00,125.19,125.58,124.6,125.18,392405
2016-03-21 09:30:00,126.03,126.03,125.24,125.65,66645
2016-03-22 09:30:00,124.06,124.37,123.84,124.12,92572
2016-03-23 09:30:00,123.15,123.78,123.07,123.31,79241
2016-03-24 09:30:00,122.72,123.27,122.58,122.71,59051
2016-03-28 09:30:00,123.68,123.9,123.31,123.5,35119
2016-03-29 09:30:00,124.83,125.61,124.65,125.35,99777
2016-03-30 09:30:00,127.2,127.2,126.47,126.75,69147
2016-03-31 09:30:00,126.31,126.68,126.12,126.59,105029
2016-04-01 09:30:00,127.33,127.34,126.72,126.89,85831
2016-04-04 09:30:00,128.27,128.87,127.96,128.36,53483
2016-04-05 09:30:00,127.37,127.7,126.54,126.8,92666
2016-04-06 09:30:00,126.43,126.69,126.24,126.28,50289
2016-04-07 09:30:00,127.71,127.92,127.21,127.39,82202
2016-04-08 09:30:00,126.98,127.49,126.8,127.29,63690
2016-04-11 09:30:00,127.39,127.5,126.88,127.09,52822
2016-04-12 09:30:00,127.19,127.19,126.6,126.99,44191
2016-04-13 09:30:00,128.1,128.1,127.32,127.77,73662
2016-04-14 09:30:00,127.22,127.37,126.04,126.66,47810
2016-04-15 09:30:00,127.24,127.26,126.2,126.83,205037
2016-04-18 09:30:00,127.48,127.67,127.05,127.2,46126
2016-04-19 09:30:00,127.49,128.27,127.49,127.93,65425
2016-04-20 09:30:00,126.47,126.81,125.38,126.09,666846
2016-04-21 09:30:00,124.67,125.24,124.0,124.57,129102
2016-04-22 09:30:00,122.36,123.3,122.36,123.18,123825
2016-04-25 09:30:00,123.5,124.07,123.21,124.04,112971
2016-04-26 09:30:00,125.19,125.32,123.74,124.3,214414
2016-04-27 09:30:00,125.38,125.84,125.14,125.42,151231
2016-04-28 09:30:00,124.52,125.66,124.28,125.32,47832
2016-04-29 09:30:00,124.26,124.56,123.5,123.8,70188
2016-05-02 09:30:00,124.13,125.33,124.13,124.83,70689
2016-05-03 09:30:00,124.49,125.1,124.43,125.1,84320
2016-05-04 09:30:00,124.49,125.3,124.49,125.3,53118
2016-05-05 09:30:00,126.55,127.13,126.14,126.69,91300
2016-05-06 09:30:00,127.54,127.75,127.23,127.46,47668
2016-05-09 09:30:00,129.05,129.31,128.19,129.14,94005
2016-05-10 09:30:00,130.88,131.34,130.51,131.33,126150
2016-05-11 09:30:00,130.74,130.74,128.42,128.53,297990
2016-05-12 09:30:00,124.95,125.06,123.01,123.69,423710
2016-05-13 09:30:00,123.98,123.98,120.48,121.64,635499
2016-05-16 09:30:00,121.35,122.5,120.69,122.29,190770
2016-05-17 09:30:00,122.35,122.98,120.56,120.78,119830
2016-05-18 09:30:00,120.18,120.51,119.24,119.78,145292
2016-05-19 09:30:00,118.53,119.45,118.09,118.16,248248
2016-05-20 09:30:00,120.35,120.66,119.81,120.56,296842
2016-05-23 09:30:00,120.68,121.48,120.18,120.54,132234
2016-05-24 09:30:00,121.58,123.13,121.37,123.13,108298
2016-05-25 09:30:00,122.42,122.49,120.26,120.39,241615
2016-05-26 09:30:00,121.2,121.47,120.4,121.24,60481
2016-05-27 09:30:00,121.75,122.48,121.61,122.37,55917
2016-05-31 09:30:00,122.72,122.8,121.06,121.63,153970
2016-06-01 09:30:00,121.38,122.81,121.38,122.81,90066
2016-06-02 09:30:00,121.8,122.44,121.31,121.45,88141
2016-06-03 09:30:00,122.96,123.33,122.02,122.87,117526
2016-06-06 09:30:00,123.45,124.36,123.45,123.93,123127
2016-06-07 09:30:00,122.67,123.38,122.66,123.26,35157
