open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,88.3,88.37,86.82,87.11,150264
2016-01-05 09:30:00,86.19,86.95,86.07,86.55,91110
2016-01-06 09:30:00,85.92,86.66,85.68,86.19,66679
2016-01-07 09:30:00,84.69,84.79,83.08,83.44,204404
2016-01-08 09:30:00,83.68,83.96,83.27,83.72,62150
2016-01-11 09:30:00,81.52,81.62,80.5,80.52,98374
2016-01-12 09:30:00,81.32,82.0,81.31,81.87,78799
2016-01-13 09:30:00,81.28,81.66,80.16,80.94,137141
2016-01-14 09:30:00,77.61,77.76,76.17,76.28,109603
2016-01-15 09:30:00,75.99,76.39,75.56,75.72,277350
2016-01-19 09:30:00,77.55,77.93,76.84,77.02,157406
2016-01-20 09:30:00,74.82,75.5,74.12,74.18,156033
2016-01-21 09:30:00,75.83,76.27,75.13,75.5,61525
2016-01-22 09:30:00,76.32,77.67,76.03,77.66,134522
2016-01-25 09:30:00,77.8,78.51,77.68,78.31,83993
2016-01-26 09:30:00,76.58,77.13,76.32,76.99,61717
2016-01-27 09:30:00,77.03,77.23,76.49,76.82,69013
2016-01-28 09:30:00,77.01,77.23,76.35,76.42,53726
2016-01-29 09:30:00,76.01,76.69,75.26,76.67,145463
2016-02-01 09:30:00,76.97,78.41,76.81,77.0,263345
2016-02-02 09:30:00,75.64,76.11,75.16,75.26,99991
2016-02-03 09:30:00,75.09,75.12,73.56,73.66,143632
2016-02-04 09:30:00,74.78,80.47,74.78,77.45,292792
2016-02-05 09:30:00,79.1,79.47,77.94,78.2,196668
2016-02-08 09:30:00,77.36,77.52,75.0,75.18,248600
2016-02-09 09:30:00,75.52,77.32,75.19,76.89,236985
2016-02-10 09:30:00,77.27,77.82,76.81,77.77,113623
2016-02-11 09:30:00,75.69,76.81,75.03,76.48,95186
2016-02-12 09:30:00,76.93,77.41,76.01,76.13,58069
2016-02-16 09:30:00,79.8,80.46,79.21,79.63,122616
2016-02-17 09:30:00,80.28,81.72,80.26,81.62,144494
2016-02-18 09:30:00,80.92,81.28,79.8,80.05,96422
2016-02-19 09:30:00,80.18,80.18,79.33,80.06,132194
2016-02-22 09:30:00,81.53,82.3,81.35,81.92,59344
2016-02-23 09:30:00,81.26,81.26,80.44,80.72,85580
2016-02-24 09:30:00,79.08,79.26,78.38,79.12,103103
2016-02-25 09:30:00,81.54,81.72,80.38,80.66,134121
2016-02-26 09:30:00,82.64,83.28,82.4,82.49,170352
2016-02-29 09:30:00,81.84,82.15,81.49,81.94,76541
2016-03-01 09:30:00,83.1,83.45,82.87,83.32,59820
2016-03-02 09:30:00,84.4,84.91,83.96,84.33,133965
2016-03-03 09:30:00,84.52,84.96,84.38,84.58,90793
2016-03-04 09:30:00,86.6,87.23,86.11,86.33,83139
2016-03-07 09:30:00,86.42,86.95,85.88,86.39,85684
2016-03-08 09:30:00,85.81,85.95,85.44,85.71,87507
2016-03-09 09:30:00,86.79,86.85,86.3,86.39,53175
2016-03-10 09:30:00,85.82,86.52,85.46,86.44,161049
2016-03-11 09:30:00,86.31,86.42,85.78,86.11,100161
2016-03-14 09:30:00,86.69,86.99,86.15,86.28,45192
2016-03-15 09:30:00,85.52,85.93,84.71,84.91,79706
2016-03-16 09:30:00,85.15,85.61,84.9,85.52,58010
2016-03-17 09:30:00,87.06,87.5,86.85,87.27,48640
2016-03-18 09:30:00,88.31,88.99,88.11,88.91,284754
2016-03-21 09:30:00,89.45,89.52,88.78,88.89,121953
2016-03-22 09:30:00,87.46,88.4,87.3,88.23,169302
2016-03-23 09:30:00,89.32,89.97,89.32,89.56,92077
2016-03-24 09:30:00,88.43,88.87,88.24,88.57,61921
2016-03-28 09:30:00,88.74,88.8,88.33,88.76,452675
2016-03-29 09:30:00,89.33,89.74,88.94,89.74,104564
2016-03-30 09:30:00,91.57,91.69,91.04,91.05,57892
2016-03-31 09:30:00,90.86,91.31,90.76,91.13,63011
2016-04-01 09:30:00,89.76,90.29,89.29,89.6,150489
2016-04-04 09:30:00,90.91,90.91,90.05,90.85,106965
2016-04-05 09:30:00,89.15,89.21,88.38,88.76,46177
2016-04-06 09:30:00,88.53,88.92,88.36,88.53,61232
2016-04-07 09:30:00,88.92,89.27,88.36,89.16,153734
2016-04-08 09:30:00,89.42,89.77,88.67,89.19,72634
2016-04-11 09:30:00,89.86,90.2,89.33,90.04,41464
2016-04-12 09:30:00,89.04,89.35,88.61,89.31,46906
2016-04-13 09:30:00,90.27,91.46,89.86,91.2,191152
2016-04-14 09:30:00,91.73,91.8,91.15,91.47,45127
2016-04-15 09:30:00,91.67,91.7,91.1,91.1,238186
2016-04-18 09:30:00,91.15,91.7,90.75,91.63,38047
2016-04-19 09:30:00,93.32,93.7,92.97,93.63,67392
2016-04-20 09:30:00,94.44,94.83,94.36,94.62,79674
2016-04-21 09:30:00,95.16,95.75,95.05,95.54,128758
2016-04-22 09:30:00,94.24,95.5,94.24,95.24,63557
2016-04-25 09:30:00,94.47,94.88,94.2,94.36,62914
2016-04-26 09:30:00,95.68,97.24,95.61,96.64,118011
2016-04-27 09:30:00,98.16,99.34,97.62,99.19,110589
2016-04-28 09:30:00,100.34,100.34,98.17,99.27,37258
2016-04-29 09:30:00,97.94,98.58,97.63,97.92,125892
2016-05-02 09:30:00,98.79,98.84,96.74,98.1,349451
2016-05-03 09:30:00,96.98,96.98,93.67,95.96,144103
2016-05-04 09:30:00,95.46,96.15,94.85,95.93,89371
2016-05-05 09:30:00,95.86,96.57,95.86,96.18,74848
2016-05-06 09:30:00,92.45,95.56,89.67,95.19,207546
2016-05-09 09:30:00,95.18,96.2,95.11,96.2,72372
2016-05-10 09:30:00,96.2,97.08,96.11,96.19,74908
2016-05-11 09:30:00,96.38,96.89,96.18,96.64,140806
2016-05-12 09:30:00,97.0,97.39,96.71,96.85,44356
2016-05-13 09:30:00,96.49,97.87,96.43,97.11,86572
2016-05-16 09:30:00,96.01,97.18,95.9,97.16,45071
2016-05-17 09:30:00,97.74,98.07,97.25,97.92,58491
2016-05-18 09:30:00,97.12,97.38,96.97,96.97,41205
2016-05-19 09:30:00,97.51,98.02,97.03,97.06,19694
2016-05-20 09:30:00,98.71,99.45,98.5,99.43,117669
2016-05-23 09:30:00,98.78,99.22,98.6,99.15,51943
2016-05-24 09:30:00,100.01,101.67,99.37,101.56,178908
2016-05-25 09:30:00,102.38,102.54,101.1,101.79,151837
2016-05-26 09:30:00,101.66,102.11,101.17,101.47,125557
2016-05-27 09:30:00,101.92,102.53,101.45,101.96,60633
2016-05-31 09:30:00,102.89,103.53,102.38,102.78,122348
2016-06-01 09:30:00,101.94,101.94,101.4,101.61,77827
2016-06-02 09:30:00,101.22,101.81,100.76,101.45,38921
2016-06-03 09:30:00,101.02,101.31,100.22,100.76,123701
2016-06-06 09:30:00,101.13,101.58,100.9,101.58,43784
2016-06-07 09:30:00,101.31,101.58,100.86,100.96,29561
2016-06-08 09:30:00,100.89,101.33,100.32,101.25,40107
2016-06-09 09:30:00,100.68,100.7,100.17,100.62,46974
2016-06-10 09:30:00,100.08,100.28,99.11,99.65,39508
2016-06-13 09:30:00,98.66,99.47,98.35,99.15,55680
2016-06-14 09:30:00,98.87,98.87,98.07,98.38,45026
2016-06-15 09:30:00,98.21,98.97,98.01,98.79,38302
2016-06-16 09:30:00,97.62,97.65,96.94,97.07,33823
2016-06-17 09:30:00,98.76,99.29,98.62,99.29,164355
2016-06-20 09:30:00,99.33,100.1,98.88,100.06,300698
2016-06-21 09:30:00,98.85,99.34,98.54,99.12,67613
2016-06-22 09:30:00,99.17,99.17,98.61,98.84,62348
2016-06-23 09:30:00,99.69,100.11,99.29,99.92,106771
2016-06-24 09:30:00,97.57,98.1,96.4,97.8,385891
2016-06-27 09:30:00,94.0,94.52,92.35,92.53,129941
2016-06-28 09:30:00,92.28,93.27,92.16,92.82,194285
2016-06-29 09:30:00,94.54,94.55,93.35,94.35,73270
2016-06-30 09:30:00,97.36,97.52,96.34,96.49,88899
2016-07-01 09:30:00,98.35,99.5,98.35,99.44,69448
2016-07-05 09:30:00,98.35,99.03,97.89,98.27,54064
2016-07-06 09:30:00,96.55,97.18,96.19,96.79,175683
2016-07-07 09:30:00,97.96,99.02,96.98,99.0,53226
2016-07-08 09:30:00,100.04,100.36,99.59,99.95,62837
2016-07-11 09:30:00,100.68,101.45,100.68,100.94,62562
2016-07-12 09:30:00,102.36,104.03,101.88,103.37,147886
2016-07-13 09:30:00,104.39,104.43,103.04,103.21,65187
2016-07-14 09:30:00,105.6,105.82,105.07,105.77,85015
2016-07-15 09:30:00,106.03,106.72,105.49,105.69,163799
2016-07-18 09:30:00,106.52,107.19,106.52,106.77,41344
2016-07-19 09:30:00,106.63,106.82,106.13,106.33,50030
2016-07-20 09:30:00,107.8,107.89,107.21,107.47,60479
2016-07-21 09:30:00,107.0,107.75,107.0,107.64,50932
2016-07-22 09:30:00,107.36,107.45,103.82,106.51,143778
2016-07-25 09:30:00,107.67,107.92,107.2,107.39,29810
2016-07-26 09:30:00,107.07,107.86,107.07,107.49,57352
2016-07-27 09:30:00,108.47,108.47,107.0,107.39,92392
2016-07-28 09:30:00,108.35,111.54,107.9,111.14,180420
2016-07-29 09:30:00,111.45,112.55,111.45,111.61,93646
2016-08-01 09:30:00,112.47,112.71,112.07,112.64,65700
2016-08-02 09:30:00,111.08,111.15,110.31,110.88,78853
2016-08-03 09:30:00,110.11,110.59,109.8,109.82,26626
2016-08-04 09:30:00,110.0,110.92,109.99,110.0,22615
2016-08-05 09:30:00,110.92,111.43,110.61,111.4,99608
2016-08-08 09:30:00,110.91,111.11,110.53,110.79,40513
2016-08-09 09:30:00,110.59,111.05,110.38,111.03,34145
2016-08-10 09:30:00,110.76,111.09,109.83,109.9,32527
2016-08-11 09:30:00,110.3,110.82,110.01,110.09,105557
