open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,17.92,17.92,17.68,17.86,3104452
2016-01-05 09:30:00,18.18,18.28,18.04,18.04,1292648
2016-01-06 09:30:00,17.35,17.61,17.32,17.58,1814900
2016-01-07 09:30:00,16.54,16.89,16.47,16.77,2915260
2016-01-08 09:30:00,16.47,16.65,16.38,16.56,3053200
2016-01-11 09:30:00,15.95,16.04,15.67,15.73,2519092
2016-01-12 09:30:00,16.14,16.32,16.03,16.18,2546960
2016-01-13 09:30:00,16.28,16.4,16.14,16.21,2173248
2016-01-14 09:30:00,15.07,15.11,14.65,14.69,3603848
2016-01-15 09:30:00,14.35,14.82,14.33,14.55,3117196
2016-01-19 09:30:00,15.12,15.15,14.74,14.91,4250804
2016-01-20 09:30:00,13.97,14.14,13.72,13.75,3212824
2016-01-21 09:30:00,14.26,14.34,13.88,13.97,2854840
2016-01-22 09:30:00,15.04,15.17,14.93,15.16,2400276
2016-01-25 09:30:00,15.09,15.12,14.92,14.98,1526020
2016-01-26 09:30:00,14.7,14.87,14.63,14.67,1412576
2016-01-27 09:30:00,14.97,15.07,14.92,14.96,1159848
2016-01-28 09:30:00,15.06,15.11,14.91,14.99,1294544
2016-01-29 09:30:00,15.05,15.36,15.03,15.34,1917884
2016-02-01 09:30:00,15.63,15.72,15.54,15.6,1599620
2016-02-02 09:30:00,15.5,15.5,15.23,15.3,1977696
2016-02-03 09:30:00,15.36,15.37,15.01,15.04,3350400
2016-02-04 09:30:00,15.18,15.34,15.01,15.26,2175440
2016-02-05 09:30:00,15.25,15.26,14.93,15.02,1338584
2016-02-08 09:30:00,14.01,14.03,13.67,13.75,2984096
2016-02-09 09:30:00,13.45,14.01,13.43,13.88,3005096
2016-02-10 09:30:00,14.14,14.32,14.08,14.3,1687632
2016-02-11 09:30:00,13.22,13.58,13.19,13.49,2389748
2016-02-12 09:30:00,13.81,13.84,13.63,13.66,1664536
2016-02-16 09:30:00,14.66,14.71,14.52,14.56,1782848
2016-02-17 09:30:00,15.22,15.35,15.18,15.28,2964600
2016-02-18 09:30:00,15.7,15.71,15.51,15.57,1641188
2016-02-19 09:30:00,15.2,15.27,15.03,15.15,1988220
2016-02-22 09:30:00,15.85,16.03,15.83,16.0,1362240
2016-02-23 09:30:00,15.87,15.95,15.83,15.89,1044468
2016-02-24 09:30:00,15.03,15.05,14.79,14.84,2321596
2016-02-25 09:30:00,15.8,15.93,15.69,15.7,1472032
2016-02-26 09:30:00,16.52,16.52,16.38,16.39,2227224
2016-02-29 09:30:00,16.13,16.19,16.03,16.11,1159580
2016-03-01 09:30:00,16.1,16.16,15.97,16.08,1204476
2016-03-02 09:30:00,16.77,16.85,16.69,16.74,1816384
2016-03-03 09:30:00,17.03,17.03,16.88,16.92,1015220
2016-03-04 09:30:00,17.34,17.37,17.08,17.14,1296660
2016-03-07 09:30:00,17.16,17.3,17.14,17.2,1289080
2016-03-08 09:30:00,17.15,17.19,17.02,17.09,1703824
