open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,34.43,34.43,34.14,34.22,176382
2016-01-05 09:30:00,34.28,34.38,34.03,34.12,349712
2016-01-06 09:30:00,34.53,34.64,34.42,34.56,172154
2016-01-07 09:30:00,33.42,33.57,33.0,33.02,859674
2016-01-08 09:30:00,32.18,32.85,32.03,32.69,977986
2016-01-11 09:30:00,32.51,32.61,32.43,32.52,282544
2016-01-12 09:30:00,33.54,33.55,33.05,33.07,372328
2016-01-13 09:30:00,33.09,33.22,32.92,33.17,307440
2016-01-14 09:30:00,33.32,34.22,33.26,34.22,416064
2016-01-15 09:30:00,33.73,34.08,33.73,33.89,522546
2016-01-19 09:30:00,34.23,34.4,33.98,34.15,277566
2016-01-20 09:30:00,34.01,34.08,33.82,33.85,276970
2016-01-21 09:30:00,33.27,33.45,33.03,33.08,154900
2016-01-22 09:30:00,33.86,34.13,33.75,34.02,468430
2016-01-25 09:30:00,34.43,34.66,34.22,34.35,121896
2016-01-26 09:30:00,34.11,34.46,34.09,34.2,116554
2016-01-27 09:30:00,33.85,33.95,33.72,33.86,97922
2016-01-28 09:30:00,33.89,34.18,33.8,34.14,93866
2016-01-29 09:30:00,34.61,35.19,34.61,34.9,415450
2016-02-01 09:30:00,34.99,35.27,34.82,34.99,282546
2016-02-02 09:30:00,35.06,35.15,34.76,34.76,150820
2016-02-03 09:30:00,35.43,35.76,35.18,35.7,206124
2016-02-04 09:30:00,35.26,35.58,35.23,35.52,153280
2016-02-05 09:30:00,35.08,35.32,34.74,34.97,172508
2016-02-08 09:30:00,35.04,35.19,34.57,34.65,167420
2016-02-09 09:30:00,34.99,35.63,34.72,35.52,163998
2016-02-10 09:30:00,35.25,35.69,35.25,35.36,189178
2016-02-11 09:30:00,35.6,35.79,35.31,35.31,197324
2016-02-12 09:30:00,35.07,35.08,34.73,34.82,190074
2016-02-16 09:30:00,34.8,34.8,34.45,34.71,122686
2016-02-17 09:30:00,35.02,35.02,34.74,34.86,98368
2016-02-18 09:30:00,35.2,35.4,35.16,35.4,61022
2016-02-19 09:30:00,35.7,35.7,35.36,35.57,282068
2016-02-22 09:30:00,36.09,36.44,36.07,36.44,241230
2016-02-23 09:30:00,36.22,36.44,36.11,36.2,107860
2016-02-24 09:30:00,36.31,36.59,36.21,36.55,221260
2016-02-25 09:30:00,36.52,36.72,36.52,36.56,172254
2016-02-26 09:30:00,36.22,36.22,35.45,35.84,234752
2016-02-29 09:30:00,35.23,35.3,35.11,35.16,201368
2016-03-01 09:30:00,35.9,35.93,35.67,35.89,248106
2016-03-02 09:30:00,35.45,35.65,34.86,35.14,342796
2016-03-03 09:30:00,36.01,36.02,35.69,35.7,113228
2016-03-04 09:30:00,36.35,36.35,35.94,35.95,110380
2016-03-07 09:30:00,35.91,36.14,35.83,35.99,102616
2016-03-08 09:30:00,36.03,36.08,35.84,35.9,144010
2016-03-09 09:30:00,36.36,36.76,36.17,36.7,112498
2016-03-10 09:30:00,36.47,36.67,36.45,36.6,211464
2016-03-11 09:30:00,36.54,36.66,36.52,36.59,120626
2016-03-14 09:30:00,36.72,36.79,36.53,36.59,94398
2016-03-15 09:30:00,36.7,36.98,36.7,36.95,91932
2016-03-16 09:30:00,36.92,36.96,36.63,36.71,235222
2016-03-17 09:30:00,37.23,37.23,37.11,37.19,85692
2016-03-18 09:30:00,38.08,38.32,37.79,37.79,1710108
2016-03-21 09:30:00,38.12,38.12,37.75,38.05,115658
2016-03-22 09:30:00,38.04,38.21,37.81,38.21,224138
2016-03-23 09:30:00,38.06,38.14,37.99,38.07,101714
2016-03-24 09:30:00,37.75,37.99,37.59,37.93,118914
2016-03-28 09:30:00,38.22,38.48,38.16,38.31,185266
2016-03-29 09:30:00,38.27,38.44,38.07,38.35,85690
2016-03-30 09:30:00,38.95,38.95,38.36,38.49,214954
2016-03-31 09:30:00,38.46,38.78,38.46,38.77,116354
2016-04-01 09:30:00,38.66,38.77,38.46,38.68,204392
2016-04-04 09:30:00,39.28,39.28,39.08,39.16,158454
2016-04-05 09:30:00,38.89,38.93,38.31,38.32,167462
2016-04-06 09:30:00,38.31,38.44,38.17,38.24,58448
2016-04-07 09:30:00,38.22,38.62,38.09,38.46,259814
2016-04-08 09:30:00,38.56,38.83,38.56,38.72,87638
2016-04-11 09:30:00,38.81,39.01,38.76,38.76,70324
2016-04-12 09:30:00,38.4,38.58,38.32,38.53,92634
2016-04-13 09:30:00,38.82,38.85,38.41,38.49,87168
2016-04-14 09:30:00,38.68,38.73,38.53,38.62,63676
2016-04-15 09:30:00,38.59,38.85,38.59,38.85,383930
2016-04-18 09:30:00,38.91,38.91,38.56,38.56,60928
2016-04-19 09:30:00,38.89,39.03,38.67,38.84,164378
2016-04-20 09:30:00,38.86,39.23,38.64,38.92,229186
2016-04-21 09:30:00,38.02,38.11,37.54,37.83,394736
2016-04-22 09:30:00,37.5,37.72,37.38,37.67,105604
2016-04-25 09:30:00,37.62,37.72,37.37,37.37,147120
2016-04-26 09:30:00,37.82,37.97,37.69,37.89,76602
2016-04-27 09:30:00,37.75,38.22,37.41,38.15,126528
2016-04-28 09:30:00,37.96,38.36,37.96,38.27,79964
2016-04-29 09:30:00,38.14,38.29,37.97,38.29,83180
2016-05-02 09:30:00,38.49,38.65,38.27,38.52,134814
2016-05-03 09:30:00,38.96,39.18,38.75,38.89,308698
2016-05-04 09:30:00,38.84,39.16,38.66,38.88,317686
2016-05-05 09:30:00,39.04,39.38,38.82,38.87,202038
2016-05-06 09:30:00,39.09,39.14,38.72,39.01,192336
2016-05-09 09:30:00,38.97,39.1,38.76,39.02,138584
2016-05-10 09:30:00,39.04,39.13,38.93,38.93,125524
2016-05-11 09:30:00,39.0,39.16,38.82,38.89,106472
2016-05-12 09:30:00,39.2,39.42,39.0,39.31,97074
2016-05-13 09:30:00,39.16,39.22,38.87,39.09,72622
2016-05-16 09:30:00,38.87,39.13,38.65,39.01,107576
2016-05-17 09:30:00,38.76,38.92,38.59,38.68,74212
2016-05-18 09:30:00,38.46,38.47,38.06,38.2,118706
2016-05-19 09:30:00,37.87,38.3,37.64,38.15,180454
2016-05-20 09:30:00,38.45,38.63,38.17,38.56,301518
2016-05-23 09:30:00,38.38,38.65,38.38,38.51,154750
2016-05-24 09:30:00,38.37,38.65,37.96,38.48,203042
2016-05-25 09:30:00,38.81,38.89,38.54,38.81,143596
2016-05-26 09:30:00,38.8,39.03,38.79,38.92,125688
2016-05-27 09:30:00,39.0,39.07,38.86,38.98,68568
2016-05-31 09:30:00,39.2,39.66,39.19,39.66,224454
2016-06-01 09:30:00,39.77,39.88,39.58,39.66,256106
2016-06-02 09:30:00,39.59,39.8,39.53,39.57,265772
2016-06-03 09:30:00,39.95,40.56,39.94,40.56,361380
2016-06-06 09:30:00,40.53,40.58,40.2,40.56,278850
2016-06-07 09:30:00,40.49,40.53,40.36,40.46,112256
2016-06-08 09:30:00,40.46,40.68,40.46,40.68,90752
2016-06-09 09:30:00,40.71,40.81,40.55,40.68,88822
2016-06-10 09:30:00,40.85,40.97,40.66,40.84,99490
