open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,67.06,67.79,66.41,67.79,66302
2016-01-05 09:30:00,67.25,67.88,67.09,67.32,39113
2016-01-06 09:30:00,66.39,67.21,66.28,66.87,16885
2016-01-07 09:30:00,66.06,66.71,66.06,66.64,40121
2016-01-08 09:30:00,65.73,65.94,65.2,65.22,78425
2016-01-11 09:30:00,64.08,64.75,63.07,63.29,44735
2016-01-12 09:30:00,63.45,63.83,63.01,63.22,120084
2016-01-13 09:30:00,63.41,63.51,62.98,63.18,99118
2016-01-14 09:30:00,60.65,61.31,60.13,60.13,29247
2016-01-15 09:30:00,59.96,60.94,59.59,60.53,72947
2016-01-19 09:30:00,61.44,61.86,61.11,61.29,27315
2016-01-20 09:30:00,59.89,60.41,59.8,59.83,24412
2016-01-21 09:30:00,61.43,61.57,60.66,60.8,40221
2016-01-22 09:30:00,61.9,62.45,61.71,62.45,33981
2016-01-25 09:30:00,62.74,63.56,62.74,63.12,29398
2016-01-26 09:30:00,62.97,63.22,62.27,62.41,70442
2016-01-27 09:30:00,62.44,62.73,62.27,62.44,51095
2016-01-28 09:30:00,62.66,62.94,61.63,61.72,23545
2016-01-29 09:30:00,61.76,62.77,61.76,62.5,69829
2016-02-01 09:30:00,61.98,62.95,61.98,62.57,26518
2016-02-02 09:30:00,62.43,62.66,62.13,62.17,60926
2016-02-03 09:30:00,63.13,63.13,62.29,62.76,18580
2016-02-04 09:30:00,62.84,62.84,61.89,62.06,14084
2016-02-05 09:30:00,61.88,61.92,61.04,61.08,25729
2016-02-08 09:30:00,59.6,59.98,59.51,59.51,12292
2016-02-09 09:30:00,60.16,61.03,58.98,60.84,74477
2016-02-10 09:30:00,60.65,60.95,59.29,59.41,86164
2016-02-11 09:30:00,56.36,57.63,56.05,57.08,103005
2016-02-12 09:30:00,57.16,57.22,56.14,56.32,40218
2016-02-16 09:30:00,56.93,57.54,56.87,57.28,26815
2016-02-17 09:30:00,58.2,58.49,58.0,58.41,29504
2016-02-18 09:30:00,58.91,59.08,58.25,58.73,64695
2016-02-19 09:30:00,57.5,57.53,57.1,57.32,36390
2016-02-22 09:30:00,58.04,58.39,57.86,57.89,41127
2016-02-23 09:30:00,57.88,58.12,57.32,57.51,64419
2016-02-24 09:30:00,56.46,56.73,55.78,56.16,39884
2016-02-25 09:30:00,57.48,57.99,57.33,57.4,14165
2016-02-26 09:30:00,59.22,59.24,58.71,59.15,35487
2016-02-29 09:30:00,58.67,59.01,57.99,58.15,24813
2016-03-01 09:30:00,58.7,59.18,58.65,59.15,37545
2016-03-02 09:30:00,58.85,59.14,58.85,59.14,41517
2016-03-03 09:30:00,59.26,59.64,59.1,59.45,22356
2016-03-04 09:30:00,59.95,60.47,59.93,60.29,46899
2016-03-07 09:30:00,60.55,61.16,60.3,60.93,41428
2016-03-08 09:30:00,61.27,62.17,61.27,62.03,32203
2016-03-09 09:30:00,61.15,61.35,61.05,61.26,32475
2016-03-10 09:30:00,61.19,61.78,61.12,61.57,68437
2016-03-11 09:30:00,60.78,61.78,60.54,61.41,49408
2016-03-14 09:30:00,61.93,62.44,61.39,61.53,68771
2016-03-15 09:30:00,60.93,61.28,60.81,61.11,68078
2016-03-16 09:30:00,60.3,60.84,60.3,60.74,28329
2016-03-17 09:30:00,60.58,60.88,60.3,60.44,20464
2016-03-18 09:30:00,60.33,60.85,60.14,60.58,427973
2016-03-21 09:30:00,61.04,61.69,60.88,61.68,30058
2016-03-22 09:30:00,61.76,62.15,61.73,61.81,38089
2016-03-23 09:30:00,62.79,63.21,62.69,63.15,47987
2016-03-24 09:30:00,62.6,62.83,62.16,62.82,82689
2016-03-28 09:30:00,62.88,62.99,62.77,62.8,16886
2016-03-29 09:30:00,63.56,64.17,63.32,64.08,52894
2016-03-30 09:30:00,65.4,65.9,65.02,65.69,51086
2016-03-31 09:30:00,65.29,65.66,64.87,64.89,36873
2016-04-01 09:30:00,64.37,64.84,64.03,64.51,36507
2016-04-04 09:30:00,65.62,65.87,64.97,65.08,23129
2016-04-05 09:30:00,63.43,63.43,62.5,62.82,73386
2016-04-06 09:30:00,62.69,63.02,62.38,62.77,75010
2016-04-07 09:30:00,63.23,63.57,62.97,63.32,15016
2016-04-08 09:30:00,63.71,63.95,63.4,63.89,17444
2016-04-11 09:30:00,63.88,64.18,63.57,63.83,28897
2016-04-12 09:30:00,63.64,63.76,63.46,63.47,25099
2016-04-13 09:30:00,64.88,65.0,64.29,64.39,35216
2016-04-14 09:30:00,65.2,65.3,64.72,64.79,8456
2016-04-15 09:30:00,64.99,65.34,64.9,64.98,22966
2016-04-18 09:30:00,64.66,65.4,64.25,64.95,40032
2016-04-19 09:30:00,66.22,66.43,65.64,65.81,40634
2016-04-20 09:30:00,66.2,66.41,65.51,65.95,13023
2016-04-21 09:30:00,65.71,66.48,65.5,66.28,14964
2016-04-22 09:30:00,66.22,67.31,66.22,66.58,40132
2016-04-25 09:30:00,65.86,66.23,65.6,66.0,18416
2016-04-26 09:30:00,65.4,65.75,65.26,65.69,16034
2016-04-27 09:30:00,66.3,66.76,66.01,66.09,16989
2016-04-28 09:30:00,65.32,65.69,65.09,65.31,29393
2016-04-29 09:30:00,64.61,64.61,63.87,64.05,12550
2016-05-02 09:30:00,64.26,64.88,64.18,64.82,24924
2016-05-03 09:30:00,63.95,63.96,63.51,63.66,27690
2016-05-04 09:30:00,62.94,63.2,62.78,63.12,37847
2016-05-05 09:30:00,64.12,64.47,64.12,64.38,21348
2016-05-06 09:30:00,64.35,64.95,64.15,64.32,29843
2016-05-09 09:30:00,64.58,65.8,64.43,65.66,41661
2016-05-10 09:30:00,65.49,65.79,64.89,64.89,32635
2016-05-11 09:30:00,65.9,65.9,65.19,65.5,19257
2016-05-12 09:30:00,65.09,65.33,64.94,65.13,27276
2016-05-13 09:30:00,64.81,65.19,64.46,65.14,46590
2016-05-16 09:30:00,64.66,65.21,64.66,64.82,19612
2016-05-17 09:30:00,65.79,65.79,65.2,65.3,23439
2016-05-18 09:30:00,59.99,63.12,58.49,62.22,243691
2016-05-19 09:30:00,62.12,63.38,61.96,63.07,90845
2016-05-20 09:30:00,63.82,64.06,63.47,63.96,43870
2016-05-23 09:30:00,63.62,63.73,63.25,63.48,12281
2016-05-24 09:30:00,62.95,63.48,62.12,63.28,44541
2016-05-25 09:30:00,63.52,63.86,63.27,63.33,15155
2016-05-26 09:30:00,63.18,63.23,62.82,63.18,18169
2016-05-27 09:30:00,62.07,62.55,61.84,62.53,52691
2016-05-31 09:30:00,63.02,63.12,62.58,62.85,48052
2016-06-01 09:30:00,63.01,63.31,62.66,63.31,37084
2016-06-02 09:30:00,63.18,63.81,62.95,63.59,14298
2016-06-03 09:30:00,64.25,65.19,63.77,64.05,128824
2016-06-06 09:30:00,64.11,64.24,63.51,63.66,42222
2016-06-07 09:30:00,64.14,64.15,63.77,63.87,36285
2016-06-08 09:30:00,64.5,64.93,64.35,64.93,32880
2016-06-09 09:30:00,64.99,65.63,64.83,65.46,25006
2016-06-10 09:30:00,64.88,64.93,64.28,64.6,22962
2016-06-13 09:30:00,64.27,64.38,63.39,63.63,91991
2016-06-14 09:30:00,62.05,62.4,61.9,62.25,42071
2016-06-15 09:30:00,61.93,61.93,61.21,61.33,39709
2016-06-16 09:30:00,60.81,61.14,60.4,60.4,124732
2016-06-17 09:30:00,60.3,60.79,60.28,60.7,299144
2016-06-20 09:30:00,62.26,62.7,61.84,61.84,122952
2016-06-21 09:30:00,61.68,61.91,61.53,61.67,54960
2016-06-22 09:30:00,61.53,61.83,61.24,61.24,24141
2016-06-23 09:30:00,61.84,62.22,61.68,62.15,91248
2016-06-24 09:30:00,61.36,61.36,60.22,60.25,101820
2016-06-27 09:30:00,59.31,59.45,58.92,59.0,149384
2016-06-28 09:30:00,58.03,58.85,57.82,58.8,123085
2016-06-29 09:30:00,59.72,60.2,59.72,60.11,41364
2016-06-30 09:30:00,61.64,61.85,61.25,61.47,24716
2016-07-01 09:30:00,62.81,63.32,62.08,63.29,30463
2016-07-05 09:30:00,62.69,62.97,62.36,62.36,46443
2016-07-06 09:30:00,61.7,62.04,61.31,62.0,59436
2016-07-07 09:30:00,62.23,62.51,62.21,62.49,10283
2016-07-08 09:30:00,62.72,62.96,62.41,62.96,48309
2016-07-11 09:30:00,63.31,63.49,63.2,63.47,17320
2016-07-12 09:30:00,63.14,63.43,63.05,63.14,22721
2016-07-13 09:30:00,63.7,63.7,63.41,63.49,22905
2016-07-14 09:30:00,63.42,63.42,62.73,62.82,31727
2016-07-15 09:30:00,63.19,63.51,62.84,62.85,28257
2016-07-18 09:30:00,62.62,62.84,62.37,62.78,18949
2016-07-19 09:30:00,62.57,62.57,62.33,62.44,18845
2016-07-20 09:30:00,62.5,62.99,62.26,62.72,33485
2016-07-21 09:30:00,62.81,63.01,62.6,62.89,24775
2016-07-22 09:30:00,62.56,62.87,62.23,62.74,35000
2016-07-25 09:30:00,63.08,63.4,62.62,62.94,33874
2016-07-26 09:30:00,62.1,62.44,62.05,62.23,20666
2016-07-27 09:30:00,62.63,63.76,62.63,63.73,58007
2016-07-28 09:30:00,64.07,64.18,63.71,63.77,14963
2016-07-29 09:30:00,64.09,64.38,64.09,64.21,14368
2016-08-01 09:30:00,64.68,65.24,64.46,64.9,43294
2016-08-02 09:30:00,64.88,65.36,64.88,65.31,26621
2016-08-03 09:30:00,64.52,64.64,64.27,64.3,13611
2016-08-04 09:30:00,64.71,64.71,64.17,64.17,10089
2016-08-05 09:30:00,64.63,64.79,64.53,64.79,15718
2016-08-08 09:30:00,66.18,66.55,66.02,66.31,26240
