open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,14.39,14.62,14.3,14.53,233951
2016-01-05 09:30:00,14.56,14.73,14.47,14.51,250970
2016-01-06 09:30:00,14.4,14.63,14.27,14.63,304738
2016-01-07 09:30:00,14.03,14.22,13.96,14.11,326938
2016-01-08 09:30:00,14.15,14.18,13.93,13.95,216366
2016-01-11 09:30:00,13.61,13.73,13.45,13.5,207822
2016-01-12 09:30:00,13.37,13.54,13.29,13.42,347183
2016-01-13 09:30:00,13.86,13.97,13.43,13.84,236846
2016-01-14 09:30:00,13.62,13.67,13.43,13.43,167264
2016-01-15 09:30:00,13.28,13.41,13.18,13.2,260172
2016-01-19 09:30:00,13.21,13.43,13.16,13.3,366091
2016-01-20 09:30:00,13.13,13.21,12.98,13.01,286853
2016-01-21 09:30:00,12.77,13.31,12.77,12.88,243088
2016-01-22 09:30:00,13.28,13.31,13.04,13.23,291025
2016-01-25 09:30:00,13.17,13.33,13.02,13.16,348298
2016-01-26 09:30:00,13.26,13.62,13.22,13.47,785500
2016-01-27 09:30:00,13.71,13.88,13.58,13.78,339949
2016-01-28 09:30:00,13.87,14.1,13.87,14.03,359035
2016-01-29 09:30:00,14.23,14.61,14.23,14.59,332139
2016-02-01 09:30:00,14.96,14.96,14.49,14.77,352473
2016-02-02 09:30:00,14.55,14.69,14.41,14.58,135506
2016-02-03 09:30:00,14.57,14.74,14.52,14.63,248131
2016-02-04 09:30:00,15.24,15.67,15.23,15.64,481372
2016-02-05 09:30:00,14.33,15.65,14.33,15.59,219341
2016-02-08 09:30:00,14.7,14.81,14.6,14.71,233450
2016-02-09 09:30:00,14.31,14.48,14.01,14.36,194198
2016-02-10 09:30:00,14.19,14.46,14.19,14.42,251271
2016-02-11 09:30:00,14.21,14.34,14.03,14.33,212734
2016-02-12 09:30:00,14.68,14.79,14.62,14.66,182401
2016-02-16 09:30:00,15.22,15.31,14.9,15.02,198533
2016-02-17 09:30:00,15.36,15.37,15.15,15.32,183212
2016-02-18 09:30:00,15.29,15.29,14.98,15.01,192697
2016-02-19 09:30:00,14.61,14.64,14.41,14.56,234262
2016-02-22 09:30:00,14.92,15.14,14.87,15.05,319225
2016-02-23 09:30:00,14.87,14.92,14.69,14.69,294048
2016-02-24 09:30:00,14.13,14.21,13.88,13.97,564105
2016-02-25 09:30:00,14.5,14.81,13.92,14.58,250886
2016-02-26 09:30:00,14.99,15.14,14.65,14.92,210533
2016-02-29 09:30:00,14.91,14.94,14.74,14.81,194425
2016-03-01 09:30:00,15.11,15.22,14.96,15.16,457490
