open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,48.93,49.15,48.5,49.07,281054
2016-01-05 09:30:00,49.12,49.64,49.12,49.18,82013
2016-01-06 09:30:00,48.4,48.44,47.97,48.23,140234
2016-01-07 09:30:00,46.9,46.98,46.4,46.62,319046
2016-01-08 09:30:00,46.0,46.0,45.53,45.81,168916
2016-01-11 09:30:00,44.59,44.94,44.0,44.05,154329
2016-01-12 09:30:00,44.58,44.95,44.31,44.81,229219
2016-01-13 09:30:00,45.19,45.34,44.74,44.78,205385
2016-01-14 09:30:00,43.41,43.48,42.45,42.62,270759
2016-01-15 09:30:00,41.96,42.28,41.65,41.72,580846
2016-01-19 09:30:00,42.22,42.29,41.4,41.77,490568
2016-01-20 09:30:00,40.9,41.25,40.52,41.0,599657
2016-01-21 09:30:00,41.74,42.05,41.36,41.6,249900
2016-01-22 09:30:00,41.97,42.29,41.69,42.27,308338
2016-01-25 09:30:00,41.9,42.03,41.59,41.7,300469
2016-01-26 09:30:00,41.28,41.62,41.2,41.31,140570
2016-01-27 09:30:00,40.64,40.94,39.77,40.61,653820
2016-01-28 09:30:00,39.39,39.82,38.64,38.89,573762
2016-01-29 09:30:00,39.65,40.43,39.63,40.39,447440
2016-02-01 09:30:00,41.7,41.84,41.22,41.29,326033
2016-02-02 09:30:00,40.44,40.45,39.82,39.96,591743
2016-02-03 09:30:00,40.62,40.62,39.8,39.94,391471
2016-02-04 09:30:00,40.59,42.39,40.37,41.99,476634
2016-02-05 09:30:00,41.54,42.2,41.32,41.92,330673
2016-02-08 09:30:00,40.47,40.47,39.67,39.93,282172
2016-02-09 09:30:00,39.44,40.49,39.44,40.38,255232
2016-02-10 09:30:00,40.73,41.24,40.7,41.12,201703
2016-02-11 09:30:00,38.89,39.73,38.89,39.57,294451
2016-02-12 09:30:00,40.47,40.85,40.13,40.13,163927
2016-02-16 09:30:00,41.74,42.49,41.6,42.18,475187
2016-02-17 09:30:00,43.25,43.88,43.22,43.69,329750
2016-02-18 09:30:00,42.86,43.01,42.21,42.21,324742
2016-02-19 09:30:00,41.73,41.86,41.4,41.65,652240
2016-02-22 09:30:00,42.83,43.59,42.83,43.08,247680
2016-02-23 09:30:00,42.57,42.92,42.42,42.53,320443
2016-02-24 09:30:00,40.95,40.95,39.82,40.02,683762
2016-02-25 09:30:00,41.04,41.35,40.77,40.93,254898
2016-02-26 09:30:00,41.85,41.89,41.45,41.49,211914
2016-02-29 09:30:00,41.96,42.07,41.41,41.59,204697
2016-03-01 09:30:00,41.9,42.42,41.89,42.4,178530
2016-03-02 09:30:00,43.23,43.59,43.01,43.22,207079
2016-03-03 09:30:00,43.63,43.63,43.14,43.17,327140
2016-03-04 09:30:00,44.19,44.35,43.93,44.13,381915
2016-03-07 09:30:00,43.81,44.34,43.69,44.14,126436
2016-03-08 09:30:00,43.71,43.91,43.42,43.59,327607
2016-03-09 09:30:00,43.7,43.85,43.36,43.52,123881
2016-03-10 09:30:00,43.48,43.48,43.08,43.32,323590
2016-03-11 09:30:00,43.32,43.34,42.94,43.13,449546
2016-03-14 09:30:00,43.69,43.77,43.32,43.35,206442
2016-03-15 09:30:00,43.32,43.38,43.1,43.14,185181
2016-03-16 09:30:00,42.75,43.1,42.58,42.89,409917
2016-03-17 09:30:00,42.84,42.95,42.61,42.84,386519
2016-03-18 09:30:00,43.67,44.03,43.56,44.0,1060226
2016-03-21 09:30:00,44.6,45.2,44.31,44.91,256228
2016-03-22 09:30:00,44.84,45.0,44.56,44.92,366917
2016-03-23 09:30:00,44.81,44.98,44.56,44.96,182775
2016-03-24 09:30:00,44.41,44.51,43.88,44.28,258986
2016-03-28 09:30:00,44.07,44.36,43.8,43.86,359652
2016-03-29 09:30:00,43.73,43.73,43.1,43.63,174601
2016-03-30 09:30:00,44.53,45.55,44.53,45.25,246272
2016-03-31 09:30:00,44.41,44.71,44.3,44.4,238044
2016-04-01 09:30:00,44.15,44.37,43.89,44.04,163739
2016-04-04 09:30:00,44.85,45.05,44.5,45.02,137577
2016-04-05 09:30:00,44.12,44.29,43.01,43.17,677799
2016-04-06 09:30:00,43.7,44.01,43.67,43.74,107471
2016-04-07 09:30:00,43.78,44.01,43.77,43.88,116512
2016-04-08 09:30:00,43.27,43.35,42.97,43.32,136653
2016-04-11 09:30:00,43.16,43.36,42.99,43.34,168658
2016-04-12 09:30:00,43.23,43.51,43.05,43.34,84063
2016-04-13 09:30:00,44.11,44.9,44.06,44.39,238976
2016-04-14 09:30:00,45.42,45.78,45.09,45.2,214261
2016-04-15 09:30:00,45.67,45.9,45.36,45.49,490050
2016-04-18 09:30:00,45.15,45.48,45.02,45.35,216007
2016-04-19 09:30:00,45.63,46.21,45.63,46.12,272859
2016-04-20 09:30:00,46.05,46.17,45.77,46.12,152025
2016-04-21 09:30:00,46.96,47.39,46.96,47.09,152422
2016-04-22 09:30:00,46.64,47.2,46.56,47.19,149316
