open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,199.56,200.16,198.05,199.34,19316
2016-01-05 09:30:00,203.13,203.66,201.97,202.15,22932
2016-01-06 09:30:00,199.25,199.78,197.82,199.78,19329
2016-01-07 09:30:00,193.1,197.06,192.34,196.44,28449
2016-01-08 09:30:00,194.08,194.66,191.49,191.94,32697
2016-01-11 09:30:00,187.53,188.11,186.32,187.01,38960
2016-01-12 09:30:00,178.39,180.26,176.83,176.83,59345
2016-01-13 09:30:00,169.03,178.39,169.03,176.03,47635
2016-01-14 09:30:00,170.01,170.79,167.42,167.42,21146
2016-01-15 09:30:00,167.42,170.1,166.93,169.12,56093
2016-01-19 09:30:00,166.89,167.51,163.37,165.59,21559
2016-01-20 09:30:00,159.93,163.72,156.81,156.84,31976
2016-01-21 09:30:00,161.49,162.47,159.49,161.05,20760
2016-01-22 09:30:00,166.04,170.19,164.53,169.29,37882
2016-01-25 09:30:00,151.87,152.4,148.12,149.55,138640
2016-01-26 09:30:00,144.42,146.83,142.42,142.54,41667
2016-01-27 09:30:00,141.44,145.4,141.44,144.73,18284
2016-01-28 09:30:00,146.2,148.43,145.67,145.67,20879
2016-01-29 09:30:00,142.01,145.31,141.3,142.46,71802
2016-02-01 09:30:00,155.08,155.08,148.88,151.8,41894
2016-02-02 09:30:00,152.18,153.29,149.95,150.44,38030
2016-02-03 09:30:00,151.33,152.94,150.44,151.69,33091
2016-02-04 09:30:00,147.68,151.55,147.59,149.59,28771
2016-02-05 09:30:00,152.49,154.54,152.49,154.05,10508
2016-02-08 09:30:00,147.99,148.83,142.19,142.73,27426
2016-02-09 09:30:00,141.17,143.53,141.08,141.08,41582
2016-02-10 09:30:00,142.68,146.56,141.41,142.64,45962
2016-02-11 09:30:00,139.02,140.74,137.22,139.97,23457
2016-02-12 09:30:00,137.04,138.57,135.86,136.72,23008
2016-02-16 09:30:00,142.36,142.95,139.2,139.92,17018
2016-02-17 09:30:00,144.66,146.65,143.04,144.48,37411
2016-02-18 09:30:00,148.18,148.31,144.35,145.88,31767
2016-02-19 09:30:00,144.3,146.56,137.85,138.89,98699
2016-02-22 09:30:00,148.72,148.72,145.25,145.52,39820
2016-02-23 09:30:00,145.11,147.32,144.03,145.74,19055
2016-02-24 09:30:00,144.39,145.47,142.97,143.53,17225
2016-02-25 09:30:00,146.87,148.81,145.65,147.41,19966
2016-02-26 09:30:00,146.78,147.77,145.2,147.19,14561
2016-02-29 09:30:00,146.78,153.77,146.78,152.55,26439
2016-03-01 09:30:00,154.18,155.62,153.5,154.65,20733
2016-03-02 09:30:00,158.78,163.65,158.19,163.43,34826
2016-03-03 09:30:00,165.68,169.29,165.68,168.84,26837
2016-03-04 09:30:00,171.0,171.0,168.73,169.15,22467
2016-03-07 09:30:00,165.28,167.76,164.69,166.4,13691
2016-03-08 09:30:00,161.67,163.0,158.55,158.87,26211
2016-03-09 09:30:00,160.81,162.57,159.5,161.22,14468
2016-03-10 09:30:00,160.76,162.03,160.76,161.35,14082
2016-03-11 09:30:00,160.27,162.88,158.62,160.36,19485
2016-03-14 09:30:00,166.72,171.18,163.74,170.96,47384
2016-03-15 09:30:00,171.09,171.09,166.85,166.99,17041
2016-03-16 09:30:00,167.12,168.97,166.18,167.26,21675
2016-03-17 09:30:00,170.28,174.57,170.28,173.3,30904
2016-03-18 09:30:00,178.18,179.98,176.37,176.6,123775
2016-03-21 09:30:00,177.14,183.35,177.14,181.02,103979
2016-03-22 09:30:00,178.99,179.84,178.27,179.84,54621
2016-03-23 09:30:00,179.8,180.97,179.12,180.3,13757
2016-03-24 09:30:00,174.25,174.52,172.68,174.03,19092
2016-03-28 09:30:00,174.39,174.61,171.64,172.45,9800
2016-03-29 09:30:00,171.82,172.85,170.6,170.89,10669
2016-03-30 09:30:00,175.88,177.36,173.94,173.98,18942
2016-03-31 09:30:00,172.13,174.21,171.77,172.81,23125
2016-04-01 09:30:00,174.93,176.69,173.48,174.68,25278
2016-04-04 09:30:00,175.92,177.68,174.95,176.78,12748
2016-04-05 09:30:00,169.02,169.83,166.58,166.76,18805
2016-04-06 09:30:00,164.15,166.43,164.15,164.73,19574
2016-04-07 09:30:00,166.63,168.93,166.63,168.34,16384
2016-04-08 09:30:00,160.22,167.85,160.22,165.77,32009
2016-04-11 09:30:00,169.56,170.87,167.03,170.6,12976
2016-04-12 09:30:00,167.85,168.93,167.12,167.58,15931
2016-04-13 09:30:00,172.45,176.19,171.82,175.74,11760
2016-04-14 09:30:00,176.82,176.82,173.6,173.76,17447
2016-04-15 09:30:00,171.95,175.56,171.95,174.39,45948
2016-04-18 09:30:00,171.68,173.85,171.68,172.99,8724
2016-04-19 09:30:00,177.05,181.83,176.87,181.56,30114
2016-04-20 09:30:00,179.48,180.75,177.84,179.94,23766
2016-04-21 09:30:00,177.77,181.24,177.77,179.94,20164
2016-04-22 09:30:00,175.2,182.73,175.2,182.42,15335
2016-04-25 09:30:00,181.56,182.69,176.64,178.18,57511
2016-04-26 09:30:00,179.21,182.55,179.21,182.55,11287
2016-04-27 09:30:00,183.59,187.65,183.41,185.75,51141
2016-04-28 09:30:00,187.87,187.87,184.31,186.66,17255
2016-04-29 09:30:00,196.31,200.66,191.8,192.43,70181
2016-05-02 09:30:00,188.55,188.55,183.18,184.82,25415
2016-05-03 09:30:00,185.08,185.08,180.75,181.06,16506
2016-05-04 09:30:00,180.21,180.21,177.8,178.48,23711
2016-05-05 09:30:00,177.93,180.07,176.7,179.98,23619
2016-05-06 09:30:00,182.4,184.65,180.85,183.24,14107
2016-05-09 09:30:00,186.45,187.18,185.86,187.18,23639
2016-05-10 09:30:00,191.05,191.05,188.57,189.27,14880
2016-05-11 09:30:00,193.6,193.6,190.05,190.68,20671
2016-05-12 09:30:00,196.79,198.56,195.33,196.06,20646
2016-05-13 09:30:00,193.33,195.33,191.32,192.19,20517
2016-05-16 09:30:00,29.84,31.18,29.18,29.2,523047
2016-05-17 09:30:00,29.74,29.75,28.71,28.95,519193
2016-05-18 09:30:00,28.84,29.17,28.51,28.83,100497
2016-05-19 09:30:00,28.41,28.41,27.46,27.53,160106
2016-05-20 09:30:00,28.11,28.25,28.08,28.2,300228
2016-05-23 09:30:00,28.7,28.88,28.66,28.79,160047
2016-05-24 09:30:00,29.24,29.24,28.87,28.9,116318
2016-05-25 09:30:00,29.61,29.83,29.36,29.79,85966
2016-05-26 09:30:00,30.08,30.08,29.49,29.49,74891
2016-05-27 09:30:00,29.67,30.13,29.67,29.99,37598
2016-05-31 09:30:00,30.41,30.43,29.96,30.3,65458
2016-06-01 09:30:00,29.96,30.04,29.64,29.8,74246
2016-06-02 09:30:00,29.71,30.1,29.71,29.99,83361
2016-06-03 09:30:00,30.31,30.32,29.67,29.8,83685
2016-06-06 09:30:00,30.37,30.38,30.11,30.3,85970
2016-06-07 09:30:00,30.57,30.66,30.3,30.39,45014
2016-06-08 09:30:00,30.61,30.77,30.29,30.71,92995
2016-06-09 09:30:00,30.68,30.68,30.17,30.38,51940
2016-06-10 09:30:00,30.29,30.29,29.74,29.85,85378
2016-06-13 09:30:00,29.3,29.58,29.2,29.52,118838
2016-06-14 09:30:00,28.7,28.79,28.54,28.73,56126
2016-06-15 09:30:00,28.94,29.39,28.85,29.37,100414
2016-06-16 09:30:00,29.0,29.16,28.73,28.73,68679
2016-06-17 09:30:00,29.4,30.03,29.4,29.87,315245
2016-06-20 09:30:00,30.73,30.73,30.18,30.71,158810
2016-06-21 09:30:00,30.87,31.28,30.79,30.9,113222
2016-06-22 09:30:00,31.21,31.21,30.93,30.93,58840
2016-06-23 09:30:00,31.15,31.3,31.04,31.28,81233
2016-06-24 09:30:00,29.83,30.25,29.81,30.15,151119
2016-06-27 09:30:00,28.88,28.99,28.47,28.51,116737
2016-06-28 09:30:00,27.57,28.03,27.25,27.84,224294
2016-06-29 09:30:00,28.82,29.1,28.32,28.46,122412
2016-06-30 09:30:00,28.88,29.1,28.7,28.78,46691
2016-07-01 09:30:00,29.48,29.73,29.35,29.6,69065
2016-07-05 09:30:00,29.48,29.48,28.68,28.68,103365
2016-07-06 09:30:00,28.07,28.13,27.78,27.84,130714
2016-07-07 09:30:00,28.54,28.86,28.33,28.72,101541
2016-07-08 09:30:00,28.64,28.92,28.61,28.87,63988
2016-07-11 09:30:00,29.29,29.64,29.17,29.31,91853
2016-07-12 09:30:00,29.92,30.1,29.8,29.93,48491
2016-07-13 09:30:00,30.36,30.42,29.7,29.8,116107
2016-07-14 09:30:00,30.35,30.35,29.95,29.99,90213
2016-07-15 09:30:00,31.99,32.76,31.22,32.07,1075008
2016-07-18 09:30:00,32.11,32.24,31.78,32.13,122162
2016-07-19 09:30:00,32.72,32.78,32.55,32.62,53960
2016-07-20 09:30:00,32.75,32.75,32.47,32.5,46025
2016-07-21 09:30:00,33.19,33.46,32.95,33.34,99020
2016-07-22 09:30:00,32.85,32.88,32.66,32.73,27351
2016-07-25 09:30:00,32.49,32.72,32.49,32.62,43247
2016-07-26 09:30:00,32.35,33.04,32.35,32.9,33464
2016-07-27 09:30:00,33.28,33.28,32.69,32.82,104761
2016-07-28 09:30:00,32.56,32.87,32.32,32.73,73064
2016-07-29 09:30:00,32.22,32.45,32.04,32.15,60128
2016-08-01 09:30:00,32.53,32.57,32.09,32.2,39403
2016-08-02 09:30:00,31.55,31.66,31.31,31.51,136325
2016-08-03 09:30:00,30.87,31.11,30.87,30.99,53706
2016-08-04 09:30:00,32.19,34.14,32.19,33.24,578594
2016-08-05 09:30:00,33.48,33.51,33.25,33.38,199697
2016-08-08 09:30:00,33.44,33.59,33.38,33.48,162016
2016-08-09 09:30:00,33.49,33.77,33.47,33.65,54039
2016-08-10 09:30:00,33.55,34.03,33.08,33.36,144560
2016-08-11 09:30:00,34.25,34.25,33.59,34.05,123388
2016-08-12 09:30:00,34.52,34.69,34.31,34.42,89162
2016-08-15 09:30:00,34.27,34.27,34.01,34.17,66576
2016-08-16 09:30:00,33.97,34.85,33.91,34.73,186336
2016-08-17 09:30:00,34.47,34.47,34.14,34.19,88528
2016-08-18 09:30:00,34.83,35.06,34.66,35.05,144986
2016-08-19 09:30:00,34.6,34.66,34.15,34.36,151318
2016-08-22 09:30:00,34.3,34.44,33.34,33.44,308524
2016-08-23 09:30:00,34.26,34.53,34.12,34.37,105587
2016-08-24 09:30:00,34.18,34.24,34.0,34.11,65761
2016-08-25 09:30:00,34.01,34.14,33.98,34.04,54720
2016-08-26 09:30:00,36.23,37.09,36.13,37.06,407888
2016-08-29 09:30:00,36.71,37.15,36.71,36.85,141005
2016-08-30 09:30:00,37.22,37.37,37.05,37.3,99679
2016-08-31 09:30:00,36.85,37.07,36.78,36.81,84763
2016-09-01 09:30:00,36.74,37.13,36.58,37.02,69987
2016-09-02 09:30:00,37.42,37.47,37.05,37.21,78729
2016-09-06 09:30:00,37.28,37.6,37.25,37.43,127591
2016-09-07 09:30:00,37.33,37.48,37.04,37.27,78843
2016-09-08 09:30:00,37.47,37.59,36.88,37.14,140850
2016-09-09 09:30:00,36.16,36.43,35.92,36.01,144004
2016-09-12 09:30:00,35.17,35.64,35.0,35.57,100643
2016-09-13 09:30:00,35.66,36.06,35.46,35.89,80326
2016-09-14 09:30:00,35.74,35.74,35.26,35.26,118275
2016-09-15 09:30:00,35.22,35.31,35.02,35.15,201538
2016-09-16 09:30:00,36.11,37.44,35.87,36.82,1278358
2016-09-19 09:30:00,36.92,37.24,36.64,37.07,212443
2016-09-20 09:30:00,36.72,37.01,36.59,36.66,134670
2016-09-21 09:30:00,36.36,36.78,36.32,36.78,150084
