open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,61.64,63.11,61.55,62.38,906728
2016-01-05 09:30:00,64.13,64.22,60.86,60.93,831776
2016-01-06 09:30:00,58.79,58.79,56.9,57.93,1404406
2016-01-07 09:30:00,54.95,56.37,54.32,55.88,1536149
2016-01-08 09:30:00,56.53,56.8,55.92,56.39,1555338
2016-01-11 09:30:00,55.2,55.88,54.04,54.27,690859
2016-01-12 09:30:00,54.82,55.72,54.78,55.11,391260
2016-01-13 09:30:00,52.75,53.95,52.3,53.52,1322187
2016-01-14 09:30:00,50.94,51.25,49.6,49.71,851285
2016-01-15 09:30:00,50.26,51.32,50.12,50.51,974504
2016-01-19 09:30:00,51.26,51.56,50.6,51.32,659107
2016-01-20 09:30:00,48.79,50.08,48.07,49.27,759272
2016-01-21 09:30:00,51.2,51.53,50.55,50.86,462709
2016-01-22 09:30:00,53.35,55.18,53.35,55.1,1056128
2016-01-25 09:30:00,54.92,54.99,53.87,54.07,370475
2016-01-26 09:30:00,54.03,54.45,53.4,53.46,384840
2016-01-27 09:30:00,53.97,54.61,52.13,52.47,1196705
2016-01-28 09:30:00,51.58,52.79,51.45,52.43,620548
2016-01-29 09:30:00,56.5,57.33,55.33,56.18,1479637
2016-02-01 09:30:00,56.02,56.61,55.79,55.93,416195
2016-02-02 09:30:00,56.76,56.86,55.79,55.85,428878
2016-02-03 09:30:00,55.71,56.53,55.47,56.01,434949
2016-02-04 09:30:00,54.7,54.88,53.76,54.04,351215
2016-02-05 09:30:00,53.36,54.11,52.4,52.42,502645
2016-02-08 09:30:00,49.97,50.28,48.93,49.3,690163
2016-02-09 09:30:00,48.07,49.52,47.76,49.12,402613
2016-02-10 09:30:00,48.44,48.46,47.06,48.12,442461
2016-02-11 09:30:00,46.31,46.88,44.99,45.98,1058240
2016-02-12 09:30:00,47.16,47.64,46.48,46.58,626440
2016-02-16 09:30:00,48.92,50.43,48.82,50.23,837585
2016-02-17 09:30:00,51.03,52.76,50.82,52.26,626632
2016-02-18 09:30:00,53.18,53.23,51.79,52.01,360598
2016-02-19 09:30:00,50.79,51.79,50.59,51.41,547025
