open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,23.98,24.0,23.67,23.8,751213
2016-01-05 09:30:00,23.67,24.22,23.67,23.71,500536
2016-01-06 09:30:00,23.86,23.89,23.64,23.75,563524
2016-01-07 09:30:00,23.54,23.69,23.48,23.56,650253
2016-01-08 09:30:00,23.36,23.62,23.27,23.56,480675
2016-01-11 09:30:00,23.21,23.22,22.81,22.91,834260
2016-01-12 09:30:00,23.24,23.35,23.05,23.17,669440
2016-01-13 09:30:00,23.85,23.9,23.12,23.13,907129
2016-01-14 09:30:00,22.04,22.21,21.39,21.4,1469561
2016-01-15 09:30:00,21.88,22.17,21.69,21.74,1896152
2016-01-19 09:30:00,22.25,22.48,22.05,22.2,560529
2016-01-20 09:30:00,21.85,22.04,21.51,21.8,998370
2016-01-21 09:30:00,22.27,22.28,21.84,22.04,453252
2016-01-22 09:30:00,23.44,23.55,23.01,23.36,2793371
2016-01-25 09:30:00,23.25,23.35,23.16,23.28,720991
2016-01-26 09:30:00,22.9,23.05,22.77,22.89,942364
2016-01-27 09:30:00,22.97,22.98,22.72,22.93,161568
2016-01-28 09:30:00,22.8,23.08,22.72,23.04,696688
2016-01-29 09:30:00,22.51,22.57,22.35,22.38,626913
2016-02-01 09:30:00,22.73,22.74,22.41,22.56,412280
2016-02-02 09:30:00,22.58,22.63,22.07,22.13,408040
2016-02-03 09:30:00,21.83,21.83,20.88,21.03,1791413
2016-02-04 09:30:00,21.01,21.2,20.99,21.04,939246
2016-02-05 09:30:00,21.07,21.23,20.93,20.99,837383
2016-02-08 09:30:00,19.97,20.07,19.59,19.62,2624852
2016-02-09 09:30:00,19.42,20.08,19.26,19.88,1359665
2016-02-10 09:30:00,20.15,20.45,20.15,20.4,663815
2016-02-11 09:30:00,19.43,19.53,19.28,19.39,848039
2016-02-12 09:30:00,19.93,20.06,19.84,19.85,718762
2016-02-16 09:30:00,20.6,20.97,20.46,20.6,1050279
2016-02-17 09:30:00,21.11,21.53,21.01,21.15,847774
2016-02-18 09:30:00,20.98,21.18,20.83,21.05,807422
2016-02-19 09:30:00,21.2,21.3,21.01,21.19,960670
2016-02-22 09:30:00,22.37,22.4,21.96,22.05,2025401
2016-02-23 09:30:00,22.22,22.22,21.72,22.03,1037757
2016-02-24 09:30:00,21.73,21.73,21.39,21.41,571794
2016-02-25 09:30:00,22.16,22.31,22.03,22.13,450689
2016-02-26 09:30:00,22.37,22.4,22.07,22.1,680604
2016-02-29 09:30:00,22.28,22.34,21.93,21.95,434089
