open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,82.23,82.29,80.92,81.33,160901
2016-01-05 09:30:00,81.01,81.37,80.91,81.32,176979
2016-01-06 09:30:00,80.63,81.11,80.63,80.92,64878
2016-01-07 09:30:00,80.48,80.52,79.8,80.23,146331
2016-01-08 09:30:00,80.01,80.64,79.92,80.64,152603
2016-01-11 09:30:00,79.24,79.53,78.59,78.64,118425
2016-01-12 09:30:00,79.14,79.89,79.11,79.54,70220
2016-01-13 09:30:00,80.52,82.48,80.5,81.16,305096
2016-01-14 09:30:00,80.45,81.59,80.31,80.52,202670
2016-01-15 09:30:00,80.14,81.2,79.76,80.51,396010
2016-01-19 09:30:00,82.66,83.39,82.21,82.69,335732
2016-01-20 09:30:00,81.27,81.63,80.72,81.21,128748
2016-01-21 09:30:00,82.19,82.21,81.18,81.21,148181
2016-01-22 09:30:00,83.23,84.12,83.09,84.1,189174
2016-01-25 09:30:00,84.23,84.74,83.97,84.57,194290
2016-01-26 09:30:00,84.95,85.3,84.51,84.99,175722
2016-01-27 09:30:00,87.94,90.96,87.94,89.9,1798799
2016-01-28 09:30:00,88.93,89.1,87.87,88.43,225139
2016-01-29 09:30:00,88.05,89.67,87.34,89.45,222379
2016-02-01 09:30:00,87.01,88.29,86.8,87.07,598682
2016-02-02 09:30:00,88.29,88.9,87.96,88.58,156022
2016-02-03 09:30:00,89.81,89.89,89.19,89.34,223715
2016-02-04 09:30:00,89.0,89.49,88.85,89.3,156002
2016-02-05 09:30:00,89.03,89.37,88.36,88.41,223975
2016-02-08 09:30:00,86.38,86.55,85.27,85.82,239051
2016-02-09 09:30:00,85.34,87.03,85.34,86.85,201808
2016-02-10 09:30:00,87.67,88.53,87.64,88.36,154036
2016-02-11 09:30:00,86.7,87.54,86.48,86.82,249060
2016-02-12 09:30:00,86.72,87.19,86.23,86.5,60541
2016-02-16 09:30:00,88.5,88.5,87.74,88.03,205845
2016-02-17 09:30:00,88.09,88.3,86.84,86.86,277519
2016-02-18 09:30:00,86.34,87.12,86.11,87.12,125978
2016-02-19 09:30:00,87.02,87.38,86.5,87.34,201534
2016-02-22 09:30:00,88.55,89.07,88.19,88.81,131480
2016-02-23 09:30:00,88.64,89.47,88.4,89.38,93840
2016-02-24 09:30:00,88.4,88.74,88.12,88.37,63539
2016-02-25 09:30:00,89.53,90.57,89.44,90.43,240474
2016-02-26 09:30:00,91.77,92.27,91.75,92.13,159031
2016-02-29 09:30:00,90.83,91.05,90.42,90.53,89898
2016-03-01 09:30:00,90.26,90.66,89.61,89.79,106121
2016-03-02 09:30:00,90.79,90.99,90.26,90.58,47759
2016-03-03 09:30:00,91.69,92.3,91.59,91.71,261571
2016-03-04 09:30:00,92.27,92.75,92.18,92.59,329556
2016-03-07 09:30:00,92.3,92.59,91.99,92.21,157154
2016-03-08 09:30:00,91.41,91.53,88.1,91.37,481256
