open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,18.87,18.97,18.85,18.89,4867361
2016-01-05 09:30:00,19.03,19.08,18.96,18.97,3145756
2016-01-06 09:30:00,19.0,19.12,18.94,19.12,5877308
2016-01-07 09:30:00,18.89,19.1,18.89,19.05,3504714
2016-01-08 09:30:00,18.97,19.03,18.9,19.02,3354310
2016-01-11 09:30:00,18.97,18.98,18.88,18.93,2891063
2016-01-12 09:30:00,19.16,19.21,19.12,19.15,3703875
2016-01-13 09:30:00,19.11,19.2,19.06,19.18,3536942
2016-01-14 09:30:00,19.03,19.19,18.96,19.15,3807581
2016-01-15 09:30:00,18.91,19.29,18.88,19.19,11013662
2016-01-19 09:30:00,19.22,19.32,19.19,19.22,3944585
2016-01-20 09:30:00,19.18,19.3,19.16,19.19,5191104
2016-01-21 09:30:00,19.09,19.24,18.98,19.06,3518574
2016-01-22 09:30:00,19.58,19.65,19.49,19.62,4409266
2016-01-25 09:30:00,19.77,19.77,19.53,19.59,3985758
2016-01-26 09:30:00,19.68,19.81,19.62,19.66,5169240
2016-01-27 09:30:00,19.66,19.86,19.61,19.85,9129101
2016-01-28 09:30:00,20.09,20.11,19.94,19.94,2833152
2016-01-29 09:30:00,20.06,20.16,20.04,20.1,3542484
2016-02-01 09:30:00,20.25,20.32,20.16,20.27,4814572
2016-02-02 09:30:00,20.3,20.33,20.11,20.14,4217319
2016-02-03 09:30:00,20.29,20.34,20.25,20.3,3718224
2016-02-04 09:30:00,20.63,20.68,20.55,20.62,3281905
2016-02-05 09:30:00,20.56,20.77,20.52,20.74,3954054
2016-02-08 09:30:00,20.56,20.77,20.54,20.66,6304528
2016-02-09 09:30:00,20.62,20.72,20.5,20.51,5623106
2016-02-10 09:30:00,20.59,20.64,20.46,20.46,3190410
2016-02-11 09:30:00,20.26,20.42,20.25,20.37,5414029
2016-02-12 09:30:00,20.42,20.43,20.25,20.29,3688712
2016-02-16 09:30:00,20.61,20.65,20.35,20.43,3835560
2016-02-17 09:30:00,20.65,20.67,20.52,20.59,3218120
2016-02-18 09:30:00,20.57,20.64,20.51,20.63,2298868
2016-02-19 09:30:00,20.73,20.77,20.62,20.68,5301853
2016-02-22 09:30:00,20.64,20.68,20.53,20.63,2591106
2016-02-23 09:30:00,20.68,20.7,20.51,20.54,2854984
2016-02-24 09:30:00,20.62,20.65,20.58,20.63,2860341
2016-02-25 09:30:00,20.84,20.99,20.81,20.99,2838412
2016-02-26 09:30:00,21.06,21.06,20.94,20.97,2847683
2016-02-29 09:30:00,20.86,20.93,20.8,20.91,1945420
2016-03-01 09:30:00,20.84,20.93,20.84,20.91,2143486
2016-03-02 09:30:00,20.9,20.96,20.85,20.91,2247841
2016-03-03 09:30:00,21.17,21.18,21.09,21.12,2181619
2016-03-04 09:30:00,21.3,21.38,21.24,21.37,2853615
2016-03-07 09:30:00,21.24,21.3,21.13,21.3,3000760
2016-03-08 09:30:00,21.33,21.38,21.27,21.28,2843291
2016-03-09 09:30:00,21.41,21.53,21.41,21.47,2282386
2016-03-10 09:30:00,21.38,21.52,21.36,21.49,2591375
2016-03-11 09:30:00,21.6,21.66,21.55,21.55,2269745
2016-03-14 09:30:00,21.56,21.62,21.42,21.43,2503602
2016-03-15 09:30:00,21.41,21.58,21.4,21.52,1986480
2016-03-16 09:30:00,21.65,21.65,21.55,21.58,2225371
2016-03-17 09:30:00,21.78,21.82,21.75,21.79,1755979
2016-03-18 09:30:00,22.03,22.05,21.96,21.97,11558070
2016-03-21 09:30:00,21.72,21.81,21.66,21.81,2887161
2016-03-22 09:30:00,21.85,21.88,21.79,21.87,2618517
2016-03-23 09:30:00,21.7,21.71,21.56,21.56,2496199
2016-03-24 09:30:00,21.56,21.65,21.56,21.62,1686910
2016-03-28 09:30:00,21.91,21.99,21.88,21.91,2406359
2016-03-29 09:30:00,21.98,22.0,21.88,22.0,2756838
2016-03-30 09:30:00,22.23,22.31,22.09,22.11,3516987
