open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,73.39,73.52,72.77,73.25,158970
2016-01-05 09:30:00,73.18,73.62,73.18,73.32,64063
2016-01-06 09:30:00,72.45,72.62,72.09,72.33,131433
2016-01-07 09:30:00,71.11,71.8,71.01,71.37,561954
2016-01-08 09:30:00,71.54,71.86,71.31,71.46,72447
2016-01-11 09:30:00,70.71,71.07,70.42,70.84,102993
2016-01-12 09:30:00,70.43,70.93,70.14,70.15,315820
2016-01-13 09:30:00,70.91,71.13,70.43,70.77,143488
2016-01-14 09:30:00,69.41,69.41,68.59,68.65,254543
2016-01-15 09:30:00,67.34,67.72,66.96,67.56,356085
2016-01-19 09:30:00,68.82,69.33,68.06,68.63,129512
2016-01-20 09:30:00,68.48,68.48,67.89,68.02,152523
2016-01-21 09:30:00,69.16,69.26,68.04,68.5,239539
2016-01-22 09:30:00,69.52,70.6,69.48,70.39,151596
2016-01-25 09:30:00,69.8,70.22,69.19,69.25,141176
2016-01-26 09:30:00,69.41,69.82,69.2,69.72,52466
2016-01-27 09:30:00,67.34,68.54,66.74,68.1,547969
2016-01-28 09:30:00,69.49,70.82,69.43,70.45,210384
2016-01-29 09:30:00,69.99,70.4,69.63,70.4,4517742
2016-02-01 09:30:00,71.7,72.35,71.24,71.86,753992
2016-02-02 09:30:00,72.33,72.38,71.76,71.9,142445
2016-02-03 09:30:00,72.63,72.67,71.97,72.27,109695
2016-02-04 09:30:00,71.14,71.14,69.69,69.99,296962
2016-02-05 09:30:00,69.06,69.23,68.48,68.66,194932
2016-02-08 09:30:00,68.0,68.15,66.85,67.11,401206
2016-02-09 09:30:00,65.74,67.41,65.66,67.34,368653
2016-02-10 09:30:00,66.85,67.38,66.81,67.31,191717
2016-02-11 09:30:00,66.11,66.52,63.88,65.29,359856
2016-02-12 09:30:00,66.03,66.93,66.03,66.9,129447
2016-02-16 09:30:00,67.44,67.45,66.34,66.34,184860
2016-02-17 09:30:00,67.44,67.69,67.0,67.26,124105
2016-02-18 09:30:00,68.01,68.09,67.38,67.4,186412
2016-02-19 09:30:00,67.0,67.27,66.62,67.22,143567
2016-02-22 09:30:00,68.1,68.49,67.69,68.47,99252
2016-02-23 09:30:00,68.35,69.13,68.35,68.87,124962
2016-02-24 09:30:00,67.33,67.58,67.03,67.12,70370
2016-02-25 09:30:00,67.85,68.02,67.43,67.58,124118
2016-02-26 09:30:00,68.49,68.7,68.14,68.4,131207
2016-02-29 09:30:00,67.34,67.66,67.17,67.56,58259
2016-03-01 09:30:00,67.97,68.14,67.68,68.12,103523
2016-03-02 09:30:00,68.21,68.53,68.02,68.14,91996
2016-03-03 09:30:00,68.64,69.07,68.45,68.73,142152
2016-03-04 09:30:00,70.7,71.02,70.56,70.71,257644
2016-03-07 09:30:00,71.46,71.91,71.13,71.91,164179
2016-03-08 09:30:00,70.83,70.83,70.25,70.44,58297
2016-03-09 09:30:00,70.39,70.78,70.1,70.74,62090
2016-03-10 09:30:00,72.12,72.42,71.76,72.3,116674
2016-03-11 09:30:00,73.08,73.69,72.48,72.6,219013
2016-03-14 09:30:00,73.23,73.65,71.76,73.27,52666
2016-03-15 09:30:00,73.37,73.66,73.1,73.38,73065
2016-03-16 09:30:00,73.29,73.61,73.22,73.57,68364
2016-03-17 09:30:00,74.18,74.67,74.18,74.65,83080
2016-03-18 09:30:00,75.02,75.07,74.49,74.77,446891
2016-03-21 09:30:00,74.45,74.45,73.83,74.18,68072
2016-03-22 09:30:00,74.34,74.66,74.16,74.5,183599
2016-03-23 09:30:00,75.41,75.63,75.23,75.5,99889
2016-03-24 09:30:00,75.18,75.73,75.12,75.58,116131
2016-03-28 09:30:00,75.71,76.07,75.43,75.58,70076
2016-03-29 09:30:00,75.51,76.0,75.38,75.85,54715
2016-03-30 09:30:00,76.86,77.06,76.51,76.6,102597
2016-03-31 09:30:00,76.19,76.63,75.95,76.4,68419
2016-04-01 09:30:00,75.84,76.41,75.7,75.88,104659
2016-04-04 09:30:00,76.83,77.26,76.75,76.92,85293
2016-04-05 09:30:00,75.57,75.67,74.69,74.7,250574
2016-04-06 09:30:00,74.73,74.92,74.04,74.53,256879
2016-04-07 09:30:00,73.81,74.08,73.81,74.01,137189
2016-04-08 09:30:00,72.65,73.67,72.43,73.16,192828
2016-04-11 09:30:00,74.2,74.37,74.09,74.18,40087
2016-04-12 09:30:00,73.67,73.88,73.37,73.69,102793
2016-04-13 09:30:00,74.15,74.19,73.8,74.13,47484
2016-04-14 09:30:00,73.76,74.0,73.46,73.46,42654
2016-04-15 09:30:00,76.27,76.27,75.67,76.09,149782
2016-04-18 09:30:00,76.55,76.99,76.27,76.43,112467
2016-04-19 09:30:00,77.18,77.79,76.82,77.77,110835
2016-04-20 09:30:00,77.4,77.58,76.71,76.74,67411
2016-04-21 09:30:00,76.61,76.74,75.82,75.84,89138
2016-04-22 09:30:00,75.55,75.75,74.76,75.52,138488
2016-04-25 09:30:00,75.97,76.01,75.42,75.81,18010
2016-04-26 09:30:00,76.94,76.94,76.48,76.59,54473
2016-04-27 09:30:00,76.36,76.78,76.05,76.09,86541
2016-04-28 09:30:00,75.56,75.97,75.43,75.79,114489
2016-04-29 09:30:00,75.86,76.2,75.51,76.15,46495
2016-05-02 09:30:00,75.92,76.54,75.75,76.14,216280
2016-05-03 09:30:00,76.88,78.14,76.47,77.05,300607
2016-05-04 09:30:00,77.67,77.67,76.9,77.18,112611
2016-05-05 09:30:00,78.17,78.26,77.8,78.08,78509
2016-05-06 09:30:00,78.18,78.28,77.88,78.02,39874
2016-05-09 09:30:00,78.3,78.75,78.07,78.7,34240
2016-05-10 09:30:00,78.92,79.31,78.53,79.26,177559
2016-05-11 09:30:00,79.46,79.8,78.96,79.22,62637
2016-05-12 09:30:00,79.53,79.53,79.03,79.06,26312
2016-05-13 09:30:00,79.18,79.33,78.87,78.94,33216
2016-05-16 09:30:00,78.63,79.02,78.48,78.9,47930
2016-05-17 09:30:00,79.18,79.48,78.19,78.42,187681
2016-05-18 09:30:00,77.79,77.9,76.83,76.98,160785
2016-05-19 09:30:00,76.64,77.25,76.27,76.67,74152
2016-05-20 09:30:00,77.75,77.75,77.02,77.16,78173
2016-05-23 09:30:00,76.78,77.26,76.4,76.86,32832
2016-05-24 09:30:00,77.69,78.36,77.42,78.1,65227
2016-05-25 09:30:00,78.8,79.29,77.79,79.22,46628
2016-05-26 09:30:00,78.91,79.53,78.46,79.3,64475
2016-05-27 09:30:00,78.68,79.55,78.68,79.51,99789
2016-05-31 09:30:00,79.33,79.83,78.95,78.95,41113
2016-06-01 09:30:00,78.83,79.67,78.83,79.46,117540
2016-06-02 09:30:00,81.22,81.33,80.52,80.77,82532
2016-06-03 09:30:00,80.92,81.52,80.9,81.29,65783
2016-06-06 09:30:00,81.46,81.98,81.46,81.9,64120
2016-06-07 09:30:00,82.18,82.21,81.7,81.86,80839
2016-06-08 09:30:00,81.11,81.96,81.11,81.73,97186
2016-06-09 09:30:00,82.04,82.21,81.74,82.17,92184
2016-06-10 09:30:00,82.07,82.28,81.89,81.97,253772
2016-06-13 09:30:00,82.25,83.05,82.2,82.58,147522
2016-06-14 09:30:00,80.28,80.98,80.26,80.27,153532
2016-06-15 09:30:00,80.48,80.66,80.11,80.53,116257
2016-06-16 09:30:00,79.62,79.9,79.31,79.49,62988
2016-06-17 09:30:00,80.63,80.7,79.79,80.04,210186
2016-06-20 09:30:00,81.13,81.36,80.84,81.25,110644
2016-06-21 09:30:00,80.68,81.06,80.64,81.03,42128
2016-06-22 09:30:00,81.67,81.74,81.32,81.61,51263
2016-06-23 09:30:00,81.64,81.93,81.45,81.51,46798
2016-06-24 09:30:00,78.6,79.38,78.47,78.78,544190
2016-06-27 09:30:00,77.75,78.22,77.02,77.5,178381
2016-06-28 09:30:00,77.65,78.63,77.37,77.5,225520
2016-06-29 09:30:00,77.84,79.0,77.21,77.64,474598
2016-06-30 09:30:00,79.02,81.61,78.62,80.69,541868
2016-07-01 09:30:00,81.15,81.49,80.48,81.11,113862
2016-07-05 09:30:00,80.54,80.54,80.07,80.22,53851
2016-07-06 09:30:00,79.61,79.82,79.05,79.48,117542
2016-07-07 09:30:00,80.63,80.97,80.51,80.58,87692
2016-07-08 09:30:00,80.74,80.74,80.09,80.35,91031
2016-07-11 09:30:00,81.73,81.79,81.17,81.38,52081
2016-07-12 09:30:00,81.06,81.42,80.52,80.59,161600
2016-07-13 09:30:00,81.37,81.37,80.97,81.05,60704
2016-07-14 09:30:00,80.83,81.14,80.43,80.68,90784
2016-07-15 09:30:00,78.91,79.29,78.37,78.54,185444
2016-07-18 09:30:00,78.66,78.79,77.78,78.74,242952
2016-07-19 09:30:00,78.81,79.0,78.66,78.76,170129
2016-07-20 09:30:00,78.45,78.45,77.71,77.77,124563
2016-07-21 09:30:00,80.06,80.38,79.45,79.83,153437
2016-07-22 09:30:00,80.11,80.85,80.07,80.56,127795
2016-07-25 09:30:00,81.26,81.3,80.76,80.87,51450
2016-07-26 09:30:00,80.16,80.28,79.29,79.45,505718
2016-07-27 09:30:00,77.82,77.87,76.34,76.52,1270665
2016-07-28 09:30:00,74.44,76.04,74.44,75.94,773170
2016-07-29 09:30:00,79.21,80.44,79.16,79.71,1140864
2016-08-01 09:30:00,81.49,81.49,80.48,80.76,216821
2016-08-02 09:30:00,80.52,81.45,79.97,80.47,248760
2016-08-03 09:30:00,80.11,80.27,79.59,80.06,87535
2016-08-04 09:30:00,79.77,80.38,79.53,80.04,146321
2016-08-05 09:30:00,79.69,79.82,79.31,79.61,67315
2016-08-08 09:30:00,79.23,79.23,78.37,78.54,55514
2016-08-09 09:30:00,79.14,79.26,78.71,79.14,148418
2016-08-10 09:30:00,79.61,79.72,79.17,79.17,68188
2016-08-11 09:30:00,79.72,79.83,79.45,79.6,44347
2016-08-12 09:30:00,79.24,79.71,78.86,79.7,67613
2016-08-15 09:30:00,79.65,79.9,79.31,79.77,56943
2016-08-16 09:30:00,78.78,78.89,78.42,78.82,110718
2016-08-17 09:30:00,78.99,78.99,78.6,78.66,46434
2016-08-18 09:30:00,79.2,79.38,78.98,79.0,91056
2016-08-19 09:30:00,78.71,78.84,78.53,78.58,82146
2016-08-22 09:30:00,79.21,79.35,78.77,79.22,90786
2016-08-23 09:30:00,79.65,79.88,79.33,79.41,210494
2016-08-24 09:30:00,79.89,80.09,79.89,80.0,94980
2016-08-25 09:30:00,80.28,80.43,80.04,80.31,65997
2016-08-26 09:30:00,80.93,81.5,80.82,81.45,143877
2016-08-29 09:30:00,81.28,81.86,81.23,81.83,53833
2016-08-30 09:30:00,82.81,82.81,82.18,82.24,69954
2016-08-31 09:30:00,82.68,82.76,81.8,81.96,114702
2016-09-01 09:30:00,81.76,81.9,81.36,81.5,117043
2016-09-02 09:30:00,82.28,83.48,82.26,83.1,121791
2016-09-06 09:30:00,83.4,83.96,83.38,83.86,96120
2016-09-07 09:30:00,85.07,85.57,85.04,85.51,121133
2016-09-08 09:30:00,84.8,84.88,84.31,84.34,114064
2016-09-09 09:30:00,83.07,83.21,82.21,82.53,146056
2016-09-12 09:30:00,81.3,81.77,80.92,81.4,142231
2016-09-13 09:30:00,82.65,82.92,82.4,82.4,142638
2016-09-14 09:30:00,81.45,82.04,81.45,81.89,131266
2016-09-15 09:30:00,81.73,82.92,81.73,82.84,143136
2016-09-16 09:30:00,82.42,82.43,81.82,82.16,491445
2016-09-19 09:30:00,82.43,82.7,82.33,82.7,48832
2016-09-20 09:30:00,82.15,82.46,82.08,82.16,119689
2016-09-21 09:30:00,82.66,83.57,82.42,83.46,217584
2016-09-22 09:30:00,84.49,85.19,84.49,85.07,127895
2016-09-23 09:30:00,85.54,85.72,84.63,85.07,213105
2016-09-26 09:30:00,84.38,84.68,83.55,83.9,144620
2016-09-27 09:30:00,83.91,85.6,83.65,85.24,346997
2016-09-28 09:30:00,88.71,89.08,87.81,88.07,1102351
2016-09-29 09:30:00,87.66,87.73,87.06,87.39,146207
2016-09-30 09:30:00,87.04,87.15,86.23,86.65,205837
2016-10-03 09:30:00,87.48,87.99,86.97,87.24,165129
2016-10-04 09:30:00,87.26,87.83,86.78,87.48,92618
2016-10-05 09:30:00,86.46,86.79,86.42,86.62,122797
2016-10-06 09:30:00,85.93,86.37,85.77,86.12,50295
2016-10-07 09:30:00,86.49,86.74,86.14,86.32,125954
2016-10-10 09:30:00,86.99,88.62,86.99,88.01,353691
2016-10-11 09:30:00,88.14,88.25,87.84,87.94,135295
2016-10-12 09:30:00,87.96,88.11,87.7,88.07,124047
2016-10-13 09:30:00,88.47,88.48,87.93,88.25,231432
2016-10-14 09:30:00,89.11,89.84,89.01,89.53,247998
2016-10-17 09:30:00,89.27,89.68,89.0,89.04,97829
2016-10-18 09:30:00,88.97,88.97,88.71,88.78,75893
2016-10-19 09:30:00,88.09,88.48,87.87,88.0,61213
2016-10-20 09:30:00,87.83,88.15,86.98,87.37,103216
2016-10-21 09:30:00,86.81,86.95,86.38,86.56,228733
2016-10-24 09:30:00,87.08,87.29,86.54,86.7,159975
2016-10-25 09:30:00,86.7,86.84,86.41,86.83,67506
2016-10-26 09:30:00,86.49,86.49,85.76,85.78,101500
2016-10-27 09:30:00,85.38,85.54,85.24,85.3,222469
2016-10-28 09:30:00,83.3,83.85,82.74,83.67,226091
2016-10-31 09:30:00,83.68,84.26,83.48,83.97,138371
2016-11-01 09:30:00,82.24,83.95,81.53,82.62,311216
2016-11-02 09:30:00,83.99,84.09,83.29,83.99,324173
2016-11-03 09:30:00,83.27,83.46,81.65,81.65,225125
2016-11-04 09:30:00,82.77,83.29,82.64,82.86,175959
2016-11-07 09:30:00,83.31,83.81,83.23,83.5,95959
2016-11-08 09:30:00,83.69,84.17,83.68,83.86,128834
2016-11-09 09:30:00,82.57,83.78,82.48,83.71,284756
2016-11-10 09:30:00,81.79,82.2,80.46,80.52,460429
2016-11-11 09:30:00,79.63,79.77,78.66,79.15,212328
2016-11-14 09:30:00,79.12,79.13,78.17,78.22,140979
2016-11-15 09:30:00,77.78,78.3,77.74,78.15,217063
2016-11-16 09:30:00,78.05,78.05,77.2,77.35,150193
2016-11-17 09:30:00,77.96,78.4,77.88,77.97,241672
2016-11-18 09:30:00,77.91,78.34,77.32,77.95,215352
2016-11-21 09:30:00,77.74,78.36,77.74,78.08,134650
2016-11-22 09:30:00,79.15,79.79,78.85,79.77,123679
2016-11-23 09:30:00,80.11,80.35,79.66,80.31,143009
2016-11-25 09:30:00,79.15,80.59,78.81,80.44,134821
2016-11-28 09:30:00,79.88,80.58,79.8,79.83,72320
2016-11-29 09:30:00,80.13,80.82,80.11,80.31,100185
2016-11-30 09:30:00,80.12,80.61,80.12,80.29,77817
2016-12-01 09:30:00,78.59,79.0,77.0,77.03,278339
2016-12-02 09:30:00,76.36,77.07,76.18,76.73,201424
2016-12-05 09:30:00,76.9,77.77,76.9,77.24,165402
2016-12-06 09:30:00,76.81,76.95,76.53,76.77,173473
2016-12-07 09:30:00,76.9,77.17,76.65,76.66,68740
2016-12-08 09:30:00,77.92,78.02,77.44,77.91,66699
2016-12-09 09:30:00,79.15,79.48,78.97,79.08,169457
2016-12-12 09:30:00,79.39,80.26,79.37,79.96,184122
2016-12-13 09:30:00,80.52,80.65,80.03,80.65,92290
2016-12-14 09:30:00,80.37,80.61,80.23,80.42,34327
2016-12-15 09:30:00,78.62,79.23,78.39,78.74,246107
2016-12-16 09:30:00,78.6,79.17,78.01,79.0,432523
2016-12-19 09:30:00,78.96,79.12,78.49,78.99,43159
2016-12-20 09:30:00,78.27,78.47,77.38,77.52,151348
2016-12-21 09:30:00,77.48,78.08,77.38,78.02,140958
2016-12-22 09:30:00,77.94,78.29,77.32,77.67,64980
2016-12-23 09:30:00,78.12,78.71,77.66,78.66,69725
2016-12-27 09:30:00,78.55,78.83,78.38,78.46,77019
2016-12-28 09:30:00,78.28,78.46,78.09,78.3,43401
2016-12-29 09:30:00,78.23,78.6,78.17,78.37,82855
2016-12-30 09:30:00,79.05,79.11,78.4,78.45,64166
2017-01-03 09:30:00,78.71,79.2,78.59,79.05,204280
2017-01-04 09:30:00,79.12,79.74,78.98,79.37,90789
2017-01-05 09:30:00,79.99,80.39,79.61,79.9,219008
2017-01-06 09:30:00,80.08,80.38,79.86,80.09,53259
2017-01-09 09:30:00,80.15,80.15,79.42,79.43,96241
2017-01-10 09:30:00,79.07,79.37,78.22,78.24,140942
2017-01-11 09:30:00,77.59,77.96,77.49,77.89,98216
2017-01-12 09:30:00,76.7,76.79,76.27,76.58,278882
2017-01-13 09:30:00,77.21,77.48,77.1,77.28,199190
2017-01-17 09:30:00,78.42,79.27,78.42,78.99,145346
2017-01-18 09:30:00,78.8,79.78,78.75,79.0,206821
2017-01-19 09:30:00,78.79,79.18,78.79,78.97,48258
2017-01-20 09:30:00,78.77,78.92,78.46,78.71,108862
2017-01-23 09:30:00,78.05,78.51,77.58,77.89,174377
2017-01-24 09:30:00,77.34,77.35,76.49,76.54,197246
2017-01-25 09:30:00,78.24,78.54,78.05,78.52,77200
2017-01-26 09:30:00,78.07,78.35,77.74,77.91,50922
2017-01-27 09:30:00,77.19,77.56,76.57,76.61,99610
2017-01-30 09:30:00,76.8,76.8,75.92,76.01,97700
2017-01-31 09:30:00,76.58,76.78,76.32,76.7,71999
2017-02-01 09:30:00,77.51,77.82,77.1,77.28,110785
2017-02-02 09:30:00,77.9,77.99,77.54,77.86,57733
2017-02-03 09:30:00,77.69,77.79,77.3,77.42,91757
2017-02-06 09:30:00,78.1,78.1,77.47,77.56,47928
2017-02-07 09:30:00,77.52,77.69,76.48,76.58,452425
2017-02-08 09:30:00,76.32,77.6,76.11,77.33,445833
