open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,53.18,53.34,52.88,52.99,177064
2016-01-05 09:30:00,53.15,53.44,52.92,52.92,175995
2016-01-06 09:30:00,52.36,52.41,52.05,52.31,280371
2016-01-07 09:30:00,50.91,51.14,50.63,50.74,326817
2016-01-08 09:30:00,49.43,49.74,49.3,49.46,225868
2016-01-11 09:30:00,49.09,49.45,48.52,48.61,294586
2016-01-12 09:30:00,49.04,49.13,48.88,48.99,151050
2016-01-13 09:30:00,49.03,49.61,48.87,49.49,323877
2016-01-14 09:30:00,47.9,47.9,47.14,47.19,447758
2016-01-15 09:30:00,47.0,47.08,46.03,46.61,623785
2016-01-19 09:30:00,46.62,46.83,46.2,46.66,479148
2016-01-20 09:30:00,49.44,49.44,47.02,47.11,453353
2016-01-21 09:30:00,47.8,47.8,47.1,47.39,322680
2016-01-22 09:30:00,48.98,49.3,48.76,48.87,301646
2016-01-25 09:30:00,48.52,48.73,48.01,48.1,132349
2016-01-26 09:30:00,50.04,50.32,48.45,48.53,446268
2016-01-27 09:30:00,47.54,47.92,47.45,47.59,175519
2016-01-28 09:30:00,47.69,47.74,47.02,47.13,177912
2016-01-29 09:30:00,46.92,47.39,46.87,47.26,297548
2016-02-01 09:30:00,47.59,47.75,47.37,47.5,273722
2016-02-02 09:30:00,47.02,47.32,46.71,46.88,232673
2016-02-03 09:30:00,46.35,46.7,45.74,45.99,189907
2016-02-04 09:30:00,45.09,45.63,44.75,45.6,286742
2016-02-05 09:30:00,45.7,46.35,45.57,45.76,332167
2016-02-08 09:30:00,44.74,44.8,44.32,44.39,248088
2016-02-09 09:30:00,43.32,44.06,43.31,43.82,166134
2016-02-10 09:30:00,44.19,44.71,44.13,44.55,162955
2016-02-11 09:30:00,43.94,44.69,43.89,44.6,269287
2016-02-12 09:30:00,45.35,45.64,45.24,45.27,204058
2016-02-16 09:30:00,46.23,46.4,46.05,46.35,389584
2016-02-17 09:30:00,46.82,47.29,46.62,47.24,276862
2016-02-18 09:30:00,47.9,48.22,47.68,48.21,153654
2016-02-19 09:30:00,47.89,48.05,47.51,47.64,326833
2016-02-22 09:30:00,48.42,48.96,48.37,48.88,224482
2016-02-23 09:30:00,48.46,48.78,48.4,48.63,227078
2016-02-24 09:30:00,47.45,48.01,47.18,47.31,182525
2016-02-25 09:30:00,48.0,48.39,47.9,48.07,122416
2016-02-26 09:30:00,48.53,48.85,48.39,48.7,193956
2016-02-29 09:30:00,48.43,48.81,48.37,48.45,148191
2016-03-01 09:30:00,48.44,48.59,48.29,48.47,140241
2016-03-02 09:30:00,49.08,49.78,49.07,49.66,209516
2016-03-03 09:30:00,50.15,50.5,49.91,50.42,154985
2016-03-04 09:30:00,50.97,51.25,50.68,50.75,148192
2016-03-07 09:30:00,50.23,50.64,49.63,50.57,86340
2016-03-08 09:30:00,50.8,51.27,50.19,50.19,94526
2016-03-09 09:30:00,50.21,50.47,50.04,50.33,233385
2016-03-10 09:30:00,50.32,50.44,50.11,50.27,75996
2016-03-11 09:30:00,50.29,50.38,50.1,50.14,137014
2016-03-14 09:30:00,50.08,50.24,49.75,50.2,143039
2016-03-15 09:30:00,49.66,49.77,49.37,49.42,79879
2016-03-16 09:30:00,49.8,50.15,49.69,49.98,96368
2016-03-17 09:30:00,50.26,50.26,49.88,50.15,77564
2016-03-18 09:30:00,51.38,51.99,51.31,51.97,684561
2016-03-21 09:30:00,52.32,52.41,52.16,52.24,117456
2016-03-22 09:30:00,51.97,52.0,51.7,51.95,73094
2016-03-23 09:30:00,51.86,51.86,51.43,51.59,73549
2016-03-24 09:30:00,51.17,51.22,50.81,51.0,53290
2016-03-28 09:30:00,51.41,51.94,51.38,51.66,133099
2016-03-29 09:30:00,50.85,50.85,50.43,50.64,258147
2016-03-30 09:30:00,51.63,51.94,51.56,51.74,108119
2016-03-31 09:30:00,51.64,51.74,51.46,51.48,48690
2016-04-01 09:30:00,51.97,52.03,51.58,51.76,102454
2016-04-04 09:30:00,52.22,52.28,51.87,52.15,50926
2016-04-05 09:30:00,51.2,51.36,51.0,51.11,111534
2016-04-06 09:30:00,51.24,51.36,51.02,51.08,55344
2016-04-07 09:30:00,51.55,51.63,51.32,51.57,39468
2016-04-08 09:30:00,51.89,52.44,51.74,52.4,90390
2016-04-11 09:30:00,52.05,52.34,51.77,52.28,98149
