open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,19.26,19.28,19.04,19.1,135821
2016-01-05 09:30:00,19.21,19.28,19.11,19.13,201285
2016-01-06 09:30:00,18.97,19.09,18.88,19.0,164967
2016-01-07 09:30:00,18.53,18.71,18.34,18.65,127683
2016-01-08 09:30:00,18.43,18.49,18.36,18.48,97225
2016-01-11 09:30:00,18.16,18.2,18.03,18.08,110228
2016-01-12 09:30:00,18.28,18.46,18.24,18.28,178691
2016-01-13 09:30:00,18.28,18.36,18.2,18.32,176179
2016-01-14 09:30:00,17.99,17.99,17.82,17.88,176581
2016-01-15 09:30:00,17.46,17.9,17.46,17.74,235284
2016-01-19 09:30:00,18.15,18.18,17.98,18.09,178735
2016-01-20 09:30:00,18.14,18.14,17.82,17.94,202326
2016-01-21 09:30:00,18.36,18.43,18.06,18.08,179009
2016-01-22 09:30:00,18.53,18.81,18.49,18.58,210067
2016-01-25 09:30:00,18.58,18.64,18.51,18.53,122195
2016-01-26 09:30:00,18.32,18.41,18.24,18.27,203278
2016-01-27 09:30:00,18.62,18.9,18.62,18.78,345020
2016-01-28 09:30:00,20.09,20.09,18.29,18.29,775570
2016-01-29 09:30:00,17.96,18.4,17.96,18.29,310342
2016-02-01 09:30:00,18.13,18.23,17.97,18.13,224800
2016-02-02 09:30:00,18.07,18.38,17.95,18.37,303872
2016-02-03 09:30:00,17.62,17.81,17.62,17.7,144262
2016-02-04 09:30:00,17.46,17.6,17.43,17.58,120524
2016-02-05 09:30:00,17.46,17.48,17.36,17.45,184782
2016-02-08 09:30:00,17.01,17.1,16.96,16.99,147923
2016-02-09 09:30:00,16.73,17.0,16.69,16.92,127557
2016-02-10 09:30:00,16.79,17.01,16.73,16.97,136279
2016-02-11 09:30:00,16.6,16.78,16.6,16.75,110788
2016-02-12 09:30:00,16.72,16.72,16.44,16.44,123690
2016-02-16 09:30:00,16.87,17.07,16.84,17.07,99425
2016-02-17 09:30:00,17.29,17.58,17.28,17.56,179135
2016-02-18 09:30:00,17.72,17.83,17.67,17.79,104260
2016-02-19 09:30:00,17.69,17.93,17.65,17.81,175728
2016-02-22 09:30:00,17.87,18.0,17.87,17.91,111164
2016-02-23 09:30:00,17.73,17.86,17.59,17.82,128317
2016-02-24 09:30:00,17.39,17.58,17.28,17.47,130794
2016-02-25 09:30:00,17.92,17.93,17.81,17.85,151620
2016-02-26 09:30:00,18.34,18.34,18.15,18.19,94809
2016-02-29 09:30:00,18.1,18.2,18.1,18.13,80549
2016-03-01 09:30:00,18.13,18.22,18.05,18.22,84343
2016-03-02 09:30:00,18.4,18.49,18.37,18.48,123192
2016-03-03 09:30:00,18.55,18.55,18.42,18.45,68910
2016-03-04 09:30:00,18.73,18.78,18.56,18.72,103229
2016-03-07 09:30:00,18.47,18.59,18.44,18.57,61230
2016-03-08 09:30:00,18.71,18.76,18.47,18.47,149903
2016-03-09 09:30:00,18.52,18.56,18.42,18.5,192204
2016-03-10 09:30:00,18.65,18.86,18.59,18.86,61208
2016-03-11 09:30:00,18.89,19.04,18.84,19.0,120767
2016-03-14 09:30:00,18.94,19.07,18.86,19.01,146750
2016-03-15 09:30:00,18.86,18.96,18.77,18.96,125863
2016-03-16 09:30:00,19.15,19.2,19.02,19.14,84814
2016-03-17 09:30:00,19.51,19.52,19.36,19.52,105662
2016-03-18 09:30:00,19.74,19.9,19.62,19.89,730810
2016-03-21 09:30:00,19.99,20.07,19.87,19.93,147856
2016-03-22 09:30:00,20.0,20.1,19.93,19.99,174861
2016-03-23 09:30:00,20.01,20.02,19.91,19.91,80424
2016-03-24 09:30:00,19.72,19.8,19.64,19.71,76863
2016-03-28 09:30:00,19.95,20.0,19.79,19.83,89029
2016-03-29 09:30:00,19.78,19.92,19.65,19.89,119130
2016-03-30 09:30:00,20.43,20.61,20.29,20.47,120072
2016-03-31 09:30:00,20.36,20.36,20.23,20.24,87488
2016-04-01 09:30:00,20.23,20.25,20.13,20.16,159504
2016-04-04 09:30:00,20.54,20.54,20.34,20.41,268868
2016-04-05 09:30:00,20.2,20.2,19.89,19.97,400676
2016-04-06 09:30:00,19.91,20.0,19.84,19.88,137105
2016-04-07 09:30:00,19.94,19.96,19.77,19.84,126311
2016-04-08 09:30:00,19.74,19.94,19.63,19.91,131622
2016-04-11 09:30:00,19.82,19.88,19.73,19.84,68010
2016-04-12 09:30:00,19.61,19.65,19.44,19.44,64005
2016-04-13 09:30:00,19.67,19.77,19.61,19.71,117584
2016-04-14 09:30:00,19.76,19.77,19.48,19.61,168838
2016-04-15 09:30:00,19.6,19.72,19.56,19.71,201103
2016-04-18 09:30:00,19.54,19.62,19.42,19.46,162276
2016-04-19 09:30:00,19.67,19.67,19.54,19.65,205176
2016-04-20 09:30:00,19.51,19.69,19.47,19.59,128740
2016-04-21 09:30:00,19.52,19.6,19.43,19.43,91720
2016-04-22 09:30:00,19.4,19.76,19.4,19.76,102336
2016-04-25 09:30:00,19.45,19.59,19.45,19.5,90505
2016-04-26 09:30:00,19.47,19.66,19.42,19.61,214946
2016-04-27 09:30:00,19.54,19.83,19.5,19.65,277996
2016-04-28 09:30:00,18.51,18.63,17.86,18.05,883267
2016-04-29 09:30:00,17.99,18.01,17.79,17.85,424581
2016-05-02 09:30:00,17.87,17.89,17.7,17.71,104780
2016-05-03 09:30:00,17.76,17.9,17.69,17.85,231989
2016-05-04 09:30:00,17.68,17.84,17.68,17.83,162756
2016-05-05 09:30:00,17.75,17.78,17.56,17.69,116001
2016-05-06 09:30:00,17.61,17.67,17.49,17.5,120850
2016-05-09 09:30:00,17.73,17.82,17.71,17.77,89595
2016-05-10 09:30:00,17.78,17.84,17.73,17.82,124848
2016-05-11 09:30:00,17.81,17.93,17.81,17.85,121296
2016-05-12 09:30:00,17.86,17.9,17.72,17.74,144389
2016-05-13 09:30:00,17.43,17.57,17.39,17.5,117573
2016-05-16 09:30:00,17.45,17.64,17.36,17.58,154116
2016-05-17 09:30:00,17.54,17.58,17.41,17.56,94383
2016-05-18 09:30:00,17.3,17.54,17.24,17.54,124084
2016-05-19 09:30:00,17.37,17.61,17.37,17.47,135086
2016-05-20 09:30:00,17.54,17.86,17.54,17.81,256664
2016-05-23 09:30:00,17.88,18.01,17.79,18.0,151309
2016-05-24 09:30:00,17.86,18.14,17.86,18.11,91419
2016-05-25 09:30:00,18.32,18.46,18.31,18.41,91477
2016-05-26 09:30:00,18.35,18.41,18.3,18.34,158656
2016-05-27 09:30:00,18.36,18.74,18.35,18.72,128007
2016-05-31 09:30:00,18.74,18.8,18.69,18.7,73348
2016-06-01 09:30:00,18.73,18.81,18.65,18.78,359571
2016-06-02 09:30:00,18.73,18.77,18.63,18.75,144979
2016-06-03 09:30:00,18.73,18.75,18.61,18.66,92496
2016-06-06 09:30:00,18.73,18.77,18.66,18.7,92357
2016-06-07 09:30:00,18.73,18.8,18.7,18.73,99797
2016-06-08 09:30:00,18.85,18.89,18.78,18.88,58410
2016-06-09 09:30:00,18.9,19.03,18.84,19.01,79968
2016-06-10 09:30:00,18.94,18.96,18.83,18.91,96494
2016-06-13 09:30:00,18.74,18.88,18.64,18.81,163748
2016-06-14 09:30:00,18.57,18.68,18.54,18.55,175790
2016-06-15 09:30:00,18.65,18.69,18.55,18.55,148319
2016-06-16 09:30:00,18.31,18.35,18.15,18.18,223387
2016-06-17 09:30:00,18.1,18.1,17.87,17.89,724118
2016-06-20 09:30:00,18.49,18.49,18.3,18.39,171556
2016-06-21 09:30:00,18.59,18.66,18.47,18.57,174260
2016-06-22 09:30:00,18.72,18.86,18.7,18.83,116542
2016-06-23 09:30:00,19.03,19.11,18.94,19.04,116385
2016-06-24 09:30:00,18.37,18.68,18.2,18.62,150330
2016-06-27 09:30:00,17.75,17.85,17.74,17.74,420960
2016-06-28 09:30:00,17.51,17.81,17.46,17.8,243649
2016-06-29 09:30:00,18.09,18.35,18.09,18.33,241613
2016-06-30 09:30:00,18.34,18.39,18.18,18.27,95360
2016-07-01 09:30:00,18.52,18.69,18.41,18.66,75546
2016-07-05 09:30:00,18.24,18.39,18.19,18.31,108232
2016-07-06 09:30:00,18.0,18.09,17.87,18.09,79052
2016-07-07 09:30:00,18.36,18.6,18.36,18.59,96934
2016-07-08 09:30:00,18.6,18.82,18.59,18.82,119566
2016-07-11 09:30:00,18.99,19.25,18.99,19.15,266022
2016-07-12 09:30:00,19.63,19.81,19.58,19.74,297730
2016-07-13 09:30:00,19.89,20.0,19.85,19.98,161991
2016-07-14 09:30:00,20.14,20.24,19.98,20.08,300983
2016-07-15 09:30:00,19.71,19.75,19.56,19.68,88099
2016-07-18 09:30:00,19.86,19.88,19.75,19.8,106272
2016-07-19 09:30:00,19.7,19.76,19.62,19.75,113353
2016-07-20 09:30:00,19.81,19.97,19.79,19.95,167054
2016-07-21 09:30:00,19.89,19.9,19.67,19.7,305521
2016-07-22 09:30:00,19.62,19.73,19.58,19.73,102859
2016-07-25 09:30:00,19.82,19.98,19.82,19.88,116311
2016-07-26 09:30:00,19.89,19.93,19.78,19.88,230804
2016-07-27 09:30:00,20.09,20.15,20.02,20.07,72348
2016-07-28 09:30:00,18.64,20.2,18.64,20.17,1399455
2016-07-29 09:30:00,18.9,19.13,18.69,18.78,440161
2016-08-01 09:30:00,18.73,18.79,18.72,18.74,180510
2016-08-02 09:30:00,18.69,18.85,18.69,18.82,315345
2016-08-03 09:30:00,18.4,18.59,18.4,18.52,167666
2016-08-04 09:30:00,18.46,18.62,18.46,18.58,145147
2016-08-05 09:30:00,18.71,18.8,18.69,18.75,213808
2016-08-08 09:30:00,19.05,19.06,18.91,18.94,154412
2016-08-09 09:30:00,19.09,19.26,19.09,19.1,97586
2016-08-10 09:30:00,18.9,18.92,18.7,18.85,160319
2016-08-11 09:30:00,18.93,18.95,18.89,18.91,153335
2016-08-12 09:30:00,18.93,19.02,18.87,18.98,82918
2016-08-15 09:30:00,19.12,19.36,19.1,19.34,179402
2016-08-16 09:30:00,19.49,19.52,19.39,19.44,50820
2016-08-17 09:30:00,19.12,19.31,19.09,19.22,112681
2016-08-18 09:30:00,19.3,19.44,19.3,19.43,163741
2016-08-19 09:30:00,19.42,19.74,19.42,19.74,317447
2016-08-22 09:30:00,19.68,19.77,19.6,19.71,144215
2016-08-23 09:30:00,19.86,19.91,19.83,19.89,164137
2016-08-24 09:30:00,19.95,19.98,19.9,19.93,49910
2016-08-25 09:30:00,19.74,19.91,19.73,19.85,116062
2016-08-26 09:30:00,19.89,20.0,19.88,19.96,53144
2016-08-29 09:30:00,20.01,20.15,19.99,20.09,125374
2016-08-30 09:30:00,20.1,20.21,20.07,20.21,128089
2016-08-31 09:30:00,20.16,20.22,19.96,20.03,266236
2016-09-01 09:30:00,19.89,20.1,19.89,20.01,95917
2016-09-02 09:30:00,20.27,20.32,20.01,20.09,127733
2016-09-06 09:30:00,20.3,20.4,20.2,20.22,177734
2016-09-07 09:30:00,20.13,20.33,20.03,20.08,211004
2016-09-08 09:30:00,20.12,20.19,20.01,20.08,126762
2016-09-09 09:30:00,20.02,20.06,19.82,19.83,156795
2016-09-12 09:30:00,19.1,19.35,19.06,19.22,181024
2016-09-13 09:30:00,19.41,19.53,19.3,19.41,123741
2016-09-14 09:30:00,19.44,19.45,19.24,19.3,104316
2016-09-15 09:30:00,19.38,19.5,19.34,19.46,93906
2016-09-16 09:30:00,19.93,20.03,19.65,19.69,406805
2016-09-19 09:30:00,19.95,20.09,19.9,20.04,125315
2016-09-20 09:30:00,20.15,20.2,20.05,20.09,95361
2016-09-21 09:30:00,19.97,20.15,19.95,20.15,78525
2016-09-22 09:30:00,20.41,20.48,20.35,20.45,107631
2016-09-23 09:30:00,20.39,20.47,20.32,20.35,173784
2016-09-26 09:30:00,20.04,20.09,19.93,20.04,206595
2016-09-27 09:30:00,19.9,20.0,19.79,19.98,104633
2016-09-28 09:30:00,20.11,20.42,20.11,20.41,127098
2016-09-29 09:30:00,20.16,20.35,20.16,20.32,39438
2016-09-30 09:30:00,20.32,20.36,20.26,20.35,111855
2016-10-03 09:30:00,20.52,20.61,20.49,20.5,84052
2016-10-04 09:30:00,20.43,20.58,20.41,20.56,65027
2016-10-05 09:30:00,20.28,20.42,20.28,20.36,83771
2016-10-06 09:30:00,20.53,20.62,20.45,20.48,72339
2016-10-07 09:30:00,20.73,20.75,20.54,20.61,115459
2016-10-10 09:30:00,20.85,21.02,20.84,20.9,206731
2016-10-11 09:30:00,20.41,20.41,20.18,20.22,153868
2016-10-12 09:30:00,20.13,20.13,19.95,20.08,125920
2016-10-13 09:30:00,19.87,19.88,19.56,19.59,217593
2016-10-14 09:30:00,20.05,20.24,20.05,20.1,176343
2016-10-17 09:30:00,20.14,20.21,20.06,20.15,67652
2016-10-18 09:30:00,20.34,20.34,20.16,20.17,89204
2016-10-19 09:30:00,20.16,20.22,20.08,20.21,117130
2016-10-20 09:30:00,20.27,20.36,20.17,20.22,149889
2016-10-21 09:30:00,19.21,20.11,19.21,20.05,124305
2016-10-24 09:30:00,20.6,20.97,20.54,20.96,260391
2016-10-25 09:30:00,20.82,21.04,20.72,20.87,129740
2016-10-26 09:30:00,20.69,20.89,20.69,20.86,111581
2016-10-27 09:30:00,22.16,22.18,21.19,21.67,956405
2016-10-28 09:30:00,21.93,22.32,21.88,22.29,495987
2016-10-31 09:30:00,22.09,22.26,22.01,22.02,190959
2016-11-01 09:30:00,22.13,22.44,22.13,22.3,180170
2016-11-02 09:30:00,22.08,22.26,22.08,22.19,120589
2016-11-03 09:30:00,21.81,21.91,21.72,21.74,149824
2016-11-04 09:30:00,21.77,21.83,21.54,21.57,186188
2016-11-07 09:30:00,21.91,22.21,21.91,22.15,130681
2016-11-08 09:30:00,22.13,22.21,22.05,22.21,92965
2016-11-09 09:30:00,21.87,22.43,21.85,22.17,217009
2016-11-10 09:30:00,22.48,22.75,22.45,22.58,139277
2016-11-11 09:30:00,22.28,22.49,22.09,22.32,159109
2016-11-14 09:30:00,22.79,22.96,22.7,22.89,274698
2016-11-15 09:30:00,22.91,23.01,22.81,22.81,74925
2016-11-16 09:30:00,23.01,23.27,22.99,23.03,151049
2016-11-17 09:30:00,23.29,23.37,23.16,23.34,193369
2016-11-18 09:30:00,23.36,23.57,23.29,23.46,127911
2016-11-21 09:30:00,23.68,23.7,23.54,23.58,157562
2016-11-22 09:30:00,23.65,23.72,23.49,23.64,206352
2016-11-23 09:30:00,23.57,23.58,23.37,23.47,85063
2016-11-25 09:30:00,23.65,23.75,23.59,23.71,71958
2016-11-28 09:30:00,23.73,23.92,23.72,23.76,204760
2016-11-29 09:30:00,23.76,23.77,23.54,23.58,99211
2016-11-30 09:30:00,23.47,23.55,23.33,23.55,189562
2016-12-01 09:30:00,23.28,23.28,23.06,23.09,81128
2016-12-02 09:30:00,22.41,22.58,22.33,22.54,126583
2016-12-05 09:30:00,23.07,23.23,22.95,23.09,110803
2016-12-06 09:30:00,23.45,23.65,23.34,23.64,463733
2016-12-07 09:30:00,24.04,24.26,23.97,24.05,804528
2016-12-08 09:30:00,24.4,24.96,24.37,24.9,1175033
2016-12-09 09:30:00,25.24,25.24,24.67,24.67,136256
2016-12-12 09:30:00,24.75,24.75,24.45,24.63,193016
2016-12-13 09:30:00,24.46,24.59,24.45,24.57,156244
2016-12-14 09:30:00,24.35,24.6,24.34,24.44,142801
2016-12-15 09:30:00,24.63,24.63,24.31,24.61,87464
2016-12-16 09:30:00,24.72,24.76,24.55,24.63,345892
2016-12-19 09:30:00,24.39,24.65,24.35,24.57,86089
2016-12-20 09:30:00,24.58,24.67,24.52,24.57,69904
2016-12-21 09:30:00,24.58,24.71,24.47,24.48,68062
2016-12-22 09:30:00,24.7,24.7,24.32,24.37,78747
2016-12-23 09:30:00,24.38,24.46,24.24,24.31,43057
2016-12-27 09:30:00,24.48,24.73,24.45,24.7,46374
2016-12-28 09:30:00,24.75,24.75,24.62,24.68,57889
2016-12-29 09:30:00,24.4,24.53,24.21,24.21,62508
2016-12-30 09:30:00,24.47,24.52,24.16,24.17,96880
2017-01-03 09:30:00,24.29,24.42,24.19,24.42,174434
2017-01-04 09:30:00,24.18,24.43,24.16,24.31,201950
2017-01-05 09:30:00,24.35,24.61,24.23,24.56,120986
2017-01-06 09:30:00,24.41,24.48,24.3,24.39,98174
2017-01-09 09:30:00,24.52,24.66,24.48,24.6,156846
2017-01-10 09:30:00,24.45,24.66,24.45,24.59,117102
2017-01-11 09:30:00,25.12,25.23,24.49,24.94,508235
2017-01-12 09:30:00,24.78,25.06,24.63,24.69,129069
2017-01-13 09:30:00,25.13,25.41,25.07,25.15,189656
2017-01-17 09:30:00,25.27,25.27,24.8,24.8,106597
