open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,24.98,25.05,24.8,24.96,434135
2016-01-05 09:30:00,24.77,24.99,24.64,24.76,303461
2016-01-06 09:30:00,24.4,24.55,24.26,24.55,415145
2016-01-07 09:30:00,23.94,24.2,23.9,24.12,370356
2016-01-08 09:30:00,23.96,23.98,23.75,23.91,465632
2016-01-11 09:30:00,23.44,23.51,23.27,23.36,264006
2016-01-12 09:30:00,23.79,23.8,23.63,23.77,470252
2016-01-13 09:30:00,23.77,23.84,23.5,23.56,281543
2016-01-14 09:30:00,22.9,23.04,22.6,22.66,401917
2016-01-15 09:30:00,22.26,22.57,22.25,22.38,1100944
2016-01-19 09:30:00,22.8,22.8,22.48,22.56,498182
2016-01-20 09:30:00,21.75,22.05,21.72,21.82,1147016
2016-01-21 09:30:00,22.1,22.12,21.59,21.61,1492162
2016-01-22 09:30:00,21.8,22.0,21.49,21.5,741411
2016-01-25 09:30:00,21.51,21.57,21.26,21.31,839791
2016-01-26 09:30:00,21.12,21.22,20.98,21.0,1031659
2016-01-27 09:30:00,21.26,21.49,21.18,21.49,518567
2016-01-28 09:30:00,21.56,21.84,21.56,21.83,407806
2016-01-29 09:30:00,21.76,21.83,21.66,21.83,522823
2016-02-01 09:30:00,22.01,22.08,21.78,21.8,385550
2016-02-02 09:30:00,21.5,21.54,21.28,21.44,545844
2016-02-03 09:30:00,21.46,21.52,21.12,21.16,682749
2016-02-04 09:30:00,21.45,21.73,21.43,21.64,818230
2016-02-05 09:30:00,21.77,22.02,21.69,21.81,575536
2016-02-08 09:30:00,21.36,21.39,21.16,21.21,564885
2016-02-09 09:30:00,20.83,21.23,20.8,21.16,585233
2016-02-10 09:30:00,21.58,21.8,21.44,21.55,367147
2016-02-11 09:30:00,20.75,20.94,20.55,20.88,629210
2016-02-12 09:30:00,21.2,21.22,21.02,21.05,427382
2016-02-16 09:30:00,21.87,21.96,21.67,21.86,459424
2016-02-17 09:30:00,22.41,22.6,22.36,22.43,527523
2016-02-18 09:30:00,22.46,22.55,22.22,22.31,476624
2016-02-19 09:30:00,21.87,21.99,21.8,21.9,977957
2016-02-22 09:30:00,22.29,22.49,22.27,22.4,416450
2016-02-23 09:30:00,22.36,22.51,22.08,22.15,588563
2016-02-24 09:30:00,21.58,21.61,21.41,21.46,812296
2016-02-25 09:30:00,21.91,22.06,21.86,21.93,527095
2016-02-26 09:30:00,22.4,22.52,22.27,22.32,548039
2016-02-29 09:30:00,22.66,22.72,22.27,22.41,566877
2016-03-01 09:30:00,22.17,22.24,22.06,22.08,708744
2016-03-02 09:30:00,22.88,23.02,22.8,22.85,587265
2016-03-03 09:30:00,23.07,23.13,22.97,23.04,358611
2016-03-04 09:30:00,23.5,23.75,23.43,23.5,633553
2016-03-07 09:30:00,23.32,23.42,23.21,23.32,299373
2016-03-08 09:30:00,23.37,23.37,22.94,22.95,701779
2016-03-09 09:30:00,23.15,23.24,22.94,23.02,528299
2016-03-10 09:30:00,23.04,23.32,22.92,23.3,1138918
2016-03-11 09:30:00,23.21,23.31,23.09,23.16,370187
2016-03-14 09:30:00,23.48,23.54,23.29,23.38,261153
2016-03-15 09:30:00,23.21,23.38,23.19,23.31,435287
2016-03-16 09:30:00,23.25,23.48,23.23,23.39,283790
2016-03-17 09:30:00,23.09,23.09,22.83,22.87,542294
2016-03-18 09:30:00,23.46,23.75,23.41,23.68,1781988
2016-03-21 09:30:00,23.69,23.84,23.64,23.67,319118
2016-03-22 09:30:00,23.43,23.5,23.34,23.49,356474
2016-03-23 09:30:00,23.5,23.55,23.29,23.39,336457
2016-03-24 09:30:00,23.15,23.15,22.86,22.97,381322
2016-03-28 09:30:00,22.77,22.99,22.77,22.92,808701
