open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,122.58,122.67,121.7,121.93,20737
2016-01-05 09:30:00,120.58,121.32,120.58,120.71,18706
2016-01-06 09:30:00,121.59,123.23,121.35,122.14,31953
2016-01-07 09:30:00,121.92,122.56,121.19,121.22,23337
2016-01-08 09:30:00,121.66,122.4,121.45,122.23,10812
2016-01-11 09:30:00,121.69,122.16,120.28,120.28,20472
2016-01-12 09:30:00,119.79,120.98,119.5,120.68,15083
2016-01-13 09:30:00,122.81,124.21,121.23,123.09,22558
2016-01-14 09:30:00,122.39,123.09,122.24,122.61,25449
2016-01-15 09:30:00,121.21,121.69,119.68,120.81,12651
2016-01-19 09:30:00,123.54,124.43,122.66,124.2,14605
2016-01-20 09:30:00,123.54,124.21,123.24,123.65,26552
2016-01-21 09:30:00,125.09,125.86,123.63,123.71,19205
2016-01-22 09:30:00,126.41,127.72,125.76,127.69,38923
2016-01-25 09:30:00,127.71,128.79,127.54,128.09,17176
2016-01-26 09:30:00,127.63,128.22,127.37,127.45,20234
2016-01-27 09:30:00,129.42,130.02,129.28,129.47,15344
2016-01-28 09:30:00,127.79,128.48,126.5,126.78,37546
2016-01-29 09:30:00,126.48,128.43,126.07,128.43,24110
2016-02-01 09:30:00,127.79,128.44,126.43,128.12,15346
2016-02-02 09:30:00,129.98,130.92,129.86,130.45,31103
2016-02-03 09:30:00,130.03,130.44,129.3,129.49,13091
2016-02-04 09:30:00,129.86,129.86,128.68,129.04,9865
2016-02-05 09:30:00,128.7,129.56,128.7,128.9,11632
2016-02-08 09:30:00,126.08,126.13,125.12,125.77,37400
2016-02-09 09:30:00,124.98,126.75,124.56,126.75,21873
2016-02-10 09:30:00,127.78,129.43,127.78,128.75,20598
2016-02-11 09:30:00,125.3,125.95,124.93,125.64,13344
2016-02-12 09:30:00,125.26,125.35,124.56,124.58,17521
2016-02-16 09:30:00,126.32,126.96,125.64,125.98,9990
2016-02-17 09:30:00,127.07,127.34,126.82,127.21,14905
2016-02-18 09:30:00,127.76,128.26,127.26,127.95,13091
2016-02-19 09:30:00,127.05,127.65,126.39,127.11,8377
2016-02-22 09:30:00,129.38,129.38,127.44,127.8,27983
2016-02-23 09:30:00,124.32,125.8,124.21,125.77,15225
2016-02-24 09:30:00,123.51,124.38,123.51,124.27,13298
2016-02-25 09:30:00,126.47,132.53,126.47,132.01,270388
2016-02-26 09:30:00,136.14,138.39,135.77,137.09,155173
2016-02-29 09:30:00,136.91,137.53,136.09,136.22,24074
2016-03-01 09:30:00,135.46,135.92,134.81,135.82,19646
2016-03-02 09:30:00,136.46,137.44,136.46,137.44,17074
2016-03-03 09:30:00,137.98,138.6,137.8,137.91,12715
2016-03-04 09:30:00,138.88,139.29,137.84,138.64,9912
2016-03-07 09:30:00,138.6,139.07,138.36,138.88,20745
2016-03-08 09:30:00,137.49,138.25,136.73,137.44,15501
2016-03-09 09:30:00,139.08,139.08,138.49,138.6,34079
2016-03-10 09:30:00,140.72,140.9,139.89,139.89,17031
