open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,30.46,30.71,30.32,30.69,719700
2016-01-05 09:30:00,30.88,31.06,30.82,30.93,796638
2016-01-06 09:30:00,30.81,31.11,30.6,30.67,1126814
2016-01-07 09:30:00,30.07,30.78,30.07,30.73,1234678
2016-01-08 09:30:00,30.61,30.72,30.11,30.18,728584
2016-01-11 09:30:00,29.25,29.59,29.22,29.32,1078912
2016-01-12 09:30:00,29.99,30.38,29.86,30.1,949344
2016-01-13 09:30:00,30.18,30.18,29.89,29.92,420736
2016-01-14 09:30:00,29.51,29.62,29.29,29.29,550568
2016-01-15 09:30:00,28.98,29.34,28.98,29.17,1630376
2016-01-19 09:30:00,29.66,29.77,29.45,29.55,1143586
2016-01-20 09:30:00,29.36,29.64,29.36,29.41,791032
2016-01-21 09:30:00,29.33,29.47,29.11,29.3,944248
2016-01-22 09:30:00,29.95,30.33,29.9,30.32,894798
2016-01-25 09:30:00,30.11,30.21,29.95,30.01,438964
2016-01-26 09:30:00,30.02,30.21,29.92,30.2,343468
2016-01-27 09:30:00,30.38,30.48,30.25,30.28,257782
2016-01-28 09:30:00,30.31,30.33,30.11,30.24,355846
2016-01-29 09:30:00,30.45,30.64,30.3,30.58,459618
2016-02-01 09:30:00,30.92,31.14,30.72,31.13,550752
2016-02-02 09:30:00,31.78,31.98,31.52,31.59,1048084
2016-02-03 09:30:00,31.88,31.94,31.52,31.52,552968
2016-02-04 09:30:00,30.89,31.02,30.75,30.91,681282
2016-02-05 09:30:00,31.08,31.18,30.54,30.7,837432
2016-02-08 09:30:00,29.39,29.56,29.26,29.28,913762
2016-02-09 09:30:00,29.52,30.27,29.52,30.05,799198
2016-02-10 09:30:00,30.71,31.03,30.64,30.69,680444
2016-02-11 09:30:00,29.8,30.28,29.8,30.21,539320
2016-02-12 09:30:00,30.01,30.17,29.65,30.02,548108
2016-02-16 09:30:00,31.06,31.13,30.75,30.78,651258
2016-02-17 09:30:00,31.3,31.64,31.3,31.4,551842
2016-02-18 09:30:00,31.3,31.39,30.93,31.19,749322
2016-02-19 09:30:00,30.99,31.11,30.72,30.83,1377388
2016-02-22 09:30:00,31.65,31.83,31.49,31.76,784120
2016-02-23 09:30:00,31.93,32.16,31.93,32.01,724440
2016-02-24 09:30:00,31.99,32.29,31.36,31.95,3741942
