open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,4.246,4.249,4.176,4.21,31609032
2016-01-05 09:30:00,4.319,4.337,4.258,4.258,11167536
2016-01-06 09:30:00,4.02,4.107,4.014,4.101,19791960
2016-01-07 09:30:00,3.85,3.921,3.824,3.889,24212064
2016-01-08 09:30:00,3.806,3.876,3.797,3.875,28017096
2016-01-11 09:30:00,3.714,3.743,3.64,3.654,18018576
2016-01-12 09:30:00,3.769,3.851,3.762,3.822,26481672
2016-01-13 09:30:00,3.842,3.866,3.793,3.805,16168584
2016-01-14 09:30:00,3.439,3.453,3.293,3.3,26000928
2016-01-15 09:30:00,3.252,3.396,3.24,3.307,36688632
2016-01-19 09:30:00,3.413,3.429,3.335,3.367,22399968
2016-01-20 09:30:00,3.146,3.182,3.061,3.072,32506056
2016-01-21 09:30:00,3.312,3.312,3.179,3.207,27346992
2016-01-22 09:30:00,3.475,3.514,3.444,3.511,24925632
2016-01-25 09:30:00,3.532,3.554,3.509,3.534,19762464
2016-01-26 09:30:00,3.448,3.463,3.359,3.373,17890416
2016-01-27 09:30:00,3.436,3.46,3.392,3.4,12437520
2016-01-28 09:30:00,3.391,3.4,3.339,3.35,17855400
2016-01-29 09:30:00,3.375,3.472,3.366,3.46,17631888
2016-02-01 09:30:00,3.531,3.562,3.503,3.526,13205664
2016-02-02 09:30:00,3.566,3.566,3.485,3.511,22054296
2016-02-03 09:30:00,3.442,3.442,3.34,3.346,17376504
2016-02-04 09:30:00,3.299,3.327,3.211,3.269,20236128
2016-02-05 09:30:00,3.292,3.296,3.169,3.18,21141168
2016-02-08 09:30:00,2.817,2.836,2.767,2.807,31981536
2016-02-09 09:30:00,2.732,2.908,2.716,2.866,35875200
2016-02-10 09:30:00,2.915,2.961,2.876,2.958,31145232
2016-02-11 09:30:00,2.739,2.842,2.733,2.819,26195688
2016-02-12 09:30:00,2.934,2.943,2.855,2.862,18513888
2016-02-16 09:30:00,3.098,3.139,3.09,3.106,20743824
2016-02-17 09:30:00,3.237,3.257,3.209,3.253,29419824
2016-02-18 09:30:00,3.412,3.413,3.349,3.358,16170120
2016-02-19 09:30:00,3.225,3.258,3.194,3.24,16477056
2016-02-22 09:30:00,3.384,3.432,3.375,3.43,21501600
2016-02-23 09:30:00,3.39,3.419,3.384,3.401,13241208
2016-02-24 09:30:00,3.171,3.177,3.117,3.131,21165792
2016-02-25 09:30:00,3.399,3.416,3.326,3.329,15562608
2016-02-26 09:30:00,3.549,3.557,3.517,3.522,21588600
2016-02-29 09:30:00,3.454,3.493,3.438,3.479,12253728
2016-03-01 09:30:00,3.462,3.477,3.435,3.47,17771664
2016-03-02 09:30:00,3.678,3.697,3.641,3.659,15961008
2016-03-03 09:30:00,3.687,3.69,3.643,3.653,10626048
2016-03-04 09:30:00,3.69,3.697,3.608,3.626,16915200
2016-03-07 09:30:00,3.625,3.642,3.586,3.587,12103824
2016-03-08 09:30:00,3.537,3.597,3.509,3.568,16397256
2016-03-09 09:30:00,3.565,3.567,3.503,3.526,12541176
2016-03-10 09:30:00,3.643,3.692,3.607,3.688,21543960
2016-03-11 09:30:00,3.687,3.708,3.665,3.696,17584896
2016-03-14 09:30:00,3.719,3.751,3.715,3.73,9611592
2016-03-15 09:30:00,3.741,3.756,3.715,3.726,9328224
2016-03-16 09:30:00,3.743,3.794,3.743,3.789,6819792
