open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,16.31,16.6,16.21,16.27,134808
2016-01-05 09:30:00,16.59,16.67,15.94,16.02,129122
2016-01-06 09:30:00,15.74,15.92,15.48,15.92,210721
2016-01-07 09:30:00,13.99,14.24,13.83,13.9,201961
2016-01-08 09:30:00,13.39,13.66,13.27,13.29,112663
2016-01-11 09:30:00,13.91,14.07,13.34,13.45,69171
2016-01-12 09:30:00,13.88,14.8,13.83,14.44,209170
2016-01-13 09:30:00,13.73,14.06,13.17,13.26,287554
2016-01-14 09:30:00,11.19,11.3,10.76,10.9,785805
2016-01-15 09:30:00,10.36,10.84,10.14,10.37,255116
2016-01-19 09:30:00,10.68,10.84,9.894,9.975,307240
2016-01-20 09:30:00,9.906,9.906,9.139,9.343,260993
2016-01-21 09:30:00,10.17,10.42,9.956,10.25,227505
2016-01-22 09:30:00,12.56,12.9,12.38,12.9,455881
2016-01-25 09:30:00,12.42,13.11,12.08,13.01,263810
2016-01-26 09:30:00,13.16,13.36,12.43,12.43,227531
2016-01-27 09:30:00,13.62,13.88,13.19,13.54,277927
2016-01-28 09:30:00,14.44,14.92,14.42,14.68,235401
2016-01-29 09:30:00,14.57,14.77,14.47,14.65,300777
2016-02-01 09:30:00,14.17,14.17,13.31,13.76,242107
2016-02-02 09:30:00,13.61,13.72,13.22,13.5,304263
2016-02-03 09:30:00,14.13,14.27,13.86,14.01,124112
2016-02-04 09:30:00,14.55,14.93,14.53,14.81,250776
2016-02-05 09:30:00,14.73,15.08,14.31,15.08,193641
2016-02-08 09:30:00,13.86,13.97,12.58,12.86,353939
2016-02-09 09:30:00,12.29,12.42,11.53,11.68,321419
2016-02-10 09:30:00,11.47,11.86,11.45,11.82,207886
2016-02-11 09:30:00,11.27,11.47,11.0,11.41,254635
2016-02-12 09:30:00,10.32,10.48,9.792,9.863,335469
2016-02-16 09:30:00,10.62,10.82,9.921,10.22,470664
2016-02-17 09:30:00,11.43,12.53,11.25,12.37,380960
2016-02-18 09:30:00,13.53,14.86,13.53,14.02,2061664
2016-02-19 09:30:00,14.77,14.77,13.56,13.67,1616161
2016-02-22 09:30:00,14.22,15.01,14.19,14.77,501081
2016-02-23 09:30:00,14.48,15.01,14.39,14.86,671080
2016-02-24 09:30:00,12.96,13.28,12.74,12.96,515982
2016-02-25 09:30:00,13.9,14.63,13.41,14.13,903859
2016-02-26 09:30:00,16.12,17.46,16.12,17.46,1156780
2016-02-29 09:30:00,16.46,17.12,16.31,16.92,336048
2016-03-01 09:30:00,17.28,17.36,16.6,17.02,503051
2016-03-02 09:30:00,16.97,17.65,16.48,17.07,630946
2016-03-03 09:30:00,17.41,18.26,17.15,17.98,678451
2016-03-04 09:30:00,18.88,19.14,18.17,18.34,327895
2016-03-07 09:30:00,19.24,19.52,18.73,19.35,429770
2016-03-08 09:30:00,19.21,19.28,17.85,18.1,414627
2016-03-09 09:30:00,18.02,18.02,17.33,17.56,281613
2016-03-10 09:30:00,18.15,18.33,17.72,18.3,193753
2016-03-11 09:30:00,18.17,18.39,17.92,17.99,254928
2016-03-14 09:30:00,18.08,18.61,17.72,18.28,229438
2016-03-15 09:30:00,18.42,18.46,17.9,18.06,236596
2016-03-16 09:30:00,18.5,19.36,18.4,19.18,493710
2016-03-17 09:30:00,19.71,20.24,19.33,19.52,357377
2016-03-18 09:30:00,19.68,19.96,19.55,19.88,277786
2016-03-21 09:30:00,19.15,19.23,18.86,18.9,159954
2016-03-22 09:30:00,18.61,19.0,18.37,18.92,270397
2016-03-23 09:30:00,18.94,19.2,18.59,18.61,190588
2016-03-24 09:30:00,17.78,17.78,17.07,17.36,377424
2016-03-28 09:30:00,18.05,18.08,17.48,17.61,168954
2016-03-29 09:30:00,17.54,17.71,17.39,17.43,226316
2016-03-30 09:30:00,18.68,18.98,18.48,18.91,384868
2016-03-31 09:30:00,18.64,19.31,18.6,19.23,168682
2016-04-01 09:30:00,18.61,18.68,18.2,18.26,308482
2016-04-04 09:30:00,18.04,18.42,17.76,18.08,196907
2016-04-05 09:30:00,17.61,17.83,17.46,17.78,205435
2016-04-06 09:30:00,18.37,18.44,17.86,18.03,251131
2016-04-07 09:30:00,18.33,18.84,18.23,18.35,159058
2016-04-08 09:30:00,18.94,19.38,18.84,19.28,265275
2016-04-11 09:30:00,19.31,19.45,19.08,19.42,262604
2016-04-12 09:30:00,19.5,19.57,19.31,19.47,201221
2016-04-13 09:30:00,20.71,20.91,20.25,20.28,383561
2016-04-14 09:30:00,20.65,20.72,20.19,20.24,266520
2016-04-15 09:30:00,20.4,20.54,20.24,20.49,199822
2016-04-18 09:30:00,19.91,20.8,19.82,20.78,504647
2016-04-19 09:30:00,22.12,23.04,22.1,22.89,569831
2016-04-20 09:30:00,23.74,24.49,23.65,23.98,522768
2016-04-21 09:30:00,24.31,24.83,24.03,24.51,653155
2016-04-22 09:30:00,24.93,25.03,24.73,24.84,165389
2016-04-25 09:30:00,25.58,25.74,24.98,25.02,299589
2016-04-26 09:30:00,24.49,24.54,23.98,24.2,181251
