open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,89.23,89.43,88.4,88.66,192503
2016-01-05 09:30:00,88.56,89.24,88.28,88.77,172909
2016-01-06 09:30:00,87.85,88.48,87.76,88.32,109879
2016-01-07 09:30:00,86.55,87.4,85.97,87.33,232097
2016-01-08 09:30:00,86.24,86.46,85.83,86.31,234527
2016-01-11 09:30:00,85.81,86.12,85.16,85.33,120157
2016-01-12 09:30:00,86.84,86.98,86.28,86.36,249154
2016-01-13 09:30:00,87.26,87.71,87.18,87.35,274096
2016-01-14 09:30:00,85.54,86.06,85.29,85.75,230816
2016-01-15 09:30:00,83.24,85.21,83.24,84.22,422885
2016-01-19 09:30:00,85.92,85.97,85.15,85.69,290584
2016-01-20 09:30:00,84.32,84.58,84.14,84.41,221624
2016-01-21 09:30:00,83.71,84.7,81.59,81.94,517128
2016-01-22 09:30:00,83.52,83.74,82.86,83.42,207018
2016-01-25 09:30:00,82.63,83.01,81.92,82.2,304612
2016-01-26 09:30:00,82.42,83.27,82.35,83.21,191038
2016-01-27 09:30:00,83.07,83.34,82.98,83.16,82275
2016-01-28 09:30:00,83.65,84.01,83.23,83.85,109879
2016-01-29 09:30:00,84.91,85.04,84.6,84.99,130001
2016-02-01 09:30:00,85.82,86.28,85.57,85.9,202215
2016-02-02 09:30:00,85.03,85.53,85.03,85.44,138517
2016-02-03 09:30:00,85.71,85.85,85.2,85.45,130234
2016-02-04 09:30:00,86.04,86.7,85.99,86.46,141862
2016-02-05 09:30:00,86.62,87.04,86.49,86.7,249262
2016-02-08 09:30:00,84.77,85.43,84.69,84.72,414073
2016-02-09 09:30:00,84.7,85.41,83.63,85.32,215307
2016-02-10 09:30:00,85.74,86.6,85.39,86.56,197557
2016-02-11 09:30:00,83.6,84.27,83.33,84.0,238589
2016-02-12 09:30:00,84.34,85.15,83.96,85.0,278539
2016-02-16 09:30:00,87.44,87.44,85.92,86.12,291029
2016-02-17 09:30:00,87.03,87.5,86.74,87.23,141159
2016-02-18 09:30:00,87.85,88.05,87.51,87.81,157396
2016-02-19 09:30:00,87.49,87.62,87.07,87.46,262728
2016-02-22 09:30:00,88.08,88.19,87.44,87.99,351786
2016-02-23 09:30:00,87.56,87.69,87.37,87.46,209715
2016-02-24 09:30:00,86.48,86.48,85.98,86.08,184134
2016-02-25 09:30:00,87.68,87.76,87.26,87.47,191865
2016-02-26 09:30:00,88.33,88.49,87.9,88.15,203575
2016-02-29 09:30:00,87.41,87.62,86.94,87.18,121480
2016-03-01 09:30:00,87.15,87.35,87.07,87.13,134007
2016-03-02 09:30:00,88.7,88.86,88.49,88.56,120527
2016-03-03 09:30:00,88.59,88.88,87.83,87.87,220142
2016-03-04 09:30:00,88.96,89.02,87.9,87.99,185085
2016-03-07 09:30:00,88.67,88.92,88.3,88.44,109353
2016-03-08 09:30:00,88.7,89.38,88.7,89.03,207190
2016-03-09 09:30:00,90.36,90.52,89.94,90.37,111377
2016-03-10 09:30:00,90.06,90.82,90.03,90.81,247270
2016-03-11 09:30:00,90.92,91.23,90.87,91.16,170319
2016-03-14 09:30:00,92.1,92.22,91.44,91.53,183545
2016-03-15 09:30:00,90.95,91.82,90.82,91.81,135147
2016-03-16 09:30:00,91.98,92.5,91.98,92.37,88065
2016-03-17 09:30:00,92.97,93.36,92.74,93.33,151752
2016-03-18 09:30:00,94.0,94.0,93.04,93.6,893465
