open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,15.38,15.43,14.96,14.98,21692760
2016-01-05 09:30:00,15.09,15.13,14.72,14.83,12280875
2016-01-06 09:30:00,14.67,14.67,14.42,14.54,12597735
2016-01-07 09:30:00,14.28,14.56,14.24,14.45,7779465
2016-01-08 09:30:00,14.52,14.7,14.42,14.65,7954185
2016-01-11 09:30:00,14.27,14.3,13.85,13.9,9738810
2016-01-12 09:30:00,14.11,14.25,14.02,14.12,7414845
2016-01-13 09:30:00,14.13,14.18,13.89,13.94,4501365
2016-01-14 09:30:00,13.48,13.55,12.89,12.98,18793395
2016-01-15 09:30:00,13.26,13.52,13.24,13.31,12487980
2016-01-19 09:30:00,13.91,13.92,13.56,13.63,8423280
2016-01-20 09:30:00,13.29,13.42,12.87,12.89,15389295
2016-01-21 09:30:00,13.44,13.44,13.0,13.19,6552705
2016-01-22 09:30:00,13.65,13.7,13.45,13.5,6109860
2016-01-25 09:30:00,13.34,13.57,13.28,13.48,7678500
2016-01-26 09:30:00,13.11,13.19,12.59,12.65,15399795
2016-01-27 09:30:00,12.83,12.83,12.65,12.68,6227640
2016-01-28 09:30:00,12.72,12.73,12.33,12.37,10172175
2016-01-29 09:30:00,12.62,12.92,12.54,12.88,6732525
2016-02-01 09:30:00,12.58,12.59,12.18,12.39,17232120
2016-02-02 09:30:00,12.83,12.83,12.62,12.67,10793040
2016-02-03 09:30:00,12.24,12.26,11.52,11.6,24827370
2016-02-04 09:30:00,11.38,11.43,11.13,11.36,14613795
2016-02-05 09:30:00,11.42,11.53,11.14,11.18,17693235
2016-02-08 09:30:00,10.47,10.48,10.02,10.27,26689155
2016-02-09 09:30:00,9.484,10.65,9.403,10.5,37940865
2016-02-10 09:30:00,10.03,10.22,9.667,10.14,18805230
2016-02-11 09:30:00,10.13,10.66,9.8,10.63,53150700
2016-02-12 09:30:00,10.33,10.47,9.883,9.903,18322290
2016-02-16 09:30:00,10.58,10.86,10.48,10.62,22797630
2016-02-17 09:30:00,10.6,10.65,10.45,10.6,11586000
2016-02-18 09:30:00,11.52,11.53,11.1,11.34,15589215
2016-02-19 09:30:00,10.91,11.12,10.83,11.09,9535350
2016-02-22 09:30:00,11.34,11.82,11.32,11.65,19645785
2016-02-23 09:30:00,11.74,12.12,11.58,12.09,19164555
2016-02-24 09:30:00,11.52,11.62,11.19,11.45,18529005
2016-02-25 09:30:00,11.91,12.14,11.78,11.84,10417080
2016-02-26 09:30:00,12.59,12.8,12.49,12.59,19034970
2016-02-29 09:30:00,12.83,13.09,12.64,12.87,14663985
2016-03-01 09:30:00,12.95,13.02,12.81,12.85,7905555
2016-03-02 09:30:00,12.25,12.48,12.1,12.19,14622690
2016-03-03 09:30:00,12.55,12.55,12.28,12.47,9465600
2016-03-04 09:30:00,13.2,13.5,13.17,13.21,23441715
2016-03-07 09:30:00,13.17,13.59,13.16,13.47,14529090
2016-03-08 09:30:00,13.57,13.83,13.57,13.65,10675215
2016-03-09 09:30:00,13.63,13.67,13.52,13.63,4828590
2016-03-10 09:30:00,14.01,14.22,13.93,13.98,15748545
2016-03-11 09:30:00,13.86,13.96,13.69,13.91,11502660
2016-03-14 09:30:00,14.18,14.19,14.04,14.07,10850190
2016-03-15 09:30:00,14.28,14.33,14.13,14.14,8259015
2016-03-16 09:30:00,14.53,14.65,14.47,14.65,6283635
2016-03-17 09:30:00,14.76,14.95,14.67,14.85,8471580
2016-03-18 09:30:00,15.27,15.41,15.2,15.29,15820110
2016-03-21 09:30:00,15.69,15.99,15.67,15.89,19889265
2016-03-22 09:30:00,15.81,15.85,15.61,15.73,13023960
2016-03-23 09:30:00,15.48,15.65,15.37,15.51,10323495
2016-03-24 09:30:00,14.39,14.85,14.33,14.77,18652320
2016-03-28 09:30:00,15.45,15.47,15.0,15.19,12107715
2016-03-29 09:30:00,15.33,15.33,15.08,15.1,9583320
2016-03-30 09:30:00,15.67,15.7,15.48,15.56,11100915
2016-03-31 09:30:00,15.29,15.29,15.04,15.08,10403595
2016-04-01 09:30:00,16.32,16.53,15.98,16.1,53858475
2016-04-04 09:30:00,16.61,16.66,16.29,16.33,41876520
2016-04-05 09:30:00,16.03,16.3,16.0,16.2,23225115
2016-04-06 09:30:00,16.97,17.39,16.9,17.14,30744615
2016-04-07 09:30:00,17.76,17.96,17.47,17.68,27568830
2016-04-08 09:30:00,17.37,17.39,17.07,17.29,15636840
2016-04-11 09:30:00,16.75,16.81,16.35,16.69,18118305
2016-04-12 09:30:00,16.63,16.79,16.48,16.65,14068695
2016-04-13 09:30:00,16.57,16.81,16.49,16.79,10581045
2016-04-14 09:30:00,16.87,17.12,16.87,16.93,11534850
2016-04-15 09:30:00,16.75,16.86,16.61,16.82,9753750
2016-04-18 09:30:00,16.82,17.22,16.81,17.08,14424015
2016-04-19 09:30:00,16.87,16.96,16.73,16.75,10772445
2016-04-20 09:30:00,16.42,16.43,16.1,16.33,12371445
2016-04-21 09:30:00,16.6,16.64,16.47,16.53,8831430
2016-04-22 09:30:00,16.59,16.7,16.51,16.59,6067860
2016-04-25 09:30:00,16.87,17.16,16.84,16.93,12889665
2016-04-26 09:30:00,16.8,16.93,16.7,16.8,5413710
2016-04-27 09:30:00,16.85,17.0,16.7,16.74,8566590
2016-04-28 09:30:00,16.66,16.86,16.61,16.79,6067590
2016-04-29 09:30:00,16.54,16.56,16.35,16.39,10222665
2016-05-02 09:30:00,16.1,16.1,15.67,15.79,10842900
2016-05-03 09:30:00,15.82,15.93,15.57,15.64,11782590
2016-05-04 09:30:00,15.35,15.63,15.33,15.5,11212605
2016-05-05 09:30:00,15.23,15.24,14.5,14.63,38437950
2016-05-06 09:30:00,14.06,14.19,13.87,14.02,20938650
2016-05-09 09:30:00,14.38,14.41,14.1,14.14,11776080
2016-05-10 09:30:00,13.84,13.96,13.67,13.8,15444090
2016-05-11 09:30:00,13.84,14.05,13.74,13.95,13245735
2016-05-12 09:30:00,14.1,14.11,13.8,13.88,9529890
