open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,41.49,42.06,41.48,41.85,292973
2016-01-05 09:30:00,41.41,41.52,40.39,40.45,870267
2016-01-06 09:30:00,40.79,41.17,40.79,41.01,231661
2016-01-07 09:30:00,40.81,41.34,40.73,41.27,322029
2016-01-08 09:30:00,41.61,41.94,41.43,41.89,398538
2016-01-11 09:30:00,41.58,42.06,41.57,42.04,339770
2016-01-12 09:30:00,41.7,42.35,41.62,42.28,420886
2016-01-13 09:30:00,42.47,42.73,42.21,42.23,247552
2016-01-14 09:30:00,42.04,42.09,41.56,41.7,464236
2016-01-15 09:30:00,41.05,41.38,40.98,41.12,641546
2016-01-19 09:30:00,41.17,41.25,39.99,40.34,796793
2016-01-20 09:30:00,38.53,39.15,38.43,38.88,869046
2016-01-21 09:30:00,39.83,40.1,39.53,39.54,313358
2016-01-22 09:30:00,40.83,40.9,40.21,40.63,399861
2016-01-25 09:30:00,40.56,40.85,40.47,40.56,337630
2016-01-26 09:30:00,40.62,40.9,40.61,40.69,319714
2016-01-27 09:30:00,41.41,41.75,41.41,41.67,214389
2016-01-28 09:30:00,41.37,41.53,40.78,41.47,325274
2016-01-29 09:30:00,41.85,41.93,41.74,41.74,187427
2016-02-01 09:30:00,42.33,42.65,42.15,42.59,730795
2016-02-02 09:30:00,42.77,42.82,42.48,42.54,348654
2016-02-03 09:30:00,42.21,42.42,41.99,42.12,313065
2016-02-04 09:30:00,41.74,41.89,41.17,41.51,502337
2016-02-05 09:30:00,44.35,46.69,44.21,46.17,3475262
2016-02-08 09:30:00,45.22,47.1,45.22,46.98,1211242
2016-02-09 09:30:00,47.28,47.71,47.17,47.41,712451
2016-02-10 09:30:00,48.36,48.61,48.13,48.55,498257
2016-02-11 09:30:00,48.38,48.7,48.07,48.22,477341
2016-02-12 09:30:00,47.71,47.77,47.32,47.51,561513
2016-02-16 09:30:00,48.46,48.66,48.23,48.51,569987
2016-02-17 09:30:00,49.65,49.96,49.48,49.56,904763
2016-02-18 09:30:00,49.54,49.59,49.11,49.43,317391
2016-02-19 09:30:00,49.86,49.96,49.02,49.37,720192
2016-02-22 09:30:00,49.96,50.26,49.92,50.13,391829
2016-02-23 09:30:00,50.75,51.0,50.52,50.62,1399500
2016-02-24 09:30:00,51.08,51.74,51.01,51.43,338610
2016-02-25 09:30:00,51.97,52.22,51.65,52.22,379089
2016-02-26 09:30:00,52.49,52.59,52.16,52.38,365064
2016-02-29 09:30:00,51.6,51.88,51.52,51.63,273729
2016-03-01 09:30:00,51.67,51.89,51.58,51.85,223906
2016-03-02 09:30:00,51.98,52.03,51.3,51.51,269920
2016-03-03 09:30:00,52.39,52.39,51.89,51.94,225325
2016-03-04 09:30:00,51.88,52.01,51.12,51.35,533428
2016-03-07 09:30:00,51.36,51.65,51.11,51.42,256888
2016-03-08 09:30:00,51.99,52.3,51.7,52.29,344566
2016-03-09 09:30:00,52.13,52.6,51.97,52.54,206622
2016-03-10 09:30:00,52.52,52.92,52.45,52.76,214848
2016-03-11 09:30:00,53.29,53.52,52.94,52.94,186991
2016-03-14 09:30:00,53.39,53.67,53.37,53.43,170398
2016-03-15 09:30:00,53.15,53.34,53.05,53.11,182322
2016-03-16 09:30:00,52.9,52.9,52.29,52.67,174985
2016-03-17 09:30:00,53.46,53.76,53.37,53.58,352116
2016-03-18 09:30:00,53.34,53.44,52.9,52.97,654012
2016-03-21 09:30:00,52.94,53.09,52.86,52.94,187511
2016-03-22 09:30:00,52.95,53.13,52.48,52.79,344246
2016-03-23 09:30:00,53.07,53.32,52.69,52.83,177303
2016-03-24 09:30:00,53.18,53.55,53.06,53.13,203483
2016-03-28 09:30:00,53.09,53.52,53.07,53.29,165997
2016-03-29 09:30:00,53.63,54.06,53.59,53.67,329777
2016-03-30 09:30:00,54.06,54.09,53.06,53.1,220694
2016-03-31 09:30:00,53.69,53.71,53.17,53.37,207189
2016-04-01 09:30:00,52.9,53.55,52.79,53.53,357669
2016-04-04 09:30:00,54.02,54.21,53.5,53.6,251611
2016-04-05 09:30:00,53.74,53.8,53.5,53.63,232578
2016-04-06 09:30:00,53.46,53.53,53.17,53.44,242236
2016-04-07 09:30:00,53.8,54.08,53.73,54.02,115845
2016-04-08 09:30:00,53.75,53.98,53.61,53.97,111145
2016-04-11 09:30:00,53.93,54.64,53.93,54.42,323094
2016-04-12 09:30:00,53.67,54.25,53.48,54.22,177348
2016-04-13 09:30:00,54.21,54.28,53.06,53.06,384330
2016-04-14 09:30:00,52.01,52.1,50.94,51.34,765864
2016-04-15 09:30:00,51.28,52.05,51.22,51.75,517267
2016-04-18 09:30:00,51.52,51.98,51.49,51.69,161447
2016-04-19 09:30:00,52.46,52.59,52.02,52.17,177660
2016-04-20 09:30:00,51.73,52.04,51.46,51.47,204525
2016-04-21 09:30:00,50.48,50.53,49.45,49.55,811266
2016-04-22 09:30:00,50.03,50.3,49.71,49.77,279677
2016-04-25 09:30:00,50.15,50.54,50.01,50.49,170646
2016-04-26 09:30:00,50.95,51.65,50.9,51.51,227338
2016-04-27 09:30:00,51.42,51.97,51.41,51.71,158360
2016-04-28 09:30:00,51.75,52.78,51.53,52.59,284664
2016-04-29 09:30:00,51.83,52.41,51.77,52.4,176781
2016-05-02 09:30:00,52.38,53.04,52.25,52.87,346701
2016-05-03 09:30:00,52.96,53.26,52.64,52.83,311955
2016-05-04 09:30:00,52.42,52.71,52.21,52.47,124750
2016-05-05 09:30:00,52.95,53.25,52.73,52.86,121997
2016-05-06 09:30:00,52.48,53.1,52.45,53.06,190909
2016-05-09 09:30:00,55.21,55.91,54.82,55.17,1519713
2016-05-10 09:30:00,54.67,54.75,53.9,53.94,408776
2016-05-11 09:30:00,54.96,55.34,54.8,55.11,299083
2016-05-12 09:30:00,54.25,54.43,53.68,54.33,278243
2016-05-13 09:30:00,54.58,55.47,54.56,55.27,546546
2016-05-16 09:30:00,54.52,54.87,54.27,54.83,202699
2016-05-17 09:30:00,54.03,54.44,53.54,53.6,169605
2016-05-18 09:30:00,52.58,52.79,51.55,51.97,670500
2016-05-19 09:30:00,51.68,52.1,51.4,51.4,315904
2016-05-20 09:30:00,51.87,51.97,51.1,51.18,464445
2016-05-23 09:30:00,51.44,51.99,51.35,51.79,506169
2016-05-24 09:30:00,51.6,51.97,51.4,51.4,252590
2016-05-25 09:30:00,51.69,51.87,51.27,51.56,292163
2016-05-26 09:30:00,51.47,51.9,51.32,51.41,243219
2016-05-27 09:30:00,51.87,52.19,51.66,51.82,183625
2016-05-31 09:30:00,51.9,52.1,51.77,51.96,234542
2016-06-01 09:30:00,50.92,51.69,50.7,51.58,316508
2016-06-02 09:30:00,51.24,51.24,50.77,50.83,224109
2016-06-03 09:30:00,49.84,50.15,49.06,49.98,621795
2016-06-06 09:30:00,48.77,49.6,47.99,48.63,1491307
2016-06-07 09:30:00,48.51,48.9,48.4,48.71,507860
2016-06-08 09:30:00,48.47,48.53,47.56,47.62,647583
2016-06-09 09:30:00,47.61,48.08,47.44,47.93,559933
2016-06-10 09:30:00,48.6,48.75,48.28,48.44,330111
2016-06-13 09:30:00,47.96,48.39,47.64,47.84,369027
2016-06-14 09:30:00,47.97,48.09,47.64,47.82,214702
2016-06-15 09:30:00,47.99,48.22,47.75,48.08,190488
2016-06-16 09:30:00,48.02,48.46,47.89,48.14,268797
2016-06-17 09:30:00,48.77,48.88,48.4,48.57,495368
2016-06-20 09:30:00,48.95,49.37,48.89,49.3,292688
2016-06-21 09:30:00,48.93,49.6,48.93,49.55,345683
2016-06-22 09:30:00,49.61,50.02,49.49,49.73,297030
2016-06-23 09:30:00,50.14,50.31,49.88,50.28,315128
2016-06-24 09:30:00,49.49,50.62,49.34,50.58,382361
2016-06-27 09:30:00,50.36,51.28,50.17,51.01,396502
2016-06-28 09:30:00,51.79,51.83,50.64,51.24,442426
2016-06-29 09:30:00,51.39,51.43,50.83,50.97,286868
2016-06-30 09:30:00,51.17,51.81,51.11,51.75,266667
2016-07-01 09:30:00,53.0,53.31,52.76,53.29,213808
2016-07-05 09:30:00,52.54,52.99,52.37,52.64,450665
2016-07-06 09:30:00,53.27,54.07,53.15,53.69,373868
2016-07-07 09:30:00,54.1,54.1,53.49,53.76,419980
2016-07-08 09:30:00,54.01,54.06,53.75,53.9,203382
2016-07-11 09:30:00,54.71,54.92,54.47,54.75,265685
2016-07-12 09:30:00,54.5,54.7,54.34,54.42,215980
2016-07-13 09:30:00,54.37,54.39,53.61,54.32,289910
2016-07-14 09:30:00,54.83,55.21,54.59,55.0,224501
2016-07-15 09:30:00,55.75,55.75,55.4,55.51,287805
2016-07-18 09:30:00,55.35,55.95,55.29,55.88,292129
2016-07-19 09:30:00,55.69,55.94,55.5,55.9,147899
2016-07-20 09:30:00,56.51,56.53,56.07,56.21,350454
2016-07-21 09:30:00,56.25,56.34,56.13,56.24,113448
2016-07-22 09:30:00,56.7,57.01,56.62,56.7,192141
2016-07-25 09:30:00,57.48,58.24,57.46,58.13,253570
2016-07-26 09:30:00,58.48,58.7,58.31,58.48,294811
2016-07-27 09:30:00,57.68,57.98,57.43,57.61,191129
2016-07-28 09:30:00,57.38,57.85,57.22,57.81,178422
2016-07-29 09:30:00,58.19,58.6,58.09,58.48,139245
