open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,33.99,34.75,33.865,34.075,134246
2016-01-05 09:30:00,34.36,34.76,34.16,34.215,40264
2016-01-06 09:30:00,34.22,34.7,33.93,33.96,70896
2016-01-07 09:30:00,33.33,33.535,33.0791,33.445,78849
2016-01-08 09:30:00,32.56,33.06,32.56,33.03,144242
2016-01-11 09:30:00,32.59,32.75,32.5,32.64,67456
2016-01-12 09:30:00,32.86,33.71,32.86,33.44,93826
2016-01-13 09:30:00,33.83,33.86,33.45,33.57,54146
2016-01-14 09:30:00,32.61,32.76,31.935,31.935,113936
2016-01-15 09:30:00,31.61,32.81,31.5701,32.25,165027
2016-01-19 09:30:00,33.0,33.14,32.655,32.71,89068
2016-01-20 09:30:00,31.95,32.14,31.66,31.8,109170
2016-01-21 09:30:00,32.89,32.935,32.38,32.53,112635
2016-01-22 09:30:00,33.49,33.64,33.12,33.39,70310
2016-01-25 09:30:00,33.54,33.62,33.31,33.52,69653
2016-01-26 09:30:00,33.83,33.87,33.6,33.77,124941
2016-01-27 09:30:00,34.08,34.56,33.87,34.23,75854
2016-01-28 09:30:00,33.99,34.3822,33.77,33.94,66437
2016-01-29 09:30:00,33.5,33.92,33.29,33.79,81536
2016-02-01 09:30:00,34.58,34.99,34.39,34.63,100508
2016-02-02 09:30:00,34.34,34.48,34.0,34.05,43293
2016-02-03 09:30:00,33.57,33.587,32.98,33.0,64725
2016-02-04 09:30:00,36.0,36.28,34.56,35.18,1509610
2016-02-05 09:30:00,35.05,35.08,34.16,34.4,235354
2016-02-08 09:30:00,32.89,32.94,32.05,32.08,226318
2016-02-09 09:30:00,33.27,34.7,33.16,34.45,103352
2016-02-10 09:30:00,34.79,35.2954,34.685,35.2954,74053
2016-02-11 09:30:00,33.84,34.86,33.42,34.67,72447
2016-02-12 09:30:00,35.12,35.2789,34.25,34.3,127581
2016-02-16 09:30:00,34.48,34.51,34.0,34.01,131364
2016-02-17 09:30:00,34.76,34.97,34.47,34.58,70234
2016-02-18 09:30:00,34.35,34.68,34.2,34.6112,118355
2016-02-19 09:30:00,33.92,34.51,33.65,34.0,131832
2016-02-22 09:30:00,34.91,35.4,34.705,35.4,53487
2016-02-23 09:30:00,35.22,35.45,34.9101,35.15,101140
2016-02-24 09:30:00,34.56,34.98,34.54,34.73,375346
2016-02-25 09:30:00,35.49,35.73,35.27,35.33,106674
2016-02-26 09:30:00,35.83,35.98,35.58,35.65,56424
2016-02-29 09:30:00,35.82,36.33,35.71,36.23,78046
2016-03-01 09:30:00,36.18,36.46,36.05,36.17,276111
2016-03-02 09:30:00,37.55,37.55,36.9,36.99,135924
2016-03-03 09:30:00,37.24,37.3,36.87,36.95,61593
2016-03-04 09:30:00,36.56,36.996,35.86,35.99,87547
2016-03-07 09:30:00,35.73,35.73,35.39,35.4896,78541
2016-03-08 09:30:00,34.53,34.79,34.39,34.6274,259466
2016-03-09 09:30:00,34.74,35.04,34.62,35.04,59521
2016-03-10 09:30:00,35.06,35.42,34.94,35.26,84549
2016-03-11 09:30:00,35.79,36.04,35.79,35.97,33060
2016-03-14 09:30:00,35.42,35.8,35.39,35.67,90699
2016-03-15 09:30:00,35.32,35.3999,35.01,35.14,51380
2016-03-16 09:30:00,35.09,35.335,34.98,35.25,65933
2016-03-17 09:30:00,35.59,35.68,35.38,35.38,21301
2016-03-18 09:30:00,35.29,35.29,34.64,34.76,282180
2016-03-21 09:30:00,34.77,34.99,34.6,34.66,58468
2016-03-22 09:30:00,34.66,35.0,34.63,34.81,48386
2016-03-23 09:30:00,35.35,35.5259,35.03,35.29,52779
2016-03-24 09:30:00,35.1,35.27,35.1,35.238,40755
2016-03-28 09:30:00,35.21,35.3,35.02,35.21,45038
2016-03-29 09:30:00,35.27,35.93,35.27,35.8,83172
2016-03-30 09:30:00,37.2,37.56,37.1,37.22,97588
2016-03-31 09:30:00,37.23,37.39,37.155,37.155,102247
2016-04-01 09:30:00,37.33,37.895,37.33,37.745,91825
2016-04-04 09:30:00,38.05,38.52,38.05,38.3,90806
2016-04-05 09:30:00,37.43,37.755,37.17,37.2,71709
2016-04-06 09:30:00,37.09,37.27,36.81,37.2,70834
2016-04-07 09:30:00,36.94,37.13,36.88,37.04,42102
2016-04-08 09:30:00,36.84,37.0,36.29,36.52,38224
2016-04-11 09:30:00,36.51,36.69,36.27,36.34,69229
2016-04-12 09:30:00,35.71,35.8,35.58,35.64,62846
2016-04-13 09:30:00,35.45,36.0,35.45,35.92,111388
2016-04-14 09:30:00,36.12,36.66,35.97,36.02,53609
2016-04-15 09:30:00,35.43,35.65,35.4,35.6,49296
2016-04-18 09:30:00,35.71,35.97,35.71,35.97,28090
2016-04-19 09:30:00,36.8,37.0,36.32,36.41,44152
2016-04-20 09:30:00,37.0,37.21,36.89,37.16,28111
2016-04-21 09:30:00,36.87,36.93,36.605,36.65,29481
2016-04-22 09:30:00,36.33,36.8199,36.25,36.64,28028
2016-04-25 09:30:00,36.48,36.69,36.305,36.53,17450
2016-04-26 09:30:00,36.16,36.3499,35.8,36.34,51797
2016-04-27 09:30:00,35.35,35.4,35.11,35.19,118021
2016-04-28 09:30:00,34.91,35.35,34.81,35.23,62543
2016-04-29 09:30:00,34.25,34.25,33.67,33.78,108834
2016-05-02 09:30:00,34.24,34.79,34.23,34.64,159932
