open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,40.74,40.81,40.22,40.66,167669
2016-01-05 09:30:00,40.92,41.16,40.81,40.88,64504
2016-01-06 09:30:00,40.35,40.46,40.1,40.13,175498
2016-01-07 09:30:00,38.83,39.27,38.77,39.2,123318
2016-01-08 09:30:00,39.12,39.38,39.05,39.37,207969
2016-01-11 09:30:00,38.64,38.71,38.37,38.63,121264
2016-01-12 09:30:00,38.73,38.75,38.48,38.56,250224
2016-01-13 09:30:00,38.74,38.79,38.33,38.33,110766
2016-01-14 09:30:00,37.47,37.86,36.49,36.49,203370
2016-01-15 09:30:00,36.41,36.58,36.36,36.42,399773
2016-01-19 09:30:00,37.35,37.35,36.85,37.06,122637
2016-01-20 09:30:00,35.75,35.87,35.2,35.34,371260
2016-01-21 09:30:00,35.98,36.24,35.71,35.87,349695
2016-01-22 09:30:00,36.48,36.74,36.25,36.73,163352
2016-01-25 09:30:00,36.88,36.95,36.6,36.75,183805
2016-01-26 09:30:00,36.46,36.75,36.37,36.64,239750
2016-01-27 09:30:00,33.35,34.69,33.35,34.3,1692929
2016-01-28 09:30:00,32.36,32.97,31.98,32.97,633835
2016-01-29 09:30:00,33.21,33.76,33.13,33.52,339066
2016-02-01 09:30:00,33.4,33.46,33.07,33.18,263751
2016-02-02 09:30:00,32.24,32.33,31.84,31.85,480417
2016-02-03 09:30:00,31.74,31.9,31.2,31.22,259633
2016-02-04 09:30:00,31.85,32.45,31.85,32.43,385504
2016-02-05 09:30:00,31.73,31.97,31.45,31.94,176174
2016-02-08 09:30:00,31.39,31.63,31.24,31.43,258502
2016-02-09 09:30:00,31.45,32.16,31.19,32.08,108308
2016-02-10 09:30:00,31.61,31.87,31.46,31.83,191540
2016-02-11 09:30:00,31.28,31.69,30.92,31.55,619970
2016-02-12 09:30:00,30.88,31.1,30.61,31.1,257490
2016-02-16 09:30:00,32.09,32.32,31.73,31.91,84416
2016-02-17 09:30:00,32.78,33.19,32.61,32.97,127437
2016-02-18 09:30:00,32.29,32.88,32.29,32.88,287548
2016-02-19 09:30:00,33.06,33.24,32.77,32.86,146819
2016-02-22 09:30:00,33.43,33.63,33.17,33.38,199571
2016-02-23 09:30:00,33.4,33.64,33.35,33.54,223285
2016-02-24 09:30:00,32.89,33.05,32.66,32.88,93065
2016-02-25 09:30:00,33.55,34.01,33.54,33.7,84910
2016-02-26 09:30:00,34.2,34.35,33.99,34.34,122526
2016-02-29 09:30:00,34.16,34.16,33.91,33.92,100481
2016-03-01 09:30:00,34.1,34.36,33.78,33.83,112550
2016-03-02 09:30:00,34.01,34.49,33.92,34.37,262188
2016-03-03 09:30:00,33.69,33.76,33.26,33.51,143388
2016-03-04 09:30:00,32.39,32.77,32.27,32.42,844344
2016-03-07 09:30:00,32.47,32.64,32.4,32.53,168468
2016-03-08 09:30:00,32.05,32.23,31.95,31.99,174455
2016-03-09 09:30:00,32.23,32.62,32.11,32.38,336387
2016-03-10 09:30:00,32.73,32.86,32.39,32.61,159391
2016-03-11 09:30:00,32.59,33.05,32.56,32.89,212344
2016-03-14 09:30:00,33.21,33.52,33.16,33.48,146501
2016-03-15 09:30:00,32.95,33.01,32.69,32.88,160704
2016-03-16 09:30:00,32.99,33.35,32.94,33.26,78009
2016-03-17 09:30:00,33.84,33.95,33.69,33.91,152972
2016-03-18 09:30:00,34.68,35.51,34.68,35.49,856326
2016-03-21 09:30:00,35.41,35.63,35.4,35.56,285284
2016-03-22 09:30:00,35.52,35.94,35.15,35.89,265032
2016-03-23 09:30:00,35.92,36.14,35.76,36.06,102170
2016-03-24 09:30:00,35.76,35.85,35.49,35.59,483997
2016-03-28 09:30:00,35.66,35.76,35.37,35.49,78003
2016-03-29 09:30:00,35.34,35.34,35.08,35.16,122417
2016-03-30 09:30:00,36.06,36.15,35.84,35.91,140429
2016-03-31 09:30:00,35.85,35.9,35.52,35.53,118829
2016-04-01 09:30:00,35.52,35.83,35.52,35.83,277675
2016-04-04 09:30:00,36.09,36.32,35.95,36.31,64776
2016-04-05 09:30:00,35.82,35.9,35.64,35.9,586400
2016-04-06 09:30:00,35.89,35.98,35.68,35.8,127925
2016-04-07 09:30:00,36.25,36.42,36.24,36.39,96120
2016-04-08 09:30:00,36.71,36.74,36.5,36.62,173639
2016-04-11 09:30:00,36.48,36.64,36.28,36.61,171059
2016-04-12 09:30:00,36.39,36.67,36.29,36.62,72290
2016-04-13 09:30:00,36.99,37.28,36.94,37.28,182908
2016-04-14 09:30:00,37.71,37.71,37.24,37.28,87033
2016-04-15 09:30:00,37.53,37.64,37.38,37.38,146002
2016-04-18 09:30:00,37.06,37.11,36.8,37.11,175563
2016-04-19 09:30:00,37.56,37.73,37.18,37.59,308549
2016-04-20 09:30:00,39.6,39.7,37.81,38.46,1098643
2016-04-21 09:30:00,39.26,39.47,38.99,39.01,387069
2016-04-22 09:30:00,39.14,39.32,39.01,39.14,198415
2016-04-25 09:30:00,39.09,39.24,38.9,38.96,93716
2016-04-26 09:30:00,38.53,38.91,38.48,38.9,97358
2016-04-27 09:30:00,39.31,39.46,39.28,39.43,120517
2016-04-28 09:30:00,39.08,39.29,38.88,39.12,87487
2016-04-29 09:30:00,38.58,38.63,38.29,38.29,58670
2016-05-02 09:30:00,38.27,38.34,37.91,38.07,58390
2016-05-03 09:30:00,38.02,38.06,37.73,37.8,86294
2016-05-04 09:30:00,37.95,38.11,37.71,37.95,95012
2016-05-05 09:30:00,37.73,37.79,37.31,37.47,117176
2016-05-06 09:30:00,37.56,37.93,37.5,37.84,170625
2016-05-09 09:30:00,37.6,37.74,37.49,37.72,74277
2016-05-10 09:30:00,37.82,38.2,37.82,38.05,89767
2016-05-11 09:30:00,37.85,38.08,37.62,37.64,153853
2016-05-12 09:30:00,37.79,38.0,37.59,37.59,90765
2016-05-13 09:30:00,37.32,37.53,37.16,37.25,36589
2016-05-16 09:30:00,36.96,37.43,36.95,37.19,63144
2016-05-17 09:30:00,37.49,37.93,37.39,37.92,94696
2016-05-18 09:30:00,37.66,37.86,37.54,37.69,43829
2016-05-19 09:30:00,37.39,37.45,36.86,36.86,58433
2016-05-20 09:30:00,37.26,37.6,37.16,37.53,122554
2016-05-23 09:30:00,37.48,37.48,36.97,37.07,96655
2016-05-24 09:30:00,37.68,37.68,37.32,37.37,82455
2016-05-25 09:30:00,37.72,38.04,37.72,37.92,114908
2016-05-26 09:30:00,37.99,38.22,37.82,38.14,86347
2016-05-27 09:30:00,37.74,37.77,37.55,37.59,54190
2016-05-31 09:30:00,37.86,37.98,37.75,37.82,115549
2016-06-01 09:30:00,37.27,37.43,36.99,37.19,58504
2016-06-02 09:30:00,37.62,37.76,37.36,37.61,34714
2016-06-03 09:30:00,37.96,38.02,37.55,37.66,84740
2016-06-06 09:30:00,39.36,39.42,38.58,38.9,441250
2016-06-07 09:30:00,39.71,39.98,39.47,39.85,105014
2016-06-08 09:30:00,39.43,39.69,39.37,39.46,61716
2016-06-09 09:30:00,39.07,39.14,38.9,38.91,95673
2016-06-10 09:30:00,38.5,38.62,38.17,38.34,155697
2016-06-13 09:30:00,38.05,38.16,37.88,38.06,80501
2016-06-14 09:30:00,37.38,37.5,37.18,37.43,66249
2016-06-15 09:30:00,37.24,37.38,37.02,37.38,54567
2016-06-16 09:30:00,37.41,37.41,37.07,37.09,74441
2016-06-17 09:30:00,37.74,37.85,37.5,37.75,174968
