open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,182.67,184.6,181.771,184.17,140782
2016-01-05 09:30:00,182.57,183.88,180.73,182.04,58136
2016-01-06 09:30:00,180.39,182.32,179.13,182.23,102142
2016-01-07 09:30:00,179.8,185.3,179.8,184.82,190761
2016-01-08 09:30:00,184.8,184.8,182.75,183.775,64082
2016-01-11 09:30:00,182.64,183.93,181.97,182.53,60325
2016-01-12 09:30:00,182.81,184.94,182.75,184.6385,46893
2016-01-13 09:30:00,186.0,186.0,184.77,184.942,39794
2016-01-14 09:30:00,179.09,180.37,175.45,175.63,251415
2016-01-15 09:30:00,173.2,174.31,171.39,171.85,200690
2016-01-19 09:30:00,172.35,174.41,170.39,174.02,194943
2016-01-20 09:30:00,173.3,174.93,172.51,172.89,80181
2016-01-21 09:30:00,174.5,175.861,173.1,174.76,59759
2016-01-22 09:30:00,177.95,179.26,176.28,177.078,133520
2016-01-25 09:30:00,178.5,179.785,176.94,177.5003,86176
2016-01-26 09:30:00,176.58,177.18,175.67,176.5775,47214
2016-01-27 09:30:00,178.83,179.56,177.75,177.9,43356
2016-01-28 09:30:00,175.83,175.84,173.62,174.675,95075
2016-01-29 09:30:00,175.34,177.77,174.88,177.5975,78707
2016-02-01 09:30:00,179.92,180.5,177.76,179.73,57952
2016-02-02 09:30:00,179.74,180.7219,178.49,178.71,46865
2016-02-03 09:30:00,180.5,181.425,174.355,174.54,99728
2016-02-04 09:30:00,173.55,173.55,169.75,170.23,133543
2016-02-05 09:30:00,168.75,169.4817,164.15,164.47,129792
2016-02-08 09:30:00,156.76,156.8459,152.75,154.79,353982
2016-02-09 09:30:00,152.0,155.91,151.8001,154.95,145669
2016-02-10 09:30:00,152.79,153.71,151.8301,152.435,117375
2016-02-11 09:30:00,152.54,153.7806,150.1,153.19,222852
2016-02-12 09:30:00,156.24,156.74,154.285,155.54,119989
2016-02-16 09:30:00,160.61,161.89,157.772,157.79,120205
2016-02-17 09:30:00,160.51,162.89,159.75,159.75,146247
2016-02-18 09:30:00,155.33,155.95,148.6001,151.99,1009395
2016-02-19 09:30:00,153.16,153.385,148.51,148.91,279927
2016-02-22 09:30:00,151.0,153.8,150.43,153.125,181734
2016-02-23 09:30:00,156.63,160.42,156.3,159.76,256080
2016-02-24 09:30:00,156.52,158.81,156.0,157.45,112306
2016-02-25 09:30:00,161.52,163.65,160.875,163.03,252920
2016-02-26 09:30:00,165.57,166.97,164.89,164.93,212293
2016-02-29 09:30:00,165.0,167.47,164.0,167.0785,141196
2016-03-01 09:30:00,165.86,166.6,164.2,165.35,88953
2016-03-02 09:30:00,168.21,168.86,165.76,166.2525,77434
2016-03-03 09:30:00,167.41,169.97,166.0,169.18,92514
2016-03-04 09:30:00,169.96,170.0,167.58,167.58,68087
2016-03-07 09:30:00,168.57,168.89,166.74,167.26,105943
2016-03-08 09:30:00,164.34,165.48,163.1788,164.21,109414
2016-03-09 09:30:00,164.7,165.97,160.54,161.87,246696
2016-03-10 09:30:00,159.56,160.76,158.52,159.56,288811
2016-03-11 09:30:00,185.8,188.0,184.1,187.625,1750183
2016-03-14 09:30:00,189.52,191.91,189.48,190.8525,299709
2016-03-15 09:30:00,189.02,190.83,189.0,189.5097,107235
2016-03-16 09:30:00,187.1,187.9858,186.6,187.1,86516
2016-03-17 09:30:00,189.44,190.68,188.84,189.66,59137
2016-03-18 09:30:00,188.32,189.6106,187.9,188.29,159958
2016-03-21 09:30:00,190.88,191.46,190.21,191.035,174068
2016-03-22 09:30:00,190.44,192.0,190.07,190.31,94277
2016-03-23 09:30:00,191.22,191.98,190.77,191.625,47982
2016-03-24 09:30:00,190.98,192.7083,190.6168,191.54,47016
2016-03-28 09:30:00,191.84,193.6,190.74,193.08,68731
2016-03-29 09:30:00,192.55,193.93,192.0,193.31,69562
2016-03-30 09:30:00,194.87,194.99,193.8798,194.125,59348
