open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,61.89,62.03,61.31,61.6,764872
2016-01-05 09:30:00,63.6,63.88,62.93,62.98,690065
2016-01-06 09:30:00,61.84,62.15,61.32,61.38,596385
2016-01-07 09:30:00,59.09,59.09,58.31,58.44,1241356
2016-01-08 09:30:00,59.22,59.43,58.93,59.29,848191
2016-01-11 09:30:00,59.87,60.42,59.51,59.84,801875
2016-01-12 09:30:00,60.74,61.56,60.54,61.03,705127
2016-01-13 09:30:00,61.35,61.86,60.5,60.91,869666
2016-01-14 09:30:00,59.48,60.12,59.34,59.43,502286
2016-01-15 09:30:00,58.64,59.7,58.47,59.51,1770615
2016-01-19 09:30:00,60.31,60.51,59.07,59.44,587337
2016-01-20 09:30:00,58.51,58.91,57.81,58.16,1348820
2016-01-21 09:30:00,55.84,56.15,53.99,54.95,4446681
2016-01-22 09:30:00,58.08,58.25,56.7,56.86,1663741
2016-01-25 09:30:00,55.76,56.16,55.53,55.67,752692
2016-01-26 09:30:00,55.83,56.11,55.64,55.83,732741
2016-01-27 09:30:00,56.36,57.14,56.36,56.73,449680
2016-01-28 09:30:00,56.24,56.54,55.98,56.38,628458
2016-01-29 09:30:00,56.86,57.44,56.49,57.42,584075
2016-02-01 09:30:00,57.08,57.13,56.64,57.03,689016
2016-02-02 09:30:00,58.98,59.06,57.93,58.33,1607494
2016-02-03 09:30:00,57.91,58.12,57.6,57.93,480675
2016-02-04 09:30:00,58.02,59.97,57.98,59.94,696496
2016-02-05 09:30:00,60.55,61.03,60.1,60.86,418091
2016-02-08 09:30:00,59.87,60.15,59.14,59.27,568644
2016-02-09 09:30:00,60.46,61.36,60.38,61.29,681543
2016-02-10 09:30:00,62.81,63.3,61.78,62.03,666649
2016-02-11 09:30:00,60.88,61.44,60.66,61.16,467471
2016-02-12 09:30:00,62.27,62.58,61.41,61.54,884805
2016-02-16 09:30:00,62.95,63.09,61.91,62.4,470368
2016-02-17 09:30:00,63.38,64.54,63.18,64.22,771592
2016-02-18 09:30:00,64.21,64.5,64.0,64.39,480054
2016-02-19 09:30:00,63.22,63.62,62.8,63.33,785791
2016-02-22 09:30:00,65.9,66.23,65.52,65.61,659134
2016-02-23 09:30:00,64.81,65.25,64.54,64.57,584925
2016-02-24 09:30:00,62.81,62.89,62.05,62.31,569547
2016-02-25 09:30:00,64.45,65.14,64.25,64.34,380048
2016-02-26 09:30:00,64.93,65.52,64.68,65.29,444885
2016-02-29 09:30:00,64.7,64.84,64.29,64.43,341133
2016-03-01 09:30:00,64.62,64.9,64.16,64.26,305904
2016-03-02 09:30:00,65.17,65.53,64.85,64.91,514322
2016-03-03 09:30:00,64.74,64.87,64.47,64.72,415728
2016-03-04 09:30:00,65.03,65.58,64.85,65.07,443712
2016-03-07 09:30:00,64.88,65.35,64.69,64.95,457415
2016-03-08 09:30:00,65.37,65.71,64.72,64.75,434275
2016-03-09 09:30:00,63.96,64.51,63.78,64.51,462803
2016-03-10 09:30:00,65.33,65.41,64.36,65.14,401802
2016-03-11 09:30:00,65.0,65.67,64.78,65.2,285289
2016-03-14 09:30:00,65.42,65.88,65.11,65.38,354919
2016-03-15 09:30:00,64.55,64.59,63.74,63.83,623056
2016-03-16 09:30:00,64.97,65.41,64.86,65.06,314481
2016-03-17 09:30:00,65.43,65.61,64.54,65.52,365955
2016-03-18 09:30:00,67.65,68.7,67.51,68.54,2154800
2016-03-21 09:30:00,68.37,68.89,68.27,68.48,378249
2016-03-22 09:30:00,67.33,67.51,66.43,66.71,933091
2016-03-23 09:30:00,66.58,66.6,66.08,66.33,210875
2016-03-24 09:30:00,65.49,65.49,64.89,65.41,515367
2016-03-28 09:30:00,65.46,65.6,63.96,64.12,772977
2016-03-29 09:30:00,63.57,63.57,63.07,63.16,505225
2016-03-30 09:30:00,65.13,66.03,65.13,65.93,499980
2016-03-31 09:30:00,65.09,65.43,63.99,64.09,658095
2016-04-01 09:30:00,63.9,64.3,63.25,63.53,345932
2016-04-04 09:30:00,63.82,64.49,63.71,64.4,350914
2016-04-05 09:30:00,62.87,63.16,62.66,63.15,324330
2016-04-06 09:30:00,63.52,63.66,62.77,63.02,431746
2016-04-07 09:30:00,63.4,63.4,62.76,63.27,720547
2016-04-08 09:30:00,63.74,64.9,63.49,64.81,489225
2016-04-11 09:30:00,64.16,65.27,64.04,64.93,266046
2016-04-12 09:30:00,63.5,64.34,63.39,64.3,362947
2016-04-13 09:30:00,65.25,66.03,64.99,65.84,735555
2016-04-14 09:30:00,66.65,66.84,65.9,66.11,556057
2016-04-15 09:30:00,66.74,66.82,66.48,66.52,452793
2016-04-18 09:30:00,64.84,65.65,63.74,65.58,1206283
2016-04-19 09:30:00,66.47,67.28,66.37,67.15,763891
2016-04-20 09:30:00,67.07,67.12,66.64,66.97,397264
2016-04-21 09:30:00,70.21,71.22,69.07,71.0,1953993
2016-04-22 09:30:00,71.34,72.59,71.19,72.17,1021264
2016-04-25 09:30:00,72.22,72.39,70.97,71.56,525255
2016-04-26 09:30:00,70.74,71.43,70.62,71.43,547940
2016-04-27 09:30:00,71.98,72.8,71.92,72.32,567671
2016-04-28 09:30:00,71.79,72.38,71.7,72.05,327401
2016-04-29 09:30:00,71.23,72.34,71.17,71.46,374709
2016-05-02 09:30:00,71.31,71.75,70.24,70.55,398540
2016-05-03 09:30:00,70.67,70.81,69.97,70.03,463599
2016-05-04 09:30:00,69.66,70.55,69.66,70.35,390300
2016-05-05 09:30:00,69.82,70.17,69.39,69.86,287260
2016-05-06 09:30:00,68.55,69.71,68.5,69.39,321150
2016-05-09 09:30:00,69.44,69.44,68.21,68.68,491772
2016-05-10 09:30:00,69.14,69.91,68.79,69.79,292603
2016-05-11 09:30:00,69.8,70.04,69.14,69.18,319867
2016-05-12 09:30:00,68.73,69.14,68.42,68.42,572449
2016-05-13 09:30:00,67.69,67.97,67.42,67.47,474609
2016-05-16 09:30:00,66.57,67.24,66.51,66.72,439099
2016-05-17 09:30:00,66.49,67.18,66.1,67.17,811659
2016-05-18 09:30:00,66.61,66.8,66.23,66.77,367554
2016-05-19 09:30:00,66.11,66.33,65.55,65.55,556424
2016-05-20 09:30:00,66.44,66.87,66.38,66.82,796710
2016-05-23 09:30:00,66.68,66.97,66.17,66.21,576451
2016-05-24 09:30:00,66.52,66.58,65.56,66.0,507709
2016-05-25 09:30:00,66.35,66.94,66.11,66.87,427379
2016-05-26 09:30:00,67.39,67.99,67.29,67.5,355290
2016-05-27 09:30:00,67.22,67.39,66.75,66.84,465123
2016-05-31 09:30:00,67.83,68.5,67.42,68.23,496513
2016-06-01 09:30:00,68.25,68.5,67.66,67.99,490505
2016-06-02 09:30:00,68.29,68.6,68.23,68.55,348717
2016-06-03 09:30:00,69.89,70.35,69.05,69.43,780618
2016-06-06 09:30:00,70.53,70.78,70.13,70.64,423375
2016-06-07 09:30:00,70.74,71.7,70.74,71.67,373002
2016-06-08 09:30:00,71.69,73.0,71.65,72.7,641520
2016-06-09 09:30:00,72.25,72.58,71.85,72.39,518900
2016-06-10 09:30:00,72.0,72.53,71.9,72.26,490614
2016-06-13 09:30:00,72.22,72.84,72.0,72.71,263612
2016-06-14 09:30:00,72.23,72.84,71.95,72.51,509931
2016-06-15 09:30:00,72.11,72.36,71.52,71.62,395374
2016-06-16 09:30:00,70.87,70.99,70.24,70.24,258898
2016-06-17 09:30:00,71.0,71.61,70.89,71.6,1126634
2016-06-20 09:30:00,72.11,72.4,71.8,72.22,667142
2016-06-21 09:30:00,70.83,71.38,70.18,71.16,546923
2016-06-22 09:30:00,71.62,71.68,71.31,71.43,375011
2016-06-23 09:30:00,72.17,72.63,71.76,72.54,364922
2016-06-24 09:30:00,69.74,70.48,69.74,70.08,629588
2016-06-27 09:30:00,68.9,68.93,67.87,67.91,774124
2016-06-28 09:30:00,67.96,68.44,67.74,68.41,644494
2016-06-29 09:30:00,69.98,70.67,69.88,69.94,303004
2016-06-30 09:30:00,70.79,70.86,69.75,69.76,554954
2016-07-01 09:30:00,71.2,71.61,71.1,71.4,433680
2016-07-05 09:30:00,70.88,71.29,70.81,71.12,445073
2016-07-06 09:30:00,70.67,70.95,70.31,70.58,298122
2016-07-07 09:30:00,71.69,72.2,71.69,71.98,510388
2016-07-08 09:30:00,72.58,73.4,72.2,73.12,522507
2016-07-11 09:30:00,74.11,74.78,74.02,74.32,650935
2016-07-12 09:30:00,74.9,75.67,74.9,75.24,437480
2016-07-13 09:30:00,75.53,75.77,75.11,75.6,262790
2016-07-14 09:30:00,77.46,78.14,77.24,77.95,1134272
2016-07-15 09:30:00,77.5,77.8,76.98,77.31,834419
2016-07-18 09:30:00,76.7,76.71,75.96,76.42,312167
2016-07-19 09:30:00,76.27,76.4,75.8,76.12,398995
2016-07-20 09:30:00,75.68,76.3,75.48,75.97,606978
2016-07-21 09:30:00,74.27,75.28,74.04,74.8,1496533
2016-07-22 09:30:00,74.0,74.43,73.69,74.31,701474
2016-07-25 09:30:00,75.66,75.7,74.97,75.37,234187
2016-07-26 09:30:00,75.39,75.73,74.94,75.36,275496
2016-07-27 09:30:00,75.68,75.86,75.37,75.55,262707
2016-07-28 09:30:00,74.32,76.08,74.32,75.84,332398
2016-07-29 09:30:00,75.53,75.84,75.29,75.4,175238
2016-08-01 09:30:00,75.84,75.89,75.46,75.73,224687
2016-08-02 09:30:00,75.55,75.55,74.67,75.51,481391
2016-08-03 09:30:00,74.71,75.04,74.59,74.84,414497
2016-08-04 09:30:00,75.38,75.82,75.04,75.11,334523
2016-08-05 09:30:00,76.04,76.78,75.59,76.76,279006
2016-08-08 09:30:00,76.62,77.41,76.44,77.16,207817
2016-08-09 09:30:00,76.48,76.86,76.1,76.3,263548
2016-08-10 09:30:00,76.23,76.27,75.77,75.82,192306
2016-08-11 09:30:00,75.67,76.0,75.58,75.74,330350
2016-08-12 09:30:00,75.5,75.63,74.87,75.02,334145
2016-08-15 09:30:00,75.46,75.85,75.31,75.76,314683
2016-08-16 09:30:00,75.25,75.43,75.12,75.37,197975
2016-08-17 09:30:00,75.71,76.39,75.61,76.39,348281
2016-08-18 09:30:00,76.85,78.17,76.41,77.89,746968
2016-08-19 09:30:00,78.08,78.22,77.79,77.95,487367
2016-08-22 09:30:00,77.77,77.96,77.62,77.64,219572
