open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,67.35,67.39,66.54,66.73,507624
2016-01-05 09:30:00,66.88,67.16,66.84,67.02,275084
2016-01-06 09:30:00,67.03,67.2,66.83,67.1,251098
2016-01-07 09:30:00,65.72,66.18,65.56,66.1,592723
2016-01-08 09:30:00,65.59,65.7,65.35,65.54,323074
2016-01-11 09:30:00,64.84,64.95,64.49,64.7,245110
2016-01-12 09:30:00,64.75,65.29,64.75,65.18,419634
2016-01-13 09:30:00,65.93,66.23,65.88,66.17,313894
2016-01-14 09:30:00,64.15,64.46,63.3,63.45,417546
2016-01-15 09:30:00,63.28,63.28,62.77,62.86,855304
2016-01-19 09:30:00,64.17,64.6,63.73,64.03,391449
2016-01-20 09:30:00,62.92,63.16,62.56,62.56,307853
2016-01-21 09:30:00,62.74,62.94,62.11,62.57,270498
2016-01-22 09:30:00,63.77,64.06,63.74,63.95,211134
2016-01-25 09:30:00,63.56,63.65,62.99,63.34,148815
2016-01-26 09:30:00,63.52,64.17,63.5,63.81,320810
2016-01-27 09:30:00,64.29,64.74,64.05,64.4,252244
2016-01-28 09:30:00,64.27,64.72,64.1,64.67,205026
2016-01-29 09:30:00,64.73,65.45,64.73,65.04,533600
2016-02-01 09:30:00,65.02,65.64,65.02,65.57,458711
2016-02-02 09:30:00,67.32,67.82,67.01,67.29,1399289
2016-02-03 09:30:00,67.27,67.28,66.96,67.06,450976
2016-02-04 09:30:00,67.35,67.85,67.23,67.73,345528
2016-02-05 09:30:00,67.73,68.3,67.73,68.12,245677
2016-02-08 09:30:00,66.68,67.11,66.63,66.77,296418
2016-02-09 09:30:00,68.07,69.08,68.04,68.88,517314
2016-02-10 09:30:00,68.84,69.23,68.75,69.03,433162
2016-02-11 09:30:00,66.83,67.5,66.56,67.27,369378
2016-02-12 09:30:00,68.0,68.17,67.76,68.17,249022
2016-02-16 09:30:00,69.17,69.41,68.94,69.13,330107
2016-02-17 09:30:00,69.8,70.1,69.71,69.96,228882
2016-02-18 09:30:00,69.71,69.71,69.24,69.57,446438
2016-02-19 09:30:00,69.23,69.31,68.95,68.97,541363
2016-02-22 09:30:00,69.99,70.37,69.99,70.17,244622
2016-02-23 09:30:00,69.15,69.16,68.43,68.54,755716
2016-02-24 09:30:00,68.5,68.58,67.99,68.16,347873
2016-02-25 09:30:00,69.19,69.68,69.09,69.42,246634
2016-02-26 09:30:00,69.72,69.99,69.66,69.92,211388
2016-02-29 09:30:00,69.39,69.54,69.11,69.37,253221
2016-03-01 09:30:00,69.44,69.48,69.1,69.13,271307
2016-03-02 09:30:00,69.96,70.31,69.84,69.99,239599
2016-03-03 09:30:00,70.1,70.51,70.04,70.47,221777
2016-03-04 09:30:00,70.89,71.44,70.86,71.25,460276
2016-03-07 09:30:00,71.18,71.51,71.05,71.28,176634
2016-03-08 09:30:00,71.59,72.13,71.47,71.99,268052
2016-03-09 09:30:00,70.85,71.32,70.76,71.1,509171
2016-03-10 09:30:00,71.25,71.25,70.98,71.19,315791
2016-03-11 09:30:00,71.33,71.99,71.33,71.72,243029
2016-03-14 09:30:00,71.61,71.94,71.55,71.83,168305
