open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,69.0,69.39,67.0,67.35,310732
2016-01-05 09:30:00,68.75,69.19,67.37,67.4,142578
2016-01-06 09:30:00,66.71,67.09,65.52,66.88,140536
2016-01-07 09:30:00,62.97,63.04,61.85,62.33,410191
2016-01-08 09:30:00,61.29,61.89,60.13,60.46,171392
2016-01-11 09:30:00,60.29,60.51,59.17,59.45,160607
2016-01-12 09:30:00,60.15,61.96,59.89,61.31,242576
2016-01-13 09:30:00,60.16,61.64,60.13,60.5,253601
2016-01-14 09:30:00,56.51,56.59,53.55,53.61,390851
2016-01-15 09:30:00,53.92,54.34,53.13,53.88,643522
2016-01-19 09:30:00,54.36,55.01,52.92,53.85,275259
2016-01-20 09:30:00,50.52,51.14,48.9,49.42,335706
2016-01-21 09:30:00,52.79,53.47,52.11,52.65,233629
2016-01-22 09:30:00,55.45,56.54,54.97,56.21,361360
2016-01-25 09:30:00,55.0,55.05,53.28,54.31,540642
2016-01-26 09:30:00,53.61,54.56,53.09,53.39,206441
2016-01-27 09:30:00,54.73,55.47,54.17,54.79,90064
2016-01-28 09:30:00,48.51,48.71,45.77,46.4,3209247
2016-01-29 09:30:00,43.68,45.69,43.27,45.23,589790
2016-02-01 09:30:00,45.98,46.38,45.27,46.12,320786
2016-02-02 09:30:00,46.3,46.32,44.17,44.17,401571
2016-02-03 09:30:00,45.1,45.37,44.48,44.56,284445
2016-02-04 09:30:00,46.67,48.7,46.67,48.7,286703
2016-02-05 09:30:00,46.35,48.21,46.1,48.17,288048
2016-02-08 09:30:00,45.74,46.35,45.05,45.26,193823
2016-02-09 09:30:00,44.16,44.52,43.05,44.07,351053
2016-02-10 09:30:00,43.82,44.49,43.44,44.17,125464
2016-02-11 09:30:00,42.9,43.39,41.69,43.28,185999
2016-02-12 09:30:00,43.05,43.52,42.25,42.68,241591
2016-02-16 09:30:00,44.94,45.79,44.62,44.7,175990
2016-02-17 09:30:00,46.6,47.23,45.91,46.75,244273
2016-02-18 09:30:00,47.34,47.53,46.8,47.08,286146
2016-02-19 09:30:00,47.76,47.82,46.1,46.26,275207
2016-02-22 09:30:00,48.23,50.63,48.18,50.18,353781
2016-02-23 09:30:00,49.56,49.63,48.74,49.0,121865
2016-02-24 09:30:00,47.69,47.73,46.41,46.7,220966
2016-02-25 09:30:00,48.05,48.12,46.46,47.05,134442
2016-02-26 09:30:00,49.49,50.68,49.49,50.03,208336
2016-02-29 09:30:00,50.05,50.25,49.45,49.8,77852
2016-03-01 09:30:00,50.56,50.56,48.43,49.42,279328
2016-03-02 09:30:00,50.76,51.92,50.49,51.3,209807
2016-03-03 09:30:00,52.46,53.16,52.34,53.04,107262
2016-03-04 09:30:00,55.36,55.79,54.04,54.51,299392
2016-03-07 09:30:00,55.89,57.54,55.89,56.88,181934
2016-03-08 09:30:00,56.95,57.2,55.36,55.44,266709
2016-03-09 09:30:00,55.43,55.78,54.37,55.01,164454
2016-03-10 09:30:00,56.59,57.37,56.3,57.24,94039
2016-03-11 09:30:00,57.15,58.08,56.8,57.61,175451
2016-03-14 09:30:00,57.41,58.22,56.74,57.07,144430
2016-03-15 09:30:00,57.01,57.4,56.72,57.25,130920
2016-03-16 09:30:00,57.53,58.71,57.4,58.04,72264
2016-03-17 09:30:00,60.01,60.55,59.63,60.41,161030
2016-03-18 09:30:00,61.97,62.47,61.6,62.37,395483
2016-03-21 09:30:00,60.89,62.1,60.65,61.34,134149
2016-03-22 09:30:00,60.94,61.9,60.82,61.35,88284
2016-03-23 09:30:00,61.38,61.78,60.39,60.43,136183
2016-03-24 09:30:00,59.22,59.43,58.28,59.26,148312
2016-03-28 09:30:00,60.36,60.78,59.63,60.24,86610
2016-03-29 09:30:00,59.39,59.69,58.48,59.6,109721
2016-03-30 09:30:00,61.2,62.3,60.93,61.97,127266
2016-03-31 09:30:00,60.73,60.73,59.05,59.4,294904
2016-04-01 09:30:00,58.66,58.79,57.11,58.23,379843
2016-04-04 09:30:00,58.75,59.3,57.74,59.13,181707
2016-04-05 09:30:00,56.67,57.47,56.48,57.17,218144
2016-04-06 09:30:00,56.94,57.51,55.57,55.74,198786
2016-04-07 09:30:00,56.55,57.94,56.26,57.91,191662
2016-04-08 09:30:00,57.26,57.74,57.12,57.67,243659
2016-04-11 09:30:00,58.11,58.84,57.79,58.68,176816
2016-04-12 09:30:00,57.94,58.47,57.65,57.87,71722
2016-04-13 09:30:00,59.02,59.07,58.53,58.95,166581
2016-04-14 09:30:00,60.47,60.7,59.76,59.83,107909
2016-04-15 09:30:00,59.19,59.43,58.18,58.47,149063
2016-04-18 09:30:00,58.57,59.82,58.35,59.81,134474
2016-04-19 09:30:00,60.37,60.37,59.5,60.13,214793
2016-04-20 09:30:00,59.24,59.38,58.71,59.07,160757
2016-04-21 09:30:00,55.46,58.51,54.35,58.2,1442893
2016-04-22 09:30:00,60.96,62.61,60.67,62.53,1093900
2016-04-25 09:30:00,63.83,65.15,63.5,64.75,283742
2016-04-26 09:30:00,63.54,64.55,63.37,64.49,183165
2016-04-27 09:30:00,64.87,66.24,64.46,66.24,131666
2016-04-28 09:30:00,65.7,66.64,65.47,66.27,86846
2016-04-29 09:30:00,64.77,65.83,64.5,64.74,79035
2016-05-02 09:30:00,65.19,65.44,63.1,63.19,145204
2016-05-03 09:30:00,63.23,63.54,62.06,62.38,136473
2016-05-04 09:30:00,61.29,62.01,61.25,61.46,235038
2016-05-05 09:30:00,60.64,60.96,59.77,60.48,101824
2016-05-06 09:30:00,57.28,58.95,57.09,58.29,362461
2016-05-09 09:30:00,59.34,59.87,58.96,59.62,129590
2016-05-10 09:30:00,59.51,60.55,59.27,60.4,135693
2016-05-11 09:30:00,60.81,60.81,59.29,59.73,247131
2016-05-12 09:30:00,60.31,61.02,59.98,60.12,171399
2016-05-13 09:30:00,58.75,59.52,58.5,58.77,111710
2016-05-16 09:30:00,58.52,59.96,58.41,58.79,107361
2016-05-17 09:30:00,59.84,62.8,59.84,62.63,491607
2016-05-18 09:30:00,61.68,64.15,61.67,63.51,379392
2016-05-19 09:30:00,61.99,62.68,61.5,61.58,206123
2016-05-20 09:30:00,62.62,63.71,62.45,63.46,143110
2016-05-23 09:30:00,62.93,63.3,62.31,62.75,97747
2016-05-24 09:30:00,63.58,63.66,62.63,62.74,89298
2016-05-25 09:30:00,64.14,64.63,63.81,64.61,134437
2016-05-26 09:30:00,66.47,68.02,66.27,66.73,267494
2016-05-27 09:30:00,65.88,66.42,65.64,65.88,58538
2016-05-31 09:30:00,66.39,67.37,66.14,67.06,123642
2016-06-01 09:30:00,66.85,67.0,65.69,65.88,286882
2016-06-02 09:30:00,66.99,67.36,66.65,66.88,88926
2016-06-03 09:30:00,68.55,69.36,67.1,67.31,202659
2016-06-06 09:30:00,69.5,70.21,69.02,69.99,146903
2016-06-07 09:30:00,71.38,71.92,70.93,71.78,116504
2016-06-08 09:30:00,72.47,73.79,72.45,73.67,251152
2016-06-09 09:30:00,71.78,71.91,70.54,71.21,149624
2016-06-10 09:30:00,70.69,71.11,68.65,70.26,306858
2016-06-13 09:30:00,69.07,69.24,68.11,68.67,132264
2016-06-14 09:30:00,68.09,69.52,67.69,68.57,343058
2016-06-15 09:30:00,68.21,68.39,67.24,67.63,85874
2016-06-16 09:30:00,65.54,65.85,63.39,63.59,662424
2016-06-17 09:30:00,65.58,66.75,65.3,66.42,345172
2016-06-20 09:30:00,67.44,68.02,67.04,67.43,198974
2016-06-21 09:30:00,67.1,67.31,66.15,66.53,101545
2016-06-22 09:30:00,67.4,67.86,67.13,67.51,99705
2016-06-23 09:30:00,68.19,69.38,68.19,68.52,174188
2016-06-24 09:30:00,66.07,67.79,65.92,66.71,292628
2016-06-27 09:30:00,63.5,63.72,61.29,61.41,208142
2016-06-28 09:30:00,61.62,62.19,60.86,61.5,302914
2016-06-29 09:30:00,62.01,63.02,61.62,62.54,159875
2016-06-30 09:30:00,63.95,64.05,62.77,63.36,112705
2016-07-01 09:30:00,64.98,65.5,64.68,65.1,190305
2016-07-05 09:30:00,63.93,64.38,62.45,62.45,127519
2016-07-06 09:30:00,60.95,61.22,60.09,60.75,173656
2016-07-07 09:30:00,62.25,63.48,61.91,63.34,135638
2016-07-08 09:30:00,63.65,65.1,63.65,65.07,170717
2016-07-11 09:30:00,66.07,67.17,66.04,66.58,131880
2016-07-12 09:30:00,67.33,68.22,67.22,67.69,174721
2016-07-13 09:30:00,68.39,68.79,67.31,67.56,143662
2016-07-14 09:30:00,66.71,67.93,65.8,67.36,479398
2016-07-15 09:30:00,67.91,68.22,67.47,67.96,180026
2016-07-18 09:30:00,67.8,67.8,66.62,67.29,203049
2016-07-19 09:30:00,66.38,66.6,65.1,65.42,277735
2016-07-20 09:30:00,65.99,66.39,65.64,66.22,156233
