open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,71.05,71.35,70.24,70.71,1891824
2016-01-05 09:30:00,71.23,71.38,70.86,70.99,1184489
2016-01-06 09:30:00,70.07,70.72,69.92,70.56,1261605
2016-01-07 09:30:00,68.92,69.06,68.52,68.88,1976282
2016-01-08 09:30:00,69.19,69.56,68.94,69.48,1426091
2016-01-11 09:30:00,68.25,68.75,68.22,68.36,1039595
2016-01-12 09:30:00,69.64,69.86,69.48,69.65,1611818
2016-01-13 09:30:00,70.32,70.43,69.91,70.04,1190955
2016-01-14 09:30:00,68.35,68.69,67.92,68.1,1264801
2016-01-15 09:30:00,67.21,68.15,66.8,67.33,3442867
2016-01-19 09:30:00,68.14,68.21,67.01,67.47,2524239
2016-01-20 09:30:00,65.37,65.65,64.86,65.43,2000559
2016-01-21 09:30:00,66.28,66.6,65.49,65.68,805727
2016-01-22 09:30:00,67.91,68.25,67.73,68.18,1141339
2016-01-25 09:30:00,67.96,68.11,67.27,67.33,884369
2016-01-26 09:30:00,67.43,67.48,66.84,67.18,933667
2016-01-27 09:30:00,67.28,67.34,66.89,66.94,875731
2016-01-28 09:30:00,66.72,67.12,66.23,66.37,1220636
2016-01-29 09:30:00,65.79,66.5,64.23,66.02,3150216
2016-02-01 09:30:00,69.2,69.37,68.43,68.7,1314819
2016-02-02 09:30:00,68.66,68.8,68.32,68.61,936305
2016-02-03 09:30:00,68.91,69.37,68.64,68.78,768268
2016-02-04 09:30:00,69.22,69.72,68.71,68.9,1027086
2016-02-05 09:30:00,68.76,68.77,67.99,68.1,850263
2016-02-08 09:30:00,65.35,65.43,63.9,64.7,2949868
2016-02-09 09:30:00,62.02,64.91,61.77,64.46,2465335
2016-02-10 09:30:00,64.59,66.14,64.52,66.12,1788442
2016-02-11 09:30:00,63.33,64.39,62.99,64.03,2104477
2016-02-12 09:30:00,64.99,65.25,64.59,64.7,1233534
2016-02-16 09:30:00,66.71,67.03,66.19,66.28,1042775
2016-02-17 09:30:00,67.14,67.16,66.74,67.08,888697
2016-02-18 09:30:00,67.24,67.63,67.24,67.32,953099
2016-02-19 09:30:00,66.46,66.64,65.8,66.02,1937531
