open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,96.92,96.92,96.26,96.5,88707
2016-01-05 09:30:00,97.51,97.69,97.03,97.03,31774
2016-01-06 09:30:00,95.2,95.74,95.09,95.65,78507
2016-01-07 09:30:00,93.47,93.93,93.17,93.72,81179
2016-01-08 09:30:00,93.17,93.45,92.99,93.45,52567
2016-01-11 09:30:00,92.11,92.43,91.68,91.75,26411
2016-01-12 09:30:00,92.98,93.38,92.94,93.27,34759
2016-01-13 09:30:00,93.52,93.77,93.41,93.48,36117
2016-01-14 09:30:00,90.69,90.92,89.57,89.67,81672
2016-01-15 09:30:00,89.27,90.21,89.06,89.55,53317
2016-01-19 09:30:00,90.38,90.52,89.77,89.95,87359
2016-01-20 09:30:00,87.72,87.91,87.11,87.18,109983
2016-01-21 09:30:00,89.13,89.13,87.98,88.22,32533
2016-01-22 09:30:00,90.66,91.12,90.59,91.12,47794
2016-01-25 09:30:00,91.3,91.49,90.9,91.12,31746
2016-01-26 09:30:00,90.49,90.81,89.87,89.97,26816
2016-01-27 09:30:00,90.34,90.47,89.99,90.12,19483
2016-01-28 09:30:00,89.92,90.21,89.79,89.91,31370
2016-01-29 09:30:00,90.53,91.6,90.53,91.54,245826
2016-02-01 09:30:00,92.49,92.67,92.34,92.6,22553
2016-02-02 09:30:00,92.81,92.89,92.05,92.28,45181
2016-02-03 09:30:00,91.82,92.13,91.28,91.28,54984
2016-02-04 09:30:00,90.83,90.96,90.26,90.78,26591
2016-02-05 09:30:00,90.7,90.82,89.49,89.64,19903
2016-02-08 09:30:00,86.38,86.41,85.84,86.22,76029
2016-02-09 09:30:00,85.28,87.11,85.17,86.69,72069
2016-02-10 09:30:00,86.83,87.51,86.67,87.47,36146
2016-02-11 09:30:00,85.15,86.06,85.12,85.99,39072
2016-02-12 09:30:00,86.84,87.0,86.31,86.31,19464
2016-02-16 09:30:00,88.25,88.65,88.05,88.47,52792
2016-02-17 09:30:00,89.7,90.05,89.55,89.99,44413
2016-02-18 09:30:00,91.56,91.62,91.4,91.45,22561
2016-02-19 09:30:00,90.38,90.74,90.18,90.51,59720
2016-02-22 09:30:00,91.88,92.24,91.83,92.16,33882
2016-02-23 09:30:00,91.83,92.0,91.72,91.86,91030
2016-02-24 09:30:00,89.7,89.86,89.37,89.48,34761
2016-02-25 09:30:00,91.82,91.9,91.24,91.31,28904
2016-02-26 09:30:00,93.17,93.39,92.99,93.16,65044
2016-02-29 09:30:00,92.55,93.0,92.52,92.89,20965
2016-03-01 09:30:00,92.79,92.94,92.68,92.9,22095
2016-03-02 09:30:00,94.69,94.82,94.43,94.54,46913
2016-03-03 09:30:00,95.1,95.18,94.9,94.9,28202
2016-03-04 09:30:00,95.32,95.39,94.81,94.96,22232
2016-03-07 09:30:00,95.01,95.02,94.67,94.7,20983
2016-03-08 09:30:00,94.26,94.48,93.88,94.34,26002
2016-03-09 09:30:00,94.28,94.47,94.12,94.33,45236
2016-03-10 09:30:00,95.31,95.63,94.95,95.63,17517
2016-03-11 09:30:00,95.54,95.84,95.43,95.84,28454
2016-03-14 09:30:00,95.92,96.06,95.89,95.98,12262
2016-03-15 09:30:00,96.05,96.23,95.93,95.94,13989
2016-03-16 09:30:00,96.38,96.64,96.25,96.63,21394
2016-03-17 09:30:00,97.35,97.95,97.35,97.51,27423
2016-03-18 09:30:00,98.6,98.6,97.99,98.11,48006
2016-03-21 09:30:00,98.28,98.66,98.18,98.64,25271
2016-03-22 09:30:00,98.31,98.69,98.13,98.68,16366
2016-03-23 09:30:00,98.74,98.74,98.34,98.38,12777
2016-03-24 09:30:00,97.64,98.22,97.42,97.64,24654
2016-03-28 09:30:00,98.38,98.48,97.84,97.88,52701
2016-03-29 09:30:00,97.8,97.99,97.71,97.99,14643
2016-03-30 09:30:00,100.23,100.76,100.15,100.67,31259
2016-03-31 09:30:00,100.25,100.32,100.13,100.19,13835
2016-04-01 09:30:00,99.66,99.81,99.45,99.8,18492
2016-04-04 09:30:00,100.95,100.99,100.66,100.87,65335
2016-04-05 09:30:00,99.76,99.87,99.49,99.64,47800
2016-04-06 09:30:00,99.55,99.64,99.38,99.48,16681
2016-04-07 09:30:00,99.89,99.92,99.57,99.69,16134
2016-04-08 09:30:00,99.63,99.75,99.55,99.71,11124
2016-04-11 09:30:00,99.5,99.88,99.49,99.86,14103
2016-04-12 09:30:00,99.0,99.03,98.6,98.81,8928
2016-04-13 09:30:00,100.05,100.5,99.9,100.45,28391
2016-04-14 09:30:00,100.84,100.87,100.38,100.41,19242
2016-04-15 09:30:00,100.66,100.74,100.48,100.63,15037
2016-04-18 09:30:00,99.85,100.17,99.85,100.16,20554
2016-04-19 09:30:00,101.02,101.02,100.1,100.18,100564
2016-04-20 09:30:00,100.16,100.5,99.89,100.47,31995
2016-04-21 09:30:00,100.5,100.53,100.12,100.21,11846
2016-04-22 09:30:00,98.89,99.32,98.7,99.26,24671
2016-04-25 09:30:00,98.47,98.83,98.38,98.65,19549
2016-04-26 09:30:00,98.76,99.05,98.66,98.99,20734
2016-04-27 09:30:00,97.01,97.63,97.0,97.15,43401
2016-04-28 09:30:00,97.85,98.15,97.85,97.98,27802
2016-04-29 09:30:00,96.0,96.09,95.36,95.36,106190
2016-05-02 09:30:00,95.63,95.7,95.3,95.39,27744
2016-05-03 09:30:00,95.51,95.69,95.2,95.32,29743
2016-05-04 09:30:00,94.81,95.09,94.75,95.07,14491
2016-05-05 09:30:00,95.06,95.25,94.88,94.89,16508
2016-05-06 09:30:00,94.63,94.99,94.41,94.71,12154
2016-05-09 09:30:00,95.64,95.88,95.51,95.79,25144
2016-05-10 09:30:00,95.8,96.09,95.69,95.97,33198
2016-05-11 09:30:00,96.57,96.87,96.57,96.87,19619
2016-05-12 09:30:00,96.51,96.51,95.91,95.94,33424
2016-05-13 09:30:00,95.66,96.2,95.66,95.91,15180
2016-05-16 09:30:00,95.54,95.99,95.54,95.99,54498
2016-05-17 09:30:00,96.6,96.86,96.38,96.59,33875
2016-05-18 09:30:00,95.57,96.06,95.57,96.05,18825
2016-05-19 09:30:00,95.88,96.19,95.53,95.55,29281
2016-05-20 09:30:00,96.09,96.86,96.07,96.86,34125
2016-05-23 09:30:00,96.93,97.45,96.93,97.27,32899
2016-05-24 09:30:00,97.48,98.03,97.48,97.98,34862
2016-05-25 09:30:00,99.6,99.62,99.24,99.61,47670
2016-05-26 09:30:00,99.71,99.81,99.4,99.4,18800
2016-05-27 09:30:00,99.84,100.25,99.82,100.18,22863
2016-05-31 09:30:00,100.56,100.64,100.47,100.61,21543
2016-06-01 09:30:00,100.32,100.35,100.15,100.2,21205
2016-06-02 09:30:00,100.38,100.38,99.72,99.89,60241
2016-06-03 09:30:00,100.35,100.53,100.05,100.1,25020
2016-06-06 09:30:00,100.43,100.83,100.33,100.7,33485
2016-06-07 09:30:00,100.84,101.19,100.8,101.08,26474
2016-06-08 09:30:00,100.98,101.19,100.97,101.17,19801
2016-06-09 09:30:00,100.69,101.0,100.64,100.96,15688
2016-06-10 09:30:00,100.14,100.31,100.0,100.02,20778
2016-06-13 09:30:00,99.32,99.78,99.22,99.62,15517
2016-06-14 09:30:00,98.66,99.32,98.65,99.23,12023
2016-06-15 09:30:00,99.34,99.4,99.22,99.23,6962
2016-06-16 09:30:00,98.41,98.41,98.02,98.02,25555
2016-06-17 09:30:00,99.06,99.06,98.26,98.29,20099
2016-06-20 09:30:00,99.12,99.47,99.12,99.42,17761
2016-06-21 09:30:00,99.09,99.46,99.02,99.46,31535
2016-06-22 09:30:00,99.43,99.66,99.43,99.48,20165
2016-06-23 09:30:00,99.62,99.62,99.27,99.48,18758
2016-06-24 09:30:00,96.68,97.85,96.49,97.69,134450
2016-06-27 09:30:00,95.32,95.32,94.47,94.56,68246
2016-06-28 09:30:00,94.63,95.26,94.56,95.21,38022
2016-06-29 09:30:00,96.26,96.52,96.17,96.5,25041
2016-06-30 09:30:00,97.3,97.54,97.22,97.25,77625
2016-07-01 09:30:00,98.21,98.69,98.1,98.56,28497
2016-07-05 09:30:00,97.84,97.93,97.33,97.56,16365
2016-07-06 09:30:00,97.15,97.26,96.78,97.19,13365
2016-07-07 09:30:00,98.24,98.72,98.18,98.69,13657
2016-07-08 09:30:00,99.13,99.66,99.02,99.58,16556
2016-07-11 09:30:00,100.54,101.09,100.54,101.07,21561
2016-07-12 09:30:00,101.49,102.09,101.38,101.6,23174
2016-07-13 09:30:00,102.06,102.12,101.88,101.94,98037
2016-07-14 09:30:00,102.37,102.45,102.17,102.34,30587
2016-07-15 09:30:00,102.76,102.77,102.27,102.35,29506
2016-07-18 09:30:00,102.5,102.72,102.36,102.72,27761
2016-07-19 09:30:00,102.87,103.08,102.69,102.74,26435
2016-07-20 09:30:00,103.61,103.87,103.59,103.84,32621
