open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,47.23,48.09,47.04,47.37,712819
2016-01-05 09:30:00,47.06,47.81,47.04,47.64,665770
2016-01-06 09:30:00,46.89,47.84,46.84,47.8,578995
2016-01-07 09:30:00,46.7,47.55,46.68,47.18,663846
2016-01-08 09:30:00,48.45,48.64,46.88,47.64,1301149
2016-01-11 09:30:00,45.8,46.32,45.77,46.0,587242
2016-01-12 09:30:00,46.88,47.94,46.51,47.43,1029796
2016-01-13 09:30:00,47.21,47.41,46.15,46.21,1230012
2016-01-14 09:30:00,43.95,43.95,42.62,42.92,895833
2016-01-15 09:30:00,43.56,44.55,43.26,43.92,1241378
2016-01-19 09:30:00,45.0,45.97,45.0,45.33,1198611
2016-01-20 09:30:00,43.57,43.79,42.82,43.58,1104377
2016-01-21 09:30:00,43.7,43.72,42.32,42.33,1334256
2016-01-22 09:30:00,43.68,44.39,43.43,44.35,1399428
2016-01-25 09:30:00,45.33,45.49,44.64,44.69,855640
2016-01-26 09:30:00,44.61,44.74,43.96,44.15,788061
2016-01-27 09:30:00,45.85,45.96,44.87,44.92,889231
2016-01-28 09:30:00,45.18,45.34,43.66,43.8,1505245
2016-01-29 09:30:00,43.63,43.72,42.44,43.04,730663
2016-02-01 09:30:00,45.88,45.96,44.82,44.83,611135
2016-02-02 09:30:00,45.18,45.29,44.07,44.16,814207
2016-02-03 09:30:00,43.91,44.14,42.38,42.47,1052023
2016-02-04 09:30:00,41.09,41.21,40.39,41.19,995298
2016-02-05 09:30:00,41.36,41.88,40.95,41.42,784360
2016-02-08 09:30:00,38.25,38.25,36.95,37.07,1055413
2016-02-09 09:30:00,36.87,37.86,36.59,37.65,834464
2016-02-10 09:30:00,36.97,37.1,35.94,36.59,824138
2016-02-11 09:30:00,36.5,37.63,36.2,37.6,904274
2016-02-12 09:30:00,38.61,39.06,38.3,38.46,567831
2016-02-16 09:30:00,39.9,40.0,38.69,38.91,984069
2016-02-17 09:30:00,39.23,39.75,38.64,39.03,549412
2016-02-18 09:30:00,39.63,39.63,38.85,38.95,574322
2016-02-19 09:30:00,37.31,38.0,37.26,37.87,1033106
2016-02-22 09:30:00,38.79,39.9,38.66,39.89,795816
2016-02-23 09:30:00,40.28,40.28,39.24,39.65,941546
2016-02-24 09:30:00,38.59,39.26,38.31,38.99,740012
2016-02-25 09:30:00,41.28,41.29,40.12,40.74,812626
2016-02-26 09:30:00,41.6,41.95,40.7,41.18,674457
2016-02-29 09:30:00,40.84,41.21,40.41,40.95,548383
2016-03-01 09:30:00,40.8,41.1,40.11,40.45,517732
2016-03-02 09:30:00,41.75,42.71,41.71,42.56,748739
2016-03-03 09:30:00,42.71,43.35,42.59,43.35,806211
2016-03-04 09:30:00,43.73,43.84,42.63,42.71,623321
2016-03-07 09:30:00,42.82,43.21,42.71,42.76,623424
2016-03-08 09:30:00,42.57,43.31,42.57,42.96,658670
2016-03-09 09:30:00,43.14,43.35,42.74,43.35,620975
2016-03-10 09:30:00,43.99,43.99,43.08,43.49,578077
2016-03-11 09:30:00,43.63,43.96,43.07,43.09,573403
2016-03-14 09:30:00,44.13,44.48,43.88,43.9,471642
2016-03-15 09:30:00,43.2,43.5,42.9,42.95,419160
2016-03-16 09:30:00,43.94,44.67,43.89,44.51,531179
2016-03-17 09:30:00,44.55,44.75,43.33,43.48,799391
2016-03-18 09:30:00,43.29,43.56,42.81,43.54,1759931
2016-03-21 09:30:00,44.36,44.72,44.05,44.42,658014
2016-03-22 09:30:00,44.49,44.92,44.22,44.88,510600
2016-03-23 09:30:00,44.81,45.06,44.32,44.6,506840
2016-03-24 09:30:00,43.76,44.6,43.63,44.49,600621
2016-03-28 09:30:00,44.75,44.75,44.24,44.51,333479
2016-03-29 09:30:00,44.07,44.22,43.65,44.13,468576
2016-03-30 09:30:00,43.9,44.55,43.9,44.28,421763
2016-03-31 09:30:00,43.4,43.49,42.62,42.7,690812
2016-04-01 09:30:00,43.12,43.18,42.38,42.81,631784
2016-04-04 09:30:00,42.68,42.89,42.41,42.8,458656
2016-04-05 09:30:00,42.78,43.3,42.6,42.68,464757
2016-04-06 09:30:00,42.91,43.16,41.95,42.05,661112
2016-04-07 09:30:00,41.72,42.32,41.61,41.98,650970
2016-04-08 09:30:00,41.87,42.04,41.44,41.98,829528
2016-04-11 09:30:00,42.3,42.51,41.56,41.77,859599
2016-04-12 09:30:00,41.23,41.36,40.51,40.76,1043483
2016-04-13 09:30:00,41.81,41.86,41.4,41.55,449577
2016-04-14 09:30:00,42.51,42.58,41.75,41.88,358945
2016-04-15 09:30:00,41.63,41.92,41.54,41.63,581540
