open_date,open,high,low,close,volume_base
2023-10-02 09:30:00,82.43,84.19,80.87,83.97,2134616
2023-10-03 09:30:00,81.98,82.57,78.24,79.34,1615693
2023-10-04 09:30:00,76.05,79.67,75.73,79.28,1080018
2023-10-05 09:30:00,75.68,76.36,73.74,73.83,2436146
2023-10-06 09:30:00,72.45,74.13,72.45,73.87,831655
2023-10-09 09:30:00,76.13,77.22,75.88,76.69,706888
2023-10-10 09:30:00,73.36,73.4,72.21,73.04,573774
2023-10-11 09:30:00,73.83,75.94,73.01,75.67,675809
2023-10-12 09:30:00,73.15,73.44,72.33,73.01,770237
2023-10-13 09:30:00,73.03,73.39,70.42,71.5,566784
2023-10-16 09:30:00,71.04,73.07,71.04,72.92,439901
2023-10-17 09:30:00,72.53,73.38,72.42,72.82,218378
2023-10-18 09:30:00,72.9,73.33,72.42,72.57,278435
2023-10-19 09:30:00,71.24,72.15,70.97,71.3,164435
2023-10-20 09:30:00,69.83,70.2,68.52,69.93,279287
2023-10-23 09:30:00,68.74,69.36,67.1,68.65,463871
2023-10-24 09:30:00,71.7,73.11,71.47,72.61,278175
2023-10-25 09:30:00,70.72,71.75,70.63,70.8,259839
2023-10-26 09:30:00,65.79,71.02,64.98,70.02,482962
2023-10-27 09:30:00,68.08,68.57,67.2,67.87,439557
2023-10-30 09:30:00,67.91,68.77,67.65,68.22,234019
2023-10-31 09:30:00,68.36,69.16,67.88,68.01,142040
2023-11-01 09:30:00,67.61,68.21,67.55,67.55,189411
2023-11-02 09:30:00,67.45,67.64,66.15,66.85,197046
2023-11-03 09:30:00,69.9,69.9,68.5,69.4,120780
2023-11-06 09:30:00,69.48,69.5,68.23,68.86,272575
2023-11-07 09:30:00,67.2,67.84,66.81,67.72,150905
2023-11-08 09:30:00,69.23,69.62,69.01,69.39,98094
2023-11-09 09:30:00,68.53,69.75,68.53,69.73,99454
2023-11-10 09:30:00,68.75,69.53,68.58,69.32,126640
2023-11-13 09:30:00,69.71,71.07,69.61,70.66,150463
2023-11-14 09:30:00,73.25,73.5,72.45,72.91,162583
2023-11-15 09:30:00,72.87,73.39,72.42,73.39,134692
2023-11-16 09:30:00,72.15,72.47,70.44,71.28,150342
2023-11-17 09:30:00,70.32,70.79,69.93,70.15,171898
2023-11-20 09:30:00,70.42,70.63,70.07,70.63,106671
2023-11-21 09:30:00,70.22,71.75,69.9,71.4,174004
2023-11-22 09:30:00,72.21,72.52,71.9,72.33,108111
2023-11-24 09:30:00,72.07,73.4,71.64,73.14,143089
2023-11-27 09:30:00,73.22,73.39,72.41,73.07,114662
2023-11-28 09:30:00,72.33,73.04,72.26,72.65,149271
2023-11-29 09:30:00,72.8,74.28,72.64,73.58,124663
2023-11-30 09:30:00,74.09,75.75,74.09,74.96,143958
2023-12-01 09:30:00,76.54,76.54,75.35,76.26,153750
2023-12-04 09:30:00,75.35,76.29,74.99,75.54,159107
2023-12-05 09:30:00,74.79,75.27,74.62,74.66,58228
2023-12-06 09:30:00,74.94,75.87,74.69,74.85,98847
2023-12-07 09:30:00,75.18,75.67,74.97,75.31,84084
2023-12-08 09:30:00,73.99,74.96,73.8,74.73,49390
2023-12-11 09:30:00,74.39,75.77,74.04,75.61,105499
2023-12-12 09:30:00,75.75,76.83,75.67,76.46,73528
2023-12-13 09:30:00,76.54,78.06,76.42,77.06,788231
2023-12-14 09:30:00,77.87,78.75,77.81,78.33,157802
2023-12-15 09:30:00,78.23,79.15,77.59,77.72,321232
2023-12-18 09:30:00,78.55,79.18,78.08,78.98,191887
2023-12-19 09:30:00,80.94,82.66,80.33,81.96,442878
2023-12-20 09:30:00,82.87,83.2,82.42,82.62,133577
2023-12-21 09:30:00,80.66,81.31,80.39,81.14,69234
2023-12-22 09:30:00,79.98,81.12,79.38,81.05,64244
2023-12-26 09:30:00,81.04,81.31,80.73,81.29,27441
2023-12-27 09:30:00,81.47,82.11,81.31,81.33,45364
2023-12-28 09:30:00,82.41,82.5,81.9,82.02,40214
2023-12-29 09:30:00,82.25,82.77,82.02,82.34,57297
2024-01-02 09:30:00,80.53,81.42,79.94,81.06,51363
2024-01-03 09:30:00,80.03,80.33,78.39,78.54,73216
2024-01-04 09:30:00,76.9,77.34,76.68,77.19,56555
2024-01-05 09:30:00,76.07,76.42,75.71,76.4,71584
2024-01-08 09:30:00,75.93,77.29,75.93,76.95,86858
2024-01-09 09:30:00,76.95,77.03,76.46,76.74,233715
2024-01-10 09:30:00,75.86,76.19,75.35,75.52,89229
2024-01-11 09:30:00,75.86,75.86,74.84,74.95,98338
2024-01-12 09:30:00,75.67,75.67,74.47,75.55,78275
2024-01-16 09:30:00,73.83,74.35,73.39,73.75,95362
2024-01-17 09:30:00,73.94,75.07,73.75,74.98,114571
2024-01-18 09:30:00,75.3,75.3,74.5,75.1,97536
2024-01-19 09:30:00,75.33,76.22,75.33,76.16,130257
2024-01-22 09:30:00,77.11,77.45,76.95,77.45,109204
2024-01-23 09:30:00,79.93,79.93,78.59,78.69,68258
2024-01-24 09:30:00,78.94,78.94,77.4,77.41,56210
2024-01-25 09:30:00,75.91,76.1,75.45,75.71,45612
2024-01-26 09:30:00,76.53,76.92,75.9,76.78,31857
2024-01-29 09:30:00,76.09,76.09,75.52,75.95,46071
2024-01-30 09:30:00,77.19,77.19,76.28,77.08,71675
2024-01-31 09:30:00,77.78,78.04,76.43,77.08,286724
2024-02-01 09:30:00,76.21,76.35,74.99,75.24,74696
2024-02-02 09:30:00,76.15,76.15,74.81,75.68,67286
2024-02-05 09:30:00,75.53,76.07,75.33,75.7,80564
2024-02-06 09:30:00,74.68,76.61,74.52,75.79,230436
2024-02-07 09:30:00,79.67,81.69,78.87,81.15,296778
2024-02-08 09:30:00,81.15,82.38,80.92,82.32,221657
2024-02-09 09:30:00,81.99,82.58,81.8,82.45,58711
2024-02-12 09:30:00,81.95,82.53,81.46,82.34,58228
2024-02-13 09:30:00,81.34,83.19,81.34,82.19,69639
2024-02-14 09:30:00,82.45,83.28,82.31,82.6,80005
2024-02-15 09:30:00,84.1,84.32,83.72,84.0,93256
2024-02-16 09:30:00,85.81,86.09,85.28,85.44,71171
2024-02-20 09:30:00,84.55,85.53,84.41,85.39,106487
2024-02-21 09:30:00,83.57,84.81,82.75,84.71,71863
2024-02-22 09:30:00,85.43,85.97,85.24,85.69,95324
2024-02-23 09:30:00,85.8,86.79,85.8,86.22,148113
2024-02-26 09:30:00,86.17,86.8,85.55,86.33,46505
2024-02-27 09:30:00,86.96,87.15,86.32,86.73,87191
2024-02-28 09:30:00,86.97,88.18,86.89,86.94,84337
2024-02-29 09:30:00,87.28,87.28,86.39,86.46,70548
2024-03-01 09:30:00,85.09,85.79,85.09,85.39,65496
2024-03-04 09:30:00,86.61,87.82,86.28,87.38,93935
2024-03-05 09:30:00,86.75,87.34,86.6,87.03,66313
2024-03-06 09:30:00,88.19,88.8,88.08,88.66,168007
2024-03-07 09:30:00,88.64,88.95,88.57,88.71,124646
2024-03-08 09:30:00,88.82,89.87,88.81,89.72,36718
2024-03-11 09:30:00,88.24,88.54,88.03,88.26,47939
2024-03-12 09:30:00,88.71,88.93,88.04,88.41,60691
2024-03-13 09:30:00,87.78,88.32,87.27,87.81,60060
2024-03-14 09:30:00,88.3,88.51,87.96,88.16,48939
2024-03-15 09:30:00,86.4,87.65,86.4,87.38,239117
2024-03-18 09:30:00,86.84,86.98,86.1,86.21,72813
2024-03-19 09:30:00,86.7,86.97,86.41,86.78,43235
2024-03-20 09:30:00,86.76,87.46,86.68,87.29,28415
2024-03-21 09:30:00,88.52,88.89,87.81,88.86,69164
2024-03-22 09:30:00,89.44,90.05,89.33,89.56,78808
2024-03-25 09:30:00,88.67,88.99,88.27,88.71,53568
2024-03-26 09:30:00,88.92,89.35,88.87,89.05,60611
2024-03-27 09:30:00,89.01,90.08,88.2,88.41,58711
2024-03-28 09:30:00,89.22,89.3,88.97,88.99,27979
2024-04-01 09:30:00,88.05,88.12,87.41,87.62,71377
2024-04-02 09:30:00,86.78,86.78,86.03,86.39,80149
2024-04-03 09:30:00,85.93,85.93,85.39,85.51,104311
2024-04-04 09:30:00,87.59,87.59,87.1,87.21,48776
2024-04-05 09:30:00,86.43,86.93,86.06,86.6,113018
2024-04-08 09:30:00,86.92,87.36,86.67,86.81,51412
2024-04-09 09:30:00,87.48,87.74,87.05,87.43,37229
2024-04-10 09:30:00,87.2,88.05,86.8,86.95,32339
2024-04-11 09:30:00,87.75,88.4,86.95,87.08,70591
2024-04-12 09:30:00,86.11,86.92,85.52,86.79,61982
2024-04-15 09:30:00,87.93,90.17,87.93,89.31,130842
2024-04-16 09:30:00,89.13,89.67,88.93,89.59,75013
2024-04-17 09:30:00,91.02,91.41,90.95,91.15,129802
2024-04-18 09:30:00,90.0,90.08,89.48,89.77,82125
2024-04-19 09:30:00,88.29,89.11,87.87,88.39,97681
2024-04-22 09:30:00,88.6,89.14,87.6,88.99,80719
2024-04-23 09:30:00,91.22,91.86,90.85,91.75,110208
2024-04-24 09:30:00,92.87,94.82,91.07,91.85,227280
2024-04-25 09:30:00,92.08,92.08,90.31,91.41,103240
2024-04-26 09:30:00,92.99,93.77,92.04,92.87,72628
2024-04-29 09:30:00,93.58,94.19,93.58,93.65,51701
2024-04-30 09:30:00,93.96,94.64,93.34,94.05,40566
2024-05-01 09:30:00,93.07,93.56,92.88,93.2,56100
2024-05-02 09:30:00,93.83,94.42,93.26,93.42,52320
2024-05-03 09:30:00,94.23,95.06,93.95,94.89,55375
2024-05-06 09:30:00,96.31,96.31,95.62,95.73,26951
2024-05-07 09:30:00,96.45,96.65,96.17,96.27,57430
2024-05-08 09:30:00,96.1,96.29,95.83,96.09,48197
2024-05-09 09:30:00,96.1,96.87,96.0,96.01,122170
2024-05-10 09:30:00,95.79,95.95,95.04,95.56,71630
2024-05-13 09:30:00,96.12,96.12,95.36,95.53,44926
2024-05-14 09:30:00,95.59,95.83,94.66,95.59,110168
2024-05-15 09:30:00,97.16,97.75,97.15,97.46,165823
2024-05-16 09:30:00,98.08,98.6,97.82,98.07,49722
2024-05-17 09:30:00,97.7,97.75,97.08,97.39,66449
2024-05-20 09:30:00,98.14,99.18,97.86,98.56,99988
2024-05-21 09:30:00,98.02,98.49,97.55,98.0,35561
2024-05-22 09:30:00,98.94,100.09,98.91,99.82,128721
2024-05-23 09:30:00,100.27,100.44,99.35,99.47,56194
2024-05-24 09:30:00,99.49,100.45,99.19,99.99,59408
2024-05-28 09:30:00,101.39,101.96,100.98,101.09,77126
2024-05-29 09:30:00,99.18,100.35,99.18,99.66,63375
2024-05-30 09:30:00,98.21,98.93,97.4,97.56,47343
2024-05-31 09:30:00,98.86,99.84,98.66,98.67,76916
2024-06-03 09:30:00,100.24,100.6,98.57,99.19,63816
2024-06-04 09:30:00,97.92,98.72,97.82,98.72,82530
2024-06-05 09:30:00,99.96,100.38,99.39,99.47,27177
2024-06-06 09:30:00,100.3,101.09,99.62,100.89,72849
2024-06-07 09:30:00,98.1,98.88,97.71,98.62,55971
2024-06-10 09:30:00,98.28,98.47,97.75,98.37,30425
2024-06-11 09:30:00,98.84,98.84,97.67,98.09,34818
2024-06-12 09:30:00,100.39,100.39,99.34,99.66,99614
2024-06-13 09:30:00,100.13,100.39,99.42,99.45,41059
2024-06-14 09:30:00,99.75,100.38,99.01,99.68,54778
2024-06-17 09:30:00,99.44,99.83,99.14,99.14,59618
2024-06-18 09:30:00,99.99,100.7,99.98,100.09,47793
2024-06-20 09:30:00,99.82,100.49,99.48,99.74,52015
2024-06-21 09:30:00,99.39,99.46,98.47,98.82,220451
2024-06-24 09:30:00,98.86,99.01,98.32,98.81,76625
2024-06-25 09:30:00,98.95,99.66,98.68,98.68,108140
2024-06-26 09:30:00,97.82,98.26,97.82,98.05,32469
2024-06-27 09:30:00,98.17,98.25,97.5,97.84,74344
2024-06-28 09:30:00,97.37,97.51,96.99,97.0,57215
2024-07-01 09:30:00,95.53,95.58,94.59,95.2,70141
2024-07-02 09:30:00,94.61,95.09,93.67,93.87,74370
2024-07-03 09:30:00,94.23,95.1,94.15,94.65,68256
2024-07-05 09:30:00,94.01,94.76,93.52,94.43,90301
2024-07-08 09:30:00,95.66,95.66,94.93,95.19,68160
2024-07-09 09:30:00,95.57,95.89,95.47,95.78,41266
2024-07-10 09:30:00,95.22,95.74,94.72,95.71,56839
2024-07-11 09:30:00,95.52,95.91,95.34,95.55,53174
2024-07-12 09:30:00,97.66,98.26,97.51,98.13,120007
2024-07-15 09:30:00,98.49,98.85,98.21,98.38,76160
2024-07-16 09:30:00,97.99,99.29,97.99,99.21,51266
