open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,155.65,155.78,155.02,155.49,619481
2016-01-05 09:30:00,156.33,156.7,156.02,156.04,188392
2016-01-06 09:30:00,154.09,154.78,153.97,154.69,419106
2016-01-07 09:30:00,151.74,152.64,151.45,152.36,574989
2016-01-08 09:30:00,151.58,152.06,151.23,151.78,612381
2016-01-11 09:30:00,149.95,150.19,149.04,149.22,653951
2016-01-12 09:30:00,150.55,151.07,150.18,150.63,321359
2016-01-13 09:30:00,150.98,151.31,150.55,150.73,261615
2016-01-14 09:30:00,147.2,147.3,145.84,145.95,468397
2016-01-15 09:30:00,145.08,146.47,144.93,145.66,1255789
2016-01-19 09:30:00,147.54,147.62,146.26,146.81,475870
2016-01-20 09:30:00,143.64,144.27,142.88,142.96,486266
2016-01-21 09:30:00,144.66,144.98,143.42,143.72,248414
2016-01-22 09:30:00,147.4,147.77,146.98,147.75,807241
2016-01-25 09:30:00,147.46,147.63,146.98,147.22,309624
2016-01-26 09:30:00,146.4,146.84,146.01,146.21,217723
2016-01-27 09:30:00,147.28,147.54,147.03,147.21,302597
2016-01-28 09:30:00,147.49,147.67,147.09,147.31,213391
2016-01-29 09:30:00,147.66,148.51,147.44,148.43,681301
2016-02-01 09:30:00,149.59,149.74,149.2,149.4,471593
2016-02-02 09:30:00,149.0,149.15,148.22,148.48,867718
2016-02-03 09:30:00,148.64,148.71,147.54,147.63,383703
2016-02-04 09:30:00,148.18,148.58,147.57,148.34,309398
2016-02-05 09:30:00,148.36,148.38,147.32,147.64,158667
2016-02-08 09:30:00,144.23,144.32,143.08,143.38,538877
2016-02-09 09:30:00,142.45,144.27,142.27,143.86,318461
2016-02-10 09:30:00,144.78,145.36,144.51,145.26,196475
2016-02-11 09:30:00,141.67,142.84,141.45,142.5,315625
2016-02-12 09:30:00,143.6,143.77,143.03,143.03,186296
2016-02-16 09:30:00,146.7,146.79,146.13,146.22,430926
2016-02-17 09:30:00,148.49,148.9,148.33,148.66,195991
2016-02-18 09:30:00,150.06,150.1,149.45,149.67,164954
2016-02-19 09:30:00,148.46,148.7,147.94,148.33,148313
2016-02-22 09:30:00,150.58,151.12,150.52,151.08,388467
2016-02-23 09:30:00,150.7,150.92,150.52,150.67,174163
2016-02-24 09:30:00,148.04,148.1,147.21,147.39,427922
2016-02-25 09:30:00,150.51,150.86,150.1,150.15,215282
2016-02-26 09:30:00,152.63,152.76,152.31,152.36,614417
2016-02-29 09:30:00,151.56,151.75,151.21,151.53,222288
2016-03-01 09:30:00,151.47,151.67,151.04,151.4,271811
2016-03-02 09:30:00,153.61,153.85,153.37,153.54,305655
2016-03-03 09:30:00,154.38,154.42,153.96,154.12,297863
2016-03-04 09:30:00,155.38,155.46,154.62,154.78,336903
2016-03-07 09:30:00,154.87,155.23,154.79,154.96,372441
2016-03-08 09:30:00,154.84,154.91,154.45,154.63,321871
2016-03-09 09:30:00,154.87,154.91,154.49,154.71,179171
2016-03-10 09:30:00,155.32,156.05,155.07,155.97,368820
2016-03-11 09:30:00,156.33,156.65,156.23,156.55,369361
2016-03-14 09:30:00,157.03,157.22,156.79,156.8,205938
2016-03-15 09:30:00,156.45,156.61,156.23,156.33,169771
2016-03-16 09:30:00,156.59,157.24,156.59,157.06,454366
2016-03-17 09:30:00,157.89,158.06,157.55,157.71,181229
2016-03-18 09:30:00,159.44,159.63,159.28,159.57,341683
2016-03-21 09:30:00,159.39,159.83,159.35,159.75,242232
2016-03-22 09:30:00,159.14,159.46,158.99,159.44,156152
2016-03-23 09:30:00,159.39,159.45,159.12,159.21,188051
2016-03-24 09:30:00,157.74,157.97,157.54,157.94,331478
2016-03-28 09:30:00,159.0,159.06,158.56,158.65,351081
2016-03-29 09:30:00,158.37,158.4,158.07,158.38,157245
2016-03-30 09:30:00,161.08,161.48,160.93,161.3,164440
2016-03-31 09:30:00,160.82,161.08,160.78,160.85,182389
2016-04-01 09:30:00,159.58,159.74,159.32,159.72,282689
2016-04-04 09:30:00,161.53,161.59,161.31,161.59,154534
2016-04-05 09:30:00,159.83,160.09,159.44,159.77,262830
2016-04-06 09:30:00,159.57,159.81,159.31,159.58,130795
2016-04-07 09:30:00,160.23,160.47,160.11,160.32,274911
2016-04-08 09:30:00,160.35,160.55,160.14,160.52,308478
2016-04-11 09:30:00,160.31,160.68,160.21,160.59,190390
2016-04-12 09:30:00,159.48,159.91,159.4,159.69,141054
2016-04-13 09:30:00,161.69,162.0,161.61,161.87,251887
2016-04-14 09:30:00,162.5,162.56,162.14,162.22,526237
2016-04-15 09:30:00,162.47,162.51,162.29,162.38,251441
2016-04-18 09:30:00,161.76,162.33,161.66,162.31,146523
2016-04-19 09:30:00,163.8,164.0,163.6,163.99,305579
2016-04-20 09:30:00,164.0,164.05,163.78,164.01,171978
2016-04-21 09:30:00,164.09,164.19,163.63,163.63,186962
2016-04-22 09:30:00,162.9,163.38,162.85,163.31,350846
2016-04-25 09:30:00,162.7,162.89,162.42,162.53,176081
2016-04-26 09:30:00,163.25,163.58,163.08,163.58,125376
2016-04-27 09:30:00,162.82,163.25,162.82,163.03,161110
2016-04-28 09:30:00,162.83,163.3,162.62,163.26,162931
2016-04-29 09:30:00,161.47,161.77,160.97,160.99,160617
2016-05-02 09:30:00,161.63,161.68,161.23,161.52,147563
2016-05-03 09:30:00,161.3,161.37,160.77,160.95,145907
2016-05-04 09:30:00,160.09,160.42,159.89,160.38,328603
2016-05-05 09:30:00,160.56,160.67,160.29,160.44,167028
2016-05-06 09:30:00,159.38,160.23,159.34,159.81,216766
2016-05-09 09:30:00,160.55,161.13,160.48,161.07,272211
2016-05-10 09:30:00,161.45,161.98,161.4,161.9,140513
2016-05-11 09:30:00,162.39,162.53,162.16,162.22,110642
2016-05-12 09:30:00,161.91,162.04,161.41,161.41,129519
2016-05-13 09:30:00,161.02,161.54,160.98,161.04,151909
2016-05-16 09:30:00,160.07,160.66,160.03,160.49,177323
2016-05-17 09:30:00,161.24,161.49,160.83,161.12,225368
2016-05-18 09:30:00,159.66,159.98,159.45,159.98,155594
2016-05-19 09:30:00,159.36,159.74,158.62,158.63,156143
2016-05-20 09:30:00,160.06,160.73,160.0,160.6,213519
2016-05-23 09:30:00,160.5,160.64,160.25,160.44,312393
2016-05-24 09:30:00,161.04,161.72,161.01,161.59,192291
2016-05-25 09:30:00,162.96,163.45,162.95,163.41,187608
2016-05-26 09:30:00,163.61,163.8,163.27,163.3,138030
2016-05-27 09:30:00,163.65,163.89,163.63,163.8,75028
2016-05-31 09:30:00,164.48,164.52,164.26,164.34,237532
2016-06-01 09:30:00,163.37,163.43,163.18,163.32,142366
2016-06-02 09:30:00,163.88,163.95,163.42,163.54,300575
2016-06-03 09:30:00,164.22,164.28,163.59,163.76,213212
2016-06-06 09:30:00,164.59,165.1,164.49,164.94,162073
2016-06-07 09:30:00,165.24,165.47,165.21,165.42,137838
2016-06-08 09:30:00,165.49,165.93,165.48,165.92,123484
2016-06-09 09:30:00,165.21,165.44,165.11,165.37,188446
2016-06-10 09:30:00,164.4,164.51,164.16,164.28,278900
2016-06-13 09:30:00,163.52,164.11,163.49,163.99,281829
2016-06-14 09:30:00,162.5,163.02,162.42,162.79,258548
2016-06-15 09:30:00,162.86,163.08,162.73,162.97,199176
2016-06-16 09:30:00,161.45,161.54,160.81,160.81,415581
2016-06-17 09:30:00,162.73,162.73,162.21,162.45,212798
2016-06-20 09:30:00,163.97,164.38,163.93,164.2,265463
2016-06-21 09:30:00,163.58,163.63,163.29,163.44,170882
2016-06-22 09:30:00,163.84,164.01,163.76,163.87,183362
2016-06-23 09:30:00,164.75,164.85,164.31,164.55,215902
2016-06-24 09:30:00,160.03,161.89,159.69,161.74,1955262
2016-06-27 09:30:00,158.29,158.37,157.25,157.45,2612549
2016-06-28 09:30:00,158.21,158.81,158.07,158.7,735677
2016-06-29 09:30:00,160.82,161.14,160.76,160.95,608268
2016-06-30 09:30:00,162.71,162.78,162.19,162.26,393625
2016-07-01 09:30:00,164.38,165.0,164.37,164.92,224247
2016-07-05 09:30:00,164.08,164.15,163.48,163.63,280842
2016-07-06 09:30:00,163.2,163.35,162.74,163.08,208086
2016-07-07 09:30:00,164.79,165.39,164.79,165.32,233303
2016-07-08 09:30:00,165.72,166.05,165.51,165.93,286851
2016-07-11 09:30:00,167.41,167.77,167.38,167.6,411617
2016-07-12 09:30:00,168.45,168.76,168.42,168.51,272582
2016-07-13 09:30:00,169.18,169.18,168.62,168.71,441742
2016-07-14 09:30:00,169.94,170.01,169.55,169.81,544220
2016-07-15 09:30:00,170.24,170.24,169.77,169.82,185309
2016-07-18 09:30:00,169.57,169.66,169.36,169.6,122909
2016-07-19 09:30:00,169.55,169.73,169.38,169.49,153799
2016-07-20 09:30:00,170.23,170.23,169.79,169.99,139790
2016-07-21 09:30:00,170.36,170.57,170.25,170.31,740276
2016-07-22 09:30:00,169.93,169.97,169.7,169.79,103228
2016-07-25 09:30:00,170.38,170.44,170.04,170.08,224308
