open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,72.16,72.16,71.58,71.74,94076
2016-01-05 09:30:00,72.02,72.37,71.83,72.03,81822
2016-01-06 09:30:00,70.87,71.17,70.62,70.68,99864
2016-01-07 09:30:00,70.19,70.56,69.77,70.52,87913
2016-01-08 09:30:00,70.27,70.32,69.69,70.26,101956
2016-01-11 09:30:00,70.57,71.06,70.47,70.74,54227
2016-01-12 09:30:00,71.14,71.7,70.76,71.6,103434
2016-01-13 09:30:00,71.36,71.52,70.86,70.98,76813
2016-01-14 09:30:00,68.96,69.16,68.54,68.65,119851
2016-01-15 09:30:00,67.53,68.04,67.24,67.67,245689
2016-01-19 09:30:00,69.62,70.55,69.26,69.53,80697
2016-01-20 09:30:00,67.75,68.3,67.17,67.2,101336
2016-01-21 09:30:00,68.29,68.65,67.73,67.76,116445
2016-01-22 09:30:00,68.52,68.69,67.85,68.61,118421
2016-01-25 09:30:00,67.77,67.77,66.55,67.57,97511
2016-01-26 09:30:00,67.21,67.96,67.0,67.89,68091
2016-01-27 09:30:00,68.21,68.42,68.05,68.19,53092
2016-01-28 09:30:00,68.13,68.91,67.93,68.81,86766
2016-01-29 09:30:00,68.52,69.62,68.25,69.62,108293
2016-02-01 09:30:00,69.26,69.33,68.62,69.03,81703
2016-02-02 09:30:00,68.13,68.13,67.44,68.07,118757
2016-02-03 09:30:00,67.83,68.27,66.49,66.7,158440
2016-02-04 09:30:00,66.02,66.66,65.61,66.03,105819
2016-02-05 09:30:00,65.77,66.26,65.67,65.9,93263
2016-02-08 09:30:00,64.57,64.86,62.94,63.2,131813
2016-02-09 09:30:00,62.89,64.02,62.89,64.02,98285
2016-02-10 09:30:00,65.29,65.81,65.18,65.49,74852
2016-02-11 09:30:00,62.76,63.76,62.26,63.64,210769
2016-02-12 09:30:00,64.35,64.86,64.13,64.55,121279
2016-02-16 09:30:00,65.5,66.25,65.28,65.68,80515
2016-02-17 09:30:00,65.79,66.85,65.57,65.67,115794
2016-02-18 09:30:00,65.72,66.6,65.36,66.19,70241
2016-02-19 09:30:00,65.36,65.68,64.82,64.96,189338
2016-02-22 09:30:00,65.58,66.41,65.58,65.8,136618
2016-02-23 09:30:00,65.18,65.73,65.11,65.35,201167
2016-02-24 09:30:00,64.25,68.18,64.23,68.17,784289
2016-02-25 09:30:00,69.29,70.01,68.84,69.15,229866
2016-02-26 09:30:00,70.97,71.32,70.51,70.67,59558
2016-02-29 09:30:00,70.88,71.08,70.54,70.67,35900
2016-03-01 09:30:00,70.12,70.53,69.61,70.22,136971
2016-03-02 09:30:00,71.23,71.49,70.5,70.72,49330
2016-03-03 09:30:00,71.27,71.8,71.02,71.54,37828
2016-03-04 09:30:00,73.16,73.16,72.3,72.61,56935
2016-03-07 09:30:00,72.6,73.36,72.53,72.54,51560
2016-03-08 09:30:00,72.64,72.88,71.82,72.76,102713
2016-03-09 09:30:00,72.7,73.23,72.36,73.23,49642
2016-03-10 09:30:00,73.42,73.55,72.58,73.45,28589
2016-03-11 09:30:00,73.33,73.49,72.63,72.75,56378
2016-03-14 09:30:00,72.92,73.16,72.63,72.73,24973
2016-03-15 09:30:00,72.92,73.57,72.64,72.72,43609
2016-03-16 09:30:00,72.75,73.05,72.05,72.96,43006
2016-03-17 09:30:00,73.66,73.88,73.13,73.18,36476
2016-03-18 09:30:00,74.26,74.26,73.51,73.79,499598
2016-03-21 09:30:00,74.11,74.48,73.61,73.82,33111
2016-03-22 09:30:00,74.18,75.13,73.88,74.06,60055
2016-03-23 09:30:00,74.32,74.62,73.84,74.29,24621
2016-03-24 09:30:00,73.23,74.9,73.16,73.94,86403
2016-03-28 09:30:00,74.7,75.03,74.26,74.33,47795
2016-03-29 09:30:00,74.26,74.77,74.26,74.65,37631
2016-03-30 09:30:00,75.77,75.81,75.26,75.26,26169
2016-03-31 09:30:00,75.59,75.92,75.41,75.91,32350
2016-04-01 09:30:00,76.26,76.36,75.92,76.05,32575
2016-04-04 09:30:00,76.61,78.12,76.43,76.68,59029
2016-04-05 09:30:00,75.45,75.97,75.15,75.32,29346
2016-04-06 09:30:00,75.21,75.64,75.09,75.59,29475
2016-04-07 09:30:00,75.75,76.35,75.17,75.5,35060
2016-04-08 09:30:00,74.74,74.74,74.48,74.56,105735
2016-04-11 09:30:00,74.66,74.68,74.08,74.15,68317
2016-04-12 09:30:00,73.71,74.0,73.7,73.86,20821
2016-04-13 09:30:00,74.69,74.83,74.52,74.56,37558
2016-04-14 09:30:00,75.23,75.35,74.82,75.27,45475
2016-04-15 09:30:00,74.56,74.62,74.14,74.59,157045
2016-04-18 09:30:00,74.53,74.93,74.53,74.87,18490
2016-04-19 09:30:00,75.38,75.58,75.12,75.5,33829
2016-04-20 09:30:00,75.27,75.34,74.95,75.31,27908
2016-04-21 09:30:00,75.11,75.38,75.07,75.29,29548
2016-04-22 09:30:00,74.51,75.16,74.51,75.16,43572
2016-04-25 09:30:00,74.86,74.97,74.62,74.67,20841
2016-04-26 09:30:00,74.79,75.4,74.74,75.4,38557
2016-04-27 09:30:00,75.53,75.8,74.74,75.27,35029
2016-04-28 09:30:00,75.08,75.77,75.08,75.45,34260
2016-04-29 09:30:00,74.75,75.13,74.28,74.57,130181
2016-05-02 09:30:00,74.38,74.75,74.2,74.39,36332
2016-05-03 09:30:00,74.02,74.15,73.67,73.71,59375
2016-05-04 09:30:00,73.17,74.41,73.05,74.29,93366
2016-05-05 09:30:00,74.13,74.64,73.79,73.9,64506
2016-05-06 09:30:00,73.62,74.05,73.55,73.61,46969
