open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,85.21,85.67,82.61,82.93,205360
2016-01-05 09:30:00,81.27,83.44,80.5,82.92,249785
2016-01-06 09:30:00,79.96,80.68,79.38,80.63,153798
2016-01-07 09:30:00,79.18,79.95,78.96,79.74,101328
2016-01-08 09:30:00,80.45,80.92,80.18,80.92,67205
2016-01-11 09:30:00,77.75,78.32,77.72,77.74,82786
2016-01-12 09:30:00,78.28,79.1,77.72,78.97,49705
2016-01-13 09:30:00,78.88,79.68,78.58,78.91,126197
2016-01-14 09:30:00,75.98,75.98,73.78,73.98,134478
2016-01-15 09:30:00,74.46,74.46,72.93,72.93,193991
2016-01-19 09:30:00,74.43,74.97,73.9,73.95,273559
2016-01-20 09:30:00,73.15,73.9,72.95,73.27,195400
2016-01-21 09:30:00,73.88,74.25,73.11,73.59,64686
2016-01-22 09:30:00,74.58,74.79,73.87,74.56,70497
2016-01-25 09:30:00,74.31,75.12,73.74,74.37,61605
2016-01-26 09:30:00,74.59,75.2,73.85,74.2,73992
2016-01-27 09:30:00,74.61,75.0,74.49,74.51,37100
2016-01-28 09:30:00,75.17,75.39,74.38,74.81,50638
2016-01-29 09:30:00,76.5,76.93,75.92,75.97,136211
2016-02-01 09:30:00,74.61,75.57,74.27,74.56,122744
2016-02-02 09:30:00,74.62,75.11,74.23,74.93,98337
2016-02-03 09:30:00,74.13,74.37,73.56,73.92,136642
2016-02-04 09:30:00,75.61,75.9,74.09,75.1,127090
2016-02-05 09:30:00,76.49,76.57,75.43,76.23,120165
2016-02-08 09:30:00,74.1,74.29,73.0,73.56,101382
2016-02-09 09:30:00,70.63,71.74,69.87,71.43,140405
2016-02-10 09:30:00,73.09,74.21,72.78,74.14,49266
2016-02-11 09:30:00,72.01,72.69,71.38,72.63,69395
2016-02-12 09:30:00,75.48,77.02,73.39,75.98,244444
2016-02-16 09:30:00,77.51,78.26,77.32,77.86,104520
2016-02-17 09:30:00,79.56,80.69,79.56,80.55,100646
2016-02-18 09:30:00,81.11,81.4,80.71,81.09,125509
