open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,36.55,36.68,36.23,36.47,214008
2016-01-05 09:30:00,37.08,37.41,36.99,37.31,207864
2016-01-06 09:30:00,37.64,37.72,37.36,37.53,330571
2016-01-07 09:30:00,36.97,37.2,36.93,37.12,185497
2016-01-08 09:30:00,36.8,36.97,36.69,36.9,188286
2016-01-11 09:30:00,37.03,37.09,36.83,36.89,227180
2016-01-12 09:30:00,37.07,37.07,36.55,36.56,190534
2016-01-13 09:30:00,36.6,36.73,36.38,36.5,153927
2016-01-14 09:30:00,35.49,35.93,35.4,35.43,323002
2016-01-15 09:30:00,35.14,35.37,35.04,35.13,411470
2016-01-19 09:30:00,35.97,36.3,35.9,36.12,226952
2016-01-20 09:30:00,36.04,36.16,35.52,35.52,289883
2016-01-21 09:30:00,34.92,34.92,34.34,34.38,246317
2016-01-22 09:30:00,35.76,36.24,35.53,36.19,329816
2016-01-25 09:30:00,36.39,36.48,35.8,36.45,255551
2016-01-26 09:30:00,35.89,36.52,35.89,36.03,165797
2016-01-27 09:30:00,36.33,36.52,35.63,35.75,229916
2016-01-28 09:30:00,35.31,35.46,34.96,35.11,243200
2016-01-29 09:30:00,35.54,35.89,35.36,35.46,344085
2016-02-01 09:30:00,35.81,35.95,35.53,35.92,194219
2016-02-02 09:30:00,36.11,36.22,35.73,35.8,596837
2016-02-03 09:30:00,35.97,36.25,35.92,36.16,165954
2016-02-04 09:30:00,36.42,36.5,36.01,36.31,167968
2016-02-05 09:30:00,36.79,36.94,36.35,36.52,181436
2016-02-08 09:30:00,36.76,36.94,35.73,35.74,378820
2016-02-09 09:30:00,34.5,34.65,33.66,33.69,709555
2016-02-10 09:30:00,32.8,33.17,32.73,33.1,406366
2016-02-11 09:30:00,32.19,32.36,31.37,31.47,675683
2016-02-12 09:30:00,31.82,32.58,30.6,31.25,864319
2016-02-16 09:30:00,31.83,31.92,31.29,31.43,507722
2016-02-17 09:30:00,32.5,32.87,32.46,32.74,214776
2016-02-18 09:30:00,32.98,33.23,32.83,33.23,123223
2016-02-19 09:30:00,33.57,33.77,33.24,33.64,221696
2016-02-22 09:30:00,34.42,34.73,34.27,34.58,153754
2016-02-23 09:30:00,34.59,35.13,34.41,35.13,197267
2016-02-24 09:30:00,34.81,35.2,34.67,34.69,191922
2016-02-25 09:30:00,35.28,35.63,35.18,35.42,237973
2016-02-26 09:30:00,35.97,36.22,35.9,36.22,193158
2016-02-29 09:30:00,36.21,36.39,36.16,36.37,141480
2016-03-01 09:30:00,36.87,37.12,36.54,36.88,256360
2016-03-02 09:30:00,37.44,37.68,37.38,37.63,237680
2016-03-03 09:30:00,38.47,38.47,37.95,38.06,400481
2016-03-04 09:30:00,37.6,37.73,37.18,37.18,307499
2016-03-07 09:30:00,37.46,37.68,37.2,37.63,206658
2016-03-08 09:30:00,38.04,38.14,37.57,37.75,139340
2016-03-09 09:30:00,37.38,37.77,37.36,37.71,153934
2016-03-10 09:30:00,37.88,38.47,37.82,38.39,546620
2016-03-11 09:30:00,38.27,38.55,38.22,38.5,288461
2016-03-14 09:30:00,39.46,39.91,39.39,39.8,381047
2016-03-15 09:30:00,39.72,39.84,39.5,39.67,282311
2016-03-16 09:30:00,40.05,40.08,39.62,39.64,195035
2016-03-17 09:30:00,40.48,40.55,40.14,40.29,192722
2016-03-18 09:30:00,41.11,41.11,40.63,41.02,1036492
2016-03-21 09:30:00,40.73,40.97,40.55,40.97,123629
2016-03-22 09:30:00,40.38,40.51,40.11,40.3,299001
2016-03-23 09:30:00,40.53,40.69,40.42,40.43,147916
2016-03-24 09:30:00,39.85,39.93,39.39,39.66,437165
2016-03-28 09:30:00,40.64,40.66,40.42,40.5,244555
2016-03-29 09:30:00,40.79,41.16,40.73,40.95,193226
2016-03-30 09:30:00,41.92,41.92,41.67,41.79,134706
2016-03-31 09:30:00,41.57,41.67,41.31,41.62,165130
2016-04-01 09:30:00,41.48,41.67,41.25,41.32,231022
2016-04-04 09:30:00,41.94,42.21,41.77,42.17,95167
2016-04-05 09:30:00,41.95,42.11,41.69,41.88,139750
2016-04-06 09:30:00,41.88,41.98,41.24,41.31,209630
2016-04-07 09:30:00,40.99,41.37,40.76,41.32,206404
2016-04-08 09:30:00,41.44,41.44,41.25,41.32,161784
2016-04-11 09:30:00,41.46,41.67,41.38,41.62,99376
2016-04-12 09:30:00,41.75,41.98,41.63,41.73,85930
2016-04-13 09:30:00,42.03,42.08,41.71,41.73,81121
2016-04-14 09:30:00,41.89,41.89,41.65,41.82,73957
2016-04-15 09:30:00,41.88,41.91,41.63,41.66,215684
2016-04-18 09:30:00,41.59,41.8,41.55,41.66,229915
2016-04-19 09:30:00,42.16,42.45,41.99,42.42,114690
2016-04-20 09:30:00,42.27,42.29,41.84,41.93,63611
2016-04-21 09:30:00,41.19,41.19,40.21,40.4,411535
2016-04-22 09:30:00,39.68,40.0,39.52,39.83,235169
2016-04-25 09:30:00,39.93,40.13,39.85,40.13,148279
2016-04-26 09:30:00,40.73,41.04,40.71,40.98,87509
2016-04-27 09:30:00,41.1,41.46,41.08,41.17,230034
2016-04-28 09:30:00,41.01,41.41,41.01,41.33,90888
2016-04-29 09:30:00,39.96,41.07,39.84,40.62,235008
2016-05-02 09:30:00,41.3,41.82,41.3,41.5,155842
2016-05-03 09:30:00,41.2,41.7,41.12,41.46,165277
2016-05-04 09:30:00,41.76,42.31,41.75,42.29,184587
2016-05-05 09:30:00,43.16,43.48,43.01,43.47,244721
2016-05-06 09:30:00,43.44,43.44,43.08,43.37,162310
2016-05-09 09:30:00,43.78,44.3,43.73,44.17,244642
2016-05-10 09:30:00,44.22,44.27,43.68,43.91,261032
2016-05-11 09:30:00,44.05,44.05,43.58,43.69,210921
2016-05-12 09:30:00,43.23,43.9,43.15,43.76,106819
2016-05-13 09:30:00,43.92,43.95,43.58,43.81,111387
2016-05-16 09:30:00,44.05,44.23,44.01,44.15,112849
2016-05-17 09:30:00,44.34,44.36,44.0,44.1,94862
2016-05-18 09:30:00,43.7,43.8,43.27,43.41,99618
2016-05-19 09:30:00,42.78,42.91,42.5,42.67,384319
2016-05-20 09:30:00,43.17,43.26,42.99,43.06,245021
2016-05-23 09:30:00,43.31,43.38,43.09,43.34,199962
2016-05-24 09:30:00,43.54,43.99,43.53,43.94,209097
2016-05-25 09:30:00,43.68,43.8,43.02,43.17,175120
2016-05-26 09:30:00,43.53,43.68,43.43,43.56,87292
2016-05-27 09:30:00,43.64,43.93,43.56,43.9,205099
2016-05-31 09:30:00,43.84,44.03,43.52,43.56,110860
2016-06-01 09:30:00,43.78,44.18,43.67,44.13,132566
2016-06-02 09:30:00,43.84,44.12,43.54,43.58,183907
2016-06-03 09:30:00,44.55,44.85,44.27,44.84,253020
2016-06-06 09:30:00,44.99,45.07,44.65,44.96,155508
2016-06-07 09:30:00,44.69,44.92,44.59,44.77,83901
2016-06-08 09:30:00,45.14,45.32,44.91,45.06,113525
