open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,27.05,27.09,26.87,26.99,2432260
2016-01-05 09:30:00,27.36,27.36,27.1,27.15,2234309
2016-01-06 09:30:00,27.28,27.42,27.17,27.42,2722716
2016-01-07 09:30:00,27.06,27.24,26.98,27.16,2909364
2016-01-08 09:30:00,27.38,27.43,27.2,27.35,1894286
2016-01-11 09:30:00,27.04,27.09,26.85,26.89,1796598
2016-01-12 09:30:00,27.13,27.13,26.91,26.98,2632841
2016-01-13 09:30:00,27.05,27.15,26.95,26.97,1965620
2016-01-14 09:30:00,26.5,26.62,26.41,26.58,2092626
2016-01-15 09:30:00,26.4,26.71,26.4,26.62,4947106
2016-01-19 09:30:00,26.83,26.95,26.77,26.77,2436179
2016-01-20 09:30:00,26.64,26.85,26.61,26.74,3642207
2016-01-21 09:30:00,27.0,27.18,26.64,26.88,4932616
2016-01-22 09:30:00,27.83,27.87,27.58,27.75,3205066
2016-01-25 09:30:00,28.23,28.26,27.91,28.12,2653378
2016-01-26 09:30:00,28.29,28.56,28.21,28.55,2246113
2016-01-27 09:30:00,28.96,29.16,28.93,29.1,3246625
2016-01-28 09:30:00,29.41,29.66,29.38,29.39,2318872
2016-01-29 09:30:00,29.62,29.79,29.52,29.78,3104591
2016-02-01 09:30:00,29.95,30.16,29.8,30.16,3864050
2016-02-02 09:30:00,30.35,30.36,29.77,30.03,3632905
2016-02-03 09:30:00,30.13,30.25,29.9,30.01,2112381
2016-02-04 09:30:00,30.2,30.34,30.09,30.22,2716558
2016-02-05 09:30:00,30.17,30.54,30.17,30.52,2777085
2016-02-08 09:30:00,30.34,30.46,30.05,30.1,4677321
2016-02-09 09:30:00,30.02,30.35,29.98,29.99,3078317
2016-02-10 09:30:00,30.1,30.11,29.88,29.9,2216360
2016-02-11 09:30:00,29.74,30.04,29.71,29.93,2592978
2016-02-12 09:30:00,29.71,29.81,29.59,29.71,2108401
2016-02-16 09:30:00,30.13,30.15,29.88,29.95,2796946
2016-02-17 09:30:00,30.23,30.26,30.03,30.12,2483524
2016-02-18 09:30:00,30.05,30.28,29.96,30.27,2607725
2016-02-19 09:30:00,30.43,30.62,30.17,30.42,3526558
2016-02-22 09:30:00,30.59,30.62,30.44,30.61,1716850
2016-02-23 09:30:00,30.57,30.58,30.22,30.23,2043091
2016-02-24 09:30:00,30.14,30.32,30.14,30.17,1392039
2016-02-25 09:30:00,30.52,30.76,30.45,30.76,1702590
2016-02-26 09:30:00,30.67,30.7,30.57,30.64,1882644
2016-02-29 09:30:00,30.5,30.67,30.39,30.63,1245111
2016-03-01 09:30:00,30.55,30.74,30.55,30.69,1300187
2016-03-02 09:30:00,30.8,30.84,30.7,30.77,1338695
2016-03-03 09:30:00,31.28,31.31,31.02,31.04,1299050
2016-03-04 09:30:00,31.03,31.08,30.92,30.94,1543959
2016-03-07 09:30:00,30.91,31.04,30.82,31.03,1526153
2016-03-08 09:30:00,31.21,31.3,31.14,31.22,1271916
2016-03-09 09:30:00,31.51,31.71,31.46,31.69,1353255
2016-03-10 09:30:00,31.52,31.55,31.4,31.48,2073112
2016-03-11 09:30:00,31.57,31.65,31.42,31.43,1437770
2016-03-14 09:30:00,31.51,31.63,31.35,31.4,1380974
2016-03-15 09:30:00,31.33,31.61,31.33,31.46,1566815
2016-03-16 09:30:00,31.58,31.63,31.42,31.57,1019405
2016-03-17 09:30:00,31.93,32.01,31.9,31.99,1232016
2016-03-18 09:30:00,32.27,32.29,32.08,32.23,8775381
2016-03-21 09:30:00,31.9,32.04,31.79,32.03,1266532
2016-03-22 09:30:00,32.03,32.06,31.84,31.99,1464941
2016-03-23 09:30:00,31.86,31.88,31.72,31.73,1136787
2016-03-24 09:30:00,31.63,31.69,31.58,31.61,1484946
2016-03-28 09:30:00,32.12,32.22,32.1,32.11,1309635
2016-03-29 09:30:00,32.09,32.1,31.96,32.04,1263584
2016-03-30 09:30:00,32.48,32.55,32.33,32.33,1839620
2016-03-31 09:30:00,32.39,32.54,32.36,32.47,1360554
2016-04-01 09:30:00,31.97,32.12,31.84,32.08,2974957
2016-04-04 09:30:00,32.4,32.48,32.26,32.35,1490332
2016-04-05 09:30:00,32.61,32.68,32.41,32.53,1815690
2016-04-06 09:30:00,32.49,32.49,32.27,32.32,1397071
2016-04-07 09:30:00,31.83,31.94,31.72,31.74,3140992
2016-04-08 09:30:00,31.63,31.86,31.63,31.77,1697274
2016-04-11 09:30:00,31.73,31.75,31.56,31.61,1593454
2016-04-12 09:30:00,31.3,31.51,31.27,31.51,1678213
2016-04-13 09:30:00,31.49,31.57,31.15,31.16,2313596
2016-04-14 09:30:00,31.09,31.16,31.05,31.14,1539225
2016-04-15 09:30:00,31.08,31.15,31.03,31.09,2259658
2016-04-18 09:30:00,31.13,31.17,31.01,31.06,1407095
2016-04-19 09:30:00,31.39,31.48,31.38,31.42,1553580
2016-04-20 09:30:00,31.6,31.64,31.4,31.51,1730829
2016-04-21 09:30:00,30.64,30.71,30.43,30.58,5778226
2016-04-22 09:30:00,30.39,30.51,30.33,30.4,2277706
2016-04-25 09:30:00,30.62,30.65,30.48,30.55,770419
2016-04-26 09:30:00,30.89,30.91,30.68,30.86,1163509
2016-04-27 09:30:00,30.58,30.95,30.58,30.86,2112493
2016-04-28 09:30:00,31.09,31.24,31.03,31.08,1465034
2016-04-29 09:30:00,30.91,30.94,30.69,30.73,1034997
2016-05-02 09:30:00,31.04,31.18,30.97,31.04,1956723
2016-05-03 09:30:00,30.97,31.1,30.71,30.73,1679102
2016-05-04 09:30:00,30.61,30.66,30.42,30.46,1605969
2016-05-05 09:30:00,30.9,30.93,30.73,30.76,1641902
2016-05-06 09:30:00,30.85,30.86,30.67,30.72,1240675
2016-05-09 09:30:00,31.04,31.17,30.91,31.15,1168702
2016-05-10 09:30:00,31.14,31.18,31.07,31.11,1324973
2016-05-11 09:30:00,31.2,31.26,31.11,31.17,975647
2016-05-12 09:30:00,31.03,31.08,30.96,31.05,1073003
2016-05-13 09:30:00,31.15,31.2,31.0,31.02,984310
2016-05-16 09:30:00,30.77,30.84,30.69,30.83,1111061
2016-05-17 09:30:00,31.03,31.12,30.98,31.0,782877
2016-05-18 09:30:00,30.84,30.87,30.61,30.69,817010
2016-05-19 09:30:00,30.3,30.31,29.77,29.84,3360448
2016-05-20 09:30:00,30.18,30.18,29.98,30.06,2470122
2016-05-23 09:30:00,30.12,30.17,30.02,30.04,705989
2016-05-24 09:30:00,29.91,29.97,29.81,29.9,1809087
2016-05-25 09:30:00,30.08,30.11,29.94,29.96,1245977
2016-05-26 09:30:00,30.21,30.3,30.17,30.24,932553
2016-05-27 09:30:00,30.55,30.58,30.42,30.52,1029518
2016-05-31 09:30:00,30.83,30.87,30.66,30.81,1559384
2016-06-01 09:30:00,30.81,30.89,30.77,30.78,910217
2016-06-02 09:30:00,30.58,30.59,30.37,30.43,1019093
2016-06-03 09:30:00,30.77,30.91,30.67,30.86,1732298
2016-06-06 09:30:00,30.94,30.95,30.71,30.87,2046747
2016-06-07 09:30:00,30.66,31.03,30.66,31.03,1980320
2016-06-08 09:30:00,31.21,31.33,31.17,31.22,1365160
2016-06-09 09:30:00,31.21,31.41,31.18,31.26,1077597
2016-06-10 09:30:00,31.43,31.49,31.34,31.48,2090600
2016-06-13 09:30:00,31.81,31.91,31.65,31.89,2160401
2016-06-14 09:30:00,31.74,31.94,31.71,31.91,1381965
2016-06-15 09:30:00,32.11,32.25,32.06,32.07,1138407
2016-06-16 09:30:00,32.02,32.09,31.86,31.91,1319567
2016-06-17 09:30:00,32.43,32.43,32.19,32.24,5973436
2016-06-20 09:30:00,32.72,32.84,32.42,32.43,2438953
2016-06-21 09:30:00,32.66,32.66,32.38,32.51,1250911
2016-06-22 09:30:00,32.84,32.92,32.75,32.87,1445387
2016-06-23 09:30:00,32.97,33.05,32.87,32.91,1471798
2016-06-24 09:30:00,33.01,33.31,32.94,33.29,5420930
2016-06-27 09:30:00,32.76,32.86,32.65,32.74,2228905
2016-06-28 09:30:00,33.25,33.32,33.03,33.12,2648999
2016-06-29 09:30:00,33.29,33.43,33.23,33.35,2456482
2016-06-30 09:30:00,33.49,33.51,33.2,33.32,2752233
2016-07-01 09:30:00,33.86,33.93,33.71,33.78,2107738
2016-07-05 09:30:00,34.13,34.41,34.13,34.24,2209768
2016-07-06 09:30:00,34.4,34.48,34.0,34.03,3120268
2016-07-07 09:30:00,34.34,34.36,34.17,34.17,1679363
2016-07-08 09:30:00,33.9,34.01,33.67,33.9,2504384
2016-07-11 09:30:00,34.12,34.15,33.91,33.97,2000645
2016-07-12 09:30:00,34.12,34.25,34.09,34.14,2196265
2016-07-13 09:30:00,34.02,34.1,33.89,33.99,1511651
2016-07-14 09:30:00,34.03,34.24,34.03,34.19,2031963
2016-07-15 09:30:00,34.29,34.33,34.18,34.26,3855713
2016-07-18 09:30:00,34.2,34.28,34.18,34.25,1422603
2016-07-19 09:30:00,34.25,34.28,34.09,34.16,1269712
2016-07-20 09:30:00,34.02,34.03,33.93,33.98,1689950
2016-07-21 09:30:00,33.99,34.05,33.88,34.0,1786970
2016-07-22 09:30:00,33.93,34.33,33.9,34.31,2182059
2016-07-25 09:30:00,34.34,34.34,34.07,34.12,1615753
2016-07-26 09:30:00,34.18,34.43,33.76,33.77,2757726
2016-07-27 09:30:00,33.63,33.66,33.32,33.66,3039845
2016-07-28 09:30:00,33.79,33.79,33.65,33.66,1269399
2016-07-29 09:30:00,33.66,33.81,33.65,33.73,1537596
2016-08-01 09:30:00,34.02,34.17,33.82,33.82,1857777
2016-08-02 09:30:00,33.33,33.41,33.16,33.24,1837447
2016-08-03 09:30:00,33.15,33.17,32.88,32.97,1351216
2016-08-04 09:30:00,33.06,33.14,32.95,33.0,1065375
2016-08-05 09:30:00,33.02,33.05,32.92,32.94,1313028
2016-08-08 09:30:00,32.83,32.84,32.68,32.71,1185276
2016-08-09 09:30:00,32.83,32.85,32.64,32.83,1122704
2016-08-10 09:30:00,32.94,33.04,32.87,32.92,1452619
2016-08-11 09:30:00,32.95,33.05,32.93,33.02,1272119
2016-08-12 09:30:00,33.03,33.04,32.83,32.84,962247
2016-08-15 09:30:00,32.87,32.96,32.84,32.94,1063088
2016-08-16 09:30:00,32.75,32.75,32.61,32.69,972568
2016-08-17 09:30:00,32.37,32.41,32.17,32.18,1561006
2016-08-18 09:30:00,32.41,32.48,32.26,32.3,1781679
2016-08-19 09:30:00,32.35,32.38,31.93,31.98,3693219
2016-08-22 09:30:00,32.18,32.25,31.93,32.0,1408402
2016-08-23 09:30:00,32.23,32.33,32.11,32.24,1032297
2016-08-24 09:30:00,32.16,32.27,32.13,32.2,1413601
2016-08-25 09:30:00,32.16,32.18,32.03,32.18,775694
2016-08-26 09:30:00,32.22,32.44,32.21,32.31,1281718
2016-08-29 09:30:00,32.05,32.18,31.93,32.16,1764657
2016-08-30 09:30:00,32.18,32.19,31.89,31.91,1237273
2016-08-31 09:30:00,31.96,32.11,31.96,32.02,1073095
2016-09-01 09:30:00,31.91,32.03,31.85,31.95,1566079
2016-09-02 09:30:00,32.32,32.53,32.24,32.44,3475935
2016-09-06 09:30:00,32.5,32.51,32.33,32.49,1738152
2016-09-07 09:30:00,32.75,32.92,32.64,32.7,1301526
2016-09-08 09:30:00,32.81,32.94,32.74,32.89,1175806
2016-09-09 09:30:00,32.52,32.59,32.23,32.24,2141795
2016-09-12 09:30:00,31.67,32.04,31.65,31.96,2119012
2016-09-13 09:30:00,31.86,31.9,31.45,31.45,3234186
2016-09-14 09:30:00,31.58,31.58,31.41,31.48,1718283
2016-09-15 09:30:00,31.51,31.58,31.29,31.36,1727060
2016-09-16 09:30:00,31.76,31.81,31.6,31.8,8992877
2016-09-19 09:30:00,31.78,31.8,31.52,31.57,1500992
2016-09-20 09:30:00,31.58,31.71,31.37,31.51,1975839
2016-09-21 09:30:00,31.44,31.64,31.36,31.63,1952124
2016-09-22 09:30:00,31.92,32.04,31.88,31.99,2203397
2016-09-23 09:30:00,32.01,32.23,31.99,32.07,2078201
2016-09-26 09:30:00,32.1,32.17,31.95,31.95,1212362
2016-09-27 09:30:00,32.02,32.04,31.83,31.9,1145494
2016-09-28 09:30:00,32.02,32.1,31.84,31.93,1391057
2016-09-29 09:30:00,31.73,31.85,31.69,31.84,1313517
2016-09-30 09:30:00,32.08,32.13,32.02,32.08,1336011
2016-10-03 09:30:00,31.73,31.75,31.58,31.72,1278801
2016-10-04 09:30:00,31.69,31.79,31.67,31.68,1155994
2016-10-05 09:30:00,31.38,31.46,31.01,31.29,2937424
2016-10-06 09:30:00,31.15,31.15,30.94,30.97,1742107
2016-10-07 09:30:00,31.26,31.29,31.03,31.04,1582480
2016-10-10 09:30:00,31.1,31.14,30.73,31.0,1780744
2016-10-11 09:30:00,31.02,31.06,30.81,30.82,1385602
2016-10-12 09:30:00,30.95,31.1,30.92,30.95,1081484
2016-10-13 09:30:00,31.1,31.18,30.96,31.0,1653069
2016-10-14 09:30:00,31.17,31.31,31.14,31.28,1120359
