open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,132.56,133.02,131.3101,131.58,29232
2016-01-05 09:30:00,130.47,132.41,130.4,131.025,28065
2016-01-06 09:30:00,128.46,129.88,128.46,129.21,44712
2016-01-07 09:30:00,127.87,129.77,127.2,128.51,54571
2016-01-08 09:30:00,129.59,130.42,128.7601,129.69,22925
2016-01-11 09:30:00,127.78,127.93,126.11,126.595,18165
2016-01-12 09:30:00,127.26,128.36,126.57,127.86,173016
2016-01-13 09:30:00,128.02,128.05,126.42,127.05,17244
2016-01-14 09:30:00,124.14,124.92,123.95,123.97,27300
2016-01-15 09:30:00,124.83,125.42,124.04,124.34,104996
2016-01-19 09:30:00,127.0,127.49,126.45,126.64,53238
2016-01-20 09:30:00,124.01,124.93,123.32,123.815,48340
2016-01-21 09:30:00,125.4,125.85,123.67,124.08,38159
2016-01-22 09:30:00,125.66,126.42,124.7,125.04,105972
2016-01-25 09:30:00,127.03,128.91,126.75,128.15,91526
2016-01-26 09:30:00,124.63,125.3,121.54,122.64,484272
2016-01-27 09:30:00,121.7,123.415,121.0,121.76,72689
2016-01-28 09:30:00,120.83,121.0,117.545,117.82,144302
2016-01-29 09:30:00,117.89,119.9,117.89,119.38,23588
2016-02-01 09:30:00,121.68,121.99,120.29,120.29,65246
2016-02-02 09:30:00,119.13,120.19,118.48,118.95,24570
2016-02-03 09:30:00,118.45,118.45,117.04,117.34,40685
2016-02-04 09:30:00,118.39,118.73,117.79,118.03,34969
2016-02-05 09:30:00,117.33,117.33,116.2,116.4,23299
2016-02-08 09:30:00,114.34,115.17,113.59,113.9,29970
2016-02-09 09:30:00,112.53,115.58,112.0,115.12,32117
2016-02-10 09:30:00,116.73,120.05,116.01,119.99,76798
2016-02-11 09:30:00,115.19,116.34,115.19,116.09,49633
2016-02-12 09:30:00,117.85,118.4994,116.59,116.61,33695
2016-02-16 09:30:00,119.47,119.9468,118.745,119.65,18325
2016-02-17 09:30:00,120.42,120.87,119.53,120.86,24154
2016-02-18 09:30:00,121.89,122.4,121.51,122.35,26578
2016-02-19 09:30:00,121.16,121.16,119.96,120.56,47572
2016-02-22 09:30:00,122.59,123.27,122.0,122.34,32474
2016-02-23 09:30:00,121.92,122.95,121.66,121.97,62222
2016-02-24 09:30:00,120.25,120.41,119.23,119.51,16519
2016-02-25 09:30:00,121.09,121.21,120.1,120.59,38278
2016-02-26 09:30:00,122.1,122.54,120.49,122.16,18278
2016-02-29 09:30:00,121.84,123.0,121.06,122.16,24687
2016-03-01 09:30:00,121.09,121.845,120.52,121.46,29709
2016-03-02 09:30:00,123.11,125.0,122.99,124.55,42757
2016-03-03 09:30:00,125.61,126.195,125.42,125.6,19573
2016-03-04 09:30:00,126.45,126.91,126.075,126.24,25658
2016-03-07 09:30:00,126.2,126.96,125.18,126.62,23772
2016-03-08 09:30:00,127.03,127.985,126.3,126.96,22870
2016-03-09 09:30:00,128.38,128.63,127.77,127.91,22778
2016-03-10 09:30:00,128.14,128.77,127.79,128.72,12971
2016-03-11 09:30:00,128.34,129.13,127.85,128.9,38481
2016-03-14 09:30:00,128.52,129.64,127.59,127.59,41521
2016-03-15 09:30:00,128.05,128.31,127.65,128.31,18090
2016-03-16 09:30:00,128.55,129.28,128.55,129.08,36205
2016-03-17 09:30:00,130.05,130.52,129.17,129.36,39217
2016-03-18 09:30:00,128.18,128.34,127.12,127.305,95284
2016-03-21 09:30:00,130.0,130.31,129.19,130.14,18762
2016-03-22 09:30:00,129.42,130.3825,129.42,129.85,23438
2016-03-23 09:30:00,130.08,130.375,129.3,130.24,20789
2016-03-24 09:30:00,129.91,130.23,129.6,129.98,14690
2016-03-28 09:30:00,130.02,130.52,129.58,129.62,7959
2016-03-29 09:30:00,130.1,130.47,129.63,130.42,13826
2016-03-30 09:30:00,132.52,132.66,131.28,131.31,66470
2016-03-31 09:30:00,132.16,132.87,131.32,132.26,96391
2016-04-01 09:30:00,130.91,132.19,130.91,132.19,28504
2016-04-04 09:30:00,133.36,134.25,133.2101,133.81,31981
2016-04-05 09:30:00,131.07,131.89,130.68,131.3,69225
