open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,57.92,58.07,57.39,57.55,755858
2016-01-05 09:30:00,57.39,57.59,57.02,57.12,537070
2016-01-06 09:30:00,55.83,56.33,55.79,55.98,1263919
2016-01-07 09:30:00,57.12,57.12,54.78,55.58,1795529
2016-01-08 09:30:00,56.76,57.53,56.61,56.85,1222147
2016-01-11 09:30:00,56.68,57.08,56.22,56.46,748865
2016-01-12 09:30:00,56.55,56.66,56.2,56.47,675453
2016-01-13 09:30:00,56.72,56.84,56.37,56.53,331809
2016-01-14 09:30:00,55.45,56.06,55.45,55.51,503857
2016-01-15 09:30:00,55.09,55.81,55.07,55.5,1335865
2016-01-19 09:30:00,56.16,56.26,55.77,56.15,601249
2016-01-20 09:30:00,54.93,55.29,54.7,54.79,510276
2016-01-21 09:30:00,55.07,55.16,54.43,54.46,583153
2016-01-22 09:30:00,55.89,55.89,55.18,55.66,388596
2016-01-25 09:30:00,55.88,56.11,55.2,55.28,359564
2016-01-26 09:30:00,54.62,55.09,54.62,54.8,308925
2016-01-27 09:30:00,55.44,55.59,55.04,55.54,364520
2016-01-28 09:30:00,54.66,54.71,54.31,54.44,434997
2016-01-29 09:30:00,54.46,54.48,53.47,54.12,495176
2016-02-01 09:30:00,54.77,54.98,54.29,54.55,607365
2016-02-02 09:30:00,54.82,54.96,54.36,54.42,617965
2016-02-03 09:30:00,54.59,54.59,54.03,54.05,318626
2016-02-04 09:30:00,53.21,53.37,52.16,52.33,613678
2016-02-05 09:30:00,53.09,53.58,52.59,53.23,719731
2016-02-08 09:30:00,51.42,51.42,50.5,50.65,1178191
2016-02-09 09:30:00,50.29,51.36,50.01,51.06,735380
2016-02-10 09:30:00,52.45,53.51,51.99,53.48,519109
2016-02-11 09:30:00,51.88,52.13,51.35,51.92,376767
2016-02-12 09:30:00,53.09,53.17,52.62,52.62,586945
2016-02-16 09:30:00,54.46,54.46,53.66,53.68,439832
2016-02-17 09:30:00,53.76,53.79,53.37,53.67,461368
2016-02-18 09:30:00,53.97,54.31,53.23,53.6,488305
2016-02-19 09:30:00,53.23,53.52,52.89,53.42,1037331
2016-02-22 09:30:00,54.6,54.8,54.22,54.28,321615
2016-02-23 09:30:00,54.65,54.76,54.24,54.52,323089
2016-02-24 09:30:00,54.36,54.73,54.26,54.61,345419
2016-02-25 09:30:00,55.35,55.35,54.71,54.91,505293
2016-02-26 09:30:00,55.71,55.75,55.41,55.41,333196
2016-02-29 09:30:00,55.26,55.41,54.96,54.97,201107
2016-03-01 09:30:00,55.66,55.76,55.38,55.71,343693
2016-03-02 09:30:00,55.92,56.05,55.25,55.31,431292
2016-03-03 09:30:00,55.27,55.38,54.63,54.63,293196
2016-03-04 09:30:00,55.74,55.78,55.05,55.18,261033
2016-03-07 09:30:00,54.93,55.2,54.75,54.98,318269
2016-03-08 09:30:00,54.98,55.35,54.82,55.19,253230
2016-03-09 09:30:00,56.37,56.74,56.15,56.64,329850
2016-03-10 09:30:00,56.86,57.0,56.58,56.76,384194
2016-03-11 09:30:00,56.72,56.72,56.33,56.65,292841
2016-03-14 09:30:00,56.27,56.74,56.27,56.42,188885
2016-03-15 09:30:00,56.35,56.68,56.35,56.56,123212
2016-03-16 09:30:00,56.56,56.61,56.37,56.56,209206
2016-03-17 09:30:00,56.7,57.47,56.7,57.28,318587
2016-03-18 09:30:00,58.33,58.35,57.85,58.24,3753014
2016-03-21 09:30:00,58.4,58.54,58.27,58.41,241413
2016-03-22 09:30:00,57.83,57.98,57.48,57.55,232467
2016-03-23 09:30:00,57.68,57.82,57.57,57.71,200152
2016-03-24 09:30:00,57.27,57.34,57.09,57.16,239880
2016-03-28 09:30:00,57.34,57.51,57.21,57.22,116081
2016-03-29 09:30:00,57.75,57.8,57.28,57.42,204094
2016-03-30 09:30:00,58.15,58.33,57.88,58.15,281246
2016-03-31 09:30:00,58.39,58.64,58.38,58.46,268834
2016-04-01 09:30:00,58.67,59.43,58.51,59.22,707820
2016-04-04 09:30:00,60.34,60.37,59.97,60.14,606348
2016-04-05 09:30:00,59.73,59.89,58.38,58.44,1107685
2016-04-06 09:30:00,58.04,59.19,57.97,59.18,861733
2016-04-07 09:30:00,58.07,58.18,57.59,57.78,364986
2016-04-08 09:30:00,56.8,57.1,56.62,57.04,344517
2016-04-11 09:30:00,56.91,57.2,56.81,57.0,503339
2016-04-12 09:30:00,56.59,56.81,56.57,56.75,275203
2016-04-13 09:30:00,57.07,57.11,56.74,56.8,385203
2016-04-14 09:30:00,56.45,56.58,56.31,56.35,327321
2016-04-15 09:30:00,56.91,56.96,56.49,56.58,1050769
2016-04-18 09:30:00,56.34,56.63,56.31,56.56,329333
2016-04-19 09:30:00,56.6,56.8,56.35,56.35,503280
2016-04-20 09:30:00,57.17,57.23,56.91,56.91,190123
2016-04-21 09:30:00,56.54,56.75,56.24,56.43,351268
2016-04-22 09:30:00,56.09,56.38,56.07,56.35,271065
2016-04-25 09:30:00,55.78,55.8,55.51,55.6,263919
2016-04-26 09:30:00,56.29,56.41,55.97,56.36,195615
2016-04-27 09:30:00,56.74,57.09,56.7,56.85,369533
2016-04-28 09:30:00,56.49,56.68,56.26,56.4,234303
2016-04-29 09:30:00,55.42,55.55,55.01,55.14,734035
2016-05-02 09:30:00,55.09,55.53,55.03,55.3,317151
2016-05-03 09:30:00,55.62,55.99,55.48,55.92,323797
2016-05-04 09:30:00,56.44,56.74,56.3,56.64,335498
2016-05-05 09:30:00,56.65,56.97,56.54,56.71,270550
2016-05-06 09:30:00,55.02,55.14,54.49,54.63,2109787
2016-05-09 09:30:00,55.37,56.02,55.3,56.0,708815
2016-05-10 09:30:00,56.42,56.58,56.17,56.42,473188
2016-05-11 09:30:00,56.38,56.38,55.68,55.72,346684
2016-05-12 09:30:00,55.97,56.11,55.77,55.91,221762
2016-05-13 09:30:00,55.43,55.74,55.35,55.39,285394
2016-05-16 09:30:00,54.86,54.98,54.58,54.68,311209
2016-05-17 09:30:00,54.35,54.56,54.26,54.46,1287187
2016-05-18 09:30:00,53.51,53.51,53.07,53.29,705417
2016-05-19 09:30:00,53.18,53.86,53.18,53.22,299792
2016-05-20 09:30:00,53.41,53.86,53.38,53.82,1072956
2016-05-23 09:30:00,53.88,54.05,53.71,54.0,332268
2016-05-24 09:30:00,53.69,54.32,53.67,54.07,426744
2016-05-25 09:30:00,54.09,54.35,54.01,54.32,380305
2016-05-26 09:30:00,54.18,54.24,54.0,54.12,312522
2016-05-27 09:30:00,53.93,54.1,53.58,53.76,365732
2016-05-31 09:30:00,53.83,53.94,53.62,53.88,178115
2016-06-01 09:30:00,54.16,54.42,54.02,54.33,266345
2016-06-02 09:30:00,54.71,55.0,54.62,54.72,274153
2016-06-03 09:30:00,55.35,55.37,54.85,54.95,300606
2016-06-06 09:30:00,55.05,55.3,54.99,55.14,274678
2016-06-07 09:30:00,55.42,55.75,55.27,55.72,375883
2016-06-08 09:30:00,55.25,55.48,55.25,55.43,130835
2016-06-09 09:30:00,55.54,55.81,55.54,55.72,189022
2016-06-10 09:30:00,55.04,56.28,55.02,56.25,996147
2016-06-13 09:30:00,57.72,58.07,57.41,57.63,830737
2016-06-14 09:30:00,58.69,58.77,58.26,58.43,703828
2016-06-15 09:30:00,58.93,59.39,58.82,59.18,313745
2016-06-16 09:30:00,57.37,58.03,56.9,58.0,685467
2016-06-17 09:30:00,58.35,58.46,57.84,57.95,2691761
2016-06-20 09:30:00,58.33,59.09,58.33,58.82,475505
2016-06-21 09:30:00,58.12,58.34,57.97,58.03,319759
2016-06-22 09:30:00,58.03,58.28,58.0,58.12,201661
2016-06-23 09:30:00,58.98,59.19,58.64,58.7,342330
2016-06-24 09:30:00,57.16,58.05,57.06,57.36,1523538
2016-06-27 09:30:00,56.63,56.92,55.92,56.29,855485
2016-06-28 09:30:00,55.73,55.95,55.44,55.83,611323
2016-06-29 09:30:00,56.21,57.05,55.99,57.02,530173
2016-06-30 09:30:00,58.34,58.38,57.56,57.73,446330
2016-07-01 09:30:00,58.56,58.7,58.26,58.63,597195
2016-07-05 09:30:00,57.98,58.41,57.86,58.4,431863
2016-07-06 09:30:00,57.47,57.96,56.82,56.88,1726560
2016-07-07 09:30:00,57.03,57.34,56.68,56.98,645117
2016-07-08 09:30:00,56.68,56.72,56.47,56.51,800513
