open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,77.79,78.45,77.59,78.42,184219
2016-01-05 09:30:00,78.33,78.51,77.62,78.0,49382
2016-01-06 09:30:00,75.02,75.5,74.9,75.13,277873
2016-01-07 09:30:00,72.81,73.525,72.735,73.18,144052
2016-01-08 09:30:00,72.16,72.83,72.02,72.765,162624
2016-01-11 09:30:00,71.23,71.87,70.1,70.3,101163
2016-01-12 09:30:00,71.3,73.76,71.27,72.75,259123
2016-01-13 09:30:00,71.81,72.89,71.535,72.21,117057
2016-01-14 09:30:00,71.91,72.37,70.37,70.47,188712
2016-01-15 09:30:00,68.45,69.25,68.15,68.67,338512
2016-01-19 09:30:00,68.5,68.86,67.54,67.92,156753
2016-01-20 09:30:00,65.05,65.13,64.09,64.12,98319
2016-01-21 09:30:00,67.49,67.5,65.76,66.33,69797
2016-01-22 09:30:00,69.75,70.4392,69.51,70.368,128552
2016-01-25 09:30:00,69.43,69.53,68.63,68.75,43716
2016-01-26 09:30:00,67.41,67.525,65.24,65.4,253474
2016-01-27 09:30:00,65.44,66.47,65.44,66.155,45235
2016-01-28 09:30:00,63.24,63.9,61.13,61.715,1125248
2016-01-29 09:30:00,62.96,64.2,62.05,63.74,179141
2016-02-01 09:30:00,62.56,63.5,62.5,63.34,197533
2016-02-02 09:30:00,64.22,64.84,63.06,63.555,178321
2016-02-03 09:30:00,62.41,63.4,62.04,62.49,157982
2016-02-04 09:30:00,62.99,63.81,62.36,63.63,83138
2016-02-05 09:30:00,61.49,61.49,57.58,57.585,1014416
2016-02-08 09:30:00,51.94,52.3,50.58,50.7,1083823
2016-02-09 09:30:00,48.36,51.81,47.32,51.26,998717
2016-02-10 09:30:00,49.74,51.38,49.3,51.3,303435
2016-02-11 09:30:00,49.2,49.35,47.88,49.15,212452
2016-02-12 09:30:00,50.92,52.42,49.24,49.25,295447
2016-02-16 09:30:00,49.37,50.23,48.86,49.96,256797
2016-02-17 09:30:00,50.69,52.5,50.69,51.68,148480
2016-02-18 09:30:00,54.53,55.64,54.3413,54.63,166433
2016-02-19 09:30:00,54.72,56.96,54.72,55.88,703716
2016-02-22 09:30:00,57.77,58.959,57.7,58.825,257250
2016-02-23 09:30:00,57.09,57.6499,56.56,57.24,235192
2016-02-24 09:30:00,56.08,56.08,55.28,55.57,370594
2016-02-25 09:30:00,59.04,61.4,58.29,58.51,850170
2016-02-26 09:30:00,60.0,61.18,58.94,60.54,593881
2016-02-29 09:30:00,59.48,60.17,59.0,59.92,488290
2016-03-01 09:30:00,65.3,66.0,63.61,64.52,3050390
2016-03-02 09:30:00,70.89,71.38,70.39,70.75,869228
2016-03-03 09:30:00,71.8,71.95,70.57,71.57,183407
2016-03-04 09:30:00,73.19,74.4,72.81,74.4,336913
2016-03-07 09:30:00,72.41,72.7,71.5101,72.09,327355
2016-03-08 09:30:00,71.57,72.505,71.18,71.71,329297
2016-03-09 09:30:00,71.71,72.55,71.16,71.9,141460
2016-03-10 09:30:00,73.65,73.94,72.57,73.0402,196888
2016-03-11 09:30:00,72.48,72.86,70.84,70.86,318172
2016-03-14 09:30:00,70.99,71.85,70.57,70.81,111575
2016-03-15 09:30:00,71.76,71.99,69.96,70.346,591820
2016-03-16 09:30:00,69.79,70.08,69.0608,69.75,222649
2016-03-17 09:30:00,70.96,71.93,69.95,70.09,251308
2016-03-18 09:30:00,70.4,71.031,69.89,70.17,232096
2016-03-21 09:30:00,72.0,73.66,71.68,73.355,216105
2016-03-22 09:30:00,72.17,73.1684,71.86,72.92,212397
2016-03-23 09:30:00,72.18,72.48,71.1,71.55,130774
2016-03-24 09:30:00,70.92,71.07,70.27,70.97,136741
2016-03-28 09:30:00,72.07,72.16,71.02,71.76,194935
2016-03-29 09:30:00,71.93,72.18,71.49,71.98,109093
2016-03-30 09:30:00,74.65,75.9011,74.65,75.56,226712
2016-03-31 09:30:00,75.88,76.78,75.36,76.46,142430
2016-04-01 09:30:00,76.44,77.8,76.0,77.34,280371
2016-04-04 09:30:00,78.6,79.6,78.52,79.24,147040
2016-04-05 09:30:00,78.31,78.71,77.62,78.122,98812
2016-04-06 09:30:00,77.91,78.36,77.66,78.11,107011
2016-04-07 09:30:00,78.41,78.84,77.37,78.137,161455
2016-04-08 09:30:00,78.38,78.5,77.59,78.39,42245
2016-04-11 09:30:00,78.98,78.99,77.8,78.01,61378
2016-04-12 09:30:00,77.0,77.264,76.2,76.25,98901
2016-04-13 09:30:00,77.0,77.43,76.69,77.1175,62995
2016-04-14 09:30:00,78.57,78.92,77.7,78.0,74196
2016-04-15 09:30:00,77.35,77.64,75.89,76.0,213794
