open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,37.18,37.34,36.88,37.03,151683
2016-01-05 09:30:00,37.45,37.54,36.91,36.94,160636
2016-01-06 09:30:00,37.58,37.8,37.49,37.67,134723
2016-01-07 09:30:00,37.31,37.72,37.31,37.72,106722
2016-01-08 09:30:00,37.8,38.04,37.71,38.03,107717
2016-01-11 09:30:00,37.77,37.93,37.72,37.86,94542
2016-01-12 09:30:00,37.94,38.05,37.24,37.29,165197
2016-01-13 09:30:00,37.85,38.07,37.72,37.99,119866
2016-01-14 09:30:00,37.81,38.39,37.8,38.26,191013
2016-01-15 09:30:00,38.12,38.53,37.99,38.45,460599
2016-01-19 09:30:00,38.62,39.1,38.43,39.01,282199
2016-01-20 09:30:00,39.29,39.59,39.2,39.4,347557
2016-01-21 09:30:00,38.69,39.1,38.34,38.4,176726
2016-01-22 09:30:00,38.5,38.72,38.26,38.43,233731
2016-01-25 09:30:00,38.91,39.23,38.91,39.12,206646
2016-01-26 09:30:00,38.95,39.51,38.86,39.47,180755
2016-01-27 09:30:00,39.0,39.34,38.88,39.26,337614
2016-01-28 09:30:00,39.06,39.45,38.66,39.38,157518
2016-01-29 09:30:00,40.33,40.59,40.22,40.24,242994
2016-02-01 09:30:00,40.29,40.69,40.04,40.46,177037
2016-02-02 09:30:00,40.77,40.88,40.66,40.72,136775
2016-02-03 09:30:00,41.17,41.48,41.03,41.4,172923
2016-02-04 09:30:00,40.94,41.73,40.94,41.38,268635
2016-02-05 09:30:00,40.89,41.19,40.31,40.72,236405
2016-02-08 09:30:00,41.72,42.45,41.5,41.51,319408
2016-02-09 09:30:00,41.77,42.26,41.65,41.87,211988
2016-02-10 09:30:00,41.7,42.02,40.99,41.03,200680
2016-02-11 09:30:00,41.66,41.82,41.35,41.35,261230
2016-02-12 09:30:00,41.07,41.32,40.6,41.22,100826
2016-02-16 09:30:00,41.23,41.23,40.3,40.65,241951
2016-02-17 09:30:00,41.01,41.08,40.43,40.55,167233
2016-02-18 09:30:00,40.82,41.21,40.75,41.08,126664
2016-02-19 09:30:00,41.7,41.72,41.22,41.55,201962
2016-02-22 09:30:00,41.85,41.88,41.49,41.84,73133
2016-02-23 09:30:00,42.1,42.17,41.8,41.92,119542
2016-02-24 09:30:00,42.14,42.48,42.14,42.33,147955
2016-02-25 09:30:00,42.47,42.75,42.24,42.64,154077
2016-02-26 09:30:00,42.57,42.68,42.16,42.17,146277
2016-02-29 09:30:00,41.55,41.75,41.46,41.66,107733
2016-03-01 09:30:00,41.82,41.96,41.63,41.96,213060
2016-03-02 09:30:00,41.27,41.52,40.39,40.72,315500
2016-03-03 09:30:00,41.44,41.49,40.83,40.85,180098
2016-03-04 09:30:00,41.38,41.45,41.13,41.18,108179
2016-03-07 09:30:00,41.84,42.02,41.64,41.85,112006
2016-03-08 09:30:00,41.96,42.2,41.88,42.2,111694
2016-03-09 09:30:00,42.54,43.05,42.37,42.96,138201
2016-03-10 09:30:00,42.68,42.91,42.64,42.91,133781
2016-03-11 09:30:00,42.96,43.04,42.67,42.75,75500
2016-03-14 09:30:00,42.67,42.95,42.44,42.86,78313
2016-03-15 09:30:00,42.65,42.95,42.63,42.73,187248
2016-03-16 09:30:00,42.87,42.93,42.41,42.57,89679
2016-03-17 09:30:00,43.39,43.39,43.16,43.33,97954
2016-03-18 09:30:00,43.58,43.77,43.35,43.55,1182662
2016-03-21 09:30:00,42.97,43.14,42.61,42.94,119308
2016-03-22 09:30:00,43.18,43.22,42.9,43.22,64260
2016-03-23 09:30:00,42.92,42.94,42.69,42.91,82756
2016-03-24 09:30:00,43.2,43.61,43.17,43.44,86160
2016-03-28 09:30:00,43.44,43.72,43.39,43.44,44061
2016-03-29 09:30:00,43.33,43.67,43.2,43.47,86474
2016-03-30 09:30:00,43.89,43.89,43.58,43.68,93491
2016-03-31 09:30:00,43.86,44.01,43.67,43.79,72128
2016-04-01 09:30:00,44.25,44.36,43.89,44.08,118962
2016-04-04 09:30:00,44.18,44.42,43.91,43.99,151363
2016-04-05 09:30:00,44.19,44.25,43.61,43.67,163788
2016-04-06 09:30:00,43.28,43.42,43.14,43.19,104683
2016-04-07 09:30:00,43.12,43.62,43.08,43.52,99825
2016-04-08 09:30:00,43.41,43.67,43.38,43.55,78870
2016-04-11 09:30:00,43.44,43.78,43.35,43.43,123094
2016-04-12 09:30:00,43.31,43.39,43.2,43.33,75539
2016-04-13 09:30:00,43.58,43.58,43.23,43.25,111936
2016-04-14 09:30:00,43.02,43.25,42.84,43.0,151921
2016-04-15 09:30:00,43.02,43.29,42.94,43.28,150326
2016-04-18 09:30:00,43.23,43.3,43.06,43.08,68996
2016-04-19 09:30:00,43.54,43.63,43.39,43.5,95167
2016-04-20 09:30:00,43.45,43.77,43.21,43.21,107238
2016-04-21 09:30:00,41.93,41.95,41.37,41.57,326594
2016-04-22 09:30:00,41.38,41.63,41.3,41.56,126933
2016-04-25 09:30:00,41.66,41.82,41.47,41.53,85226
2016-04-26 09:30:00,41.77,41.96,41.72,41.88,129900
2016-04-27 09:30:00,41.91,42.3,41.85,42.21,84615
2016-04-28 09:30:00,42.22,42.68,41.97,42.53,137533
2016-04-29 09:30:00,42.6,42.65,42.09,42.63,143374
2016-05-02 09:30:00,43.07,43.12,42.75,42.84,158912
2016-05-03 09:30:00,43.32,43.73,43.12,43.48,265191
2016-05-04 09:30:00,43.39,43.89,43.39,43.86,295393
2016-05-05 09:30:00,44.11,44.54,44.03,44.16,141355
2016-05-06 09:30:00,44.07,44.17,43.53,43.88,141777
2016-05-09 09:30:00,43.99,44.06,43.67,44.0,243408
2016-05-10 09:30:00,44.25,44.5,44.03,44.09,183860
2016-05-11 09:30:00,44.36,44.47,44.17,44.33,130172
2016-05-12 09:30:00,44.38,44.83,44.26,44.72,163941
2016-05-13 09:30:00,44.66,44.66,44.18,44.59,100229
2016-05-16 09:30:00,44.42,44.49,44.02,44.47,122382
2016-05-17 09:30:00,44.57,44.66,44.43,44.53,485546
2016-05-18 09:30:00,43.57,43.57,43.05,43.34,185990
2016-05-19 09:30:00,42.8,43.08,42.5,42.84,112692
2016-05-20 09:30:00,43.57,43.57,43.05,43.21,218300
2016-05-23 09:30:00,43.59,43.69,43.31,43.54,83708
2016-05-24 09:30:00,43.16,43.57,42.94,43.52,130429
2016-05-25 09:30:00,43.47,43.49,43.23,43.28,127407
2016-05-26 09:30:00,43.62,43.88,43.58,43.83,151438
2016-05-27 09:30:00,44.41,44.45,44.16,44.35,81068
2016-05-31 09:30:00,44.2,44.46,44.2,44.4,104952
2016-06-01 09:30:00,44.63,44.9,44.52,44.85,206239
