open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,46.65,46.84,46.19,46.46,230950
2016-01-05 09:30:00,47.08,47.5,46.91,47.44,207030
2016-01-06 09:30:00,47.84,48.19,47.7,48.14,438631
2016-01-07 09:30:00,47.66,48.07,47.56,48.03,293497
2016-01-08 09:30:00,46.92,47.13,46.77,46.98,144192
2016-01-11 09:30:00,47.09,47.2,46.94,47.09,140821
2016-01-12 09:30:00,47.38,47.47,46.86,46.87,208034
2016-01-13 09:30:00,46.85,46.94,46.6,46.94,138141
2016-01-14 09:30:00,45.69,46.13,45.57,45.75,185756
2016-01-15 09:30:00,45.11,45.51,45.08,45.15,387983
2016-01-19 09:30:00,46.1,46.41,45.86,46.36,177732
2016-01-20 09:30:00,46.3,46.56,45.59,45.6,192249
2016-01-21 09:30:00,44.84,45.14,44.11,44.23,189673
2016-01-22 09:30:00,45.52,46.17,45.43,46.13,151411
2016-01-25 09:30:00,46.59,47.02,46.14,47.02,210762
2016-01-26 09:30:00,46.14,46.75,45.21,45.22,576353
2016-01-27 09:30:00,44.89,44.99,43.16,43.51,884336
2016-01-28 09:30:00,42.26,42.47,41.62,41.84,610021
2016-01-29 09:30:00,42.18,42.39,41.84,41.96,374905
2016-02-01 09:30:00,42.59,42.83,42.37,42.76,207943
2016-02-02 09:30:00,43.25,43.27,42.59,42.74,256267
2016-02-03 09:30:00,42.9,43.16,42.77,43.16,222374
2016-02-04 09:30:00,43.68,43.74,43.25,43.54,211820
2016-02-05 09:30:00,43.75,44.06,43.21,43.46,232050
2016-02-08 09:30:00,43.95,44.12,43.24,43.26,310261
2016-02-09 09:30:00,41.78,41.81,39.61,39.64,919355
2016-02-10 09:30:00,39.06,39.32,38.86,39.0,343076
2016-02-11 09:30:00,38.15,38.15,36.87,37.17,740703
2016-02-12 09:30:00,38.61,38.61,37.33,37.53,377645
2016-02-16 09:30:00,38.53,38.53,37.94,38.14,367487
2016-02-17 09:30:00,39.11,39.36,38.71,39.18,692613
2016-02-18 09:30:00,39.77,40.65,39.15,40.47,396084
2016-02-19 09:30:00,40.71,41.1,40.37,41.07,432707
2016-02-22 09:30:00,41.53,41.92,41.28,41.79,270862
2016-02-23 09:30:00,41.88,42.97,41.87,42.95,302906
2016-02-24 09:30:00,42.13,42.67,42.04,42.08,334135
2016-02-25 09:30:00,43.15,43.71,42.94,43.49,241603
2016-02-26 09:30:00,43.69,43.99,43.58,43.93,250652
2016-02-29 09:30:00,44.29,44.5,44.22,44.39,165085
2016-03-01 09:30:00,44.76,45.06,44.65,45.0,129033
2016-03-02 09:30:00,46.03,46.14,45.79,46.06,177269
2016-03-03 09:30:00,46.75,46.93,46.19,46.33,566747
2016-03-04 09:30:00,46.04,46.1,45.64,45.68,207694
2016-03-07 09:30:00,45.65,46.22,45.65,46.22,91918
2016-03-08 09:30:00,46.54,46.77,46.34,46.35,145863
2016-03-09 09:30:00,46.05,46.39,45.94,46.19,92737
2016-03-10 09:30:00,46.05,46.34,45.79,46.26,502051
2016-03-11 09:30:00,45.8,46.27,45.78,45.99,386093
2016-03-14 09:30:00,46.31,46.43,45.8,46.11,183919
2016-03-15 09:30:00,46.24,46.38,45.71,45.72,163806
2016-03-16 09:30:00,45.73,45.78,45.24,45.24,161363
2016-03-17 09:30:00,46.63,46.71,46.31,46.67,81829
2016-03-18 09:30:00,47.25,47.4,47.02,47.34,777032
2016-03-21 09:30:00,46.72,47.09,46.64,47.07,213655
2016-03-22 09:30:00,46.37,46.67,46.16,46.35,212473
2016-03-23 09:30:00,46.62,46.72,46.35,46.39,85496
2016-03-24 09:30:00,46.36,46.45,45.95,45.97,155994
2016-03-28 09:30:00,46.72,46.9,46.65,46.73,107431
2016-03-29 09:30:00,47.21,47.55,47.07,47.34,118678
2016-03-30 09:30:00,48.52,48.56,48.15,48.52,139212
2016-03-31 09:30:00,47.97,48.39,47.8,48.34,140341
2016-04-01 09:30:00,47.71,47.9,47.46,47.7,214918
2016-04-04 09:30:00,48.41,48.67,48.26,48.66,78019
2016-04-05 09:30:00,48.48,48.94,48.47,48.52,199801
2016-04-06 09:30:00,48.39,48.57,48.24,48.32,136673
2016-04-07 09:30:00,48.11,48.62,48.06,48.43,170756
2016-04-08 09:30:00,48.13,48.21,47.94,48.2,141062
2016-04-11 09:30:00,48.47,48.77,48.28,48.66,126821
2016-04-12 09:30:00,48.78,48.98,48.66,48.77,112897
2016-04-13 09:30:00,48.84,48.84,48.52,48.59,94414
2016-04-14 09:30:00,48.57,48.59,48.27,48.32,127159
2016-04-15 09:30:00,48.57,48.76,48.51,48.61,173158
2016-04-18 09:30:00,48.74,48.82,48.62,48.66,89831
2016-04-19 09:30:00,49.31,49.59,49.18,49.54,143517
2016-04-20 09:30:00,49.75,49.76,49.42,49.49,147638
2016-04-21 09:30:00,48.15,48.25,47.36,47.55,268798
2016-04-22 09:30:00,46.75,47.16,46.58,47.05,250688
2016-04-25 09:30:00,47.59,47.91,47.44,47.91,62637
2016-04-26 09:30:00,48.45,48.82,48.44,48.79,68599
2016-04-27 09:30:00,48.31,48.63,48.17,48.41,133787
2016-04-28 09:30:00,48.32,48.79,48.32,48.69,93909
2016-04-29 09:30:00,48.3,48.6,48.02,48.18,126866
2016-05-02 09:30:00,48.62,49.17,48.47,48.61,152546
2016-05-03 09:30:00,48.85,50.07,48.59,49.99,301660
2016-05-04 09:30:00,49.92,51.08,49.92,51.06,301684
2016-05-05 09:30:00,51.43,52.05,51.43,51.78,176982
2016-05-06 09:30:00,51.46,51.48,50.83,51.36,161871
2016-05-09 09:30:00,52.16,52.88,51.87,52.68,320052
2016-05-10 09:30:00,52.69,52.69,50.79,51.04,587569
2016-05-11 09:30:00,51.45,51.52,50.56,50.63,359403
2016-05-12 09:30:00,50.38,50.99,49.98,50.75,137050
2016-05-13 09:30:00,50.79,50.84,50.26,50.48,119944
2016-05-16 09:30:00,50.64,51.03,50.57,50.95,116074
2016-05-17 09:30:00,51.23,51.24,50.76,50.87,283327
2016-05-18 09:30:00,50.33,50.33,49.49,49.63,242486
2016-05-19 09:30:00,48.34,48.68,48.15,48.32,417012
2016-05-20 09:30:00,48.65,48.78,47.94,48.03,518845
2016-05-23 09:30:00,48.65,48.65,48.12,48.28,130671
2016-05-24 09:30:00,48.55,48.92,48.5,48.71,212148
2016-05-25 09:30:00,48.56,48.68,47.66,47.9,257010
2016-05-26 09:30:00,48.47,48.7,48.3,48.43,75495
2016-05-27 09:30:00,48.67,49.1,48.66,48.97,94727
2016-05-31 09:30:00,48.93,49.02,48.4,48.56,89843
2016-06-01 09:30:00,48.53,48.82,48.53,48.77,199648
2016-06-02 09:30:00,48.61,48.84,48.45,48.46,185145
2016-06-03 09:30:00,49.53,50.07,49.48,49.9,469916
2016-06-06 09:30:00,50.26,50.4,49.76,50.03,165182
2016-06-07 09:30:00,49.55,49.67,49.28,49.38,93316
2016-06-08 09:30:00,49.87,49.99,49.64,49.88,79397
2016-06-09 09:30:00,50.48,50.98,50.36,50.97,125910
2016-06-10 09:30:00,50.64,51.02,50.58,50.76,106715
2016-06-13 09:30:00,50.99,51.72,50.99,51.42,164030
2016-06-14 09:30:00,51.32,51.56,50.91,51.4,201022
2016-06-15 09:30:00,51.5,51.84,51.43,51.63,137854
2016-06-16 09:30:00,51.71,51.9,51.34,51.44,118798
2016-06-17 09:30:00,52.06,52.16,51.67,51.93,355611
2016-06-20 09:30:00,52.59,52.59,51.76,51.79,341546
2016-06-21 09:30:00,51.8,51.96,51.39,51.91,134164
2016-06-22 09:30:00,51.28,51.33,50.84,51.02,272038
2016-06-23 09:30:00,51.53,51.65,50.79,51.18,217388
2016-06-24 09:30:00,50.88,52.05,50.22,51.53,634952
2016-06-27 09:30:00,50.93,51.42,50.79,51.04,301168
2016-06-28 09:30:00,51.92,52.56,51.62,52.47,194387
2016-06-29 09:30:00,52.83,53.07,52.54,52.84,222092
2016-06-30 09:30:00,53.38,53.46,52.76,53.05,122178
2016-07-01 09:30:00,53.75,54.47,53.66,54.24,238765
2016-07-05 09:30:00,53.92,54.09,53.64,53.74,189091
2016-07-06 09:30:00,53.97,54.16,53.73,53.86,345677
2016-07-07 09:30:00,53.7,53.7,52.79,52.8,338376
2016-07-08 09:30:00,53.17,53.54,52.61,52.82,256123
2016-07-11 09:30:00,53.49,53.64,52.94,53.05,107219
2016-07-12 09:30:00,53.74,54.05,53.5,53.54,134016
2016-07-13 09:30:00,53.89,54.02,53.64,53.81,138818
2016-07-14 09:30:00,54.31,54.33,53.79,53.93,142918
2016-07-15 09:30:00,53.87,53.89,53.48,53.48,201308
2016-07-18 09:30:00,54.09,54.2,53.91,54.07,53914
2016-07-19 09:30:00,54.5,54.56,54.19,54.2,60951
2016-07-20 09:30:00,54.69,54.79,54.46,54.64,118920
2016-07-21 09:30:00,54.53,54.63,54.4,54.53,56625
2016-07-22 09:30:00,55.06,55.68,54.99,55.34,97331
2016-07-25 09:30:00,55.59,55.83,55.54,55.54,94413
2016-07-26 09:30:00,55.52,55.54,55.13,55.13,149814
2016-07-27 09:30:00,54.89,55.01,54.33,54.41,194001
2016-07-28 09:30:00,54.51,54.71,54.39,54.65,118372
2016-07-29 09:30:00,55.42,56.35,55.42,55.99,199941
2016-08-01 09:30:00,56.12,56.6,55.49,55.7,229202
2016-08-02 09:30:00,55.81,56.16,55.05,55.25,285361
2016-08-03 09:30:00,54.74,54.94,53.59,54.13,189077
2016-08-04 09:30:00,54.68,54.81,54.37,54.62,160354
2016-08-05 09:30:00,54.96,55.23,54.54,54.88,212321
2016-08-08 09:30:00,54.61,55.06,54.49,54.87,167375
2016-08-09 09:30:00,54.92,55.11,54.33,55.11,105371
2016-08-10 09:30:00,56.02,56.38,55.9,56.3,188775
2016-08-11 09:30:00,56.29,56.34,55.33,55.34,151160
2016-08-12 09:30:00,55.75,56.57,55.48,56.45,246979
2016-08-15 09:30:00,56.0,56.18,55.83,56.03,86009
2016-08-16 09:30:00,55.36,55.46,54.68,54.69,96388
2016-08-17 09:30:00,54.76,55.03,54.69,54.73,98475
2016-08-18 09:30:00,54.96,55.15,54.76,54.79,90212
2016-08-19 09:30:00,54.67,54.91,54.63,54.83,204745
2016-08-22 09:30:00,54.58,54.94,54.46,54.64,108566
2016-08-23 09:30:00,54.95,54.99,54.63,54.71,105665
2016-08-24 09:30:00,54.9,55.07,54.55,54.64,73317
