open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,40.25,40.38,39.95,40.2,2971316
2016-01-05 09:30:00,40.13,40.38,40.1,40.11,1577428
2016-01-06 09:30:00,39.51,39.62,39.35,39.55,1955955
2016-01-07 09:30:00,38.68,38.75,38.48,38.61,4688658
2016-01-08 09:30:00,38.5,38.55,38.19,38.45,2763687
2016-01-11 09:30:00,38.04,38.09,37.78,37.91,2503410
2016-01-12 09:30:00,38.57,38.82,38.36,38.78,3918303
2016-01-13 09:30:00,39.22,39.27,38.75,38.91,2267374
2016-01-14 09:30:00,37.96,38.04,37.6,37.68,2680871
2016-01-15 09:30:00,36.84,37.63,36.7,37.43,8378670
2016-01-19 09:30:00,37.34,37.56,36.88,37.02,3815526
2016-01-20 09:30:00,35.84,36.08,35.71,35.89,4650111
2016-01-21 09:30:00,36.4,36.69,36.32,36.46,3222103
2016-01-22 09:30:00,37.17,37.18,36.93,37.12,2555703
2016-01-25 09:30:00,37.08,37.13,36.63,36.7,2340972
2016-01-26 09:30:00,36.2,36.43,36.13,36.36,2165905
2016-01-27 09:30:00,36.62,36.84,36.49,36.81,1684753
2016-01-28 09:30:00,37.22,37.45,37.1,37.4,2069294
2016-01-29 09:30:00,37.37,37.52,37.31,37.42,1899517
2016-02-01 09:30:00,38.0,38.04,37.72,37.75,2308824
2016-02-02 09:30:00,37.34,37.38,37.13,37.27,2671278
2016-02-03 09:30:00,37.02,37.06,35.99,36.2,7201161
2016-02-04 09:30:00,36.22,36.77,36.19,36.64,4742684
2016-02-05 09:30:00,36.96,37.18,36.78,37.09,3838436
2016-02-08 09:30:00,35.99,36.17,35.67,35.77,3687913
2016-02-09 09:30:00,34.85,35.4,34.65,35.36,4218683
2016-02-10 09:30:00,35.82,36.05,35.64,35.81,2353909
2016-02-11 09:30:00,34.38,34.68,34.0,34.63,4597242
2016-02-12 09:30:00,35.05,35.51,35.05,35.36,3889204
2016-02-16 09:30:00,36.71,36.75,36.35,36.53,3444582
2016-02-17 09:30:00,37.17,37.41,37.08,37.09,2807708
2016-02-18 09:30:00,36.74,36.78,36.49,36.59,2549605
2016-02-19 09:30:00,36.22,36.47,36.19,36.33,4186208
2016-02-22 09:30:00,37.31,37.7,37.31,37.65,3769355
2016-02-23 09:30:00,37.34,37.38,37.06,37.1,2106864
2016-02-24 09:30:00,36.16,36.28,35.74,35.76,3194411
2016-02-25 09:30:00,36.45,36.71,36.45,36.7,2141695
2016-02-26 09:30:00,36.77,36.82,36.63,36.66,2478961
2016-02-29 09:30:00,36.7,36.7,36.33,36.53,1959660
