open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,43.86,43.87,43.52,43.73,153571
2016-01-05 09:30:00,43.72,43.83,43.67,43.7,167570
2016-01-06 09:30:00,43.5,43.82,43.46,43.73,226524
2016-01-07 09:30:00,43.84,44.0,43.72,43.99,238824
2016-01-08 09:30:00,43.93,44.27,43.92,44.27,121246
2016-01-11 09:30:00,43.66,43.91,43.62,43.77,164280
2016-01-12 09:30:00,44.17,44.46,44.14,44.24,134581
2016-01-13 09:30:00,44.34,44.44,44.23,44.4,125245
2016-01-14 09:30:00,43.72,43.82,43.42,43.47,167527
2016-01-15 09:30:00,43.29,43.45,43.26,43.37,434867
2016-01-19 09:30:00,43.28,43.95,43.22,43.94,194971
2016-01-20 09:30:00,43.31,43.67,43.31,43.49,205807
2016-01-21 09:30:00,43.27,43.72,43.16,43.32,189642
2016-01-22 09:30:00,43.8,44.18,43.6,44.11,342174
2016-01-25 09:30:00,44.12,44.12,43.69,43.9,74582
2016-01-26 09:30:00,43.52,43.83,43.34,43.43,271965
2016-01-27 09:30:00,43.47,43.66,43.42,43.59,107459
2016-01-28 09:30:00,43.31,43.67,43.21,43.63,95057
2016-01-29 09:30:00,43.6,43.93,43.51,43.87,100342
2016-02-01 09:30:00,44.08,44.08,43.68,43.75,107407
2016-02-02 09:30:00,43.94,44.16,43.64,43.8,152147
2016-02-03 09:30:00,43.75,43.81,43.52,43.61,171583
2016-02-04 09:30:00,44.12,44.43,43.97,44.38,117098
2016-02-05 09:30:00,44.13,44.35,43.81,43.92,97822
2016-02-08 09:30:00,43.47,43.68,43.26,43.27,155823
2016-02-09 09:30:00,43.59,43.99,43.52,43.73,159044
2016-02-10 09:30:00,44.6,45.01,44.6,44.79,126182
2016-02-11 09:30:00,43.83,44.32,43.55,44.22,216774
2016-02-12 09:30:00,44.39,45.0,44.23,45.0,213045
2016-02-16 09:30:00,45.62,45.68,45.17,45.17,244183
2016-02-17 09:30:00,45.75,45.82,45.56,45.77,130476
2016-02-18 09:30:00,45.69,46.07,45.31,45.79,341438
2016-02-19 09:30:00,46.07,46.27,45.74,46.03,405872
2016-02-22 09:30:00,46.48,46.69,46.39,46.65,107392
2016-02-23 09:30:00,46.84,47.1,46.81,47.01,178317
2016-02-24 09:30:00,46.73,46.91,46.27,46.28,195803
2016-02-25 09:30:00,46.9,47.11,46.79,46.99,207280
2016-02-26 09:30:00,47.11,47.11,46.89,46.89,176149
2016-02-29 09:30:00,46.78,46.83,46.5,46.51,140056
2016-03-01 09:30:00,46.85,47.1,46.74,47.08,144416
2016-03-02 09:30:00,47.44,47.48,47.13,47.21,194735
2016-03-03 09:30:00,47.63,47.75,47.35,47.35,140190
2016-03-04 09:30:00,48.08,48.24,47.79,47.85,115580
2016-03-07 09:30:00,47.84,47.94,47.75,47.78,89103
2016-03-08 09:30:00,47.66,47.69,47.36,47.65,144976
2016-03-09 09:30:00,48.24,48.61,48.24,48.55,145080
2016-03-10 09:30:00,48.52,48.68,48.42,48.57,108311
2016-03-11 09:30:00,48.71,48.91,48.65,48.86,148539
2016-03-14 09:30:00,49.03,49.16,48.82,48.83,183313
2016-03-15 09:30:00,48.55,48.93,48.45,48.88,126617
2016-03-16 09:30:00,49.2,49.34,48.88,49.05,172864
2016-03-17 09:30:00,49.46,49.49,49.17,49.18,191446
2016-03-18 09:30:00,49.43,49.43,49.08,49.26,929923
2016-03-21 09:30:00,49.07,49.34,49.03,49.33,170416
2016-03-22 09:30:00,49.13,49.29,49.02,49.22,121456
2016-03-23 09:30:00,49.12,49.14,48.92,49.12,70058
2016-03-24 09:30:00,49.34,49.44,49.19,49.27,196980
2016-03-28 09:30:00,49.64,49.94,49.62,49.84,119913
2016-03-29 09:30:00,49.66,50.15,49.66,50.15,94938
2016-03-30 09:30:00,50.17,50.23,49.9,50.11,120108
2016-03-31 09:30:00,49.98,50.23,49.98,50.08,124087
2016-04-01 09:30:00,49.46,49.61,49.34,49.54,124013
2016-04-04 09:30:00,49.6,49.65,49.14,49.42,192077
2016-04-05 09:30:00,48.92,49.06,48.81,48.96,388951
2016-04-06 09:30:00,48.92,49.08,48.81,48.83,171109
2016-04-07 09:30:00,48.29,48.46,48.18,48.34,202658
2016-04-08 09:30:00,48.57,48.77,48.49,48.73,101395
2016-04-11 09:30:00,48.57,48.71,48.47,48.52,142204
2016-04-12 09:30:00,48.18,48.29,48.12,48.18,85529
2016-04-13 09:30:00,48.16,48.26,47.98,47.98,101934
2016-04-14 09:30:00,47.87,48.07,47.81,47.91,141126
2016-04-15 09:30:00,47.93,47.97,47.77,47.91,313092
2016-04-18 09:30:00,47.82,47.84,47.71,47.77,137864
2016-04-19 09:30:00,48.08,48.31,48.01,48.06,85734
2016-04-20 09:30:00,48.1,48.24,47.9,47.96,135200
2016-04-21 09:30:00,47.53,47.75,47.48,47.71,111446
2016-04-22 09:30:00,47.29,47.5,47.29,47.48,108429
2016-04-25 09:30:00,47.19,47.28,47.15,47.23,116466
2016-04-26 09:30:00,47.4,47.82,47.38,47.71,136677
2016-04-27 09:30:00,47.52,47.66,47.39,47.47,97179
2016-04-28 09:30:00,47.36,48.87,47.36,48.67,654535
2016-04-29 09:30:00,49.04,49.28,48.71,49.22,237084
2016-05-02 09:30:00,49.49,49.87,49.49,49.81,235133
2016-05-03 09:30:00,50.17,50.37,49.94,50.32,233978
2016-05-04 09:30:00,50.25,50.25,49.91,49.99,142356
2016-05-05 09:30:00,50.96,51.18,50.71,50.81,287409
2016-05-06 09:30:00,50.63,50.7,50.51,50.59,288073
2016-05-09 09:30:00,50.97,51.28,50.82,51.1,311650
2016-05-10 09:30:00,51.41,51.47,51.25,51.42,104277
2016-05-11 09:30:00,51.48,51.59,51.28,51.52,119378
2016-05-12 09:30:00,51.48,51.76,51.33,51.7,72099
2016-05-13 09:30:00,51.78,51.92,51.66,51.83,133143
2016-05-16 09:30:00,51.43,51.53,51.22,51.48,165060
2016-05-17 09:30:00,51.45,51.8,51.4,51.48,87452
2016-05-18 09:30:00,51.02,51.12,50.82,51.06,69137
2016-05-19 09:30:00,50.91,51.09,50.84,50.84,125123
2016-05-20 09:30:00,51.15,51.43,50.86,51.25,254872
2016-05-23 09:30:00,51.0,51.05,50.77,50.87,69552
2016-05-24 09:30:00,51.13,51.46,51.13,51.31,184268
2016-05-25 09:30:00,51.27,51.38,51.03,51.1,224372
2016-05-26 09:30:00,50.96,51.2,50.92,51.13,108502
2016-05-27 09:30:00,51.33,51.46,51.28,51.38,87725
2016-05-31 09:30:00,51.52,51.75,51.17,51.25,216478
2016-06-01 09:30:00,51.24,51.49,51.22,51.43,167601
2016-06-02 09:30:00,51.55,51.76,51.55,51.61,106074
2016-06-03 09:30:00,51.8,52.03,51.7,51.75,92133
2016-06-06 09:30:00,51.92,52.27,51.92,52.25,80005
2016-06-07 09:30:00,52.11,52.53,52.11,52.52,121073
2016-06-08 09:30:00,52.56,52.6,52.43,52.57,76431
2016-06-09 09:30:00,52.45,52.73,52.44,52.71,116737
2016-06-10 09:30:00,52.94,53.03,52.85,52.92,125393
2016-06-13 09:30:00,52.96,53.15,52.96,53.07,107413
2016-06-14 09:30:00,52.81,53.0,52.63,52.91,163472
2016-06-15 09:30:00,53.37,53.43,53.26,53.35,88221
2016-06-16 09:30:00,53.07,53.19,53.03,53.18,112999
2016-06-17 09:30:00,53.58,53.62,53.12,53.17,600903
2016-06-20 09:30:00,53.18,53.19,52.98,53.12,207867
2016-06-21 09:30:00,53.19,53.19,52.92,53.02,107941
2016-06-22 09:30:00,53.22,53.3,53.17,53.29,115868
2016-06-23 09:30:00,53.61,53.7,53.51,53.54,57189
2016-06-24 09:30:00,52.63,53.26,52.2,53.11,199170
2016-06-27 09:30:00,53.68,53.8,53.48,53.67,241621
2016-06-28 09:30:00,53.89,54.06,53.57,53.94,160105
2016-06-29 09:30:00,54.49,54.93,54.49,54.65,215148
2016-06-30 09:30:00,54.84,55.12,54.83,55.12,152938
2016-07-01 09:30:00,56.01,56.18,55.87,55.91,239039
2016-07-05 09:30:00,56.06,56.42,55.93,56.42,222374
2016-07-06 09:30:00,56.77,56.95,56.23,56.31,364133
2016-07-07 09:30:00,56.9,57.17,56.54,56.94,145398
2016-07-08 09:30:00,57.01,57.36,56.94,57.26,136618
2016-07-11 09:30:00,57.16,57.34,57.05,57.31,166579
2016-07-12 09:30:00,57.44,57.64,57.15,57.15,385540
2016-07-13 09:30:00,57.16,57.26,56.77,57.15,330077
2016-07-14 09:30:00,57.56,57.83,57.55,57.69,282111
2016-07-15 09:30:00,57.55,57.56,57.14,57.14,360282
2016-07-18 09:30:00,57.3,57.39,57.02,57.23,123250
2016-07-19 09:30:00,56.89,57.14,56.81,57.06,237239
2016-07-20 09:30:00,57.12,57.33,57.07,57.12,132024
2016-07-21 09:30:00,57.17,57.28,56.87,56.97,106000
2016-07-22 09:30:00,56.91,57.06,56.74,56.91,120370
2016-07-25 09:30:00,56.7,56.93,56.64,56.9,158696
2016-07-26 09:30:00,56.89,56.98,56.77,56.87,159401
2016-07-27 09:30:00,57.71,57.74,55.55,55.92,567007
2016-07-28 09:30:00,56.15,56.51,56.06,56.22,313417
2016-07-29 09:30:00,56.11,56.13,55.67,55.97,208744
2016-08-01 09:30:00,56.01,56.27,55.91,56.13,159500
2016-08-02 09:30:00,56.08,56.19,55.61,55.8,201572
2016-08-03 09:30:00,55.81,55.99,55.56,55.59,108682
2016-08-04 09:30:00,55.8,56.02,55.75,55.85,72775
2016-08-05 09:30:00,55.84,56.04,55.79,55.86,145261
2016-08-08 09:30:00,55.83,55.95,55.6,55.63,126629
2016-08-09 09:30:00,55.59,55.76,55.51,55.71,196816
2016-08-10 09:30:00,55.74,55.79,55.58,55.62,138697
2016-08-11 09:30:00,56.36,56.84,56.36,56.51,297969
2016-08-12 09:30:00,56.19,56.6,56.19,56.43,114052
2016-08-15 09:30:00,56.35,56.55,56.29,56.49,83822
2016-08-16 09:30:00,55.79,55.84,55.31,55.42,274997
2016-08-17 09:30:00,55.11,55.31,54.96,55.2,187577
2016-08-18 09:30:00,55.17,55.23,54.91,54.91,126826
2016-08-19 09:30:00,54.76,54.91,54.68,54.89,193303
2016-08-22 09:30:00,54.95,55.16,54.87,55.12,156011
2016-08-23 09:30:00,55.38,55.48,55.06,55.12,184742
2016-08-24 09:30:00,55.14,55.24,55.02,55.15,87451
2016-08-25 09:30:00,55.24,55.42,55.16,55.33,61034
2016-08-26 09:30:00,54.94,55.22,54.9,54.98,159514
2016-08-29 09:30:00,54.19,54.58,54.09,54.46,205687
2016-08-30 09:30:00,54.55,54.55,54.27,54.32,139737
2016-08-31 09:30:00,54.0,54.05,53.85,53.9,98656
2016-09-01 09:30:00,54.09,54.21,54.01,54.07,127830
2016-09-02 09:30:00,54.38,54.63,54.36,54.52,166587
2016-09-06 09:30:00,54.54,54.82,54.28,54.37,263006
2016-09-07 09:30:00,54.62,54.68,54.43,54.52,243073
2016-09-08 09:30:00,54.41,54.64,54.33,54.6,176914
2016-09-09 09:30:00,54.34,54.34,53.9,53.93,171733
2016-09-12 09:30:00,53.51,53.79,53.38,53.75,243993
2016-09-13 09:30:00,53.6,53.75,53.52,53.66,723807
2016-09-14 09:30:00,53.34,53.55,53.27,53.43,121194
2016-09-15 09:30:00,53.24,53.58,53.13,53.26,118818
2016-09-16 09:30:00,53.18,53.42,53.16,53.39,812942
