open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,14.57,14.96,14.52,14.93,699929
2016-01-05 09:30:00,15.07,15.09,14.79,14.86,828626
2016-01-06 09:30:00,14.58,14.69,14.49,14.55,981452
2016-01-07 09:30:00,12.69,12.99,12.64,12.72,1466368
2016-01-08 09:30:00,12.02,12.12,11.77,11.81,1235667
2016-01-11 09:30:00,11.53,11.7,11.18,11.19,926866
2016-01-12 09:30:00,10.81,10.97,10.53,10.54,2244885
2016-01-13 09:30:00,9.408,9.442,8.666,8.789,6261075
2016-01-14 09:30:00,7.661,8.261,7.558,7.85,7251519
2016-01-15 09:30:00,9.02,10.28,8.917,9.905,5035717
2016-01-19 09:30:00,9.454,9.465,9.04,9.465,3311296
2016-01-20 09:30:00,8.669,8.669,8.261,8.34,1676290
2016-01-21 09:30:00,8.791,9.134,8.706,8.974,1024669
2016-01-22 09:30:00,9.653,10.48,9.631,10.32,3441248
2016-01-25 09:30:00,10.95,11.94,10.84,11.84,2675341
2016-01-26 09:30:00,10.81,10.99,10.44,10.45,1689561
2016-01-27 09:30:00,11.57,11.66,10.92,11.19,3760255
2016-01-28 09:30:00,11.65,12.03,11.43,11.62,2126140
2016-01-29 09:30:00,11.09,11.15,10.88,11.03,1100051
2016-02-01 09:30:00,10.78,10.9,10.46,10.49,1087039
2016-02-02 09:30:00,10.76,10.92,10.67,10.88,863926
2016-02-03 09:30:00,10.86,10.98,10.45,10.45,949986
2016-02-04 09:30:00,10.58,10.67,10.33,10.51,832439
2016-02-05 09:30:00,10.57,10.6,10.25,10.38,781598
2016-02-08 09:30:00,8.523,8.563,5.943,6.491,10847156
2016-02-09 09:30:00,6.428,6.936,6.388,6.788,6326368
2016-02-10 09:30:00,6.599,7.142,6.445,7.124,2071713
2016-02-11 09:30:00,6.896,7.781,6.713,7.724,2420413
2016-02-12 09:30:00,7.764,8.278,7.496,7.549,1550315
2016-02-16 09:30:00,7.929,8.363,7.884,8.198,1543612
2016-02-17 09:30:00,8.809,8.94,8.597,8.717,979811
2016-02-18 09:30:00,8.957,9.3,8.455,8.649,1751068
2016-02-19 09:30:00,8.9,8.991,8.717,8.751,1532664
2016-02-22 09:30:00,9.105,9.317,9.094,9.214,982292
2016-02-23 09:30:00,9.163,9.163,8.963,9.008,507774
2016-02-24 09:30:00,8.729,8.877,8.392,8.717,1710907
2016-02-25 09:30:00,8.991,9.06,8.552,8.769,2208938
2016-02-26 09:30:00,9.345,9.585,9.305,9.437,865384
2016-02-29 09:30:00,8.991,9.389,8.877,9.305,993326
2016-03-01 09:30:00,9.214,9.322,9.008,9.294,669440
2016-03-02 09:30:00,9.375,9.604,9.317,9.505,620023
2016-03-03 09:30:00,9.751,9.962,9.745,9.95,694052
2016-03-04 09:30:00,10.63,10.87,10.56,10.85,2356564
2016-03-07 09:30:00,11.03,11.22,10.93,11.09,1184201
2016-03-08 09:30:00,10.78,10.82,10.4,10.4,1375031
2016-03-09 09:30:00,10.1,10.3,9.95,10.23,1767354
2016-03-10 09:30:00,10.24,10.27,8.813,9.472,10755170
2016-03-11 09:30:00,9.745,9.894,9.585,9.597,1604592
2016-03-14 09:30:00,9.454,9.609,9.33,9.463,1413200
2016-03-15 09:30:00,9.585,9.609,9.442,9.537,826145
2016-03-16 09:30:00,9.621,10.1,9.621,10.08,785332
2016-03-17 09:30:00,10.56,10.67,10.27,10.33,871887
