open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,16.84,16.98,16.8,16.91,4843452
2016-01-05 09:30:00,17.27,17.39,17.22,17.33,5441739
2016-01-06 09:30:00,17.39,17.72,17.39,17.7,7311465
2016-01-07 09:30:00,17.53,18.0,17.52,17.98,9736272
2016-01-08 09:30:00,18.12,18.21,17.98,18.04,6644430
2016-01-11 09:30:00,17.75,17.87,17.72,17.79,4184370
2016-01-12 09:30:00,17.92,18.02,17.9,17.97,3031764
2016-01-13 09:30:00,17.71,17.74,17.46,17.5,3626919
2016-01-14 09:30:00,17.27,17.4,17.22,17.24,3252942
2016-01-15 09:30:00,17.13,17.39,17.12,17.16,8154783
2016-01-19 09:30:00,17.33,17.48,17.26,17.38,4764231
2016-01-20 09:30:00,17.21,17.35,17.1,17.12,5092863
2016-01-21 09:30:00,16.98,17.1,16.96,16.98,2974752
2016-01-22 09:30:00,17.38,17.51,17.3,17.48,3379176
2016-01-25 09:30:00,17.46,17.55,17.41,17.49,2654307
2016-01-26 09:30:00,17.64,17.86,17.61,17.86,2473164
2016-01-27 09:30:00,17.85,17.94,17.84,17.86,2369739
2016-01-28 09:30:00,17.83,17.96,17.8,17.92,2809179
2016-01-29 09:30:00,18.02,18.26,18.02,18.2,4518471
2016-02-01 09:30:00,18.35,18.58,18.34,18.54,3963129
2016-02-02 09:30:00,18.74,18.89,18.59,18.63,7581357
2016-02-03 09:30:00,18.77,18.79,18.62,18.66,2919396
2016-02-04 09:30:00,18.31,18.36,18.1,18.2,4881108
2016-02-05 09:30:00,18.61,18.8,18.57,18.61,6361158
2016-02-08 09:30:00,18.51,18.68,18.44,18.46,6686958
2016-02-09 09:30:00,18.24,18.49,18.23,18.25,7064466
2016-02-10 09:30:00,18.43,18.51,18.39,18.48,3925845
2016-02-11 09:30:00,18.1,18.31,18.08,18.21,3999921
2016-02-12 09:30:00,18.24,18.32,18.06,18.19,3830877
2016-02-16 09:30:00,18.54,18.6,18.31,18.34,4108902
2016-02-17 09:30:00,18.4,18.51,18.32,18.43,3898557
2016-02-18 09:30:00,17.76,17.79,17.36,17.48,21103311
2016-02-19 09:30:00,17.79,17.9,17.66,17.88,8743296
2016-02-22 09:30:00,18.08,18.31,18.08,18.3,3092796
2016-02-23 09:30:00,18.33,18.35,18.17,18.32,3455523
2016-02-24 09:30:00,18.43,18.46,18.31,18.4,4484655
2016-02-25 09:30:00,18.78,18.86,18.74,18.79,2894691
