open_date,open,high,low,close,volume_base
2016-01-04 09:30:00,57.03,57.2,56.12,56.54,30032
2016-01-05 09:30:00,55.62,56.02,55.35,55.89,8212
2016-01-06 09:30:00,53.98,54.58,53.97,54.3,21511
2016-01-07 09:30:00,54.22,55.2,53.89,54.13,18960
2016-01-08 09:30:00,53.92,54.64,53.49,54.19,71156
2016-01-11 09:30:00,53.51,53.71,53.08,53.08,11404
2016-01-12 09:30:00,53.43,54.22,53.43,54.15,25891
2016-01-13 09:30:00,54.04,54.19,53.91,54.01,8206
2016-01-14 09:30:00,54.12,54.12,53.45,53.45,15229
2016-01-15 09:30:00,53.99,54.72,53.99,53.99,56423
2016-01-19 09:30:00,54.69,55.01,54.49,54.72,24926
2016-01-20 09:30:00,54.5,54.7,54.29,54.37,43380
2016-01-21 09:30:00,56.28,56.36,55.3,55.72,25755
2016-01-22 09:30:00,55.1,55.57,54.79,55.49,25163
2016-01-25 09:30:00,55.79,56.17,55.63,56.0,15692
2016-01-26 09:30:00,55.31,55.46,54.72,54.91,37588
2016-01-27 09:30:00,55.17,55.43,54.83,54.85,20959
2016-01-28 09:30:00,55.08,55.08,54.33,54.44,43469
2016-01-29 09:30:00,53.14,54.14,52.98,53.88,25817
2016-02-01 09:30:00,54.89,55.43,54.47,54.87,18846
2016-02-02 09:30:00,54.66,54.66,54.32,54.58,12027
2016-02-03 09:30:00,55.21,55.21,54.54,54.61,9200
2016-02-04 09:30:00,54.63,54.72,53.95,54.17,16642
2016-02-05 09:30:00,53.83,53.83,53.28,53.28,8605
2016-02-08 09:30:00,52.3,52.44,51.94,52.28,27349
2016-02-09 09:30:00,53.34,54.45,53.28,54.22,11655
2016-02-10 09:30:00,53.96,54.57,53.96,54.56,9043
2016-02-11 09:30:00,52.98,54.06,52.98,54.06,28050
2016-02-12 09:30:00,53.09,53.22,52.87,53.22,15228
2016-02-16 09:30:00,53.72,54.04,53.41,53.93,17425
2016-02-17 09:30:00,54.57,54.91,54.3,54.56,10459
2016-02-18 09:30:00,54.38,54.81,53.24,54.58,47220
2016-02-19 09:30:00,54.17,55.35,54.0,55.1,85808
2016-02-22 09:30:00,57.36,57.77,56.4,57.47,41002
2016-02-23 09:30:00,57.27,57.3,56.81,56.88,30458
2016-02-24 09:30:00,57.17,57.44,56.89,57.43,30273
2016-02-25 09:30:00,59.59,60.3,59.38,60.26,18239
2016-02-26 09:30:00,60.51,60.59,60.37,60.45,27099
2016-02-29 09:30:00,60.49,60.6,60.15,60.24,24316
2016-03-01 09:30:00,60.07,60.24,59.71,60.22,12739
2016-03-02 09:30:00,61.33,61.81,60.84,61.42,25742
2016-03-03 09:30:00,61.39,61.56,61.23,61.46,17139
2016-03-04 09:30:00,61.83,62.19,61.5,61.91,7958
2016-03-07 09:30:00,61.98,62.1,61.94,62.04,5038
2016-03-08 09:30:00,62.13,62.64,61.89,62.52,8872
2016-03-09 09:30:00,61.93,62.34,61.39,62.27,17773
2016-03-10 09:30:00,61.9,62.23,61.86,61.97,15868
2016-03-11 09:30:00,60.4,62.34,60.4,62.27,12052
2016-03-14 09:30:00,62.76,63.18,62.5,62.64,14963
2016-03-15 09:30:00,62.03,62.52,62.03,62.44,13819
2016-03-16 09:30:00,62.03,62.53,62.03,62.48,4852
2016-03-17 09:30:00,62.22,62.22,61.46,61.47,12095
2016-03-18 09:30:00,62.47,62.87,62.18,62.49,368044
2016-03-21 09:30:00,62.89,63.06,62.75,63.0,5874
